"plot_id","plot_type"
"b7eb122e-a7c4-4982-97a0-fa67e45e6faf","Spectab exclosure"
"aeece3f0-4acf-4aaa-87cd-e04ac6c8ad2c","Control"
"b564c1fc-bd87-4525-92ee-8bb36928fc10","Long-term Krat Exclosure"
"7dcaddf5-d272-4b69-a49c-d4f3cf000084","Control"
"c5e12154-6677-4d6c-8feb-52355cbc1f78","Rodent Exclosure"
"74992ac6-3c8f-4547-b5f9-d4b3f6793a85","Short-term Krat Exclosure"
"a7498949-7b94-4f8e-b253-3e26bbf80710","Rodent Exclosure"
"5c4fd793-b31b-4a99-8d9c-65f19e358dec","Control"
"aab65971-f64b-425e-9a78-17d7ec63423c","Spectab exclosure"
"c85de67c-1590-4129-8953-0c530a565585","Rodent Exclosure"
"0453e08f-14f0-48c8-b72b-f0e3e57917e6","Control"
"91829d58-c12e-47e8-ae31-185f46be21d2","Control"
"4dc16022-f28d-4b9d-9062-c7bc3ad43362","Short-term Krat Exclosure"
"486c68ed-972c-4baf-beea-f8a72216e580","Control"
"6a090985-a7ce-4c04-b146-9b401d1dd796","Long-term Krat Exclosure"
"a609589e-f097-4e41-877d-3cd0490845b4","Rodent Exclosure"
"85292288-e747-42ca-9a53-e8ee8e187cd7","Control"
"01f5316e-7875-47a2-9ebe-088ae7239d4f","Short-term Krat Exclosure"
"1e87b11b-4795-4f41-bdff-2d5c4412be25","Long-term Krat Exclosure"
"dcbbd373-c22e-46ef-ae8b-ad88f5cf7475","Short-term Krat Exclosure"
"312118f6-f394-4c17-a4ee-869a14ba5d75","Long-term Krat Exclosure"
"d0365ef1-4c58-4b9d-9499-1e3f5bb0ba9d","Control"
"bd967227-b528-4374-87fc-8769a15c7f58","Rodent Exclosure"
"f24f2db6-eadd-4de9-9d2f-95aea376c013","Rodent Exclosure"
