1977,,,,,,,,,1978,,,,,,,,,1979,,,,,,,,,1980,,,,,,,
record_id,month,day,year,plot,species,sex,wgt,,record_id,month,day,year,plot,species,sex,wgt,,record_id,month,day,year,plot,species,sex,wgt,,record_id,month,day,year,plot,species,sex,wgt
1,7,16,1977,2,NA,M,,,504,1,8,1978,3,OL,,,,1552,1,28,1979,22,DM,F,37,,2271,1,15,1980,8,DO,M,53
2,7,16,1977,3,NA,M,,,505,1,8,1978,13,DM,M,43,,1553,1,28,1979,8,DS,F,128,,2272,1,15,1980,11,PF,F,10
3,7,16,1977,2,DM,F,,,506,1,8,1978,2,NA,,,,1554,1,28,1979,9,DM,F,42,,2273,1,15,1980,18,DM,F,33
4,7,16,1977,7,DM,M,,,507,1,8,1978,2,DM,M,44,,1555,1,28,1979,11,DM,M,37,,2274,1,15,1980,11,DM,M,37
5,7,16,1977,3,DM,M,,,508,1,8,1978,20,DM,F,36,,1556,1,28,1979,22,DM,M,,,2275,1,15,1980,8,DO,F,29
6,7,16,1977,1,PF,M,,,509,1,8,1978,3,NA,,,,1557,1,28,1979,17,DM,F,48,,2276,1,15,1980,11,DS,M,132
7,7,16,1977,2,PE,F,,,510,1,8,1978,13,PF,F,8,,1558,1,28,1979,12,DM,M,45,,2277,1,15,1980,8,PF,M,8
8,7,16,1977,1,DM,M,,,511,1,8,1978,2,DM,M,38,,1559,1,28,1979,17,DM,F,42,,2278,1,15,1980,9,OT,M,23
9,7,16,1977,1,DM,F,,,512,1,8,1978,9,DS,F,122,,1560,1,28,1979,11,DO,M,52,,2279,1,15,1980,11,DM,F,36
10,7,16,1977,6,PF,F,,,513,1,8,1978,2,OL,,,,1561,1,28,1979,22,OL,M,35,,2280,1,15,1980,21,OT,F,21
11,7,16,1977,5,DS,F,,,514,1,8,1978,9,PF,M,7,,1562,1,28,1979,11,DM,M,50,,2281,1,15,1980,11,OL,M,29
12,7,16,1977,7,DM,M,,,515,1,8,1978,9,DO,F,42,,1563,1,28,1979,1,OL,M,46,,2282,1,15,1980,17,DM,F,49
13,7,16,1977,3,DM,M,,,516,1,8,1978,9,DM,M,46,,1564,1,28,1979,9,DM,F,43,,2283,1,15,1980,11,OL,M,23
14,7,16,1977,8,DM,,,,517,1,8,1978,2,PE,M,22,,1565,1,28,1979,22,DM,M,47,,2284,1,15,1980,9,OL,M,32
15,7,16,1977,6,DM,F,,,518,1,8,1978,2,DM,M,38,,1566,1,28,1979,11,OL,M,35,,2285,1,15,1980,10,OL,F,24
16,7,16,1977,4,DM,F,,,519,1,8,1978,2,DM,M,48,,1567,1,28,1979,11,DM,M,43,,2286,1,15,1980,11,DM,M,47
