coreid,xmpRights:WebStatement,xmp:MetadataDate,exif:PixelXDimension,ac:mediumQualityAccessURI,dc:type,ac:tag,idigbio:uuid,dcterms:description,ac:caption,ac:bestQualityAccessURI,ac:goodQualityAccessURI,ac:provider,idigbio:recordIds,dwc:occurrenceID,ac:metadataLanguageLiteral,idigbio:etag,photoshop:Credit,ac:subjectPart,ac:metadataLanguage,dcterms:creator,dcterms:publisher,ac:goodQualityFormat,ac:providerManagedID,ac:bestQualityFurtherInformationURL,ac:subtype,dc:creator,ac:bestQualityFormat,idigbio:recordId,dcterms:format,ac:hashFunction,dc:format,dcterms:created,dcterms:available,dcterms:source,idigbio:associatedRecordsetReference,ac:metadataCreator,ac:associatedSpecimenReference,dc:rights,idigbio:version,ac:thumbnailAccessURI,dcterms:license,xmpRights:UsageTerms,ac:comments,idigbio:associatedRecordReference,ac:mediumQualityFormat,idigbio:createdBy,dcterms:references,idigbio:dateModified,Iptc4xmpExt:CreditLine,exif:PixelYDimension,ac:metadataProvider,ac:furtherInformationURL,http://ns.adobe.com/exif/1.0/PixelYDimension,dwc:nameAccordingTo,dcterms:type,http://ns.adobe.com/exif/1.0/PixelXDimension,ac:hashValue,dcterms:identifier,ac:goodQualityExtent,ac:subjectOrientation,xmpRights:Owner,ac:licenseLogoURL,ac:attributionLogoURL,ac:bestQualityExtent,dcterms:rightsHolder,ac:captureDevice,ac:variantLiteral,dcterms:rights,dcterms:title,ac:resourceCreationTechnique,ac:accessURI,dcterms:modified,dwc:scientificName,dcterms:provider,ac:thumbnailFormat
3c3e87b6-82ac-4c9b-bcea-8f9d218ad60a,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,fe1185a2-35ad-4163-b207-c40bcb3c0650,,,,,,,,,adadf432e3942daa15f2808e50294af8b199ecf0,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-02195a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,3c3e87b6-82ac-4c9b-bcea-8f9d218ad60a,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:00:38.962Z,,,,,,,,,dc2ee59f7cd3b0efa4f0812626c529c4,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/dc2ee59f7cd3b0efa4f0812626c529c4,2014-05-27 19:13:25.196666,,,
802001ae-5ba5-4378-8314-c836d0c91c05,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,fbf86365-37f8-4abb-bc61-ae5bce8cc3b7,,,,,,,,,75c9ae952bb79f6380b942965f158e4b9b0baf02,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-02546a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,802001ae-5ba5-4378-8314-c836d0c91c05,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:01:12.704Z,,,,,,,,,0d14817e76a972547bcf60f3d9a118a2,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/0d14817e76a972547bcf60f3d9a118a2,2014-05-27 19:11:51.063564,,,
802001ae-5ba5-4378-8314-c836d0c91c05,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,a3f6cb25-1c5b-4ec5-8e79-5480241326f2,,,,,,,,,0da2b5600eedf546e83abd88d4b1c7ab38594f6f,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-02536a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,802001ae-5ba5-4378-8314-c836d0c91c05,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:02:17.745Z,,,,,,,,,56506c2110d8f40e40eba46321ed8e81,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/56506c2110d8f40e40eba46321ed8e81,2014-05-27 19:12:15.061763,,,
ef78a4c3-ef71-4ca2-bc09-7dfb2aa2272c,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,686d74d6-3b33-4993-bb1f-4d4f961d6cd8,,,,,,,,,9984fb04d11b32ee7bec37de0ca3967ae9bb2937,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-00739a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,ef78a4c3-ef71-4ca2-bc09-7dfb2aa2272c,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:01:46.920Z,,,,,,,,,2153ffcb593c1451476100be5f6dbdae,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/2153ffcb593c1451476100be5f6dbdae,2014-05-27 19:15:40.604682,,,
372c8ac9-9647-497e-abd4-9d9229ba681b,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,e0ded4ca-6bca-4401-9a3d-4daa68701955,,,,,,,,,afb1c451ed47afa389804bb4a88a8d5c6af6c468,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-0328.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,372c8ac9-9647-497e-abd4-9d9229ba681b,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T19:59:25.918Z,,,,,,,,,b01fe2b4782962c6fcb237aaf23160b1,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/b01fe2b4782962c6fcb237aaf23160b1,Mon Nov  2 12:17:31 2009,,,
bed5ae9c-f0e0-463a-88ee-4a5130991f08,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,6352f63f-7263-4835-8c1e-c33b4f0c2d71,,,,,,,,,75ccb5c23c21e9d68213142cfeb482c781ee1f46,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-0046.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,bed5ae9c-f0e0-463a-88ee-4a5130991f08,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:00:13.196Z,,,,,,,,,444518979eb581bd45dd1fb2e46cdd69,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/444518979eb581bd45dd1fb2e46cdd69,Mon Nov  2 10:29:23 2009,,,
a76b3d09-e72e-4bf0-965b-402a9d1507a1,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,e6049856-8ad3-413d-be3a-6ed7fc842364,,,,,,,,,d9ca9e16cdb6cbc4f61fdade88647e91838e16f5,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-00218a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,a76b3d09-e72e-4bf0-965b-402a9d1507a1,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T20:00:14.036Z,,,,,,,,,fd47bbf782fee07537af62263fa19968,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/fd47bbf782fee07537af62263fa19968,2014-05-27 19:15:52.762875,,,
488d8600-4a66-431e-bb58-71d8c8a18f40,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,21c92970-49e8-4409-b67c-08fe67082970,,,,,,,,,3af9e75479623d2109b39bbc031156cf0fbdd8c6,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-0042.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,488d8600-4a66-431e-bb58-71d8c8a18f40,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T19:59:32.269Z,,,,,,,,,c6327f6980ae89f162271d08a17fbd7b,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/c6327f6980ae89f162271d08a17fbd7b,Mon Nov  2 10:41:20 2009,,,
e80dcdbf-224a-4312-b0bf-1ccb2de4b0e4,http://creativecommons.org/licenses/by/4.0/,,,,StillImage,,61675093-ccb7-4a0f-a18b-ee6febba4627,,,,,,,,,1d3861b1fea170ebbd66286986f53e59b3d3cf15,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dSTM-04112a.JPG,image/jpeg,MD5,,,,,252a0a12-f114-4fb5-aa9a-678c523d6dcd,,,,,,,CC BY,,e80dcdbf-224a-4312-b0bf-1ccb2de4b0e4,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T19:59:27.536Z,,,,,,,,,a95375a32c746349787c0fb3bc729651,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/a95375a32c746349787c0fb3bc729651,2014-05-27 19:17:05.992742,,,
c1ec4dd9-056a-4335-97e8-33cd5d43cc2b,http://creativecommons.org/licenses/by/3.0/,,,,StillImage,,e6274103-6f39-427a-abb9-f2abd82a9908,,,,,,,,,c828e99b92af623254ef7ea6ac5db8cfd8e2179e,,,,,,,,,,,,urn:catalog:flmnh:invertebrate zoology:images:dnin09-3272.jpg,image/jpeg,MD5,,,,,6bb853ab-e8ea-43b1-bd83-47318fc4c345,,,,,,,CC BY,,c1ec4dd9-056a-4335-97e8-33cd5d43cc2b,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-07-21T19:59:19.761Z,,,,,,,,,859597f1024ce795eed7fe9c74367af9,,,,,http://mirrors.creativecommons.org/presskit/buttons/80x15/png/by.png,,,,,,,,,http://media.idigbio.org/lookup/images/859597f1024ce795eed7fe9c74367af9,Thu Nov  5 15:49:08 2009,,,
