id,inhs:dead,inhs:total_Males,dwc:county,dwc:locality,idigbio:tribe,dwc:infraspecificEpithet,dwc:rightsHolder,dwc:lifeStage,idigbio:associatedFamily,inhs:juv_females,inhs:location_Basin,dwc:earliestAgeOrLowestStage,inhs:superfamily,dwc:ownerInstitutionCode,dwc:taxonRank,dwc:bed,dwc:country,dwc:verbatimDepth,inhs:instars_Female,dwc:identificationID,dcterms:source,dwc:maximumElevationInMeters,inhs:instars_Male,dwc:waterBody,dwc:family,idigbio:associateCondition,idigbio:associateAuthor,dwc:identificationReferences,symbiota:verbatimScientificName,dwc:rights,dwc:island,dwc:geodeticDatum,dcterms:bibliographicCitation,dwc:nomenclaturalCode,dcterms:type,inhs:vouchered,idigbio:associateCommonName,dwc:earliestEpochOrLowestSeries,fcc:datePicked,dwc:namePublishedIn,dwc:verbatimCoordinateSystem,dwc:coordinateUncertaintyInMeters,dwc:day,dwc:lithostratigraphicTerms,dwc:identificationRemarks,dwc:verbatimTaxonRank,dwc:individualID,dwc:latestPeriodOrHighestSystem,idigbio:determinationHistory,dwc:recordedBy,dwc:order,dcterms:references,dwc:islandGroup,dcterms:accessRights,dwc:group,dwc:dateIdentified,dwc:informationWithheld,dwc:scientificNameID,dwc:verbatimElevation,dcterms:rightsHolder,dwc:establishmentMeans,dwc:taxonID,dwc:maximumDepthInMeters,inhs:live,dwc:typeStatus,dwc:verbatimLatitude,dwc:occurrenceStatus,fcc:subfamily,dwc:locationID,dwc:basisOfRecord,dwc:taxonRemarks,dwc:latestEpochOrHighestSeries,dwc:dynamicProperties,inhs:relic,dwc:municipality,dwc:previousIdentifications,dwc:latestAgeOrHighestStage,dwc:lowestBiostratigraphicZone,dwc:vernacularName,dwc:fieldNotes,dwc:institutionCode,dwc:samplingEffort,dwc:class,inhs:formII_males,dwc:member,dwc:verbatimLongitude,dwc:minimumDepthInMeters,dwc:verbatimLocality,inhs:juv_males,idigbio:associateNotes,dwc:phylum,dcterms:rights,symbiotaverbatimScientificName,dwc:relatedResourceID,dwc:minimumElevationInMeters,dwc:associatedTaxa,inhs:locationTrs,dwc:samplingProtocol,dwc:originalNameUsage,dwc:startDayOfYear,dwc:verbatimCoordinates,idigbio:substrate,idigbio:etag,idigbio:uuid,dwc:georeferencedDate,inhs:formII_females,dwc:habitat,dwc:scientificNameAuthorship,dwc:occurrenceID,dwc:associatedMedia,dwc:dataGeneralizations,inhs:location_RiverMile,dwc:namePublishedInID,idigbio:createdBy,inhs:location_Stream,idigbio:associateDeterminedBy,dwc:earliestPeriodOrLowestSystem,dwc:subgenus,dwc:decimalLatitude,idigbio:hostFamily,dwc:georeferenceRemarks,dwc:occurrenceRemarks,row number,dwc:preparations,dwc:identificationVerificationStatus,idigbio:subfamily,idigbio:preparationCount,fcc:pickedBy,dwc:eventRemarks,dwc:VerbatimEventDate,dwc:associatedReferences,idigbio:endangeredStatus,dwc:locationAccordingTo,dwc:georeferenceSources,dwc:associatedSequences,dwc:formation,dwc:higherClassification,dwc:catalogNumber,dwc:verbatimSRS,dwc:higherGeography,dwc:individualCount,dwc:decimalLongitude,dwc:datasetName,dwc:month,dwc:georeferencedBy,dwc:eventTime,dwc:identificationQualifier,idigbio:associateRelationship,dwc:behavior,dwc:specificEpithet,dwc:countryCode,idigbio:associateIdentifier,dwc:kingdom,idigbio:recordID,dwc:fieldNumber,dwc:coordinatePrecision,idigbio:recordIds,inhs:juv_undetermined,dcterms:language,dwc:stateProvince,dwc:eventDate,inhs:total_females,dwc:collectionID,idigbio:recordId,dwc:collectionCode,dwc:nameAccordingTo,idigbio:barcodeValue,dwc:georeferenceVerificationStatus,dwc:associatedOccurrences,inhs:formI_males,dwc:recordNumber,dwc:genus,dwc:continent,dwc:sex,dwc:identifiedBy,idigbio:version,http://symbiota.org/terms/verbatimScientificName,dwc:disposition,dwc:preparation,dwc:latestEraOrHighestErathem,idigbio:associatedRelationship,idigbio:dateModified,dwc:accessRights,dwc:institutionID,dwc:locationRemarks,dwc:reproductiveCondition,dwc:eventID,idigbio:subgenus,dwc:endDayOfYear,dwc:scientificName,dwc:nomenclaturalStatus,dwc:otherCatalogNumbers,dwc:verbatimEventDate,dcterms:reference,dwc:earliestEraOrLowestErathem,idigbio:preservative,dwc:georeferenceProtocol,dcterms:modified,fcc:superfamily,dwc:footprintWKT,dwc:datasetID,dwc:year
77764300-f294-4257-ae01-51d1414f8a41,,,,Republic of Mauritius,,,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,ICZN,PhysicalObject,,,,,,,,,,,,,,,Nicholas Pike,Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-691,,,,,,,,President and Fellows of Harvard College,,,,,,,,,,PreservedSpecimen,,,,,,,,,,,MCZ,,Holothuroidea,,,,,,,,Echinodermata,,,,,,,,,0,,,5d1e82a039a9771d3eb7a9139b2fff20df17fa15,77764300-f294-4257-ae01-51d1414f8a41,,,,"(Brandt, 1835)",MCZ:IZ:HOL-691,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-691,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) cinerascens,HOL-691,,"Indian Ocean, Indian Ocean, Western",1,,,,,,,,,cinerascens,,,Animalia,,,,,,en,,1873-03-01,,,,IZ,,,,,,,Holothuria,Indian Ocean,,"Hubert Lyman Clark, Hubert Lyman Clark",,,not applicable,,,,2014-06-18T06:42:23.207Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Semperothuria) cinerascens,,,"March 1, 1873",,,,,2013-03-22 10:26:44.0,,,,
532f90e8-c64a-4897-97b5-539b12972e22,,,,off Northern Territory: Quail Island: 35 mi W of Darwin,,,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,ICZN,PhysicalObject,,,,,,,,,,,,,,,Carnegie Australian Harvard Expedition,Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1548,,,,,,,,President and Fellows of Harvard College,,,21.9456,,Paratype,,,,,PreservedSpecimen,,,,,,,,,,,MCZ,,Holothuroidea,,,,18.288,,,,Echinodermata,,,,,,,,,0,,,17d9a04e6426a95e260e7d312e77517b602c8ac7,532f90e8-c64a-4897-97b5-539b12972e22,,,,Hubert Lyman Clark,MCZ:IZ:HOL-1548,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1548,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Metriatyla) conica,HOL-1548,,"Pacific Ocean, Pacific, Western Central",1,,,,,,,,,conica,,,Animalia,,,,,,en,,1929-07-08,,,,IZ,,,,,,,Holothuria,Pacific Ocean,,"World Register of Marine Species, Hubert Lyman Clark",,,not applicable,,,,2014-01-11T03:44:24.707Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Metriatyla) conica,,,"July 8, 1929",,,,,2013-06-12 14:39:32.0,,,,
1a19b653-efd2-4f06-ad74-c669c161d4c9,,,,Zanzibar,,,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,ICZN,PhysicalObject,,,,,,,,,,,,,,,Capt J B Ashby,Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-733,,,,,,,,President and Fellows of Harvard College,,,,,,,,,,PreservedSpecimen,,,,,,,,,,,MCZ,,Holothuroidea,,,,,,,,Echinodermata,,,,,,,,,0,,,44f1f9862622f7276548777c0a84cf835d91155c,1a19b653-efd2-4f06-ad74-c669c161d4c9,,,,"(Brandt, 1835)",MCZ:IZ:HOL-733,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-733,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota,HOL-733,,"Indian Ocean, Indian Ocean, Western",1,,,,,,,,,leucospilota,,,Animalia,,,,,,en,,1861-12-02,,,,IZ,,,,,,,Holothuria,Indian Ocean,,[no agent data],,,not applicable,,,,2014-05-28T20:27:23.905Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Mertensiothuria) leucospilota,,other number=411,Dec 2 1861,,,,,2014-05-02 11:02:26.0,,,,
664cda22-8f57-4032-aac8-eb650ec8bad7,,,,SE Luzon,,,,,,,,,,,,,Philippines,1037-1100 m,,,,,,,Holothuriidae,,,,,,,,,,PhysicalObject,,,,,,,,24,,,,,,,"Tomio Iwamoto, CAS Ichthyology",,,,,,1997-07-01 00:00:00.0,,,,,,,1100.0000000000,,,"13°21'32""N - 13°20'50""N",,,,PreservedSpecimen,,,,,,,,,,,CAS,,,,,"124°12'26""E - 124°16'50""E",1037.0000000000,,,,ECHINODERMATA,,,,,,,30m otter trawl,,267,"13° 21' 32"" N, 124° 12' 26"" E - 13° 20' 50"" N, 124° 16' 50"" E",,766a7af54acd61b5c536ec8248b492026fa848e6,664cda22-8f57-4032-aac8-eb650ec8bad7,,,,Theel,urn:catalog:CAS:IZ:111386,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,13.3588889,,,,,75% EtOH,,,,,,,,,,,,,Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae,111386.0,,PHILIPPINES: Luzon: Lagonoy Gulf,2,124.2072222,,9,,,,,,spinifera,,,Animalia,,TI-95-5,,,,en,,1995-09-24 00:00:00.0,,,,IZ,,,,,,,Holothuria,,,Rene G. Ledesma,,,,,,,2014-03-20T21:13:06.671Z,,,,,,,,Holothuria spinifera,,,24 Sep 1995,,,,,,,,,1995
1193f46b-7de5-44bf-b298-4b44e2b88fe6,,,,"Fiji Islands, Nukulan Island",,,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,ICZN,PhysicalObject,,,,,,,,,,,,,,,Alexander Agassiz,Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-725,,,,,,,,President and Fellows of Harvard College,,,,,,,,,,PreservedSpecimen,,,,,,,,,,,MCZ,,Holothuroidea,,,,,,,,Echinodermata,,,,,,,,,0,,,3884d5532157e50998722ab0055c78b13acaffe2,1193f46b-7de5-44bf-b298-4b44e2b88fe6,,,,"(Brandt, 1835)",MCZ:IZ:HOL-725,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-725,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota,HOL-725,,"Pacific Ocean, Pacific, Western Central",1,,,,,,,,,leucospilota,,,Animalia,,,,,,en,,1897-12-07,,,,IZ,,,,,,,Holothuria,Pacific Ocean,,[no agent data],,,not applicable,,,,2014-05-04T10:09:08.366Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Mertensiothuria) leucospilota,,,"December 7, 1897",,,,,2014-04-28 12:02:26.0,,,,
0f7a0911-5003-4bad-9dce-dd08bda67a64,,,,"Mexico: Sonora, San Carlos Bay",,var. rickettsi,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,noncompliant,PhysicalObject,,,,,,,,,,part of unpublished Deichmann manuscript type series,,,,,"Edward Flanders Ricketts, John Steinbeck",Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128130,,,,,,,,President and Fellows of Harvard College,,,,,,,,,,PreservedSpecimen,,,,,,,,,,,MCZ,,Holothuroidea,,,,,,,,Echinodermata,,,,,,,,,0,,,a91c0f07f88f1a0ae14c70807c81ed79a7bbb0a2,0f7a0911-5003-4bad-9dce-dd08bda67a64,,,,Deichmann,MCZ:IZ:128130,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128130,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi,128130,,"Pacific Ocean, Pacific, Eastern Central",1,,,,,,,,,lubrica,,,Animalia,,,,,,en,,1940-04-04,,,,IZ,,,,,,,Holothuria,Pacific Ocean,,[no agent data],,,not applicable,,,,2014-05-28T21:17:40.014Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Selenkothuria) lubrica var. rickettsi,,original ledger number=2108 8,"April 4, 1940",,,,,2014-05-09 10:10:49.0,,,,
644a5be4-ede7-470d-a400-ce76c0077226,,,,"Australia, Queensland, Torres Strait, Murray Island (Mer)",,,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,ICZN,PhysicalObject,,,,,,,,,,"""Quite different from 1025 in appearance but seems to be the same thing.""",,,,,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1027,,,,2012-11-01 00:00:00.0,,,,President and Fellows of Harvard College,,,,,,,,,,PreservedSpecimen,,,age class: adult,,,,,,,,MCZ,,Holothuroidea,,,,,,,,Echinodermata,,,,,,,,,0,,,dfd28d04eed3439f848096b5816d54e5ed99c673,644a5be4-ede7-470d-a400-ce76c0077226,,,,"Jaeger, 1833",MCZ:IZ:HOL-1027,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1027,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Stauropora) fuscocinerea,HOL-1027,,"Pacific Ocean, Pacific, Western Central",1,,,,,,,,,fuscocinerea,,,Animalia,,,,,,en,,1913-09-24,,,,IZ,,,,,,,Holothuria,Pacific Ocean,,Francisco Sólis Marín,,,not applicable,,,,2014-06-18T08:07:05.754Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Stauropora) fuscocinerea,,other number=15,"September 24, 1913",,,,,2014-06-09 15:15:22.0,,,,
2bb50372-3df5-4f7b-a32c-70cdec38e3c5,,,,Nosy Be Madagascar [Madagascar],,,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,ICZN,PhysicalObject,,,,,,,,,,,,,,,Arthur G. Humes,Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128868,,,,,,,,President and Fellows of Harvard College,,,2,,,,,,,PreservedSpecimen,,,,,,,,,,,MCZ,,Holothuroidea,,,,2,,,,Echinodermata,,,,,,,,,0,,,1ec18231987bbf7550de3433366038e19b7fff69,2bb50372-3df5-4f7b-a32c-70cdec38e3c5,,,,"Lesson, 1830",MCZ:IZ:128868,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128868,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis,128868,,"Indian Ocean, Indian Ocean, Western",1,,,,,,,,,edulis,,,Animalia,,,,,,en,,1967-05-25,,,,IZ,,,,,,,Holothuria,Indian Ocean,,[no agent data],,,not applicable,,,,2014-01-10T20:56:19.191Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Halodeima) edulis,,other number=1028,"May 25, 1967",,,,,2014-01-08 14:02:28.0,,,,
280d5b63-c4db-43dd-b84e-da82f3ec423f,,,,Mexico : Angeles Bay,,var. rickettsi,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,noncompliant,PhysicalObject,,,,,,,,,,part of unpublished Deichmann manuscript type series,,,,,"Edward Flanders Ricketts, John Steinbeck",Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2108,,,,,,,,President and Fellows of Harvard College,,,,,,,,,,PreservedSpecimen,,,,,,,,,,,MCZ,,Holothuroidea,,,,,,,,Echinodermata,,,,,,,,,0,,,bd78ecd827de30a3da674cf7601a1f904756eb7a,280d5b63-c4db-43dd-b84e-da82f3ec423f,,,,Deichmann,MCZ:IZ:HOL-2108,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2108,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi,HOL-2108,,"Pacific Ocean, Pacific, Eastern Central",1,,,,,,,,,lubrica,,,Animalia,,,,,,en,,1940-04-01,,,,IZ,,,,,,,Holothuria,Pacific Ocean,,[no agent data],,,not applicable,,,,2014-05-28T20:37:10.682Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Selenkothuria) lubrica var. rickettsi,,original ledger number=2108 1,"April 1, 1940",,,,,2014-05-09 10:07:09.0,,,,
a624b892-34a0-4995-93d0-832472c0b303,,,,Panama: Secas Island,,,,,,,,,,"Museum of Comparative Zoology, Harvard University",,,,,,,,,,,Holothuriidae,,,,,,,,,ICZN,PhysicalObject,,,,,,,,,,,,,,,"RV Velero III, Hancock Pacific Expeditions",Aspidochirotida,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1894,,,,,,,,President and Fellows of Harvard College,,,5.4864,,,,,,,PreservedSpecimen,,,,,,,,,,,MCZ,,Holothuroidea,,,,5.4864,,,,Echinodermata,,,,,,,,,0,,,c157dd2eb179e9f3c29980c316daa5003f47a842,a624b892-34a0-4995-93d0-832472c0b303,,,,"(Forskål, 1775)",MCZ:IZ:HOL-1894,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1894,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,whole animal (70% ethanol),,,,,,,,,,,,,Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens,HOL-1894,,"Pacific Ocean, Pacific, Eastern Central",1,,,,,,,,,impatiens,,,Animalia,,,,,,en,,1938-03-02,,,,IZ,,,,,,,Holothuria,Pacific Ocean,,[no agent data],,,not applicable,,,,2014-04-19T02:36:04.704Z,,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,Holothuria (Thymiosycia) impatiens,,station number=867-38,"March 2, 1938",,,,,2014-04-11 13:02:30.0,,,,
