"","idigbio.associateCondition","dwc.taxonRank","idigbio.determinationHistory","dwc.startDayOfYear","dwc.identificationRemarks","inhs.location_Basin","dwc.rightsHolder","fcc.pickedBy","fcc.subfamily","fcc.superfamily","dcterms.accessRights","dwc.day","dwc.behavior","dwc.associatedReferences","idigbio.associateRelationship","idigbio.preparationCount","dwc.higherClassification","dwc.occurrenceStatus","dwc.individualCount","dwc.scientificNameAuthorship","dwc.fieldNotes","inhs.superfamily","dwc.georeferenceProtocol","dwc.footprintWKT","dwc.georeferencedBy","dwc.latestPeriodOrHighestSystem","inhs.juv_undetermined","inhs.location_RiverMile","dwc.taxonID","dcterms.language","dwc.occurrenceRemarks","dwc.preparations","dwc.kingdom","dcterms.reference","dwc.identificationQualifier","idigbio.endangeredStatus","dcterms.rightsHolder","dwc.vernacularName","dwc.country","inhs.formI_males","dwc.relatedResourceID","idigbio.version","dwc.verbatimEventDate","dwc.ownerInstitutionCode","dwc.endDayOfYear","dwc.otherCatalogNumbers","idigbio.recordIds","idigbio.createdBy","dwc.locationID","dwc.identifiedBy","idigbio.barcodeValue","dwc.lithostratigraphicTerms","dwc.municipality","dwc.minimumDepthInMeters","dwc.county","dwc.typeStatus","dwc.georeferenceRemarks","inhs.total_Males","dwc.eventTime","dwc.maximumElevationInMeters","idigbio.etag","dwc.subgenus","dwc.specificEpithet","dwc.individualID","idigbio.subgenus","dwc.minimumElevationInMeters","dwc.waterBody","dwc.georeferencedDate","dwc.preparation","dwc.group","idigbio.preservative","symbiotaverbatimScientificName","dwc.verbatimLocality","dwc.eventRemarks","inhs.instars_Male","dwc.datasetID","idigbio.associateAuthor","dwc.coordinatePrecision","idigbio.dateModified","dwc.previousIdentifications","dwc.identificationVerificationStatus","dwc.member","dwc.identificationReferences","inhs.dead","dwc.verbatimCoordinateSystem","dwc.order","dwc.georeferenceVerificationStatus","idigbio.associateNotes","dwc.earliestEpochOrLowestSeries","dcterms.type","dwc.locationRemarks","dwc.associatedSequences","dwc.informationWithheld","symbiota.verbatimScientificName","dwc.stateProvince","dwc.continent","dwc.disposition","dwc.bed","dwc.earliestEraOrLowestErathem","dwc.dynamicProperties","dwc.sex","dwc.rights","dwc.infraspecificEpithet","idigbio.associateCommonName","dwc.associatedOccurrences","id","dwc.associatedMedia","idigbio.associatedFamily","dwc.collectionCode","inhs.juv_males","dwc.scientificNameID","dwc.institutionID","dwc.georeferenceSources","dwc.coordinateUncertaintyInMeters","dwc.verbatimCoordinates","dwc.taxonRemarks","idigbio.associatedRelationship","dcterms.rights","dwc.dataGeneralizations","dwc.nameAccordingTo","dwc.namePublishedInID","dwc.lifeStage","inhs.instars_Female","inhs.formII_females","dwc.phylum","dwc.formation","dwc.identificationID","dwc.eventID","dwc.samplingEffort","dwc.fieldNumber","dwc.latestEpochOrHighestSeries","inhs.locationTrs","dwc.accessRights","dwc.latestEraOrHighestErathem","dcterms.bibliographicCitation","fcc.datePicked","dwc.verbatimLongitude","dwc.geodeticDatum","row.number","dwc.verbatimTaxonRank","inhs.juv_females","inhs.formII_males","dwc.catalogNumber","idigbio.tribe","dwc.earliestAgeOrLowestStage","dwc.reproductiveCondition","dwc.namePublishedIn","idigbio.recordID","dwc.recordNumber","dcterms.modified","dwc.establishmentMeans","dwc.verbatimDepth","dcterms.source","idigbio.hostFamily","dwc.locationAccordingTo","idigbio.substrate","dwc.higherGeography","dcterms.references","dwc.institutionCode","dwc.verbatimSRS","dwc.basisOfRecord","dwc.islandGroup","dwc.nomenclaturalStatus","dwc.nomenclaturalCode","dwc.decimalLatitude","dwc.verbatimElevation","inhs.location_Stream","inhs.relic","dwc.recordedBy","idigbio.subfamily","dwc.verbatimLatitude","dwc.island","dwc.occurrenceID","dwc.scientificName","dwc.locality","dwc.associatedTaxa","http...symbiota.org.terms.verbatimScientificName","dwc.year","inhs.total_females","idigbio.uuid","dwc.decimalLongitude","dwc.samplingProtocol","inhs.vouchered","dwc.originalNameUsage","idigbio.associateIdentifier","dwc.month","dwc.eventDate","dwc.collectionID","dwc.lowestBiostratigraphicZone","idigbio.recordId","dwc.countryCode","dwc.genus","idigbio.associateDeterminedBy","dwc.habitat","dwc.earliestPeriodOrLowestSystem","dwc.dateIdentified","dwc.latestAgeOrHighestStage","dwc.class","dwc.family","inhs.live","dwc.VerbatimEventDate","dwc.datasetName","dwc.maximumDepthInMeters"
"17",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"Sept. 3, 1959","Museum of Comparative Zoology, Harvard University",NA,"other number=456",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"1c1be0d465f49b3b9eee0b7287d7cfcc4f921fcc",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-02-28T07:22:59.250Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","e7785e20-6fff-48bb-8fe9-d473f9a2b3e7","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4283",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-4283",NA,NA,NA,NA,NA,"","2014-02-12 14:02:27.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4283","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Arthur G. Humes, Richard U. Gooding",NA,"",NA,"MCZ:IZ:HOL-4283","Holothuria (Halodeima) grisea","Jamaica: entrance to Kingston Harbor, at Lazatto",NA,NA,NA,NA,"e7785e20-6fff-48bb-8fe9-d473f9a2b3e7",NA,"",NA,NA,NA,NA,"1959-09-03",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"42",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[date unknown]","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"e28e16766cd95ff393698487ef34b2811e6b64bf",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-13T02:31:24.365Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","3adca7a2-1454-42a3-97b0-6cdb51933cc2","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-618",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-618",NA,NA,NA,NA,NA,"","2014-02-12 14:02:27.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-618","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Museo de Historia Naural Felipe Poey, University of Havana",NA,"",NA,"MCZ:IZ:HOL-618","Holothuria (Halodeima) grisea","Cuba: Havana",NA,NA,NA,NA,"3adca7a2-1454-42a3-97b0-6cdb51933cc2",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"43",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"1857","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","World Register of Marine Species, [no agent data]",NA,NA,NA,NA,"","Syntype","",NA,NA,NA,"55f806c689a637ab6d9ca79d058586fcc2865c7c",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T19:37:38.085Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","5765557c-c7e7-4e07-a01b-e1d7c7848f95","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-620",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-620",NA,NA,NA,NA,NA,"","2013-06-12 14:44:17.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-620","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-620","Holothuria (Halodeima) grisea","Haiti",NA,NA,NA,NA,"5765557c-c7e7-4e07-a01b-e1d7c7848f95",NA,"",NA,NA,NA,NA,"1857-01-01/1857-12-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"46",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"GEOLocate",NA,"Jessica Anne Mullen",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[date unknown]","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"6b69f57fdf14e37b4662911502f2bb08e417febd",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,24916,"2014-07-13T01:09:54.516Z",NA,"unverified",NA,NA,NA,"decimal degrees","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","e28fca27-c25d-4d22-9015-55e36a2d1265","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-613",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","GEOLocate",24916,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"-82.984874d","WGS84",NA,NA,NA,NA,"HOL-613",NA,NA,NA,NA,NA,"","2014-05-28 10:35:43.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-613","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",24.621604,NA,NA,NA,"[no agent data]",NA,"24.621604d",NA,"MCZ:IZ:HOL-613","Holothuria (Halodeima) grisea","United States, Florida, The Tortugas",NA,NA,NA,NA,"e28fca27-c25d-4d22-9015-55e36a2d1265",-82.984874,"",NA,NA,NA,NA,"1700-01-01/2013-12-13",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"54",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"Apr 1865 - July 1866","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"b78a0163e3558f3121b17bd994670ef6d7eeba91",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-26T00:40:14.341Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","fc3cc67c-7838-4453-ba7d-617f745caad3","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-629",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-629",NA,NA,NA,NA,NA,"","2014-02-14 11:02:28.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Southwest","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-629","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Thayer Expedition to Brazil, Louis Agassiz, John E. Thayer Expedition",NA,"",NA,"MCZ:IZ:HOL-629","Holothuria (Halodeima) grisea","Brazil, Rio de Janeiro",NA,NA,NA,NA,"fc3cc67c-7838-4453-ba7d-617f745caad3",NA,"",NA,NA,NA,NA,"1865-04-01/1866-07-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"68",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[date unknown]","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"b81b882c184952364ec61a818b8247486101e4b6",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T22:44:27.019Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","c7599616-3de0-49de-8700-96ddb893808f","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-889",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-889",NA,NA,NA,NA,NA,"","2014-02-14 11:02:31.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-889","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-889","Holothuria (Halodeima) grisea","Florida, United States: Cape Florida",NA,NA,NA,NA,"c7599616-3de0-49de-8700-96ddb893808f",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"86",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"GEOLocate",NA,"Penny Benson",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"April 1, 1916","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"38b60fd9740f05ce35c901e44d3c0b6607ada13a",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,647,"2014-08-04T20:18:23.587Z",NA,"unverified",NA,NA,NA,"decimal degrees","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","71a4fec4-6a68-4ced-8537-40cfd64c3db0","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1171",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","GEOLocate",647,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"-60.811479d","WGS84",NA,NA,NA,NA,"HOL-1171",NA,NA,NA,NA,NA,"","2014-05-15 10:02:11.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1171","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",11.177882,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition",NA,"11.177882d",NA,"MCZ:IZ:HOL-1171","Holothuria (Halodeima) grisea","Trinidad and Tobago: Tobago: Buccoo Bay",NA,NA,NA,NA,"71a4fec4-6a68-4ced-8537-40cfd64c3db0",-60.811479,"",NA,NA,NA,NA,"1916-04-01",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"332",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"1904","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,4.572,"","","",NA,NA,NA,"474052eb2ba47a4405d8d32abb0f6cbc15b54550",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-13T02:09:45.733Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","683cb877-f779-4089-9195-d514bdab30d5","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1408",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-1408",NA,NA,NA,NA,NA,"","2014-02-14 11:02:28.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1408","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Thomas Barbour",NA,"",NA,"MCZ:IZ:HOL-1408","Holothuria (Halodeima) grisea","Bahamas: New Munjack Cay",NA,NA,NA,NA,"683cb877-f779-4089-9195-d514bdab30d5",NA,"",NA,NA,NA,NA,"1904-01-01/1904-12-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,4.572
"343",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"January-February 1872","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"03f8644951b6b8c93c54864fcb33fa57060b6126",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T21:49:54.537Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","42f61b96-9ce9-441c-8f35-e84b7b60fc11","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-627",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-627",NA,NA,NA,NA,NA,"","2014-02-14 11:02:29.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Southwest","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-627","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Hassler Expedition",NA,"",NA,"MCZ:IZ:HOL-627","Holothuria (Halodeima) grisea","Brazil, Rio de Janeiro",NA,NA,NA,NA,"42f61b96-9ce9-441c-8f35-e84b7b60fc11",NA,"",NA,NA,NA,NA,"1872-01-01/1872-02-28",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"353",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[no verbatim date]","Museum of Comparative Zoology, Harvard University",NA,"other number=16703; other number=187A",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"4500b6563de40d7ae4e136429bac97b832d56f5c",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T19:03:33.618Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","b547cd2c-2d96-4286-a338-722fddb29d4a","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-616",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-616",NA,NA,NA,NA,NA,"","2014-02-12 14:02:27.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-616","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-616","Holothuria (Halodeima) grisea","Key West, Florida",NA,NA,NA,NA,"b547cd2c-2d96-4286-a338-722fddb29d4a",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
