"","fcc.superfamily","inhs.superfamily","dwc.VerbatimEventDate","dwc.georeferenceRemarks","dwc.higherGeography","dwc.taxonRemarks","dwc.lifeStage","idigbio.associateDeterminedBy","dwc.identificationID","dwc.maximumElevationInMeters","dwc.eventRemarks","dwc.decimalLongitude","dwc.fieldNotes","dwc.datasetID","dwc.year","dwc.startDayOfYear","dwc.georeferencedBy","dwc.georeferenceVerificationStatus","dwc.geodeticDatum","dwc.locality","dwc.previousIdentifications","dwc.associatedMedia","dwc.georeferenceSources","dwc.subgenus","dwc.decimalLatitude","idigbio.version","inhs.juv_females","dwc.originalNameUsage","dwc.associatedSequences","inhs.vouchered","dwc.coordinateUncertaintyInMeters","dwc.verbatimDepth","fcc.pickedBy","idigbio.associateRelationship","dwc.verbatimCoordinateSystem","dwc.dataGeneralizations","dwc.specificEpithet","idigbio.recordID","dwc.identificationQualifier","idigbio.dateModified","dwc.formation","inhs.total_Males","idigbio.associateNotes","dwc.recordedBy","dwc.fieldNumber","idigbio.barcodeValue","idigbio.associatedRelationship","idigbio.tribe","dcterms.reference","dwc.occurrenceID","dwc.genus","dwc.occurrenceStatus","idigbio.associateCommonName","dwc.month","dwc.nomenclaturalCode","dcterms.bibliographicCitation","dwc.minimumDepthInMeters","dwc.footprintWKT","dwc.verbatimEventDate","inhs.live","dwc.eventID","dwc.latestEraOrHighestErathem","dwc.phylum","dwc.scientificNameAuthorship","dwc.dynamicProperties","dwc.scientificName","dwc.sex","idigbio.substrate","dwc.locationAccordingTo","inhs.formII_females","dwc.earliestEpochOrLowestSeries","inhs.formI_males","dwc.lowestBiostratigraphicZone","dwc.georeferenceProtocol","dwc.preparations","dwc.earliestAgeOrLowestStage","dwc.samplingProtocol","dwc.municipality","dwc.minimumElevationInMeters","dwc.family","dwc.higherClassification","dwc.dateIdentified","dcterms.type","dwc.vernacularName","dwc.order","dwc.catalogNumber","dcterms.modified","idigbio.associateIdentifier","inhs.total_females","dwc.locationRemarks","dwc.islandGroup","dwc.verbatimLocality","http...symbiota.org.terms.verbatimScientificName","inhs.juv_males","inhs.location_Stream","dwc.collectionCode","dwc.individualID","idigbio.subgenus","dwc.lithostratigraphicTerms","dwc.associatedTaxa","dcterms.references","dwc.datasetName","dwc.continent","dwc.identificationRemarks","idigbio.hostFamily","dwc.informationWithheld","dwc.island","idigbio.etag","idigbio.determinationHistory","inhs.formII_males","dwc.namePublishedIn","dwc.country","dwc.otherCatalogNumbers","dwc.class","dwc.verbatimLongitude","dwc.kingdom","idigbio.recordIds","dwc.establishmentMeans","inhs.instars_Male","idigbio.uuid","dwc.scientificNameID","dwc.accessRights","idigbio.associateAuthor","dwc.taxonRank","dwc.locationID","dcterms.source","dcterms.language","inhs.relic","symbiotaverbatimScientificName","dwc.taxonID","dwc.nomenclaturalStatus","dwc.reproductiveCondition","dwc.endDayOfYear","idigbio.endangeredStatus","dwc.earliestEraOrLowestErathem","dwc.associatedOccurrences","dwc.behavior","dwc.nameAccordingTo","idigbio.createdBy","dwc.earliestPeriodOrLowestSystem","idigbio.associatedFamily","dwc.latestEpochOrHighestSeries","dcterms.rights","id","idigbio.preservative","idigbio.preparationCount","dwc.stateProvince","dwc.rightsHolder","dwc.group","dwc.recordNumber","dwc.verbatimTaxonRank","dwc.disposition","dwc.occurrenceRemarks","dwc.identificationVerificationStatus","dwc.member","dwc.coordinatePrecision","dwc.verbatimCoordinates","dwc.infraspecificEpithet","dwc.waterBody","dwc.eventDate","dwc.day","idigbio.associateCondition","dwc.identificationReferences","fcc.subfamily","dwc.institutionCode","dwc.samplingEffort","dwc.identifiedBy","dwc.collectionID","dwc.bed","dwc.basisOfRecord","dcterms.accessRights","dwc.eventTime","dwc.verbatimElevation","dwc.georeferencedDate","dwc.preparation","dwc.latestAgeOrHighestStage","inhs.location_Basin","idigbio.subfamily","dwc.institutionID","inhs.instars_Female","dwc.relatedResourceID","dwc.verbatimLatitude","fcc.datePicked","dwc.ownerInstitutionCode","dcterms.rightsHolder","inhs.location_RiverMile","dwc.maximumDepthInMeters","symbiota.verbatimScientificName","dwc.county","inhs.locationTrs","dwc.associatedReferences","dwc.countryCode","dwc.verbatimSRS","idigbio.recordId","inhs.juv_undetermined","dwc.individualCount","row.number","dwc.habitat","dwc.latestPeriodOrHighestSystem","dwc.namePublishedInID","inhs.dead","dwc.rights","dwc.typeStatus"
"404",NA,NA,NA,"","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"",NA,"","Mexico: Clarion Islands, Sulphur Bay",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128121","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"inornata",NA,NA,"2014-07-22T07:49:29.421Z",NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","",NA,NA,NA,NA,"MCZ:IZ:128121","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"March 16, 1939",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-06 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","128121","2014-07-02 13:14:56.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128121",NA,"Pacific Ocean","",NA,NA,NA,"eee219313e55dc58e1332c231921f256424b4aae",NA,NA,NA,"","original ledger number=2098 H; station number=916-39","Holothuroidea","","Animalia",NA,NA,NA,"d65e6546-120b-4e08-bc14-53870e0899ec",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"d65e6546-120b-4e08-bc14-53870e0899ec",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"",NA,NA,"","","","1939-03-16",NA,NA,NA,NA,"MCZ",NA,"Elisabeth Deichmann, Francisco Sólis Marín, [no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"582",NA,NA,NA,"","Pacific Ocean, Pacific, Southeast",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"",NA,"","Ecuador: Galapagos, James Island; Sulivan Bay",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1898","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"inornata",NA,NA,"2014-05-04T09:56:49.760Z",NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","",NA,NA,NA,NA,"MCZ:IZ:HOL-1898","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"January 21, 1938",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-07 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","HOL-1898","2014-04-23 16:03:25.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1898",NA,"Pacific Ocean","",NA,NA,NA,"b2d295d5d04c0f0e11efafc24b68602f45f714db",NA,NA,NA,"","station number=796-38","Holothuroidea","","Animalia",NA,NA,NA,"9c73b28a-9426-446b-a08e-224d1d1d6888",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"9c73b28a-9426-446b-a08e-224d1d1d6888",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"",NA,NA,"","","","1938-01-21",NA,NA,NA,NA,"MCZ",NA,"[no agent data], Francisco Sólis Marín",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"654",NA,NA,NA,"","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"",NA,"","off Ecuador,  Galapagos Islands, South Seymour Island",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128123","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"inornata",NA,NA,"2014-07-12T17:25:03.025Z",NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","",NA,NA,NA,NA,"MCZ:IZ:128123","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"1934",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-06 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","128123","2014-07-02 13:06:13.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128123",NA,"Pacific Ocean","",NA,NA,NA,"8a24e089d14ff0eaba1ddeb7acdb4034146e5c49",NA,NA,NA,"","original ledger number=2098 J; station number=174-34","Holothuroidea","","Animalia",NA,NA,NA,"317b49dc-0302-4bfb-96e4-99f58e3c5d16",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"317b49dc-0302-4bfb-96e4-99f58e3c5d16",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"",NA,NA,"","","","1934-01-01/1934-12-31",NA,NA,NA,NA,"MCZ",NA,"Elisabeth Deichmann, Francisco Sólis Marín, [no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"897",NA,NA,NA,"","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"",NA,"","off Peru: 9 1/2 miles S. of Zorritos Lt.",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128117","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"inornata",NA,NA,"2014-07-12T14:46:20.760Z",NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","",NA,NA,NA,NA,"MCZ:IZ:128117","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"February 16, 1938",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-06 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","128117","2014-07-02 13:06:13.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128117",NA,"Pacific Ocean","",NA,NA,NA,"314699f13e8bc5f73bc79fd6e0f7e3f062f26863",NA,NA,NA,"","original ledger number=2098 D; station number=847-38","Holothuroidea","","Animalia",NA,NA,NA,"e7131eb0-8ea3-4700-9b7a-71f8356abb55",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"e7131eb0-8ea3-4700-9b7a-71f8356abb55",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"",NA,NA,"","","","1938-02-16",NA,NA,NA,NA,"MCZ",NA,"Elisabeth Deichmann, Francisco Sólis Marín, [no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"923",NA,NA,NA,"","Pacific Ocean, Pacific, Southeast",NA,NA,NA,NA,NA,"",-89.954333,NA,NA,NA,0,"Penny Benson",NA,"WGS84","Ecuador: Galapagos, Genovesa Island, Darwin Bay",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1897","GEOLocate",NA,0.310934,NA,NA,NA,NA,NA,832,"",NA,NA,"decimal degrees",NA,"inornata",NA,NA,"2014-08-04T20:14:09.308Z",NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","",NA,NA,NA,NA,"MCZ:IZ:HOL-1897","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"January 17, 1938",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"GEOLocate","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-07 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","HOL-1897","2014-07-29 12:15:55.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1897",NA,"Pacific Ocean","",NA,NA,NA,"25978ec637871484c7ac6c021ba36a0889591a7b",NA,NA,NA,"","station number=784-38","Holothuroidea","-89.954333d","Animalia",NA,NA,NA,"778e927b-7b35-465b-9048-46a85dd02820",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"778e927b-7b35-465b-9048-46a85dd02820",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"unverified",NA,832,"","","","1938-01-17",NA,NA,NA,NA,"MCZ",NA,"[no agent data], Francisco Sólis Marín",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"0.310934d",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"933",NA,NA,NA,"","Pacific Ocean, Pacific, Southeast",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"",NA,"","Ecuador: Galapagos, Tower Island",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1940","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"inornata",NA,NA,"2014-07-12T17:23:25.110Z",NA,NA,NA,"William Beebe","",NA,NA,NA,NA,"MCZ:IZ:HOL-1940","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"February- August 1925",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-06 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","HOL-1940","2014-04-23 16:03:26.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1940",NA,"Pacific Ocean","",NA,NA,NA,"6216042e9bbff69d664ed4f7b27ce189f2bbf44d",NA,NA,NA,"","station number=37","Holothuroidea","","Animalia",NA,NA,NA,"c90374a6-28e8-4339-9463-abc4d8f7a60a",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"c90374a6-28e8-4339-9463-abc4d8f7a60a",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"",NA,NA,"","","","1925-02-01/1925-08-31",NA,NA,NA,NA,"MCZ",NA,"[no agent data], Francisco Sólis Marín",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"943",NA,NA,NA,"","Pacific Ocean, Pacific, Southeast",NA,NA,NA,NA,NA,"",-89.954333,NA,NA,NA,0,"Penny Benson",NA,"WGS84","Ecuador: Galapagos, Genovesa Island, Darwin Bay",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128122","GEOLocate",NA,0.310934,NA,NA,NA,NA,NA,832,"",NA,NA,"decimal degrees",NA,"inornata",NA,NA,"2014-08-04T20:15:26.945Z",NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","",NA,NA,NA,NA,"MCZ:IZ:128122","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"January 16, 1938",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"GEOLocate","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-06 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","128122","2014-07-29 12:13:34.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128122",NA,"Pacific Ocean","",NA,NA,NA,"b4599a79b95d460d27825c7fa8dacae389a12eaa",NA,NA,NA,"","original ledger number=2098 I; station number=782-38","Holothuroidea","-89.954333d","Animalia",NA,NA,NA,"8a2b137c-22ef-4a90-9869-7aed196098bb",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"8a2b137c-22ef-4a90-9869-7aed196098bb",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"unverified",NA,832,"","","","1938-01-16",NA,NA,NA,NA,"MCZ",NA,"Elisabeth Deichmann, Francisco Sólis Marín, [no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"0.310934d",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"1182",NA,NA,NA,"","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"",NA,"","Mexico: Espiritu Santo Island, Punta Lobos",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:31718","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"inornata",NA,NA,"2014-05-28T21:12:03.604Z",NA,NA,NA,"Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"MCZ:IZ:31718","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"March 20, 1940",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-07 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","31718","2014-04-25 14:24:16.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:31718",NA,"Pacific Ocean","",NA,NA,NA,"5cbc995218d94cec67ddce18029d689f1ea046c9",NA,NA,NA,"","other number=2099","Holothuroidea","","Animalia",NA,NA,NA,"80437b38-487f-4c13-8feb-9bbcbaa7463a",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"80437b38-487f-4c13-8feb-9bbcbaa7463a",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"",NA,NA,"","","","1940-03-20",NA,NA,NA,NA,"MCZ",NA,"Francisco Sólis Marín, [no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"1188",NA,NA,NA,"","[no higher geography data], null",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"",NA,"","no specific locality",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-5157","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"inornata",NA,NA,"2014-07-12T18:30:35.258Z",NA,NA,NA,"[no agent data]","",NA,NA,NA,NA,"MCZ:IZ:HOL-5157","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"unknown",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"","whole animal (dry)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","","PhysicalObject",NA,"Aspidochirotida","HOL-5157","2014-06-10 16:59:13.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-5157",NA,"[no higher geography data]","",NA,NA,NA,"cb9039857e9e738e346fbf18359a9f2f1c7ec7fe",NA,NA,NA,"","","Holothuroidea","","Animalia",NA,NA,NA,"6a7d5266-7694-4e39-a4ec-8f9b7ad2236b",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"6a7d5266-7694-4e39-a4ec-8f9b7ad2236b",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"",NA,NA,"","","","1700-01-01/2007-04-07",NA,NA,NA,NA,"MCZ",NA,"[no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
"1196",NA,NA,NA,"","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"",NA,"","off Ecuador: Cape San Francisco",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128118","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"inornata",NA,NA,"2014-07-13T04:09:44.601Z",NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","",NA,NA,NA,NA,"MCZ:IZ:128118","Holothuria",NA,NA,NA,"ICZN",NA,NA,NA,"February 23, 1938",NA,NA,NA,"Echinodermata","Semper, 1868","","Holothuria (Halodeima) inornata","",NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)",NA,"",NA,NA,"Holothuriidae","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) inornata","2012-11-06 00:00:00.0","PhysicalObject",NA,"Aspidochirotida","128118","2014-07-02 13:06:12.0",NA,NA,"",NA,NA,NA,NA,NA,"IZ",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128118",NA,"Pacific Ocean","",NA,NA,NA,"3982d6038c59855a71d194660b8305d38a164660",NA,NA,NA,"","original ledger number=2098 E; station number=848-38","Holothuroidea","","Animalia",NA,NA,NA,"a16abe66-8101-46d7-82d9-ed4d2ec385a3",NA,NA,NA,NA,"",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"a16abe66-8101-46d7-82d9-ed4d2ec385a3",NA,NA,"",NA,NA,"",NA,"not applicable",NA,"",NA,NA,"","","","1938-02-23",NA,NA,NA,NA,"MCZ",NA,"Elisabeth Deichmann, Francisco Sólis Marín, [no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","President and Fellows of Harvard College",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,""
