"","symbiota.verbatimScientificName","inhs.instars_Female","inhs.relic","dwc.georeferenceRemarks","dcterms.source","dwc.footprintWKT","dwc.stateProvince","idigbio.barcodeValue","dwc.rightsHolder","dcterms.type","dwc.eventID","dwc.specificEpithet","idigbio.version","idigbio.associateIdentifier","dwc.island","dwc.minimumElevationInMeters","dwc.identificationReferences","dwc.startDayOfYear","fcc.subfamily","dwc.continent","dwc.coordinatePrecision","inhs.formI_males","idigbio.associateNotes","dwc.geodeticDatum","dwc.verbatimEventDate","dwc.associatedReferences","dwc.phylum","idigbio.associatedRelationship","dwc.georeferenceProtocol","dwc.basisOfRecord","dwc.verbatimLongitude","dwc.infraspecificEpithet","dwc.institutionCode","dwc.dataGeneralizations","inhs.dead","dwc.maximumDepthInMeters","dwc.family","dwc.samplingEffort","dwc.day","dcterms.accessRights","dwc.verbatimTaxonRank","dwc.kingdom","dwc.identificationRemarks","dwc.dateIdentified","idigbio.hostFamily","inhs.juv_males","symbiotaverbatimScientificName","idigbio.subfamily","dwc.earliestPeriodOrLowestSystem","dwc.associatedMedia","idigbio.tribe","idigbio.recordId","inhs.location_Basin","inhs.total_females","dwc.identifiedBy","inhs.superfamily","inhs.juv_females","dwc.waterBody","dwc.subgenus","idigbio.associateAuthor","dwc.verbatimCoordinateSystem","dwc.taxonRank","dwc.group","dwc.reproductiveCondition","idigbio.associateRelationship","dwc.earliestEraOrLowestErathem","dwc.bed","dwc.month","dwc.scientificNameAuthorship","fcc.superfamily","inhs.live","dwc.decimalLatitude","dwc.nomenclaturalCode","dwc.vernacularName","dwc.samplingProtocol","dwc.behavior","dwc.higherGeography","idigbio.preservative","dwc.otherCatalogNumbers","dwc.taxonRemarks","dwc.verbatimElevation","idigbio.preparationCount","dwc.municipality","idigbio.recordIds","dwc.datasetID","dwc.rights","dwc.lifeStage","idigbio.associateDeterminedBy","dwc.verbatimSRS","dwc.typeStatus","dwc.occurrenceRemarks","idigbio.uuid","dcterms.reference","dwc.associatedSequences","dwc.scientificNameID","dwc.associatedTaxa","dwc.originalNameUsage","dwc.decimalLongitude","dwc.genus","dwc.latestEraOrHighestErathem","dwc.fieldNumber","dwc.taxonID","dwc.locationID","dwc.disposition","dwc.sex","inhs.juv_undetermined","idigbio.associateCommonName","dcterms.language","inhs.vouchered","inhs.location_RiverMile","idigbio.dateModified","dwc.scientificName","dwc.eventTime","dcterms.rightsHolder","dwc.lowestBiostratigraphicZone","idigbio.associatedFamily","dwc.order","dwc.county","dwc.identificationID","dwc.countryCode","dwc.lithostratigraphicTerms","dwc.VerbatimEventDate","dwc.georeferenceVerificationStatus","dwc.associatedOccurrences","idigbio.substrate","dwc.latestEpochOrHighestSeries","dwc.locationAccordingTo","idigbio.recordID","dwc.relatedResourceID","dwc.preparation","dwc.verbatimLatitude","dwc.endDayOfYear","dwc.nameAccordingTo","dwc.locationRemarks","dwc.minimumDepthInMeters","dwc.occurrenceStatus","idigbio.createdBy","dwc.formation","dwc.maximumElevationInMeters","dwc.collectionCode","dcterms.modified","idigbio.endangeredStatus","dwc.individualID","dwc.earliestEpochOrLowestSeries","dwc.collectionID","dwc.eventRemarks","dwc.verbatimLocality","dwc.habitat","dwc.verbatimDepth","inhs.total_Males","dwc.accessRights","idigbio.determinationHistory","dwc.catalogNumber","dwc.islandGroup","dwc.identificationVerificationStatus","dwc.recordedBy","dcterms.references","dwc.establishmentMeans","inhs.location_Stream","dwc.occurrenceID","dwc.coordinateUncertaintyInMeters","fcc.datePicked","dwc.class","dwc.year","dwc.earliestAgeOrLowestStage","dwc.verbatimCoordinates","dwc.latestAgeOrHighestStage","idigbio.associateCondition","dwc.country","dwc.locality","dwc.institutionID","dwc.namePublishedIn","dwc.informationWithheld","dwc.higherClassification","inhs.locationTrs","dwc.nomenclaturalStatus","dwc.latestPeriodOrHighestSystem","http...symbiota.org.terms.verbatimScientificName","dwc.georeferencedDate","dwc.recordNumber","idigbio.subgenus","dwc.eventDate","dwc.datasetName","dwc.preparations","inhs.instars_Male","row.number","dwc.individualCount","fcc.pickedBy","dwc.ownerInstitutionCode","dwc.dynamicProperties","dcterms.rights","dwc.previousIdentifications","dwc.namePublishedInID","idigbio.etag","inhs.formII_females","dwc.fieldNotes","dwc.georeferencedBy","inhs.formII_males","dwc.identificationQualifier","dwc.member","dwc.georeferenceSources","dcterms.bibliographicCitation","id"
"21",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",NA,NA,NA,"","August 30, 1959","","Echinodermata",NA,"","PreservedSpecimen","","","MCZ",NA,NA,4.572,"Holothuriidae",NA,NA,NA,NA,"Animalia","Host of 433HG","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4281",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,NA,"ICZN",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"b0a7d549-540c-4af1-85f1-8b7e3812af21",NA,NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-05-28T20:32:29.296Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",4.572,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-16 11:02:27.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-4281",NA,"","Arthur G. Humes, Richard U. Gooding","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4281",NA,NA,"MCZ:IZ:HOL-4281",NA,NA,"Holothuroidea",NA,NA,"",NA,NA,"","Jamaica, Kingston, Lime Cay","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1959-08-30",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"f124757388f1bb4f562e69748348d08a9ca5b488",NA,NA,"",NA,NA,NA,"",NA,"b0a7d549-540c-4af1-85f1-8b7e3812af21"
"34",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",0,NA,NA,"unknown","1938","","Echinodermata",NA,"unknown","PreservedSpecimen","77d 22m 0s W","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2015",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"deg. min. sec.",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,25.2333333333,"ICZN",NA,"along shore",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"27f31cf3-6cf8-47ed-8f7e-00632a8dabe2",NA,NA,NA,NA,NA,-77.3666666667,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-07-12T21:19:28.866Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"25d 14m 0s N",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-16 10:02:26.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-2015",NA,"unknown","RV Atlantis, Harvard-Havana Expedition","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2015",NA,NA,"MCZ:IZ:HOL-2015",0,NA,"Holothuroidea",NA,NA,"",NA,NA,"","Cuba, Siguanea Bay, Isle de Pinos","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1938-01-01/1938-12-31",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"fb6519bab891e21bef325a5d464ebffcd9c21a3e",NA,NA,"[no agent data]",NA,NA,NA,"unknown",NA,"27f31cf3-6cf8-47ed-8f7e-00632a8dabe2"
"84",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",647,NA,NA,"WGS84","April 1, 1916","","Echinodermata",NA,"GEOLocate","PreservedSpecimen","-60.811479d","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1173",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,11.177882,"ICZN",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"dd970f00-2bbf-44e8-b91a-45029df060f4",NA,NA,NA,NA,NA,-60.811479,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-08-04T20:17:58.071Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"11.177882d",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-15 09:53:36.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-1173",NA,"unverified","Hubert Lyman Clark, Carnegie Expedition","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1173",NA,NA,"MCZ:IZ:HOL-1173",647,NA,"Holothuroidea",NA,NA,"",NA,NA,"","Trinidad and Tobago: Tobago: Buccoo Bay, Sandy Point","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1916-04-01",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"5de01d91fdbbae2deabd631b22133d878c25a4f9",NA,NA,"Penny Benson",NA,NA,NA,"GEOLocate",NA,"dd970f00-2bbf-44e8-b91a-45029df060f4"
"371",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",NA,NA,NA,"","[date unknown]","","Echinodermata",NA,"","PreservedSpecimen","","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-883",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,NA,"ICZN",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"8ca51ee3-2394-4c7e-b7b2-575f9728a815",NA,NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-07-13T01:06:24.973Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-12 14:02:26.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-883",NA,"","[no agent data]","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-883",NA,NA,"MCZ:IZ:HOL-883",NA,NA,"Holothuroidea",NA,NA,"",NA,NA,"","Puerto Rico, San Juan, Candado Bay","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1700-01-01/2014-05-12",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"b39818a2e6e01b40fe3bf0639b7d61cdea1e9b8c",NA,NA,"",NA,NA,NA,"",NA,"8ca51ee3-2394-4c7e-b7b2-575f9728a815"
"576",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",NA,NA,NA,"","April 7, 1961","","Echinodermata",NA,"","PreservedSpecimen","","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4058",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,NA,"ICZN",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"03fb0c4a-841e-4c4f-b367-973734881c74",NA,NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-05-28T20:14:03.366Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-16 10:02:26.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-4058",NA,"","Lowell P. Thomas","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4058",NA,NA,"MCZ:IZ:HOL-4058",NA,NA,"Holothuroidea",NA,NA,"",NA,NA,"","United States, Florida, Miami, Margate Fish Shoal (near Elliot Key)","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1959-07-01",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"8739318b81cdacf471666ee7ea3c1ef49a0d500b",NA,NA,"",NA,NA,NA,"",NA,"03fb0c4a-841e-4c4f-b367-973734881c74"
"583",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean",NA,NA,NA,"","July 13, 1954","","Echinodermata",NA,"","PreservedSpecimen","","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4117",NA,NA,NA,NA,"Elisabeth Deichmann",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,NA,"ICZN",NA,"",NA,"Pacific Ocean, Pacific, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"12e7b7c6-8e0f-4ef9-95e8-d18095f4c939",NA,NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-05-28T20:37:20.751Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-16 12:02:26.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-4117",NA,"","USFC Steamer Albatross","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4117",NA,NA,"MCZ:IZ:HOL-4117",NA,NA,"Holothuroidea",NA,NA,"",NA,NA,"","Federated States of Micronesia, Tiatua, lagoon edge of Lagoon Reef","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1954-07-13",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"3f2dd756057b7490c0e118ed251119659dd4933c",NA,NA,"",NA,NA,NA,"",NA,"12e7b7c6-8e0f-4ef9-95e8-d18095f4c939"
"630",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",130916,NA,NA,"WGS84","1896 & 1897","","Echinodermata",NA,"GEOLocate","PreservedSpecimen","-77.313232d","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-594",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,18.218696,"ICZN",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"02da1d3c-4063-4640-b415-34403f0ed473",NA,NA,NA,NA,NA,-77.313232,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-07-13T01:40:23.611Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"18.218696d",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-12 13:02:27.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-594",NA,"unverified","Hubert Lyman Clark","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-594",NA,NA,"MCZ:IZ:HOL-594",130916,NA,"Holothuroidea",NA,NA,"",NA,NA,"","Jamaica","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1896-01-01/1897-12-31",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"ef67f12960475652a49d908e73beef70a1516f31",NA,NA,"Jessica Anne Mullen",NA,NA,NA,"GEOLocate",NA,"02da1d3c-4063-4640-b415-34403f0ed473"
"648",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",NA,NA,NA,"","[date unknown]","","Echinodermata",NA,"","PreservedSpecimen","","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-599",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,NA,"ICZN",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"other number=396; other number=397; other number=626; other number=665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"c7909c74-b5fb-4a3b-b3f9-5768619936f9",NA,NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-07-13T03:39:04.144Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-01-21 16:02:30.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-599",NA,"","[no agent data]","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-599",NA,NA,"MCZ:IZ:HOL-599",NA,NA,"Holothuroidea",NA,NA,"",NA,NA,"","off Florida","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1700-01-01/2014-01-17",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"31a937862b4a441c600b8428ffde8afe333991ab",NA,NA,"",NA,NA,NA,"",NA,"c7909c74-b5fb-4a3b-b3f9-5768619936f9"
"651",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",NA,NA,NA,"","[date unknown]","","Echinodermata",NA,"","PreservedSpecimen","","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-590",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,NA,"ICZN",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"1db035b4-7d7f-4860-90bf-abf6e1e121ea",NA,NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-07-13T02:26:29.845Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-12 13:02:26.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-590",NA,"","[no agent data]","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-590",NA,NA,"MCZ:IZ:HOL-590",NA,NA,"Holothuroidea",NA,NA,"",NA,NA,"","Haiti","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1700-01-01/2014-05-12",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"66bc61bc86f027aab96ff75126ab2b1a3661d0a4",NA,NA,"",NA,NA,NA,"",NA,"1db035b4-7d7f-4860-90bf-abf6e1e121ea"
"875",NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"mexicana",NA,NA,NA,NA,NA,0,NA,"Atlantic Ocean",NA,NA,NA,"","June 7, 1959","","Echinodermata",NA,"","PreservedSpecimen","","","MCZ",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"Animalia","Host of 274HG","",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4303",NA,NA,NA,NA,"[no agent data]",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875",NA,NA,NA,"ICZN",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"0d788bd8-4bfa-49e4-8a54-947f1c14506d",NA,NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"","not applicable","",NA,NA,"en",NA,NA,"2014-05-28T20:01:45.024Z","Holothuria (Halodeima) mexicana",NA,"President and Fellows of Harvard College",NA,NA,"Aspidochirotida","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"IZ","2014-05-12 13:02:26.0",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"HOL-4303",NA,"","Richard U. Gooding, Arthur G. Humes","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4303",NA,NA,"MCZ:IZ:HOL-4303",NA,NA,"Holothuroidea",NA,NA,"",NA,NA,"","Bahamas, South Bimini","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) mexicana",NA,NA,NA,NA,NA,"",NA,"1959-06-07",NA,"whole animal (70% ethanol)",NA,NA,1,NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"9f43ad9509111cb8a0ffe754762c1d99d75af7d7",NA,NA,"",NA,NA,NA,"",NA,"0d788bd8-4bfa-49e4-8a54-947f1c14506d"
