"","inhs.location_Basin","idigbio.subgenus","inhs.live","dwc.associatedTaxa","idigbio.recordId","dwc.verbatimDepth","id","dwc.occurrenceRemarks","dwc.stateProvince","inhs.total_Males","dwc.namePublishedInID","dwc.taxonID","dwc.formation","inhs.formI_males","idigbio.recordID","idigbio.associateNotes","dwc.earliestPeriodOrLowestSystem","dwc.dynamicProperties","dwc.coordinatePrecision","dwc.individualCount","dwc.eventTime","dwc.lifeStage","dwc.fieldNumber","dwc.eventRemarks","dwc.latestPeriodOrHighestSystem","symbiotaverbatimScientificName","dcterms.modified","dwc.coordinateUncertaintyInMeters","dwc.georeferenceProtocol","inhs.formII_females","dwc.scientificName","dwc.typeStatus","dwc.month","dwc.earliestAgeOrLowestStage","dwc.verbatimLocality","dwc.taxonRank","dwc.dataGeneralizations","dwc.samplingEffort","dwc.latestEraOrHighestErathem","symbiota.verbatimScientificName","idigbio.determinationHistory","dwc.member","dwc.previousIdentifications","dwc.endDayOfYear","dwc.earliestEraOrLowestErathem","dwc.verbatimLongitude","dcterms.source","dwc.year","dwc.verbatimCoordinateSystem","dwc.municipality","dcterms.language","inhs.formII_males","dwc.phylum","dwc.associatedSequences","dwc.identificationRemarks","dwc.occurrenceID","dwc.lowestBiostratigraphicZone","dcterms.type","dwc.verbatimCoordinates","idigbio.version","dwc.rightsHolder","dwc.higherClassification","dwc.waterBody","dwc.originalNameUsage","dwc.reproductiveCondition","dwc.identificationQualifier","inhs.relic","idigbio.subfamily","dwc.disposition","inhs.juv_undetermined","idigbio.hostFamily","dwc.identificationVerificationStatus","dwc.country","dwc.startDayOfYear","dwc.island","inhs.locationTrs","idigbio.associatedFamily","dwc.earliestEpochOrLowestSeries","dwc.minimumDepthInMeters","dwc.maximumElevationInMeters","dwc.maximumDepthInMeters","dwc.scientificNameID","dwc.locationAccordingTo","inhs.juv_males","dcterms.rightsHolder","dwc.identificationReferences","idigbio.preservative","dwc.minimumElevationInMeters","dwc.infraspecificEpithet","idigbio.preparationCount","idigbio.dateModified","dwc.georeferencedDate","dwc.class","dwc.taxonRemarks","dwc.genus","fcc.pickedBy","idigbio.tribe","dwc.latestAgeOrHighestStage","http...symbiota.org.terms.verbatimScientificName","dwc.specificEpithet","dwc.occurrenceStatus","idigbio.associateIdentifier","dwc.collectionCode","dwc.group","dwc.georeferenceRemarks","inhs.juv_females","dwc.rights","dwc.preparations","dwc.collectionID","fcc.superfamily","dwc.informationWithheld","dwc.associatedReferences","dwc.nameAccordingTo","dwc.verbatimSRS","dwc.islandGroup","idigbio.associatedRelationship","idigbio.associateRelationship","dwc.VerbatimEventDate","dwc.recordedBy","dwc.georeferenceVerificationStatus","idigbio.substrate","dwc.footprintWKT","dwc.institutionCode","dwc.day","idigbio.uuid","dwc.order","dwc.verbatimLatitude","dwc.otherCatalogNumbers","dwc.establishmentMeans","fcc.datePicked","dwc.locationID","dwc.georeferenceSources","idigbio.associateDeterminedBy","dwc.recordNumber","dwc.datasetID","row.number","idigbio.createdBy","dwc.nomenclaturalStatus","idigbio.barcodeValue","dcterms.references","dwc.locality","dcterms.reference","dwc.subgenus","dwc.family","dwc.latestEpochOrHighestSeries","idigbio.associateAuthor","dwc.verbatimElevation","dwc.dateIdentified","dwc.samplingProtocol","dwc.sex","dwc.verbatimEventDate","idigbio.etag","dwc.associatedMedia","dwc.bed","inhs.vouchered","dwc.individualID","inhs.instars_Female","idigbio.recordIds","idigbio.endangeredStatus","dwc.eventDate","dwc.namePublishedIn","dwc.verbatimTaxonRank","dwc.basisOfRecord","idigbio.associateCondition","dwc.relatedResourceID","dwc.behavior","dwc.habitat","dwc.associatedOccurrences","dwc.identificationID","dwc.continent","inhs.total_females","inhs.location_RiverMile","dwc.ownerInstitutionCode","dwc.vernacularName","dwc.institutionID","inhs.superfamily","inhs.dead","fcc.subfamily","dwc.geodeticDatum","dwc.higherGeography","dwc.locationRemarks","dwc.fieldNotes","dwc.county","dwc.georeferencedBy","dcterms.rights","dwc.catalogNumber","dcterms.accessRights","dcterms.bibliographicCitation","dwc.lithostratigraphicTerms","dwc.decimalLongitude","dwc.accessRights","inhs.instars_Male","dwc.preparation","dwc.countryCode","dwc.scientificNameAuthorship","inhs.location_Stream","dwc.identifiedBy","dwc.nomenclaturalCode","idigbio.associateCommonName","dwc.eventID","dwc.decimalLatitude","dwc.kingdom","dwc.datasetName"
"33",NA,NA,NA,NA,NA,"","402bffff-a3a2-4a99-89b4-f1622832c0f4",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,"","",NA,NA,"2014-05-19 12:02:26.0",NA,"",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:HOL-886",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"","",0,NA,NA,NA,NA,7.3152,NA,7.3152,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-12T18:44:48.877Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Hubert Lyman Clark, Great Barrier Reef Expedition - 1928-1929",NA,NA,NA,"MCZ",NA,"402bffff-a3a2-4a99-89b4-f1622832c0f4","Aspidochirotida","","",NA,NA,"","",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-886","Australia, Queensland, 4 miles south of Cape Kimberely",NA,NA,"Holothuriidae",NA,NA,NA,"","","","1928-1929","91c77bdb44517107121b85473f096dc153322752","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-886",NA,NA,NA,NA,NA,NA,"1928-01-01/1929-12-31",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Pacific Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"","Pacific Ocean, Pacific, Western Central","",NA,"","",NA,"HOL-886",NA,NA,NA,NA,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data]","ICZN",NA,NA,NA,"Animalia",NA
"329",NA,NA,NA,NA,NA,"","5dfc014f-9526-4ea8-8e60-c362cba98faa",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",401,1,NA,NA,"","",NA,NA,"2014-06-16 10:33:20.0",401,"GEOLocate",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120.953295d",NA,NA,"decimal degrees",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:HOL-1119",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"unverified","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-13T01:29:47.718Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Alvin Seale, Philippine Marine Biological Station",NA,NA,NA,"MCZ",NA,"5dfc014f-9526-4ea8-8e60-c362cba98faa","Aspidochirotida","13.506196d","",NA,NA,"","GEOLocate",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1119","Republic of the Philippines, Mindoro Island, Port Galera",NA,NA,"Holothuriidae",NA,NA,NA,"","","","April 1912","ebe0f41b9be005eff7cad8567953cf40f1c7e3b1","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1119",NA,NA,NA,NA,NA,NA,"1912-04-01/1912-04-30",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Pacific Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"WGS84","Pacific Ocean, Pacific, Western Central","",NA,"","Jessica Anne Mullen",NA,"HOL-1119",NA,NA,NA,120.953295,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data]","ICZN",NA,NA,13.506196,"Animalia",NA
"595",NA,NA,NA,NA,NA,"","4a5a5950-6ed3-447e-bc56-52d2e0204b35",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,"","",NA,NA,"2014-06-10 16:59:13.0",NA,"",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:31720",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-12T12:45:42.072Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,"MCZ",NA,"4a5a5950-6ed3-447e-bc56-52d2e0204b35","Aspidochirotida","","",NA,NA,"","",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:31720","[no specific locality]",NA,NA,"Holothuriidae",NA,NA,NA,"","","","[date unknown]","536e719422b893d1b41f34cbe8abb3559c0c35c6","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:31720",NA,NA,NA,NA,NA,NA,"1700-01-01/2014-04-02",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"[no higher geography data]",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"","[no higher geography data], null","",NA,"","",NA,"31720",NA,NA,NA,NA,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data]","ICZN",NA,NA,NA,"Animalia",NA
"603",NA,NA,NA,NA,NA,"","de82d26d-c22e-4bc6-b485-9f5472da893e",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,"","",NA,NA,"2014-05-22 10:03:36.0",NA,"",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:HOL-816",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-12T14:05:49.451Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"John Annand",NA,NA,NA,"MCZ",NA,"de82d26d-c22e-4bc6-b485-9f5472da893e","Aspidochirotida","","",NA,NA,"","",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-816","New Hebrides (Vanuatu), Espiritu Santo Island, Tongoa",NA,NA,"Holothuriidae",NA,NA,NA,"","","","[date unknown]","f24d794dc6d9bd38c5b8797109830f301a913a4d","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-816",NA,NA,NA,NA,NA,NA,"1700-01-01/2014-05-22",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Pacific Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"","Pacific Ocean, Pacific, Western Central","",NA,"","",NA,"HOL-816",NA,NA,NA,NA,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data]","ICZN",NA,NA,NA,"Animalia",NA
"611",NA,NA,NA,NA,NA,"","1a0886d8-de37-471a-99eb-b8670f601ab0",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",2768,1,NA,NA,"","",NA,NA,"2014-06-09 14:24:30.0",2768,"GEOLocate",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144.05164d",NA,NA,"decimal degrees",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:HOL-1089",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"unverified","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-12T20:14:49.160Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Carnegie Expedition to the Torres Strait, Hubert Lyman Clark",NA,NA,NA,"MCZ",NA,"1a0886d8-de37-471a-99eb-b8670f601ab0","Aspidochirotida","-9.91518d","",NA,NA,"","GEOLocate",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1089","Australia, Queensland, Torres Strait, Murray Islands (Mer)",NA,NA,"Holothuriidae",NA,NA,NA,"","","","October 1913","fe543e892adb8efa446360af03af90fc77d957cd","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1089",NA,NA,NA,NA,NA,NA,"1913-10-01/1913-10-31",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Pacific Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"WGS84","Pacific Ocean, Pacific, Western Central","",NA,"","Jessica Anne Mullen",NA,"HOL-1089",NA,NA,NA,144.05164,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data]","ICZN",NA,NA,-9.91518,"Animalia",NA
"656",NA,NA,NA,NA,NA,"","0f9bca5b-64f8-4c3d-994f-baaedbe489b9",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,"","",NA,NA,"2014-05-19 12:02:26.0",NA,"",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:HOL-815",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-13T00:59:30.185Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,"MCZ",NA,"0f9bca5b-64f8-4c3d-994f-baaedbe489b9","Aspidochirotida","","previous number=441",NA,NA,"","",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-815","United States, Hawaii",NA,NA,"Holothuriidae",NA,NA,NA,"","","","[date unknown]","6a62ffa0cfaccb8c3e4ffbb5b694bfec3fc8e8c1","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-815",NA,NA,NA,NA,NA,NA,"1700-01-01/2014-05-19",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Pacific Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"","Pacific Ocean, Pacific, Eastern Central","",NA,"","",NA,"HOL-815",NA,NA,NA,NA,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data]","ICZN",NA,NA,NA,"Animalia",NA
"880",NA,NA,NA,NA,NA,"","9f83ce52-e489-4648-9ad4-ba719c8ff8d6",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,"","",NA,NA,"2012-06-22 15:03:29.0",NA,"",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"en",NA,"Echinodermata",NA,"12"" long. for original designation (Argiodia nobilis) see citation. Description of specimen in life enclosed with specimen.","MCZ:IZ:HOL-4111",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"","",0,NA,NA,NA,NA,1.8288,NA,1.8288,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-01-11T09:13:41.763Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (dry)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Arthur G. Humes",NA,NA,NA,"MCZ",NA,"9f83ce52-e489-4648-9ad4-ba719c8ff8d6","Aspidochirotida","","collector number=548",NA,NA,"","",NA,"548",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4111","behind reef north of Nosy Tangam, Nossi Be [Madagascar]",NA,NA,"Holothuriidae",NA,NA,NA,"","","","1960-08-25","b56c9916aa62983d781f7b72cf0ff30743ced6bc","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4111",NA,NA,NA,NA,NA,NA,"1960-08-25",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Indian Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"","Indian Ocean, Indian Ocean, Western","",NA,"","",NA,"HOL-4111",NA,NA,NA,NA,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data], [no agent data], [no agent data]","ICZN",NA,NA,NA,"Animalia",NA
"900",NA,NA,NA,NA,NA,"","cb0a249e-a83f-42f2-9d50-5aa3e082163c",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,"","",NA,NA,"2014-05-19 12:02:26.0",NA,"",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:HOL-817",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-12T15:10:29.124Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,"MCZ",NA,"cb0a249e-a83f-42f2-9d50-5aa3e082163c","Aspidochirotida","","",NA,NA,"","",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-817","Republic of Fiji",NA,NA,"Holothuriidae",NA,NA,NA,"","","","[date unknown]","348757fa81b77306caaa96992a6948a680533107","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-817",NA,NA,NA,NA,NA,NA,"1700-01-01/2014-05-19",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Pacific Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"","Pacific Ocean, Pacific, Western Central","",NA,"","",NA,"HOL-817",NA,NA,NA,NA,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data]","ICZN",NA,NA,NA,"Animalia",NA
"940",NA,NA,NA,NA,NA,"","67f053af-e0bd-4aff-8a23-a46e2abdb591",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",401,1,NA,NA,"","",NA,NA,"2014-06-16 10:33:20.0",401,"GEOLocate",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120.953295d",NA,NA,"decimal degrees",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:HOL-1120",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"unverified","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-12T23:47:33.674Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Alvin Seale, Philippine Marine Biological Station",NA,NA,NA,"MCZ",NA,"67f053af-e0bd-4aff-8a23-a46e2abdb591","Aspidochirotida","13.506196d","",NA,NA,"","GEOLocate",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1120","Republic of the Philippines, Mindoro Island, Port Galera",NA,NA,"Holothuriidae",NA,NA,NA,"","","","April 1912","fd400eaa575dd8c940ae5f73354c75648c05abb4","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1120",NA,NA,NA,NA,NA,NA,"1912-04-01/1912-04-30",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Pacific Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"WGS84","Pacific Ocean, Pacific, Western Central","",NA,"","Jessica Anne Mullen",NA,"HOL-1120",NA,NA,NA,120.953295,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data]","ICZN",NA,NA,13.506196,"Animalia",NA
"1207",NA,NA,NA,NA,NA,"","59724b86-4a61-4f0d-a033-418d3b061824",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",2768,1,NA,NA,"","",NA,NA,"2014-06-09 14:24:29.0",2768,"GEOLocate",NA,"Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144.05164d",NA,NA,"decimal degrees",NA,"en",NA,"Echinodermata",NA,"","MCZ:IZ:HOL-979",NA,"PhysicalObject","",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Microthele) nobilis","",NA,NA,NA,NA,NA,"not applicable",NA,NA,"unverified","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,"2014-07-12T15:29:50.279Z",NA,"Holothuroidea",NA,"Holothuria",NA,NA,NA,NA,"nobilis",NA,NA,"IZ",NA,"",NA,NA,"whole animal (dry)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",NA,NA,NA,"MCZ",NA,"59724b86-4a61-4f0d-a033-418d3b061824","Aspidochirotida","-9.91518d","",NA,NA,"","GEOLocate",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-979","Australia, Queensland, Torres Strait, Murray Islands (Mer)",NA,NA,"Holothuriidae",NA,NA,NA,"","","","October 1913","ace58edaf20ed40b8356b6fa7247fc2d1c6bfd77","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-979",NA,NA,NA,NA,NA,NA,"1913-10-01/1913-10-31",NA,NA,"PreservedSpecimen",NA,NA,NA,"","",NA,"Pacific Ocean",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,"WGS84","Pacific Ocean, Pacific, Western Central","",NA,"","Jessica Anne Mullen",NA,"HOL-979",NA,NA,NA,144.05164,NA,NA,NA,NA,"(Selenka, 1867)",NA,"[no agent data], [no agent data]","ICZN",NA,NA,-9.91518,"Animalia",NA
