"","dwc.georeferencedDate","fcc.subfamily","idigbio.tribe","dcterms.modified","dwc.verbatimLatitude","dwc.footprintWKT","dwc.bed","dwc.individualCount","dwc.establishmentMeans","idigbio.preparationCount","idigbio.determinationHistory","idigbio.recordId","inhs.juv_males","dwc.rights","dwc.behavior","inhs.formI_males","inhs.locationTrs","dwc.decimalLongitude","dwc.georeferencedBy","dwc.formation","dwc.countryCode","dwc.minimumElevationInMeters","inhs.total_Males","idigbio.subgenus","dwc.eventID","dwc.earliestEpochOrLowestSeries","dwc.higherClassification","idigbio.dateModified","dwc.stateProvince","dwc.habitat","dwc.specificEpithet","dwc.verbatimCoordinates","dwc.otherCatalogNumbers","fcc.datePicked","dwc.latestAgeOrHighestStage","dwc.family","inhs.superfamily","dwc.associatedOccurrences","idigbio.associateAuthor","dwc.fieldNumber","dwc.dateIdentified","dwc.locationRemarks","dwc.rightsHolder","dwc.occurrenceStatus","dwc.municipality","inhs.location_Stream","dwc.lithostratigraphicTerms","inhs.formII_females","dwc.namePublishedIn","dwc.latestEraOrHighestErathem","id","dcterms.rightsHolder","dwc.previousIdentifications","dcterms.accessRights","symbiotaverbatimScientificName","idigbio.associateNotes","dwc.samplingEffort","dwc.higherGeography","dwc.associatedReferences","dwc.namePublishedInID","idigbio.associateDeterminedBy","dwc.earliestAgeOrLowestStage","idigbio.etag","dwc.locationAccordingTo","dwc.waterBody","dwc.accessRights","dwc.locality","inhs.instars_Female","inhs.juv_undetermined","dwc.maximumDepthInMeters","row.number","fcc.pickedBy","fcc.superfamily","inhs.live","dwc.verbatimElevation","dwc.identificationReferences","dwc.minimumDepthInMeters","dwc.nameAccordingTo","dwc.group","dwc.geodeticDatum","inhs.total_females","dwc.maximumElevationInMeters","idigbio.associatedFamily","dwc.georeferenceVerificationStatus","idigbio.endangeredStatus","dwc.month","dcterms.language","dwc.dataGeneralizations","dwc.dynamicProperties","http...symbiota.org.terms.verbatimScientificName","dwc.VerbatimEventDate","dcterms.references","dwc.continent","idigbio.associateIdentifier","dwc.earliestEraOrLowestErathem","inhs.location_Basin","dwc.class","dwc.identificationID","dwc.locationID","dcterms.source","dwc.taxonID","idigbio.associateCommonName","dwc.taxonRemarks","dwc.disposition","dwc.datasetID","dcterms.rights","dwc.associatedMedia","dwc.georeferenceSources","dwc.earliestPeriodOrLowestSystem","dwc.country","dwc.islandGroup","dwc.informationWithheld","dwc.vernacularName","inhs.formII_males","dwc.relatedResourceID","dwc.year","idigbio.preservative","idigbio.createdBy","dwc.basisOfRecord","dwc.scientificName","symbiota.verbatimScientificName","idigbio.uuid","dwc.collectionID","dwc.verbatimEventDate","dwc.identificationVerificationStatus","dwc.taxonRank","idigbio.associatedRelationship","inhs.dead","dwc.catalogNumber","dwc.georeferenceProtocol","dcterms.reference","dwc.phylum","idigbio.associateCondition","dwc.georeferenceRemarks","dwc.eventDate","idigbio.substrate","idigbio.associateRelationship","dwc.subgenus","dwc.verbatimTaxonRank","dwc.infraspecificEpithet","dwc.day","dwc.scientificNameAuthorship","inhs.vouchered","dwc.identificationRemarks","dwc.nomenclaturalStatus","idigbio.barcodeValue","dwc.samplingProtocol","dwc.verbatimLocality","idigbio.recordID","dwc.sex","idigbio.subfamily","dwc.verbatimLongitude","dwc.institutionCode","dwc.recordedBy","idigbio.hostFamily","dcterms.type","dwc.latestEpochOrHighestSeries","dwc.typeStatus","dwc.member","dwc.preparations","dwc.occurrenceRemarks","dwc.startDayOfYear","dwc.verbatimSRS","inhs.location_RiverMile","dwc.institutionID","dwc.county","dwc.scientificNameID","dwc.lifeStage","idigbio.recordIds","dwc.nomenclaturalCode","dwc.occurrenceID","inhs.juv_females","dwc.kingdom","dwc.island","dwc.identifiedBy","dwc.preparation","dwc.reproductiveCondition","idigbio.version","dwc.fieldNotes","dwc.genus","dwc.order","dwc.endDayOfYear","dwc.coordinatePrecision","dwc.eventRemarks","dwc.lowestBiostratigraphicZone","dwc.identificationQualifier","dwc.associatedTaxa","dwc.individualID","dwc.eventTime","inhs.instars_Male","dcterms.bibliographicCitation","dwc.verbatimDepth","dwc.originalNameUsage","dwc.recordNumber","dwc.associatedSequences","dwc.coordinateUncertaintyInMeters","dwc.verbatimCoordinateSystem","dwc.datasetName","inhs.relic","dwc.decimalLatitude","dwc.ownerInstitutionCode","dwc.latestPeriodOrHighestSystem","dwc.collectionCode"
"305",NA,NA,NA,"2014-05-16 09:28:19.0","",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-05-28T19:58:20.964Z","","under intertidal rocks","parvula","","collector number=379",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"3a31d09c-c0ae-4c75-a350-c0bfd555a483","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,"8a8c231a4805bcec679cfbf76cec3677d2919647",NA,"",NA,"Puerto Rico, La Parguera Bay, Turrumoto Reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4295","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4295","",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"3a31d09c-c0ae-4c75-a350-c0bfd555a483",NA,"August 1, 1959","",NA,NA,NA,"HOL-4295","",NA,"Echinodermata",NA,"","1959-08-01",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"Found dry in March 2007 by GCB.",NA,NA,"",NA,NA,"",NA,"","MCZ","Richard U. Gooding, Arthur G. Humes",NA,"PhysicalObject",NA,"",NA,"whole animal (dry)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-4295",NA,"Animalia",NA,"[no agent data]",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"379",NA,NA,"",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"324",NA,NA,NA,"2014-06-04 11:02:25.0","",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-26T00:42:04.681Z","","","parvula","","",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"40f4d068-4fdb-4c2c-b404-0d22c4b2e40a","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Western Central","",NA,NA,NA,"b0b9cd1929cc562283470f0c79fe72850a24eabc",NA,"",NA,"West Indies, Antigua, English Harbour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1336","Pacific Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1336","",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"40f4d068-4fdb-4c2c-b404-0d22c4b2e40a",NA,"[date unknown]","",NA,NA,NA,"HOL-1336","",NA,"Echinodermata",NA,"","1893-01-01/1893-12-31",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"","MCZ","Bahama Expedition  1893, Walter K. Fisher",NA,"PhysicalObject",NA,"",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-1336",NA,"Animalia",NA,"[no agent data]",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"342",NA,NA,NA,"2014-06-02 11:02:26.0","18.46908d",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.931086,"Jessica Anne Mullen",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-12T17:01:12.303Z","","Under rock fragments.","parvula","","",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"e9a21f3b-74b2-4c5f-b935-a70e66ca5fdf","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,"d7df16ad25e8b50c3036cfd29c0fa051a48cb603",NA,"",NA,"Jamaica, Bogue Island, Montego Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-923","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-923","GEOLocate",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"e9a21f3b-74b2-4c5f-b935-a70e66ca5fdf",NA,"March  1912","unverified",NA,NA,NA,"HOL-923","GEOLocate",NA,"Echinodermata",NA,"","1912-03-01/1912-03-31",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"-77.931086d","MCZ","Hubert Lyman Clark",NA,"PhysicalObject",NA,"",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-923",NA,"Animalia",NA,"[no agent data]",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,647,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,647,"decimal degrees",NA,NA,18.46908,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"607",NA,NA,NA,"2014-06-02 11:02:26.0","18.46908d",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.931086,"Jessica Anne Mullen",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-13T02:32:20.965Z","","Under surface of coral rock fragments.","parvula","","",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"251de3e8-824c-4ad6-9cac-44dd7565451f","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,"cd98735ca4db322af8529a22a58487b12ffcf6f5",NA,"",NA,"Jamaica, Bogue Island, Montego Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-909","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-909","GEOLocate",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"251de3e8-824c-4ad6-9cac-44dd7565451f",NA,"March  1912","unverified",NA,NA,NA,"HOL-909","GEOLocate",NA,"Echinodermata",NA,"","1912-03-01/1912-03-31",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"-77.931086d","MCZ","Hubert Lyman Clark",NA,"PhysicalObject",NA,"",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-909",NA,"Animalia",NA,"[no agent data]",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,647,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,647,"decimal degrees",NA,NA,18.46908,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"642",NA,NA,NA,"2014-05-14 09:47:32.0","18d 15m 52s N",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.7588888889,"Penny Benson",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-12T17:27:36.256Z","","","parvula","","",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"f0d9a9d2-73a4-4dbb-b025-7b3dcbc26ef6","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,"f4eccccef8b97f0bbc7f86fc1cf35af4a4ed87fc",NA,"",NA,"St. Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-570","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-570","Coordinates based on JH Blakes travel journal kept during the Hassler Expedition",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"f0d9a9d2-73a4-4dbb-b025-7b3dcbc26ef6",NA,"December 15-21, 1871","unverified",NA,NA,NA,"HOL-570","Google Earth",NA,"Echinodermata",NA,"Georeference based on reference to St. Thomas from Dec 14-24, 1871 (Penny Benson)","1871-12-15/1871-12-21",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"64d 45m 32s W","MCZ","Hassler Expedition",NA,"PhysicalObject",NA,"",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-570",NA,"Animalia",NA,"World Register of Marine Species",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"deg. min. sec.",NA,NA,18.2644444444,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"895",NA,NA,NA,"2014-05-28 15:02:26.0","24.621604d",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.984874,"Jessica Anne Mullen",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-12T18:29:39.305Z","","","parvula","","other number=587",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"4e473f1e-e30a-4275-9e9b-9e5bb722a770","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,"722f01f456c0e54a8fbd6bd090abdbf93bd7bf8c",NA,"",NA,"United States, Florida, The Tortugas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-568","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-568","GEOLocate",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"4e473f1e-e30a-4275-9e9b-9e5bb722a770",NA,"[date unknown]","unverified",NA,NA,NA,"HOL-568","GEOLocate",NA,"Echinodermata",NA,"","1700-01-01/2013-12-13",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"-82.984874d","MCZ","[no agent data]",NA,"PhysicalObject",NA,"",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-568",NA,"Animalia",NA,"[no agent data]",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,24916,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,24916,"decimal degrees",NA,NA,24.621604,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"915",NA,NA,NA,"2014-06-02 11:02:27.0","32.288889d",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.760556,"Jessica Anne Mullen",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-12T20:16:24.199Z","","","parvula","","",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"6bf39133-c1f3-46c6-9ab3-17376e0bc59b","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Eastern Central","",NA,NA,NA,"a754693d79f3358c0415cb8337b3867587c76c95",NA,"",NA,"Bermuda, Hungry Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1124","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1124","GEOLocate",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"6bf39133-c1f3-46c6-9ab3-17376e0bc59b",NA,"1914","unverified",NA,NA,NA,"HOL-1124","GEOLocate",NA,"Echinodermata",NA,"","1914-01-01/1914-12-31",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"-64.760556d","MCZ","William John Crozier",NA,"PhysicalObject",NA,"",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-1124",NA,"Animalia",NA,"[no agent data]",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,301,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,301,"decimal degrees",NA,NA,32.288889,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"1190",NA,NA,NA,"2014-06-02 15:02:26.0","32.316051d",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.759907,"Jessica Anne Mullen",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-12T22:55:58.947Z","","","parvula","","",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"0a53bae7-3194-4c4d-9099-21a0ca74d038","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,"cf4860a141c1cfd2c9b75965cffb70ba6955e7cd",NA,"",NA,"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2001","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2001","GEOLocate",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"0a53bae7-3194-4c4d-9099-21a0ca74d038",NA,"1939","unverified",NA,NA,NA,"HOL-2001","GEOLocate",NA,"Echinodermata",NA,"","1939-01-01/1939-12-31",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"-64.759907d","MCZ","Hubert Lyman Clark",NA,"PhysicalObject",NA,"",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-2001",NA,"Animalia",NA,"[no agent data]",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,19300,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,19300,"decimal degrees",NA,NA,32.316051,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"1205",NA,NA,NA,"2014-05-13 13:04:16.0","",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-12T16:55:11.819Z","","","parvula","","other number=67, 314",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"c39663d5-b0fc-4b54-8d09-f09e925f785e","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,"e56d4acfb9b1374d56684124066242693fe562e7",NA,"",NA,"United States: off Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-821","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-821","",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"c39663d5-b0fc-4b54-8d09-f09e925f785e",NA,"April 1858","",NA,NA,NA,"HOL-821","",NA,"Echinodermata",NA,"","1858-04-01/1858-04-30",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"","MCZ","G. W. Wurdemann",NA,"PhysicalObject",NA,"Syntype",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-821",NA,"Animalia",NA,"E. Selenka, World Register of Marine Species",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
"1519",NA,NA,NA,"2014-06-02 10:02:26.0","10.501238d",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.175583,"Jessica Anne Mullen",NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) parvula","2014-07-13T04:00:03.138Z","","","parvula","","",NA,NA,"Holothuriidae",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"61644418-6fb8-486e-b09f-e46e77dc4d76","President and Fellows of Harvard College",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,"7b50949f541729d90dfb1799e0c5afa777d52a04",NA,"",NA,"Venezuela, Cumana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,"en",NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-869","Atlantic Ocean",NA,NA,NA,"Holothuroidea",NA,"",NA,NA,NA,NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-869","GEOLocate",NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","PreservedSpecimen","Holothuria (Platyperona) parvula",NA,"61644418-6fb8-486e-b09f-e46e77dc4d76",NA,"1859","unverified",NA,NA,NA,"HOL-869","GEOLocate",NA,"Echinodermata",NA,"","1859-01-01/1859-12-31",NA,NA,NA,NA,"",NA,"(Selenka, 1867)",NA,"",NA,NA,"",NA,NA,"",NA,"-64.175583d","MCZ","Captain James Pitty Couthouy",NA,"PhysicalObject",NA,"",NA,"whole animal (70% ethanol)",NA,0,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"ICZN","MCZ:IZ:HOL-869",NA,"Animalia",NA,"[no agent data]",NA,NA,NA,NA,"Holothuria","Aspidochirotida",NA,9233,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,9233,"decimal degrees",NA,NA,10.501238,"Museum of Comparative Zoology, Harvard University",NA,"IZ"
