"","dwc.otherCatalogNumbers","inhs.formII_males","dwc.individualID","dwc.institutionID","inhs.juv_undetermined","dwc.dateIdentified","dwc.identificationQualifier","dwc.ownerInstitutionCode","inhs.formI_males","dwc.taxonID","dwc.member","dwc.individualCount","dcterms.rightsHolder","dwc.county","http...symbiota.org.terms.verbatimScientificName","dwc.nomenclaturalCode","dwc.taxonRank","dwc.samplingEffort","dwc.basisOfRecord","symbiota.verbatimScientificName","dwc.typeStatus","dwc.endDayOfYear","dwc.verbatimDepth","inhs.instars_Male","dcterms.bibliographicCitation","idigbio.uuid","dwc.establishmentMeans","dcterms.references","dwc.occurrenceRemarks","dwc.eventRemarks","idigbio.barcodeValue","dwc.informationWithheld","fcc.datePicked","dwc.dataGeneralizations","idigbio.associateDeterminedBy","idigbio.associateIdentifier","idigbio.subfamily","dwc.startDayOfYear","dwc.catalogNumber","fcc.subfamily","dwc.relatedResourceID","dwc.verbatimElevation","dwc.georeferencedBy","dwc.coordinatePrecision","dwc.identifiedBy","dwc.latestEraOrHighestErathem","inhs.total_Males","fcc.superfamily","idigbio.preparationCount","idigbio.recordId","idigbio.associateAuthor","dwc.decimalLatitude","idigbio.associateNotes","dwc.locality","dcterms.rights","dwc.fieldNotes","dwc.municipality","dwc.locationAccordingTo","dwc.maximumElevationInMeters","dwc.eventID","dwc.order","dwc.samplingProtocol","inhs.juv_males","dwc.datasetID","idigbio.etag","idigbio.determinationHistory","row.number","dwc.genus","inhs.live","inhs.juv_females","idigbio.version","inhs.locationTrs","inhs.superfamily","dwc.verbatimSRS","dwc.disposition","dwc.VerbatimEventDate","dwc.earliestEraOrLowestErathem","dwc.verbatimCoordinates","dwc.identificationID","dcterms.modified","dwc.day","dwc.countryCode","idigbio.recordIds","dwc.infraspecificEpithet","dwc.latestPeriodOrHighestSystem","dwc.group","idigbio.associateRelationship","idigbio.subgenus","inhs.relic","dwc.eventTime","dwc.recordNumber","dwc.taxonRemarks","dwc.verbatimCoordinateSystem","dwc.verbatimLatitude","dwc.formation","dwc.locationRemarks","dwc.minimumDepthInMeters","fcc.pickedBy","dwc.identificationReferences","dwc.verbatimLongitude","dwc.scientificNameID","dwc.specificEpithet","dwc.lifeStage","dwc.datasetName","dwc.minimumElevationInMeters","dwc.verbatimLocality","dwc.country","idigbio.tribe","dwc.coordinateUncertaintyInMeters","dwc.higherGeography","dwc.eventDate","dwc.georeferenceVerificationStatus","dcterms.language","dwc.occurrenceStatus","idigbio.associateCommonName","dwc.geodeticDatum","idigbio.preservative","dwc.scientificNameAuthorship","dwc.namePublishedInID","idigbio.endangeredStatus","inhs.formII_females","dwc.islandGroup","dwc.associatedTaxa","idigbio.associatedFamily","dwc.associatedSequences","dwc.latestEpochOrHighestSeries","dwc.earliestEpochOrLowestSeries","dwc.identificationRemarks","dwc.previousIdentifications","dwc.year","dwc.subgenus","inhs.location_Basin","dwc.dynamicProperties","dwc.originalNameUsage","inhs.location_RiverMile","dwc.habitat","dwc.georeferenceProtocol","idigbio.dateModified","inhs.dead","inhs.instars_Female","dwc.latestAgeOrHighestStage","id","dwc.verbatimTaxonRank","dwc.maximumDepthInMeters","dwc.identificationVerificationStatus","dwc.scientificName","dwc.rightsHolder","dwc.reproductiveCondition","dwc.sex","idigbio.associatedRelationship","dwc.associatedMedia","dwc.nameAccordingTo","dwc.associatedOccurrences","dwc.phylum","symbiotaverbatimScientificName","inhs.location_Stream","dwc.higherClassification","dwc.waterBody","idigbio.hostFamily","dwc.footprintWKT","dcterms.type","dwc.continent","dwc.island","dwc.bed","dwc.family","dwc.collectionCode","dwc.nomenclaturalStatus","dwc.earliestPeriodOrLowestSystem","dwc.verbatimEventDate","dwc.occurrenceID","dwc.lithostratigraphicTerms","inhs.total_females","inhs.vouchered","dwc.georeferenceSources","dwc.kingdom","dwc.preparations","dcterms.reference","dwc.rights","dwc.vernacularName","dwc.fieldNumber","dwc.behavior","dwc.georeferenceRemarks","dwc.preparation","dwc.month","idigbio.createdBy","dwc.lowestBiostratigraphicZone","dwc.namePublishedIn","dwc.accessRights","dwc.institutionCode","dwc.stateProvince","idigbio.recordID","dcterms.accessRights","dwc.locationID","dwc.decimalLongitude","dwc.associatedReferences","dwc.recordedBy","dcterms.source","dwc.earliestAgeOrLowestStage","dwc.class","idigbio.substrate","dwc.collectionID","dwc.georeferencedDate","idigbio.associateCondition"
"322","station number=778-38",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"018cd1b6-2e02-4c60-915e-a64ef2709e16",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1911",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-1911",NA,NA,NA,"",NA,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,NA,NA,"Costa Rica, Cocos Island, Chatham Bay",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"ec160729e8180925f7267ee0b92c64c0a2bb7b10",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-07-18 14:25:46.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,"",NA,"erinacea",NA,NA,NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central","1938-01-14",NA,"en",NA,NA,"",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","","2014-07-26T00:40:03.214Z",NA,NA,NA,"018cd1b6-2e02-4c60-915e-a64ef2709e16",NA,NA,"","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1911",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinacea","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"January 14, 1938","MCZ:IZ:HOL-1911",NA,NA,NA,"","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",NA,"","Hancock Pacific Expeditions, RV Velero III",NA,NA,"Holothuroidea",NA,NA,NA,NA
"359","station number=803-38",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"317d40ac-0a15-4c13-9531-401eea5ade25",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1914",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-1914",NA,NA,NA,"",NA,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,NA,NA,"off Ecuador: Galapagos I., Charles Is., Black Beach",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"73c257c67cce639183c7c1109f6d4abc218420bf",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-07-02 13:06:13.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,"",NA,"erinacea",NA,NA,NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central","1934-01-30",NA,"en",NA,NA,"",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","","2014-07-12T19:51:44.903Z",NA,NA,NA,"317d40ac-0a15-4c13-9531-401eea5ade25",NA,NA,"","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1914",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinacea","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"January 30, 1934","MCZ:IZ:HOL-1914",NA,NA,NA,"","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",NA,"","RV Velero III, Hancock Pacific Expeditions",NA,NA,"Holothuroidea",NA,NA,NA,NA
"1248","station number=778-38",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"47e73b37-3f1f-4f30-a296-1e57ef4a2bd6",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1912",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-1912",NA,NA,NA,"",NA,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,NA,NA,"Costa Rica, Cocos Island, Chatham Bay",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"1a64aeac8d2763dfa21f695dfd8f95d12faa77e7",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-07-18 14:25:46.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,"",NA,"erinacea",NA,NA,NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central","1938-01-14",NA,"en",NA,NA,"",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","","2014-07-26T00:40:21.566Z",NA,NA,NA,"47e73b37-3f1f-4f30-a296-1e57ef4a2bd6",NA,NA,"","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1912",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinacea","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"January 14, 1938","MCZ:IZ:HOL-1912",NA,NA,NA,"","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",NA,"","Hancock Pacific Expeditions, RV Velero III",NA,NA,"Holothuroidea",NA,NA,NA,NA
"1475","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"ce95d40d-c038-4e64-823f-b89b80ea2562",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1360",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-1360",NA,NA,NA,"Jessica Anne Mullen",2966,"Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,-15.010556,NA,"Mozambique, Lumbo",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"7a0fb8f0ad6ca0ef44860c76ead2e7347fb2d9f9",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-05-28 15:02:26.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"decimal degrees","-15.010556d",NA,"",NA,NA,NA,"40.666389d",NA,"erinaceus",NA,NA,NA,NA,"",NA,2966,"Indian Ocean, Indian Ocean, Western","1918-10-01",NA,"en",NA,NA,"WGS84",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","GEOLocate","2014-06-18T04:55:23.433Z",NA,NA,NA,"ce95d40d-c038-4e64-823f-b89b80ea2562",NA,NA,"unverified","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1360",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinaceus","",NA,NA,"PhysicalObject","Indian Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"October 1, 1918","MCZ:IZ:HOL-1360",NA,NA,NA,"GEOLocate","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",40.666389,"","Arthur Loveridge",NA,NA,"Holothuroidea",NA,NA,NA,NA
"1482","other number=16",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"31290d57-eb43-4131-97e0-e983e9c9c4de",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-578",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-578",NA,NA,NA,"Jessica Anne Mullen",18118,"[no agent data]",NA,NA,NA,NA,NA,NA,11.167626,NA,"Republic of the Philippines, Cebu, Bantayan Reef",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"412cde57ac6df3695ec70c8d823d8648a7e7ee15",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-06-13 14:59:27.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"decimal degrees","11.167626d",NA,"",7.3152,NA,NA,"123.722643d",NA,"erinacea",NA,NA,NA,NA,"",NA,18118,"Pacific Ocean, Pacific, Western Central","1909-04-01",NA,"en",NA,NA,"WGS84",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"age class: adult; age class: young",NA,NA,"","GEOLocate","2014-07-12T23:12:03.894Z",NA,NA,NA,"31290d57-eb43-4131-97e0-e983e9c9c4de",NA,10.9728,"unverified","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-578",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinacea","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"April 1909","MCZ:IZ:HOL-578",NA,NA,NA,"GEOLocate","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",123.722643,"","Dr. Lawrence E. Griffin, Philippine Marine Biological Station",NA,NA,"Holothuroidea",NA,NA,NA,NA
"1507","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"4617b91b-97bd-4659-bf0a-3b75d6f3f86e",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-664",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-664",NA,NA,NA,"",NA,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador: Galapagos Islands",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"19ab3ef1cb4e187afca0d07e5b722b15392ee964",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-05-12 11:02:26.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,"",NA,"erinaceus",NA,NA,NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central","1898-01-01/1898-12-31",NA,"en",NA,NA,"",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","","2014-07-13T04:39:22.741Z",NA,NA,NA,"4617b91b-97bd-4659-bf0a-3b75d6f3f86e",NA,NA,"","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-664",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinaceus","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"1898","MCZ:IZ:HOL-664",NA,NA,NA,"","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",NA,"","Hubert Lyman Clark, Hopkins-Stanford Galapagos Expedition 1898-99",NA,NA,"Holothuroidea",NA,NA,NA,NA
"1804","station number=782-38",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"91d22649-0bfe-4c56-beec-9874b155c703",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1913",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-1913",NA,NA,NA,"Penny Benson",832,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,0.310934,NA,"Ecuador: Galapagos, Genovesa Island, Darwin Bay",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"de1720ad55768c3500aeddb017e75cb8a49470ba",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-07-29 12:13:34.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"decimal degrees","0.310934d",NA,"",NA,NA,NA,"-89.954333d",NA,"erinacea",NA,NA,NA,NA,"",NA,832,"Pacific Ocean, Pacific, Southeast","1938-01-16",NA,"en",NA,NA,"WGS84",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","GEOLocate","2014-08-04T20:18:08.985Z",NA,NA,NA,"91d22649-0bfe-4c56-beec-9874b155c703",NA,NA,"unverified","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1913",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinacea","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"January 16, 1938","MCZ:IZ:HOL-1913",NA,NA,NA,"GEOLocate","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",-89.954333,"","RV Velero III, Hancock Pacific Expeditions",NA,NA,"Holothuroidea",NA,NA,NA,NA
"1832","station number=847-38",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"5b3f0b03-2481-4087-9e6b-e868876a9567",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1915",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-1915",NA,NA,NA,"",NA,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,NA,NA,"off Peru: 9 1/2 miles S. of Zorritos Lt.",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"cedfc7050b14d61039525f705be2e4565a2cc5ea",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-07-02 13:06:13.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,"",NA,"erinacea",NA,NA,NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central","1938-02-16",NA,"en",NA,NA,"",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","","2014-07-12T13:40:38.082Z",NA,NA,NA,"5b3f0b03-2481-4087-9e6b-e868876a9567",NA,NA,"","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1915",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinacea","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"February 16, 1938","MCZ:IZ:HOL-1915",NA,NA,NA,"","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",NA,"","RV Velero III, Hancock Pacific Expeditions",NA,NA,"Holothuroidea",NA,NA,NA,NA
"2091","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"65d5191e-893f-49b3-9dd1-4da7c96fca10",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-666",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-666",NA,NA,NA,"Andrew D. Williston",20817,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,-0.253121,NA,"Ecuador: Galápagos Archipelago, James Island",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"9c171df86db33d2c52310fe6586a8664f49d6484",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-05-12 11:06:43.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"decimal degrees","-0.253121d",NA,"",NA,NA,NA,"-90.930267d",NA,"erinaceus",NA,NA,NA,NA,"",NA,20817,"Pacific Ocean, Pacific, Southeast","1872-06-15/1872-06-16",NA,"en",NA,NA,"WGS84",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","GEOLocate","2014-07-12T13:16:23.892Z",NA,NA,NA,"65d5191e-893f-49b3-9dd1-4da7c96fca10",NA,NA,"migration","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-666",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinaceus","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"June 15-16, 1872","MCZ:IZ:HOL-666",NA,NA,NA,"J.H. Blake Hassler expedition Journal","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"Georeferenced for Hassler Expedition passage through Galapagos (Isla Santiago)",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",-90.930267,"","Hassler Expedition",NA,NA,"Holothuroidea",NA,NA,NA,NA
"2377","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,1,"President and Fellows of Harvard College","",NA,"ICZN",NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,NA,"ce362bf9-7918-4870-8b31-e9c66da624a5",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1947",NA,"",NA,NA,NA,NA,NA,NA,NA,0,"HOL-1947",NA,NA,NA,"",NA,"World Register of Marine Species, Elisabeth Deichmann",NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador: Galapagos, Tower Island",NA,NA,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"bc5020579e05b7a9706390a8fc575936fb4e6e60",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,"2014-05-12 11:02:26.0",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,"",NA,"erinaceus",NA,NA,NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Southeast","1925-02-01/1925-08-31",NA,"en",NA,NA,"",NA,"Semper, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","","2014-07-13T02:13:47.943Z",NA,NA,NA,"ce362bf9-7918-4870-8b31-e9c66da624a5",NA,NA,"","Holothuria (Selenkothuria) erinaceus",NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1947",NA,"","Echinodermata",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) erinaceus","",NA,NA,"PhysicalObject","Pacific Ocean",NA,NA,"Holothuriidae","IZ",NA,NA,"February- August 1925","MCZ:IZ:HOL-1947",NA,NA,NA,"","Animalia","whole animal (70% ethanol)",NA,NA,NA,"",NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"MCZ","",NA,NA,"",NA,"","William Beebe, Arcturus Oceanographic Expedition",NA,NA,"Holothuroidea",NA,NA,NA,NA
