"","dwc.rights","dwc.earliestEpochOrLowestSeries","inhs.instars_Male","dwc.eventDate","dwc.namePublishedInID","dwc.year","inhs.instars_Female","idigbio.associateDeterminedBy","dwc.behavior","dwc.order","dwc.identificationVerificationStatus","dwc.preparations","dwc.datasetID","dwc.coordinatePrecision","dwc.informationWithheld","dwc.identifiedBy","dcterms.source","idigbio.recordIds","dwc.catalogNumber","dwc.verbatimDepth","dwc.waterBody","inhs.live","dwc.establishmentMeans","dwc.otherCatalogNumbers","dwc.verbatimLocality","idigbio.recordID","dcterms.references","idigbio.barcodeValue","dwc.datasetName","dwc.lowestBiostratigraphicZone","idigbio.associatedFamily","dwc.earliestPeriodOrLowestSystem","dwc.identificationQualifier","dcterms.rightsHolder","idigbio.createdBy","dwc.individualID","dcterms.reference","inhs.formI_males","idigbio.associateCommonName","dwc.individualCount","dwc.taxonRank","idigbio.preparationCount","dwc.vernacularName","dwc.georeferenceRemarks","dwc.lithostratigraphicTerms","dwc.earliestEraOrLowestErathem","dwc.endDayOfYear","fcc.superfamily","dwc.maximumDepthInMeters","dwc.basisOfRecord","dwc.verbatimElevation","idigbio.associateIdentifier","dwc.latestEraOrHighestErathem","dwc.eventRemarks","fcc.datePicked","dwc.lifeStage","dwc.locationRemarks","fcc.subfamily","dwc.geodeticDatum","dwc.family","dwc.georeferenceVerificationStatus","dwc.class","dwc.verbatimTaxonRank","dcterms.language","inhs.vouchered","dwc.georeferencedDate","dwc.dynamicProperties","dwc.minimumDepthInMeters","idigbio.preservative","dwc.associatedMedia","idigbio.endangeredStatus","dwc.kingdom","row.number","idigbio.uuid","dwc.nomenclaturalStatus","dwc.occurrenceStatus","dwc.namePublishedIn","dwc.scientificNameID","dwc.verbatimCoordinateSystem","dwc.preparation","dwc.previousIdentifications","dwc.footprintWKT","dwc.specificEpithet","dwc.decimalLongitude","idigbio.determinationHistory","idigbio.associatedRelationship","dwc.verbatimLongitude","inhs.formII_females","dwc.associatedOccurrences","inhs.relic","dwc.country","dwc.georeferenceProtocol","inhs.location_Basin","inhs.juv_females","dwc.month","dwc.taxonRemarks","dwc.accessRights","idigbio.associateNotes","dwc.formation","idigbio.version","dwc.stateProvince","inhs.dead","dwc.fieldNotes","idigbio.associateRelationship","dwc.continent","dwc.countryCode","dwc.recordedBy","dwc.latestEpochOrHighestSeries","dwc.associatedSequences","dwc.minimumElevationInMeters","dcterms.rights","dwc.samplingEffort","dwc.maximumElevationInMeters","dwc.higherClassification","http...symbiota.org.terms.verbatimScientificName","dwc.identificationRemarks","idigbio.subgenus","dwc.bed","dwc.verbatimCoordinates","dwc.ownerInstitutionCode","dwc.member","dwc.subgenus","fcc.pickedBy","inhs.location_Stream","dwc.latestPeriodOrHighestSystem","dwc.institutionCode","dwc.recordNumber","dcterms.type","dwc.habitat","idigbio.subfamily","dwc.latestAgeOrHighestStage","idigbio.substrate","dwc.fieldNumber","dwc.verbatimEventDate","idigbio.associateAuthor","idigbio.etag","dwc.georeferenceSources","dwc.phylum","dcterms.bibliographicCitation","dwc.VerbatimEventDate","symbiota.verbatimScientificName","dwc.locality","dwc.higherGeography","idigbio.tribe","dwc.genus","dwc.samplingProtocol","dwc.georeferencedBy","id","dwc.collectionCode","dwc.locationID","inhs.total_females","inhs.juv_males","dwc.locationAccordingTo","dwc.nomenclaturalCode","symbiotaverbatimScientificName","dwc.startDayOfYear","dwc.collectionID","dwc.eventID","dwc.associatedTaxa","dwc.occurrenceRemarks","dwc.identificationReferences","dwc.decimalLatitude","dwc.scientificName","dwc.dataGeneralizations","dwc.sex","dwc.dateIdentified","dwc.eventTime","dwc.identificationID","dwc.rightsHolder","dwc.associatedReferences","dwc.county","dwc.originalNameUsage","dwc.disposition","dwc.verbatimLatitude","dwc.municipality","dwc.verbatimSRS","dwc.relatedResourceID","dwc.occurrenceID","inhs.superfamily","dwc.coordinateUncertaintyInMeters","dwc.earliestAgeOrLowestStage","dwc.taxonID","dwc.infraspecificEpithet","dwc.nameAccordingTo","inhs.juv_undetermined","dwc.island","idigbio.hostFamily","idigbio.associateCondition","dwc.institutionID","inhs.formII_males","inhs.locationTrs","dwc.day","inhs.total_Males","dwc.group","dwc.scientificNameAuthorship","dwc.reproductiveCondition","dcterms.modified","idigbio.dateModified","dwc.islandGroup","inhs.location_RiverMile","dwc.typeStatus","idigbio.recordId","dcterms.accessRights"
"36",NA,NA,NA,"1896-01-01/1896-12-31",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"[no agent data]",NA,NA,"HOL-609","","",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-609",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-609",NA,"Animalia",NA,"3971bfc4-c997-413d-b143-5db4489deb06",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"Hubert Lyman Clark",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","1896",NA,"729ffd010583d22564b70dc6dc92e6660a34be18","","Echinodermata",NA,NA,NA,"Jamaica: Port Henderson","Atlantic Ocean, Atlantic, Western Central",NA,"Holothuria","","","3971bfc4-c997-413d-b143-5db4489deb06","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:HOL-609",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2014-02-10 16:02:29.0","2014-07-13T02:25:41.060Z",NA,NA,"",NA,NA
"65",NA,NA,NA,"1808-01-01/1867-12-31",NA,NA,NA,NA,NA,"Aspidochirotida","unverified","whole animal (70% ethanol)",NA,3448,NA,"[no agent data]",NA,NA,"HOL-605","","Mediterranean Sea",NA,NA,"other number=626",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-605",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"WGS84","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-605",NA,"Animalia",NA,"59d60930-3a46-40e6-9c66-c671074b480e",NA,NA,NA,NA,"decimal degrees",NA,NA,NA,"glaberrima",7.267073,NA,NA,"7.267073d",NA,"",NA,"","GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"Jacques Burkhardt",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","1808-1867",NA,"61ec29a4ef79470ea693d9141d7b1034a4523d7e","GEOLocate","Echinodermata",NA,NA,NA,"France, Nice","Mediterranean and Black Sea, Mediterranean Sea",NA,"Holothuria","","Jessica Anne Mullen","59d60930-3a46-40e6-9c66-c671074b480e","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,43.662502,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","43.662502d",NA,NA,NA,"MCZ:IZ:HOL-605",NA,3448,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2014-06-27 10:54:49.0","2014-07-12T14:13:25.930Z",NA,NA,"",NA,NA
"313",NA,NA,NA,"1928-05-20",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"[no agent data]",NA,NA,"HOL-1400","","",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1400",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1400",NA,"Animalia",NA,"e52e09ee-e03e-46df-9d77-bc6dddfacc8c",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"T. Steir",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","1928-05-20",NA,"d0c06f5e769abe77032054928b6d4707ea0d3ff7","","Echinodermata",NA,NA,NA,"Cuba: Gavilan","Atlantic Ocean, Atlantic, Western Central",NA,"Holothuria","","","e52e09ee-e03e-46df-9d77-bc6dddfacc8c","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:HOL-1400",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2014-02-10 16:02:28.0","2014-02-28T07:43:49.176Z",NA,NA,"",NA,NA
"336",NA,NA,NA,"1700-01-01/2014-04-02",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"[no agent data]",NA,NA,"28866","","",NA,NA,"station number=321",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:28866",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:28866",NA,"Animalia",NA,"17351934-fe07-45e3-821b-c3b5fe520223",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"[no higher geography data]",NA,"RV John E Pillsbury, Rosenstiel School of Marine and Atmospheric Science, University of Miami",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","[date unknown]",NA,"73af284277833c30ac6388b46cce86ee9b177793","","Echinodermata",NA,NA,NA,"[no specific locality]","[no higher geography data], null",NA,"Holothuria","","","17351934-fe07-45e3-821b-c3b5fe520223","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:28866",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2014-06-10 16:59:13.0","2014-07-12T19:54:19.481Z",NA,NA,"",NA,NA
"356",NA,NA,NA,"1700-01-01/2013-12-31",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"[no agent data]",NA,NA,"HOL-1419","","",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1419",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1419",NA,"Animalia",NA,"0bd1c653-38df-4dde-8c9d-440d9e0dc6c3",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"T. Steir",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","[date unknown]",NA,"bf17635b75b8ed88ddad075c5f7cb8c395ad20ca","","Echinodermata",NA,NA,NA,"Cuba: Don Bruno","Atlantic Ocean, Atlantic, Western Central",NA,"Holothuria","","","0bd1c653-38df-4dde-8c9d-440d9e0dc6c3","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:HOL-1419",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2014-02-10 16:02:28.0","2014-07-13T02:01:00.157Z",NA,NA,"",NA,NA
"615",NA,NA,NA,"1700-01-01/1867-12-31",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"World Register of Marine Species, E. Selenka",NA,NA,"HOL-606","","",NA,NA,"other number=468",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-606",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-606",NA,"Animalia",NA,"aad66fa1-8d2d-4544-93fc-914846cf39b5",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"E. Habich",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","Unknown",NA,"3c9581221a31b1eeac94eacae120865dd9f59725","","Echinodermata",NA,NA,NA,"[off Haiti]","Atlantic Ocean, Atlantic, Western Central",NA,"Holothuria","","","aad66fa1-8d2d-4544-93fc-914846cf39b5","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:HOL-606",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2013-06-18 15:17:42.0","2014-07-13T05:09:40.717Z",NA,NA,"Syntype",NA,NA
"906",NA,NA,NA,"1937-04-05",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"[no agent data]",NA,NA,"HOL-2155","","",NA,NA,"other number=13",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2155",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2155",NA,"Animalia",NA,"198b46d6-ecb6-453c-8236-ac2d0db0d0a3",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"Ramon Kenk",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","April 5, 1937",NA,"326322942ff1acffbb541e0762b2b39d80c55adc","","Echinodermata",NA,NA,NA,"Puerto Rico: East of San Juan, Boca de Congregos","Atlantic Ocean, Atlantic, Western Central",NA,"Holothuria","","","198b46d6-ecb6-453c-8236-ac2d0db0d0a3","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:HOL-2155",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2014-07-23 11:23:45.0","2014-07-26T00:39:51.729Z",NA,NA,"",NA,NA
"1195",NA,NA,NA,"1897-08-01/1897-08-31",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"Hubert Lyman Clark",NA,NA,"HOL-611","","",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-611",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-611",NA,"Animalia",NA,"4e6c1710-4226-4aed-9115-1cab3bddf4db",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"Hubert Lyman Clark",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","August 1897",NA,"74c556d9e33f40ce9d7f20e0335bb6a831ed9f0c","","Echinodermata",NA,NA,NA,"Jamaica, Port Antonio","Atlantic Ocean, Atlantic, Western Central",NA,"Holothuria","","","4e6c1710-4226-4aed-9115-1cab3bddf4db","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:HOL-611",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2014-01-21 16:02:30.0","2014-07-12T14:34:34.837Z",NA,NA,"",NA,NA
"1199",NA,NA,NA,"1865-05-01/1865-05-31",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"World Register of Marine Species, E. Selenka",NA,NA,"HOL-604","","",NA,NA,"other number=12, 13 318, 410, 609",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-604",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-604",NA,"Animalia",NA,"cfbee814-6747-4a20-83c7-0992bc4a2d87",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"[no agent data]",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","Unknown",NA,"219a33bba34d556fee2be830172fdf440038e00e","","Echinodermata",NA,NA,NA,"Jeremie [off Haiti]","Atlantic Ocean, Atlantic, Western Central",NA,"Holothuria","","","cfbee814-6747-4a20-83c7-0992bc4a2d87","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:HOL-604",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2013-06-18 15:17:42.0","2014-07-13T02:55:53.377Z",NA,NA,"Syntype",NA,NA
"1223",NA,NA,NA,"1700-01-01/2014-04-02",NA,NA,NA,NA,NA,"Aspidochirotida","","whole animal (70% ethanol)",NA,NA,NA,"[no agent data]",NA,NA,"28868","","",NA,NA,"station number=570",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:28868",NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,"",NA,"","Holothuriidae",NA,"Holothuroidea",NA,"en",NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:28868",NA,"Animalia",NA,"904a866a-79d1-496c-be63-e9db30ff4d40",NA,NA,NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"[no higher geography data]",NA,"RV John E Pillsbury, Rosenstiel School of Marine and Atmospheric Science, University of Miami",NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) glaberrima",NA,"",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,"MCZ","","PhysicalObject","",NA,NA,NA,"","[date unknown]",NA,"0d27575da0bbe42b7bdbfe80dd7b7d549b1b7965","","Echinodermata",NA,NA,NA,"[no specific locality]","[no higher geography data], null",NA,"Holothuria","","","904a866a-79d1-496c-be63-e9db30ff4d40","IZ","",NA,NA,NA,"ICZN",NA,0,NA,NA,NA,NA,NA,NA,"Holothuria (Selenkothuria) glaberrima",NA,"","",NA,NA,NA,"","",NA,"not applicable","",NA,NA,NA,"MCZ:IZ:28868",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"Selenka, 1867",NA,"2014-06-10 16:59:13.0","2014-07-12T23:00:17.510Z",NA,NA,"",NA,NA
