"","dwc.individualCount","dcterms.reference","dwc.minimumElevationInMeters","dwc.georeferenceRemarks","dwc.kingdom","dwc.sex","dwc.identifiedBy","dcterms.bibliographicCitation","dwc.lifeStage","dwc.nameAccordingTo","dwc.preparations","dwc.occurrenceStatus","dwc.class","dwc.ownerInstitutionCode","dwc.latestEpochOrHighestSeries","dwc.earliestPeriodOrLowestSystem","dwc.waterBody","dwc.associatedMedia","idigbio.dateModified","dwc.vernacularName","dwc.verbatimEventDate","dwc.month","dwc.recordedBy","dcterms.accessRights","idigbio.recordID","dwc.rightsHolder","dwc.taxonRemarks","dwc.identificationRemarks","dwc.verbatimSRS","dwc.nomenclaturalStatus","dwc.collectionID","dwc.occurrenceID","inhs.dead","fcc.datePicked","dwc.taxonID","dwc.behavior","idigbio.associateAuthor","dwc.locationRemarks","dwc.locationID","idigbio.associateDeterminedBy","dwc.associatedOccurrences","dwc.family","dwc.county","dwc.earliestAgeOrLowestStage","dwc.dateIdentified","dwc.stateProvince","dwc.group","dwc.institutionID","fcc.subfamily","idigbio.preparationCount","dwc.maximumElevationInMeters","inhs.locationTrs","inhs.location_RiverMile","dwc.samplingEffort","dwc.georeferenceProtocol","dwc.individualID","dwc.specificEpithet","dwc.georeferencedDate","idigbio.substrate","dwc.coordinateUncertaintyInMeters","dwc.samplingProtocol","dwc.namePublishedInID","dwc.day","idigbio.preservative","dwc.year","dwc.infraspecificEpithet","idigbio.tribe","dwc.disposition","dwc.verbatimElevation","inhs.instars_Male","dwc.footprintWKT","dwc.typeStatus","dwc.continent","inhs.juv_undetermined","idigbio.createdBy","dwc.lowestBiostratigraphicZone","inhs.formII_males","dwc.associatedSequences","idigbio.etag","dwc.municipality","dcterms.source","dwc.catalogNumber","idigbio.uuid","idigbio.hostFamily","dwc.verbatimCoordinates","dwc.eventTime","dwc.occurrenceRemarks","idigbio.determinationHistory","dwc.collectionCode","dwc.eventID","dcterms.rightsHolder","dwc.earliestEpochOrLowestSeries","dwc.subgenus","idigbio.subfamily","dwc.dynamicProperties","dwc.latestEraOrHighestErathem","fcc.superfamily","dwc.member","dwc.island","idigbio.endangeredStatus","idigbio.associatedFamily","dwc.startDayOfYear","dwc.higherGeography","dcterms.type","dwc.verbatimTaxonRank","idigbio.barcodeValue","dwc.decimalLatitude","dwc.informationWithheld","fcc.pickedBy","dwc.georeferenceSources","dwc.fieldNumber","dwc.scientificNameID","dwc.locationAccordingTo","dwc.dataGeneralizations","idigbio.associatedRelationship","dwc.relatedResourceID","dwc.verbatimDepth","dwc.georeferenceVerificationStatus","idigbio.associateNotes","dwc.preparation","inhs.total_Males","inhs.total_females","dcterms.references","dwc.identificationVerificationStatus","dwc.countryCode","dwc.associatedTaxa","dwc.earliestEraOrLowestErathem","idigbio.recordIds","dwc.datasetID","dwc.basisOfRecord","dwc.scientificNameAuthorship","symbiota.verbatimScientificName","dcterms.modified","inhs.superfamily","dcterms.language","idigbio.subgenus","dwc.latestAgeOrHighestStage","dwc.endDayOfYear","dwc.country","inhs.location_Stream","inhs.live","dwc.associatedReferences","inhs.vouchered","id","idigbio.associateRelationship","dwc.institutionCode","dwc.VerbatimEventDate","dcterms.rights","dwc.rights","dwc.habitat","inhs.formI_males","dwc.eventRemarks","dwc.lithostratigraphicTerms","dwc.accessRights","inhs.juv_females","idigbio.associateCondition","dwc.bed","dwc.maximumDepthInMeters","dwc.eventDate","dwc.islandGroup","dwc.verbatimLatitude","dwc.verbatimLocality","dwc.scientificName","idigbio.associateCommonName","dwc.latestPeriodOrHighestSystem","idigbio.associateIdentifier","dwc.reproductiveCondition","symbiotaverbatimScientificName","idigbio.version","dwc.phylum","dwc.verbatimCoordinateSystem","dwc.identificationQualifier","dwc.higherClassification","dwc.identificationID","inhs.relic","dwc.locality","idigbio.recordId","dwc.otherCatalogNumbers","dwc.minimumDepthInMeters","dwc.identificationReferences","dwc.datasetName","dwc.order","dwc.decimalLongitude","dwc.namePublishedIn","dwc.taxonRank","row.number","dwc.establishmentMeans","inhs.juv_males","dwc.geodeticDatum","inhs.formII_females","dwc.previousIdentifications","dwc.fieldNotes","inhs.location_Basin","dwc.genus","dwc.georeferencedBy","dwc.formation","dwc.nomenclaturalCode","dwc.originalNameUsage","inhs.instars_Female","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimLongitude","dwc.coordinatePrecision","dwc.recordNumber"
"31",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-654","2014-07-12T13:09:06.509Z",NA,"unknown",NA,"Henry Edwards",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-654",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"6fe29ef2fc069869b165ba953561365fadfc47d3",NA,NA,"HOL-654","ff15b004-631d-4af0-9e56-96b84fe50647",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-654","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 11:02:27.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"ff15b004-631d-4af0-9e56-96b84fe50647",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1800-01-01/1950-01-01",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico: Mazatlan, off Sinaloa",NA,"other number=1489",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"71",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-656","2014-07-13T02:55:23.624Z",NA,"1862",NA,"C. F. Davis",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-656",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Central America",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"4b3a591d2f028b9d1b53c67a9e29cbbafd917eab",NA,NA,"HOL-656","d0e9a50e-5f2f-4337-bad3-d4487b8a2ebd",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Central America, Panama","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-656","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 15:39:39.0",NA,"en",NA,NA,NA,"Panama",NA,NA,"",NA,"d0e9a50e-5f2f-4337-bad3-d4487b8a2ebd",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1862-01-01/1862-12-31",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"off Panama",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"320",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1982","2014-05-28T21:46:34.633Z",NA,"March 7, 1937",NA,"Yacht Stranger, Milo Woodbridge Williams",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1982",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"unknown",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"77c41b10ede94d6f0969cb198adcbbca3a5e8806",NA,NA,"HOL-1982","bf6d8436-ff07-44e0-a2d5-c59bda98a0db",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,18.7666666667,NA,NA,"Unknown","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1982","unknown",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-09 10:02:27.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"bf6d8436-ff07-44e0-a2d5-c59bda98a0db",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1937-03-07",NA,"18d 46m 0s N",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","deg. min. sec.",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico: Socorro Island. Grayon Cove",NA,"",NA,NA,NA,"Aspidochirotida",-111.7,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,"Holothuria","[no agent data]",NA,"ICZN",NA,NA,NA,"111d 42m 0s W",NA,""
"323",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1905","2014-07-26T00:41:32.752Z",NA,"January 14, 1938",NA,"Hancock Pacific Expeditions, RV Velero III",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1905",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"8bdac6784f3ae034bba59b1379e28f10132b5313",NA,NA,"HOL-1905","015e00de-d539-4cb6-a353-2da8ba8deb99",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1905","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-07-18 14:25:46.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"015e00de-d539-4cb6-a353-2da8ba8deb99",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1938-01-14",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Costa Rica, Cocos Island, Chatham Bay",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"594",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1908","2014-07-12T13:45:36.409Z",NA,"March 8, 1938",NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1908",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"df32a63ef9e91824de0fcf7b8d0290279c084fe8",NA,NA,"HOL-1908","c22ee9e3-1a8a-4b7d-8041-2da39764c873",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1908","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-07-02 13:06:13.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"c22ee9e3-1a8a-4b7d-8041-2da39764c873",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,27.432,"1938-03-08",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico, Isabel Island",NA,"station number=870",18.288,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"657",1,NA,NA,"","Animalia","","World Register of Marine Species, E. Selenka",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-660","2014-07-22T07:50:44.863Z",NA,"January 26 1860",NA,"[no agent data]",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-660",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"Syntype","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"28f13ffcd9d14d4d8084ed399422ff7773805940",NA,NA,"HOL-660","53139813-73dd-49cf-8e19-2f1d382fc694",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-660","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2013-06-12 15:01:37.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"53139813-73dd-49cf-8e19-2f1d382fc694",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1860-01-26",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico, Acapulco",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"938",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1906","2014-07-12T22:48:24.202Z",NA,"January 22, 1935",NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1906",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"3a66ed1bea7b72b6a6e09bc4d5b24d9bdc6337f2",NA,NA,"HOL-1906","f28d44ae-96c8-4975-8f82-51c86c7d8a58",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1906","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-07-02 13:06:13.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"f28d44ae-96c8-4975-8f82-51c86c7d8a58",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1935-01-22",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Colombia, Gorgona Island",NA,"station number=853",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"1172",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1349","2014-05-28T21:17:49.053Z",NA,"April 11, 1911",NA,"USFC Steamer Albatross",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1349",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"53a1c5c908b54cc5d18fb2c708de56178d889938",NA,NA,"HOL-1349","46a6b946-e0f9-47f2-b12f-fb7c130549a6",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1349","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 12:13:18.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"46a6b946-e0f9-47f2-b12f-fb7c130549a6",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1911-04-11",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico, Gulf of California, Angel de le Guardia Island",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"1200",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1348","2014-07-12T12:47:18.090Z",NA,"1911",NA,"USFC Steamer Albatross",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1348",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Pacific Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"da60880338caff0c0a877ecd6ed2940a2d8c8a1a",NA,NA,"HOL-1348","8c01b751-5e5d-4dbb-bbf1-f7073631ddfa",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Pacific Ocean, Pacific, Eastern Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1348","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-07 12:06:24.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"8c01b751-5e5d-4dbb-bbf1-f7073631ddfa",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1911-01-01/1911-12-31",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Mexico, off Lower California",NA,"",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
"1228",1,NA,NA,"","Animalia","","[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"Holothuroidea","Museum of Comparative Zoology, Harvard University",NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4049","2014-07-13T01:49:31.471Z",NA,"[date unknown]",NA,"Grinnell College",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-4049",NA,NA,NA,NA,NA,"","",NA,"","Holothuriidae","",NA,"","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,NA,"",NA,"lubrica",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"not applicable",NA,NA,NA,"","Atlantic Ocean",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"144cb73b40a6c0e7863bfc25e27fd787fb8f138d",NA,NA,"HOL-4049","5d60a06b-b3f0-4888-bb8d-515c06308430",NA,"",NA,NA,NA,"IZ",NA,"President and Fellows of Harvard College",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,"Atlantic Ocean, Atlantic, Western Central","PhysicalObject",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4049","",NA,NA,NA,NA,NA,"PreservedSpecimen","Selenka, 1867",NA,"2014-05-09 11:02:26.0",NA,"en",NA,NA,NA,"",NA,NA,"",NA,"5d60a06b-b3f0-4888-bb8d-515c06308430",NA,"MCZ",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"1700-01-01/2014-05-09",NA,"",NA,"Holothuria (Selenkothuria) lubrica",NA,NA,NA,NA,NA,NA,"Echinodermata","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica",NA,NA,"Gulf of Mexico, Dog River",NA,"other number=P-482",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,"ICZN",NA,NA,NA,"",NA,""
