"","dwc.endDayOfYear","dwc.earliestPeriodOrLowestSystem","idigbio.barcodeValue","idigbio.createdBy","dwc.individualCount","dwc.country","dwc.identificationVerificationStatus","dwc.occurrenceID","inhs.total_Males","idigbio.associateCommonName","idigbio.dateModified","dwc.taxonRemarks","dwc.day","dwc.sex","dwc.earliestAgeOrLowestStage","dwc.nomenclaturalCode","inhs.location_RiverMile","idigbio.subfamily","dwc.subgenus","dwc.class","idigbio.associateNotes","dcterms.references","dwc.georeferenceVerificationStatus","dwc.order","dwc.kingdom","dwc.associatedTaxa","dwc.month","dcterms.rights","dwc.VerbatimEventDate","dwc.eventID","dwc.datasetName","dwc.footprintWKT","dwc.recordNumber","idigbio.endangeredStatus","idigbio.uuid","dwc.eventDate","dwc.verbatimCoordinateSystem","inhs.juv_undetermined","dwc.recordedBy","dwc.latestEraOrHighestErathem","idigbio.recordIds","dwc.latestEpochOrHighestSeries","idigbio.etag","dwc.institutionID","inhs.juv_males","fcc.superfamily","dwc.specificEpithet","dwc.datasetID","dwc.scientificNameAuthorship","dwc.identificationQualifier","dwc.locationRemarks","dwc.minimumElevationInMeters","inhs.formII_males","dcterms.modified","idigbio.associatedRelationship","dwc.infraspecificEpithet","inhs.locationTrs","inhs.superfamily","dwc.associatedOccurrences","dwc.verbatimSRS","dwc.locality","dwc.nomenclaturalStatus","dwc.habitat","dwc.reproductiveCondition","dwc.institutionCode","dwc.year","dwc.fieldNotes","dwc.county","dwc.latestPeriodOrHighestSystem","dcterms.rightsHolder","dwc.verbatimElevation","inhs.dead","inhs.live","dwc.relatedResourceID","dwc.minimumDepthInMeters","dwc.latestAgeOrHighestStage","dcterms.reference","dcterms.language","dwc.formation","dwc.ownerInstitutionCode","dwc.rightsHolder","dwc.lithostratigraphicTerms","dwc.nameAccordingTo","http...symbiota.org.terms.verbatimScientificName","dwc.startDayOfYear","dwc.countryCode","dwc.establishmentMeans","idigbio.associatedFamily","dwc.scientificNameID","dwc.geodeticDatum","dwc.samplingProtocol","idigbio.associateAuthor","dwc.scientificName","dwc.behavior","dwc.verbatimDepth","dwc.occurrenceRemarks","dwc.otherCatalogNumbers","dwc.eventRemarks","dwc.municipality","dwc.occurrenceStatus","dwc.georeferencedDate","dcterms.source","dwc.group","inhs.instars_Female","dwc.fieldNumber","dwc.georeferenceSources","inhs.formI_males","dwc.informationWithheld","dwc.collectionCode","dwc.identificationID","dwc.phylum","dwc.higherGeography","dwc.previousIdentifications","dwc.identificationReferences","dcterms.accessRights","idigbio.associateIdentifier","dwc.associatedMedia","inhs.relic","symbiota.verbatimScientificName","dwc.bed","fcc.datePicked","dwc.verbatimLongitude","dwc.family","dwc.earliestEpochOrLowestSeries","dwc.verbatimCoordinates","inhs.formII_females","dwc.taxonID","dwc.dataGeneralizations","dwc.catalogNumber","inhs.vouchered","dwc.rights","dwc.genus","dwc.georeferenceRemarks","dwc.higherClassification","dwc.island","dwc.decimalLongitude","dwc.maximumDepthInMeters","dwc.stateProvince","idigbio.associateRelationship","idigbio.recordId","dwc.earliestEraOrLowestErathem","inhs.juv_females","idigbio.preparationCount","dwc.locationID","idigbio.version","dcterms.type","dwc.verbatimTaxonRank","idigbio.determinationHistory","inhs.total_females","idigbio.associateDeterminedBy","dwc.individualID","idigbio.preservative","inhs.instars_Male","idigbio.substrate","dwc.lifeStage","dwc.islandGroup","dcterms.bibliographicCitation","dwc.locationAccordingTo","dwc.basisOfRecord","dwc.verbatimLocality","dwc.georeferenceProtocol","fcc.pickedBy","dwc.continent","dwc.eventTime","dwc.identifiedBy","dwc.dynamicProperties","dwc.lowestBiostratigraphicZone","dwc.maximumElevationInMeters","dwc.associatedReferences","dwc.namePublishedIn","dwc.dateIdentified","dwc.samplingEffort","dwc.waterBody","dwc.collectionID","id","idigbio.subgenus","inhs.location_Basin","dwc.disposition","inhs.location_Stream","idigbio.associateCondition","dwc.georeferencedBy","fcc.subfamily","dwc.verbatimLatitude","row.number","dwc.member","dwc.taxonRank","dwc.accessRights","dwc.decimalLatitude","idigbio.tribe","dwc.associatedSequences","dwc.typeStatus","dwc.identificationRemarks","dwc.originalNameUsage","dwc.namePublishedInID","dwc.preparation","dwc.coordinatePrecision","symbiotaverbatimScientificName","dwc.preparations","dwc.vernacularName","dwc.coordinateUncertaintyInMeters","idigbio.recordID","dwc.verbatimEventDate","idigbio.hostFamily"
"20",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","","MCZ:IZ:HOL-4056",NA,NA,"2014-01-11T14:12:44.996Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4056",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"cb1c1ed1-3c7c-4422-b85f-35b733457439","1930-04-24","",NA,"Arthur G. Humes, Richard U. Gooding",NA,NA,NA,"3d0eefb9a838b07f153cccf3b1fe58cfd93eb0d2","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2013-01-10 11:11:11.0",NA,"",NA,NA,"",NA,"St. Kruis [Curacao]",NA,"in little pools on the rock",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4056",NA,NA,NA,NA,"","Holothuriidae",NA,"",NA,NA,NA,"HOL-4056",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"cb1c1ed1-3c7c-4422-b85f-35b733457439",NA,NA,"not applicable",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","Found dry on shelf by GCB in Feb. 2007.",NA,NA,NA,NA,NA,"whole animal (dry)",NA,NA,NA,"1930-04-24",NA
"85",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1177",NA,NA,"2014-08-04T20:15:08.621Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1177",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"0360669c-944c-487d-803c-ecc2b76c2063","1916-04-01/1916-04-30","decimal degrees",NA,"Hubert Lyman Clark, Carnegie Expedition",NA,NA,NA,"bab1431fb20b9b29f3fb023e371806fc96a7279c","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 14:02:27.0",NA,"",NA,NA,"",NA,"Trinidad and Tobago, Tobago: Buccoo reef",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1177",NA,NA,NA,NA,"-60.835592d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1177",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-60.835592,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"0360669c-944c-487d-803c-ecc2b76c2063",NA,NA,"not applicable",NA,NA,"Penny Benson",NA,"11.179396d",NA,NA,NA,NA,11.179396,NA,NA,"","",NA,NA,NA,1465,NA,"whole animal (70% ethanol)",NA,1465,NA,"April 1916",NA
"328",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-716",NA,NA,"2014-07-12T23:03:19.529Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-716",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"2b5880ed-3d2f-4fc3-9940-ce69a96b0d90","1871-12-15/1871-12-21","deg. min. sec.",NA,"Hassler Expedition",NA,NA,NA,"e070e6cea511da8d8371279c9b1b79d3b6a6c03c","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 12:02:27.0",NA,"",NA,NA,"",NA,"St. Thomas",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","Coordinates based on JH Blakes travel journal kept during the Hassler Expedition",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-716",NA,NA,NA,NA,"64d 45m 32s W","Holothuriidae",NA,"",NA,NA,NA,"HOL-716",NA,NA,"Holothuria","Georeference based on reference to St. Thomas from Dec 14-24, 1871 (Penny Benson)","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.7588888889,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"Google Earth",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"2b5880ed-3d2f-4fc3-9940-ce69a96b0d90",NA,NA,"not applicable",NA,NA,"Penny Benson",NA,"18d 15m 52s N",NA,NA,NA,NA,18.2644444444,NA,NA,"","",NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,"December 15-21, 1871",NA
"609",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1125",NA,NA,"2014-07-12T21:27:54.768Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1125",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"b1e738ef-8324-4c7f-8ddb-1eff151bf980","1700-01-01/2014-06-18","decimal degrees",NA,"[no agent data]",NA,NA,NA,"60864ea92faca14e707c591b537c28db77928e5c","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 14:02:26.0",NA,"",NA,NA,"",NA,"Bermuda",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1125",NA,NA,NA,NA,"-64.770206d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1125",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.770206,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"b1e738ef-8324-4c7f-8ddb-1eff151bf980",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"32.335778d",NA,NA,NA,NA,32.335778,NA,NA,"","",NA,NA,NA,13804,NA,"whole animal (70% ethanol)",NA,13804,NA,"[date unknown]",NA
"614",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1160",NA,NA,"2014-07-12T19:17:57.486Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1160",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"4c3305d9-57c3-4d9f-8f60-20531348731e","1915-01-01/1915-12-31","decimal degrees",NA,"William John Crozier, Bermuda Institute of Ocean Sciences",NA,NA,NA,"08859737220567ef18ca61f15cace21f1d8eb924","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 14:02:26.0",NA,"",NA,NA,"",NA,"Bermuda, Soncy",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1160",NA,NA,NA,NA,"-64.787373d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1160",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.787373,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"4c3305d9-57c3-4d9f-8f60-20531348731e",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"32.328816d",NA,NA,NA,NA,32.328816,NA,NA,"","",NA,NA,NA,13784,NA,"whole animal (70% ethanol)",NA,13784,NA,"1915",NA
"641",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-4055",NA,NA,"2014-07-12T16:03:48.960Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4055",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"08479519-baf7-422f-bf76-7b6849257e10","1956-03-01/1956-03-31","decimal degrees",NA,"Travassos and Filho",NA,NA,NA,"db4ae63a539cd1cebbcf897fdd813f860cbdc900","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-25 09:02:26.0",NA,"",NA,NA,"",NA,"Brazil, Rio de Janeiro, Angra dos Reis",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"other number=259","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Southwest",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4055",NA,NA,NA,NA,"-44.311673d","Holothuriidae",NA,"",NA,NA,NA,"HOL-4055",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-44.311673,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"08479519-baf7-422f-bf76-7b6849257e10",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"-22.998104d",NA,NA,NA,NA,-22.998104,NA,NA,"","",NA,NA,NA,7507,NA,"whole animal (70% ethanol)",NA,7507,NA,"March 1956",NA
"913",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1064",NA,NA,"2014-07-13T04:00:25.229Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1064",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"1098",NA,"9e4cfb5a-2bc0-40f7-9e95-05124a3940c9","1911-06-29","decimal degrees",NA,"A.O. Gross, Bermuda Institute of Ocean Sciences",NA,NA,NA,"7d41052c5eaa356696f93ba6f3c0b6d342acc901","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 13:02:26.0",NA,"",NA,NA,"",NA,"Bermuda, Fairyland Bay",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"collector number=1098","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1064",NA,NA,NA,NA,"-64.804024d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1064",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.804024,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"9e4cfb5a-2bc0-40f7-9e95-05124a3940c9",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"32.295738d",NA,NA,NA,NA,32.295738,NA,NA,"","",NA,NA,NA,720,NA,"whole animal (70% ethanol)",NA,720,NA,"June 29, 1911",NA
"922",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1176",NA,NA,"2014-08-04T20:16:10.447Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1176",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"5bfd4503-2ef9-4b4e-abd0-d5bd695e3613","1916-04-01/1916-04-30","decimal degrees",NA,"Hubert Lyman Clark, Carnegie Expedition",NA,NA,NA,"c4bcbc7b569065a14f53fc4d707811aa64370886","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 14:02:26.0",NA,"",NA,NA,"",NA,"Trinidad and Tobago, Tobago: Buccoo reef",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1176",NA,NA,NA,NA,"-60.835592d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1176",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-60.835592,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"Elisabeth Deichmann","",NA,NA,"",NA,"",NA,"",NA,"5bfd4503-2ef9-4b4e-abd0-d5bd695e3613",NA,NA,"not applicable",NA,NA,"Penny Benson",NA,"11.179396d",NA,NA,NA,NA,11.179396,NA,NA,"","",NA,NA,NA,1465,NA,"whole animal (70% ethanol)",NA,1465,NA,"April 1916",NA
"1218",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-517",NA,NA,"2014-07-13T05:13:08.394Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-517",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"fc5e27da-c36b-41c3-bd38-9f8cfbd468db","1700-01-01/2014-06-18","decimal degrees",NA,"[no agent data]",NA,NA,NA,"c7389f7c4d365700ab14ace279a2ecd375ba25f0","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 12:02:26.0",NA,"",NA,NA,"",NA,"United States, Florida, The Tortugas",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-517",NA,NA,NA,NA,"-82.984874d","Holothuriidae",NA,"",NA,NA,NA,"HOL-517",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-82.984874,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"fc5e27da-c36b-41c3-bd38-9f8cfbd468db",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"24.621604d",NA,NA,NA,NA,24.621604,NA,NA,"","",NA,NA,NA,24916,NA,"whole animal (70% ethanol)",NA,24916,NA,"[date unknown]",NA
"1239",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,"","unverified","MCZ:IZ:HOL-1252",NA,NA,"2014-07-12T17:58:05.200Z",NA,NA,"",NA,"ICZN",NA,NA,NA,"Holothuroidea",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1252",NA,"Aspidochirotida","Animalia",NA,NA,NA,NA,NA,NA,NA,"",NA,"92088083-a14e-4af2-a9cf-78829f78cc09","1700-01-01/2014-06-18","decimal degrees",NA,"[no agent data]",NA,NA,NA,"e7e62e7f1a5022fb812a77405f1b350f7acca775","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"surinamensis",NA,"Ludwig, 1875",NA,"",NA,NA,"2014-06-18 14:02:27.0",NA,"",NA,NA,"",NA,"Bermuda",NA,"",NA,"MCZ",NA,NA,"",NA,"President and Fellows of Harvard College",NA,NA,NA,NA,NA,NA,NA,"en",NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,0,NA,NA,NA,NA,"WGS84","",NA,"Holothuria (Semperothuria) surinamensis",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,"","GEOLocate",NA,NA,"IZ",NA,"Echinodermata","Atlantic Ocean, Atlantic, Western Central",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1252",NA,NA,NA,NA,"-64.770206d","Holothuriidae",NA,"",NA,NA,NA,"HOL-1252",NA,NA,"Holothuria","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) surinamensis",NA,-64.770206,NA,"",NA,NA,NA,NA,NA,"",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"GEOLocate",NA,"Atlantic Ocean",NA,"[no agent data]","",NA,NA,"",NA,"",NA,"",NA,"92088083-a14e-4af2-a9cf-78829f78cc09",NA,NA,"not applicable",NA,NA,"Jessica Anne Mullen",NA,"32.335778d",NA,NA,NA,NA,32.335778,NA,NA,"","",NA,NA,NA,13804,NA,"whole animal (70% ethanol)",NA,13804,NA,"[date unknown]",NA
