"","dwc.latestAgeOrHighestStage","dwc.georeferenceSources","idigbio.uuid","dwc.sex","dwc.relatedResourceID","dcterms.source","dwc.identificationID","dwc.waterBody","idigbio.preservative","dwc.stateProvince","dwc.earliestEpochOrLowestSeries","dwc.establishmentMeans","dwc.coordinateUncertaintyInMeters","symbiotaverbatimScientificName","dcterms.type","id","dwc.lowestBiostratigraphicZone","inhs.location_RiverMile","idigbio.substrate","inhs.live","dwc.behavior","dwc.island","dcterms.bibliographicCitation","dwc.identificationVerificationStatus","dwc.preparations","dwc.country","dwc.locality","row.number","dwc.associatedSequences","dwc.member","dwc.taxonRank","dwc.geodeticDatum","dwc.municipality","dwc.identifiedBy","dwc.verbatimDepth","inhs.location_Stream","dwc.coordinatePrecision","idigbio.preparationCount","dwc.collectionID","dwc.verbatimElevation","symbiota.verbatimScientificName","dwc.georeferencedBy","idigbio.associatedFamily","dwc.samplingEffort","dcterms.reference","dcterms.rightsHolder","dwc.infraspecificEpithet","dwc.eventRemarks","idigbio.subfamily","dwc.class","idigbio.version","idigbio.createdBy","idigbio.associateNotes","dwc.scientificNameID","dwc.recordNumber","dcterms.modified","dwc.eventID","dwc.verbatimCoordinates","dwc.identificationRemarks","dwc.recordedBy","dwc.identificationReferences","inhs.locationTrs","dwc.month","dwc.minimumElevationInMeters","dcterms.language","dwc.preparation","dwc.taxonID","idigbio.recordId","dwc.namePublishedIn","dwc.institutionCode","dwc.year","idigbio.tribe","dwc.associatedOccurrences","dwc.catalogNumber","dwc.occurrenceRemarks","dwc.rightsHolder","idigbio.associateIdentifier","dwc.originalNameUsage","dwc.VerbatimEventDate","dwc.kingdom","dwc.latestPeriodOrHighestSystem","dwc.bed","inhs.vouchered","dwc.collectionCode","dwc.datasetName","dwc.georeferenceProtocol","dwc.verbatimSRS","inhs.juv_undetermined","idigbio.endangeredStatus","dwc.identificationQualifier","idigbio.associateCondition","dwc.earliestEraOrLowestErathem","dwc.maximumElevationInMeters","dwc.lifeStage","idigbio.associateAuthor","fcc.subfamily","dwc.islandGroup","inhs.instars_Female","dwc.georeferencedDate","dwc.dateIdentified","dwc.verbatimLocality","dwc.specificEpithet","dwc.minimumDepthInMeters","inhs.total_females","idigbio.recordID","dwc.namePublishedInID","dwc.samplingProtocol","dwc.maximumDepthInMeters","dwc.previousIdentifications","dwc.taxonRemarks","dwc.occurrenceID","dwc.lithostratigraphicTerms","dwc.startDayOfYear","dwc.nomenclaturalStatus","dwc.individualID","dwc.verbatimEventDate","dwc.footprintWKT","idigbio.subgenus","idigbio.associateRelationship","dwc.institutionID","dwc.verbatimLatitude","dwc.nameAccordingTo","dwc.basisOfRecord","dwc.formation","dwc.dataGeneralizations","dwc.otherCatalogNumbers","dwc.latestEraOrHighestErathem","dwc.countryCode","inhs.dead","dwc.continent","inhs.formII_females","dwc.scientificName","dwc.individualCount","inhs.formI_males","dwc.day","dwc.associatedTaxa","dwc.georeferenceRemarks","idigbio.associateDeterminedBy","dwc.endDayOfYear","dwc.family","dwc.datasetID","dwc.vernacularName","dwc.habitat","dwc.nomenclaturalCode","dwc.decimalLatitude","inhs.total_Males","idigbio.associatedRelationship","idigbio.hostFamily","dwc.reproductiveCondition","dwc.earliestAgeOrLowestStage","dwc.scientificNameAuthorship","dwc.earliestPeriodOrLowestSystem","inhs.instars_Male","dwc.eventDate","idigbio.determinationHistory","dwc.ownerInstitutionCode","fcc.datePicked","dwc.locationID","dwc.locationRemarks","dwc.order","dwc.verbatimTaxonRank","dwc.eventTime","idigbio.dateModified","dwc.county","dcterms.rights","idigbio.barcodeValue","dwc.informationWithheld","dcterms.accessRights","dcterms.references","dwc.group","dwc.accessRights","fcc.pickedBy","idigbio.associateCommonName","inhs.relic","dwc.subgenus","dwc.dynamicProperties","inhs.location_Basin","dwc.georeferenceVerificationStatus","inhs.juv_females","inhs.juv_males","dwc.fieldNumber","dwc.higherGeography","dwc.latestEpochOrHighestSeries","dwc.associatedReferences","http...symbiota.org.terms.verbatimScientificName","idigbio.recordIds","dwc.occurrenceStatus","dwc.verbatimCoordinateSystem","dwc.decimalLongitude","dwc.locationAccordingTo","dwc.fieldNotes","inhs.formII_males","dwc.phylum","dwc.verbatimLongitude","dwc.genus","inhs.superfamily","dwc.associatedMedia","idigbio.etag","dwc.typeStatus","dwc.disposition","dwc.rights","fcc.superfamily","dwc.higherClassification"
"69",NA,"","d0fe0815-f7fa-4936-b6ea-66c5fd0559f0","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","d0fe0815-f7fa-4936-b6ea-66c5fd0559f0",NA,NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)","","Bahamas, 1/2-3/4 kilometer west of western shore of South Bimini",NA,NA,NA,NA,"",NA,"[no agent data]","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2014-06-13 13:02:25.0",NA,"","","Robert Robertson",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-4103",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"Dredged",NA,NA,NA,"MCZ:IZ:HOL-4103",NA,0,NA,NA,"July 1958",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"PreservedSpecimen",NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1958-07-01/1958-07-31",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-13T03:26:05.628Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4103",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Echinodermata","","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4103","6951d4111608822a48bed6079f126d8845deee03","","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"321",NA,"unknown","cac23e91-1173-42aa-b589-7c8a6e72b2a4","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","cac23e91-1173-42aa-b589-7c8a6e72b2a4",NA,NA,NA,NA,NA,NA,NA,"unknown","whole animal (dry)","","off Colombia; Caribbean Sea, Gulf of Uraba",NA,NA,NA,NA,"unknown",NA,"[no agent data]","",NA,NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2012-11-26 11:19:02.0",NA,"","","RV John E Pillsbury 6607",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-4104",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",97,NA,NA,NA,"",99,NA,NA,"MCZ:IZ:HOL-4104",NA,0,NA,NA,"1966-07-17",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","8.8025d",NA,"PreservedSpecimen",NA,NA,"station number=430",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",8.8025,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1966-07-17",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-01-11T03:22:51.815Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4104",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,"decimal degrees",-77.22417,NA,NA,NA,"Echinodermata","-77.22417d","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4104","d2ba669979b07b5658065124c1744b37b73f6872","","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"636",NA,"","a4e4d5ed-9d5c-4825-babd-4edffce6ee8b","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","a4e4d5ed-9d5c-4825-babd-4edffce6ee8b",NA,NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)","","Pensacola [off Florida]",NA,NA,NA,NA,"",NA,"E. Selenka, World Register of Marine Species","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2013-06-18 15:17:42.0",NA,"","","[no agent data]",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-685",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-685",NA,0,NA,NA,"Unknown",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"PreservedSpecimen",NA,NA,"other number=322",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1700-01-01/1867-12-31",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-12T20:35:03.185Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-685",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Echinodermata","","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-685","a1b5d917ad9166a7930db52ea20b6453bfe1372f","Syntype","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"908",NA,"","d7c07fa6-4bef-4fb7-a40c-728cd5dd5cf5","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","d7c07fa6-4bef-4fb7-a40c-728cd5dd5cf5",NA,NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)","","United States, Florida, St. Pete Beach, Pass-a-Grille Beach",NA,NA,NA,NA,"",NA,"[no agent data]","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2014-07-23 08:58:16.0",NA,"","","James R. Miller",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-2145",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-2145",NA,0,NA,NA,"1942",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"PreservedSpecimen",NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1942-01-01/1942-12-31",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-26T00:40:30.915Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2145",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Echinodermata","","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2145","b9dcf74052d5ea631f54d455bb883b630fc086df","","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"1189",NA,"","074f4b1d-f923-4bd3-9732-784733c12818","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","074f4b1d-f923-4bd3-9732-784733c12818",NA,NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)","","[no specific locality]",NA,NA,NA,NA,"",NA,"[no agent data]","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2014-06-13 13:02:25.0",NA,"","","Harry W. Wells",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-4101",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-4101",NA,0,NA,NA,"[date unknown]",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"PreservedSpecimen",NA,NA,"",NA,NA,NA,"[no higher geography data]",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1700-01-01/2014-04-02",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-12T15:37:41.802Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4101",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","[no higher geography data]",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Echinodermata","","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4101","1b4d43f21cc264e1cf62e469a94d2bbb4d0942fd","","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"1201",NA,"","0f896ed5-1311-4dde-b876-b8ca423b85ce","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","0f896ed5-1311-4dde-b876-b8ca423b85ce",NA,NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)","","Charlotte Harbor [off Florida]",NA,NA,NA,NA,"",NA,"World Register of Marine Species, E. Selenka","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"196","2013-07-09 11:39:04.0",NA,"","","G. W. Wurdemann",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-686",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-686",NA,0,NA,NA,"1857-1859",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"PreservedSpecimen",NA,NA,"collector number=196",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1857-01-01/1859-12-31",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-12T15:21:31.610Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-686",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Echinodermata","","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-686","64f238a538dfe90649b01aef7448891f0b797437","Syntype","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"1509",NA,"","c5ffeaaf-e068-4ec7-ba53-f5a2f45a88ca","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","c5ffeaaf-e068-4ec7-ba53-f5a2f45a88ca",NA,NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)","","United States, Florida, St. Joseph's Bay, 5 miles north of Port St. Joe",NA,NA,NA,NA,"",NA,"[no agent data]","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2014-06-13 13:02:26.0",NA,"","","University of Texas Institute of Marine Science, Henry H. Hildebrand",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-4100",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-4100",NA,0,NA,NA,"October 2, 1954",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"PreservedSpecimen",NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1954-10-02",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-13T01:23:43.143Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4100",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Echinodermata","","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4100","f9050502fdac518f717666015c62bd12d9c99145","","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"1523",NA,"GEOLocate","dc348031-2462-497f-a9c1-5923cbeac074","",NA,NA,NA,"",NA,"",NA,NA,11913,NA,"PhysicalObject","dc348031-2462-497f-a9c1-5923cbeac074",NA,NA,NA,NA,NA,NA,NA,"unverified","whole animal (70% ethanol)","","United States, Florida, Biscayne Bay",NA,NA,NA,NA,"WGS84",NA,"[no agent data]","",NA,11913,NA,NA,NA,NA,"Jessica Anne Mullen",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2014-06-09 14:02:28.0",NA,"","","Hubert Lyman Clark",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-1819",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-1819",NA,0,NA,NA,"April 1937",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","25.555649d",NA,"PreservedSpecimen",NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",25.555649,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1937-04-01/1937-04-30",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-12T19:56:41.441Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1819",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,"decimal degrees",-80.207057,NA,NA,NA,"Echinodermata","-80.207057d","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1819","b46783e9403b51182caeac79407c81a71d95e253","","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"2070",NA,"GEOLocate","e22cf6c2-4d3e-4853-9238-fff284f566af","",NA,NA,NA,"",NA,"",NA,NA,6978,NA,"PhysicalObject","e22cf6c2-4d3e-4853-9238-fff284f566af",NA,NA,NA,NA,NA,NA,NA,"unverified","whole animal (70% ethanol)","","Venezuela, Cumana",NA,NA,NA,NA,"WGS84",NA,"[no agent data]","",NA,6978,NA,NA,NA,NA,"Jessica Anne Mullen",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2014-06-13 13:02:26.0",NA,"","","[no agent data]",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-4120",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-4120",NA,0,NA,NA,"1969",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","10.489761d",NA,"PreservedSpecimen",NA,NA,"",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",10.489761,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1969-01-01/1969-12-31",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-12T18:36:56.956Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4120",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Western Central",NA,"",NA,NA,NA,"decimal degrees",-64.197556,NA,NA,NA,"Echinodermata","-64.197556d","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4120","959b1067d9700e154dbf6f851f55bdb33dc4db07","","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
"2715",NA,"","22906819-1d10-46a7-b8b8-99979ea0610b","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","22906819-1d10-46a7-b8b8-99979ea0610b",NA,NA,NA,NA,NA,NA,NA,"","whole animal (70% ethanol)","","Brazil, Bahia",NA,NA,NA,NA,"",NA,"Luiz Roberto Tommasi","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","","",NA,"Holothuroidea",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","2014-06-13 13:02:25.0",NA,"","","E. May, Luiz Roberto Tommasi",NA,NA,NA,NA,"en",NA,NA,NA,NA,"MCZ",NA,NA,"","HOL-4102",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,"IZ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"princeps",NA,NA,NA,NA,"",NA,NA,NA,"MCZ:IZ:HOL-4102",NA,0,NA,NA,"[date unknown]",NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"PreservedSpecimen",NA,NA,"station number=28",NA,NA,NA,"Atlantic Ocean",NA,"Holothuria (Theelothuria) princeps",1,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,NA,"","ICZN",NA,NA,NA,NA,NA,NA,"Selenka, 1867",NA,NA,"1700-01-01/2014-06-13",NA,"Museum of Comparative Zoology, Harvard University",NA,"","","Aspidochirotida",NA,NA,"2014-07-12T21:01:13.225Z","",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4102",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Atlantic Ocean, Atlantic, Southwest",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Echinodermata","","Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4102","88253de8721681f86a9c15570a681776a210694b","","not applicable",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Theelothuria) princeps"
