"","dwc.identificationQualifier","idigbio.associateIdentifier","dwc.previousIdentifications","dwc.group","dwc.habitat","idigbio.barcodeValue","dwc.locationAccordingTo","idigbio.tribe","dwc.taxonID","dwc.decimalLongitude","dwc.datasetID","dwc.taxonRank","dwc.preparation","inhs.juv_males","dwc.georeferencedDate","symbiota.verbatimScientificName","dwc.locationRemarks","dwc.waterBody","idigbio.preparationCount","inhs.relic","inhs.location_Stream","dwc.associatedReferences","dwc.verbatimLongitude","dcterms.rightsHolder","dwc.higherGeography","dwc.recordedBy","id","inhs.juv_females","idigbio.associateAuthor","dwc.decimalLatitude","dwc.locationID","dwc.establishmentMeans","idigbio.associateNotes","dwc.namePublishedIn","dwc.associatedMedia","idigbio.associateCommonName","dwc.locality","dcterms.bibliographicCitation","dwc.eventDate","dwc.individualID","dwc.identificationVerificationStatus","dwc.coordinatePrecision","dwc.behavior","dwc.stateProvince","inhs.superfamily","dwc.maximumDepthInMeters","dwc.genus","dwc.identificationReferences","dwc.reproductiveCondition","idigbio.substrate","idigbio.preservative","dwc.municipality","dwc.nomenclaturalStatus","inhs.formII_males","idigbio.createdBy","dwc.earliestAgeOrLowestStage","dwc.institutionCode","fcc.subfamily","dwc.basisOfRecord","dwc.individualCount","dwc.phylum","dwc.class","dwc.latestEpochOrHighestSeries","dwc.earliestEraOrLowestErathem","dwc.year","dwc.member","inhs.juv_undetermined","dwc.lifeStage","idigbio.subgenus","dwc.scientificName","dwc.dataGeneralizations","dwc.subgenus","dwc.verbatimLocality","dwc.samplingProtocol","dcterms.type","dwc.catalogNumber","idigbio.uuid","dwc.islandGroup","inhs.total_females","dwc.datasetName","idigbio.associateDeterminedBy","dwc.maximumElevationInMeters","dwc.fieldNotes","dwc.continent","dcterms.source","dwc.verbatimLatitude","dwc.county","dwc.eventRemarks","dwc.countryCode","idigbio.dateModified","dwc.collectionID","dwc.startDayOfYear","dcterms.reference","idigbio.version","idigbio.endangeredStatus","inhs.locationTrs","dwc.georeferenceProtocol","dwc.nomenclaturalCode","idigbio.etag","dwc.taxonRemarks","dwc.namePublishedInID","inhs.dead","dwc.VerbatimEventDate","dwc.verbatimDepth","fcc.superfamily","dwc.preparations","dwc.formation","dwc.georeferenceRemarks","dwc.collectionCode","dwc.minimumElevationInMeters","dwc.sex","dwc.associatedTaxa","inhs.instars_Female","dwc.footprintWKT","dwc.kingdom","dwc.relatedResourceID","fcc.pickedBy","idigbio.determinationHistory","dwc.occurrenceRemarks","dwc.bed","inhs.formII_females","idigbio.recordIds","dwc.month","dwc.earliestPeriodOrLowestSystem","dwc.associatedOccurrences","dwc.samplingEffort","dwc.scientificNameID","dwc.georeferenceSources","dwc.typeStatus","dwc.nameAccordingTo","fcc.datePicked","dwc.earliestEpochOrLowestSeries","dcterms.accessRights","idigbio.associatedRelationship","dwc.occurrenceID","inhs.location_Basin","idigbio.subfamily","dwc.higherClassification","dcterms.rights","dwc.institutionID","dwc.vernacularName","inhs.live","dwc.family","inhs.instars_Male","dwc.ownerInstitutionCode","dwc.dynamicProperties","dwc.verbatimCoordinates","symbiotaverbatimScientificName","dwc.accessRights","dwc.island","dwc.rightsHolder","dwc.fieldNumber","row.number","dwc.geodeticDatum","dwc.rights","dwc.minimumDepthInMeters","dwc.coordinateUncertaintyInMeters","dwc.country","inhs.vouchered","dwc.verbatimCoordinateSystem","dwc.scientificNameAuthorship","dwc.georeferencedBy","dwc.associatedSequences","idigbio.associateRelationship","dwc.occurrenceStatus","dwc.identificationID","dwc.recordNumber","http...symbiota.org.terms.verbatimScientificName","idigbio.recordID","dwc.verbatimElevation","dwc.verbatimSRS","dcterms.references","dwc.otherCatalogNumbers","dwc.verbatimEventDate","dwc.identificationRemarks","dwc.lowestBiostratigraphicZone","idigbio.recordId","inhs.total_Males","dwc.dateIdentified","dwc.specificEpithet","dwc.day","inhs.location_RiverMile","dwc.georeferenceVerificationStatus","dwc.latestEraOrHighestErathem","dwc.eventTime","dwc.order","dwc.disposition","dwc.originalNameUsage","dwc.latestAgeOrHighestStage","dcterms.modified","dwc.infraspecificEpithet","dwc.latestPeriodOrHighestSystem","dcterms.language","idigbio.associatedFamily","dwc.informationWithheld","dwc.verbatimTaxonRank","dwc.endDayOfYear","idigbio.associateCondition","inhs.formI_males","dwc.lithostratigraphicTerms","dwc.identifiedBy","dwc.eventID","idigbio.hostFamily"
"115",NA,NA,NA,NA,"",NA,NA,NA,NA,127.772746,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","François Michonneau, Yoshida Ryuta","3a073038-dde6-49c4-8c35-5dac7397a35c",NA,NA,26.444199,"FMOK11-St-19",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"Ryukyus",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,2011,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","10948-Echinodermata","3a073038-dde6-49c4-8c35-5dac7397a35c",NA,NA,NA,NA,NA,NA,"",NA,"","Okinawa","",NA,"2014-09-12T14:09:16.131Z",NA,NA,NA,NA,NA,NA,"","","8f1f9184edd09b5fa94c7f2a5cdddf9343dc7c3a",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"2AAAE8AC-814C-4F98-BAA9-1AFE282BB630",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Japan",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",14,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"116",NA,NA,NA,NA,"",NA,NA,NA,NA,-169.9,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","","4b44de97-9372-47c6-a864-fecdb35b266a",NA,NA,-19.1,"HNIUE-062K",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"Niue Island",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,1986,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","1908-Echinodermata","4b44de97-9372-47c6-a864-fecdb35b266a",NA,NA,NA,NA,NA,NA,"",NA,"","Niue Island","",NA,"2014-09-12T14:11:13.665Z",NA,NA,NA,NA,NA,NA,"","","a59905007b89837e177e701706e0228a959d5ed6",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,8,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"25B11B08-46EC-4805-8AE8-70D19E7A35B1",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Niue Island",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",25,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"123",NA,NA,NA,NA,"",NA,NA,NA,NA,145.794018,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","Yasunori Kano, Pierre Lozouet, John Slapcinsky, Mande Holford, Timea Neusser, Bastian Brenzinger","ea67047c-879b-42c4-b0ab-61ee32db30a7",NA,NA,-4.987981,"PM27",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"Madang Province",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,2012,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","14780-Echinodermata","ea67047c-879b-42c4-b0ab-61ee32db30a7",NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"2014-09-12T09:05:39.676Z",NA,NA,NA,NA,NA,NA,"","","84f16f5a3a69f06cd6ceed19e464dfb4b73b2264",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,11,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"65D433E6-5B06-4543-A0CC-6BDF6790A5FB",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Papua New Guinea",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",16,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"182",NA,NA,NA,NA,"",NA,NA,NA,NA,144.8,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","J. Doty","e945a3df-b85d-4a61-9bbc-79a08e5bc918",NA,NA,13.5,"UGI-Station-218",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"Mariana Islands",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,1976,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","12287-Echinodermata","e945a3df-b85d-4a61-9bbc-79a08e5bc918",NA,NA,NA,NA,NA,NA,"",NA,"","Guam Island","",NA,"2014-09-12T10:26:51.162Z",NA,NA,NA,NA,NA,NA,"","","5f3e0bfaf1f6d81a545bb9ea4dce5eeed2cbab8b",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"947D5F56-8FCD-48EE-8568-EBB6D1FB1E05",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"USA",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",12,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"202",NA,NA,NA,NA,"",NA,NA,NA,NA,144.8071,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","Francois Michonneau, Tom Schils, Amanda Devilliers, Daisuke Uyeno, Tohru Naruse","d7b2c5a1-d42c-425a-93ef-a56628aa4823",NA,NA,13.5425,"GUOK10-St-007",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"Mariana Islands",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,2010,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","10315-Echinodermata","d7b2c5a1-d42c-425a-93ef-a56628aa4823",NA,NA,NA,NA,NA,NA,"",NA,"","Guam Island","",NA,"2014-09-12T17:17:23.550Z",NA,NA,NA,NA,NA,NA,"","","133df1884cc98883132c2d8cbc76d3bee6a12ea3",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,6,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"B37B9BA8-4B10-464C-A1E7-BB9F79FC3291",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"USA",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",11,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"236",NA,NA,NA,NA,"",NA,NA,NA,NA,162.9118,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","Nathaniel Evans","b97cca2b-fa31-4f63-9989-1420f946e807",NA,NA,-17.91448,"NEST26",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"New Caledonia",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,2013,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","15847-Echinodermata","b97cca2b-fa31-4f63-9989-1420f946e807",NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"2014-09-12T17:10:06.004Z",NA,NA,NA,NA,NA,NA,"","","12b2ba71fc4db7b3476658d81a2ef8d8963cf7f4",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,11,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"2685A216-843B-4455-8313-D1867F5F3B57",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"France",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",17,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"264",NA,NA,NA,NA,"",NA,NA,NA,NA,-138.684883333333,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri","f4449f8b-5dbd-4d8c-9005-901eba00e15b",NA,NA,-10.5329,"MQ025",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"Marquesas Islands",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,2011,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","11250-Echinodermata","f4449f8b-5dbd-4d8c-9005-901eba00e15b",NA,NA,NA,NA,NA,NA,"",NA,"","Fatu Hiva","",NA,"2014-09-12T17:45:38.850Z",NA,NA,NA,NA,NA,NA,"","","002e8079223253a904398a60860e238df03c6ef8",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,12,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"C37548AF-4B16-4FE3-A70E-CE4139246196",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"French Polynesia",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",3,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"377",NA,NA,NA,NA,"",NA,NA,NA,NA,-157.3961,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","Gustav Paulay","856302be-80fc-4618-b299-a55873356bf9",NA,NA,2.0083,"KIR-A",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"Line Islands",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,2005,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","5400-Echinodermata","856302be-80fc-4618-b299-a55873356bf9",NA,NA,NA,NA,NA,NA,"",NA,"","Kiritimati Atoll","",NA,"2014-09-12T09:11:13.537Z",NA,NA,NA,NA,NA,NA,"","","f477e8970a1372a8bd2a68b523e28f99f9f96d01",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,8,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"0FF7ADA8-2CF7-411B-A824-687BFDAFE06E",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Kiribati",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",21,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"425",NA,NA,NA,NA,"",NA,NA,NA,NA,163.53815,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","Nathaniel Evans","ae3b5fef-7dbd-4455-9947-48f57785375a",NA,NA,-18.86125,"NEST16",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"New Caledonia",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,2013,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","15821-Echinodermata","ae3b5fef-7dbd-4455-9947-48f57785375a",NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"2014-09-12T11:53:48.728Z",NA,NA,NA,NA,NA,NA,"","","720f7aeb2e86b64e33b29ef0679b0f83cc7fea9a",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,11,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"FB70A3FB-A8A4-4082-A318-837AAB3E3054",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"France",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",8,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"431",NA,NA,NA,NA,"",NA,NA,NA,NA,-109.4253,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","","","T. A. Ebert, D. M. Dexter","37a7405f-7ab9-4eea-bc3b-e6d6eabf211e",NA,NA,23.3827,"Ebert-Los Frailes",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"Baja California Sur",NA,NA,"Holothuria",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"FLMNH",NA,"PreservedSpecimen",NA,"","Holothuroidea",NA,NA,1972,NA,NA,NA,NA,"Holothuria arenicola",NA,NA,NA,"","","16142-Echinodermata","37a7405f-7ab9-4eea-bc3b-e6d6eabf211e",NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"2014-09-12T12:17:44.206Z",NA,NA,NA,NA,NA,NA,"","","ecb68a65bdd729514cd7941e8adf88660d76a178",NA,NA,NA,NA,"",NA,"",NA,"","Invertebrate Zoology",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"3184110F-561D-4E34-BB77-CFC29ACE1E7E",NA,NA,"",NA,"",NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Mexico",NA,"","Semper","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","",NA,NA,NA,"","arenicola",28,NA,NA,NA,NA,"Aspidochirotida","",NA,NA,"09/08/2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA
