"","dwc.informationWithheld","dwc.individualCount","dwc.geodeticDatum","dwc.originalNameUsage","idigbio.associateIdentifier","dwc.eventRemarks","dwc.namePublishedIn","inhs.instars_Female","dwc.identificationReferences","dwc.individualID","dwc.maximumDepthInMeters","fcc.subfamily","dwc.county","dwc.recordNumber","dwc.verbatimSRS","dwc.georeferenceSources","dcterms.accessRights","idigbio.associateCondition","inhs.formI_males","dcterms.language","dwc.vernacularName","idigbio.determinationHistory","dwc.class","dwc.day","dwc.infraspecificEpithet","http...symbiota.org.terms.verbatimScientificName","id","dwc.stateProvince","dwc.verbatimCoordinates","dwc.institutionCode","inhs.relic","dwc.fieldNumber","idigbio.barcodeValue","dwc.sex","row.number","inhs.juv_males","dwc.behavior","inhs.juv_females","dwc.country","dwc.occurrenceStatus","dwc.scientificNameID","dwc.formation","dwc.accessRights","dwc.eventID","dwc.nomenclaturalStatus","dwc.samplingEffort","dwc.eventDate","dcterms.type","dwc.rightsHolder","dwc.associatedTaxa","dwc.associatedReferences","dcterms.source","dwc.taxonRemarks","dwc.bed","dwc.genus","dwc.verbatimCoordinateSystem","dwc.verbatimElevation","dwc.occurrenceID","dwc.month","dwc.georeferenceRemarks","dwc.footprintWKT","dwc.nomenclaturalCode","dwc.verbatimLongitude","dwc.fieldNotes","dwc.lowestBiostratigraphicZone","dwc.earliestEraOrLowestErathem","dwc.disposition","dwc.decimalLatitude","idigbio.recordId","dwc.municipality","dwc.lithostratigraphicTerms","idigbio.hostFamily","dwc.endDayOfYear","inhs.location_RiverMile","dwc.reproductiveCondition","idigbio.etag","dwc.relatedResourceID","dwc.nameAccordingTo","dwc.lifeStage","dwc.dynamicProperties","dwc.preparation","inhs.superfamily","idigbio.associatedRelationship","dwc.VerbatimEventDate","idigbio.version","dwc.eventTime","inhs.formII_females","dwc.earliestAgeOrLowestStage","dwc.member","dwc.verbatimTaxonRank","dwc.collectionCode","idigbio.tribe","dwc.locationID","inhs.location_Basin","dcterms.references","idigbio.associatedFamily","dwc.establishmentMeans","dwc.locationAccordingTo","dwc.associatedSequences","dwc.phylum","dwc.latestEpochOrHighestSeries","dwc.earliestPeriodOrLowestSystem","dwc.countryCode","dwc.otherCatalogNumbers","dwc.identificationRemarks","dwc.georeferenceProtocol","dwc.waterBody","dwc.scientificNameAuthorship","dwc.decimalLongitude","fcc.superfamily","idigbio.associateDeterminedBy","idigbio.preparationCount","idigbio.subfamily","dwc.maximumElevationInMeters","dwc.rights","dwc.taxonRank","dwc.kingdom","dwc.minimumDepthInMeters","inhs.location_Stream","dwc.continent","dwc.verbatimEventDate","dwc.startDayOfYear","dwc.minimumElevationInMeters","idigbio.createdBy","dwc.institutionID","dwc.associatedOccurrences","inhs.formII_males","dwc.islandGroup","dwc.locationRemarks","dcterms.rightsHolder","inhs.total_Males","inhs.locationTrs","dwc.namePublishedInID","fcc.pickedBy","idigbio.dateModified","dwc.collectionID","dwc.verbatimDepth","dwc.higherGeography","dwc.dateIdentified","dwc.higherClassification","dcterms.rights","dwc.georeferencedBy","dwc.dataGeneralizations","dwc.subgenus","dwc.earliestEpochOrLowestSeries","dwc.scientificName","dcterms.reference","inhs.live","dwc.latestAgeOrHighestStage","idigbio.subgenus","dwc.identifiedBy","inhs.vouchered","dwc.verbatimLatitude","idigbio.associateNotes","dwc.preparations","symbiotaverbatimScientificName","dwc.order","idigbio.recordIds","idigbio.uuid","idigbio.associateCommonName","dwc.associatedMedia","inhs.instars_Male","idigbio.endangeredStatus","idigbio.associateAuthor","inhs.juv_undetermined","dwc.samplingProtocol","idigbio.recordID","idigbio.preservative","dwc.georeferencedDate","dwc.occurrenceRemarks","dwc.ownerInstitutionCode","idigbio.substrate","dwc.locality","dwc.habitat","dwc.latestEraOrHighestErathem","dwc.group","dwc.basisOfRecord","dwc.datasetName","dwc.identificationVerificationStatus","dwc.recordedBy","dcterms.bibliographicCitation","inhs.dead","dwc.specificEpithet","symbiota.verbatimScientificName","fcc.datePicked","dwc.coordinateUncertaintyInMeters","idigbio.associateRelationship","dwc.island","dwc.taxonID","dwc.latestPeriodOrHighestSystem","dwc.catalogNumber","dwc.year","dwc.georeferenceVerificationStatus","dwc.coordinatePrecision","dwc.previousIdentifications","inhs.total_females","dwc.datasetID","dwc.identificationID","dwc.identificationQualifier","dcterms.modified","dwc.family","dwc.typeStatus","dwc.verbatimLocality"
"186",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"French Frigate Shoals","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",22,"",NA,"38488814-8b92-45e7-bc8d-a2655637d547","Hawaiian Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"F071A778-E1DF-4DD7-BDAA-9764102DEB22",10,"",NA,"","",NA,NA,NA,"",23.8705,NA,NA,NA,NA,NA,NA,NA,"fcd1004e008457609e19334739a37c7338e0f28a",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"FFS-0157",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-166.2843,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T10:39:24.502Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"38488814-8b92-45e7-bc8d-a2655637d547",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Scott Godwin, Jody Martin, Jim Maragos, Gustav Paulay, Sea McKeon, John Starmer & Tito Lotufo",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"6206-Echinodermata",2006,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"188",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Oahu Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"",NA,"4418d57e-6de2-41a9-9bbc-f052bcbcde97","Hawaiian Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"FEB93A11-3346-4EA8-8665-3BF6C5BA93B8",7,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1ffa64fb092c54ea7f5cfb7c2202a6a7f2b4bc7f",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"ZZZ-073307",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T10:49:43.070Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"4418d57e-6de2-41a9-9bbc-f052bcbcde97",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Sea McKeon",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"6875-Echinodermata",2008,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"199",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Saipan Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"",NA,"60d44c2e-a264-4e1f-8b18-ee425b1a02f9","","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"FB252E43-20D8-4CFE-95F3-6EDB5B5A70F8",NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"bd50463326c1db22fdf7700dcc79d218db902d63",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"JAS-SAI-298",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T12:19:11.874Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"60d44c2e-a264-4e1f-8b18-ee425b1a02f9",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Starmer, J.",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"3229-Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"399",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Guam Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"",NA,"20208e6f-cd5c-414b-9aa5-ffc90aa13437","Mariana Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"9ED9EADD-4C3F-4CDC-A9F6-281B72C78051",NA,"",NA,"","",NA,NA,NA,"",13.5,NA,NA,NA,NA,NA,NA,NA,"b416fc45b0a59f7eaa82fecb0c60f056b73d65cf",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"BGUAM-101",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",144.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T10:29:17.263Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"20208e6f-cd5c-414b-9aa5-ffc90aa13437",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Paulay, G.",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"4683-Echinodermata",2003,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"409",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Moorea Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",8,"",NA,"b5a7fb39-33c6-4d21-b835-5eb1a542cb46","Society Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"French Polynesia",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"920A1588-2B2E-48B6-97FD-03F8E9479D49",11,"",NA,"","",NA,NA,NA,"",-17.50971,NA,NA,NA,NA,NA,NA,NA,"23edab005e43189c2086d698fb26b8ee2278b0d4",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"BIZ-135",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-149.851463,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T12:54:55.591Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"b5a7fb39-33c6-4d21-b835-5eb1a542cb46",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Tito Lotufo, Nicole Gravier-Bonnet, Arthur Anker, Jon Norenburg",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"9837-Echinodermata",2009,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"419",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Moorea Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",8,"",NA,"5136b446-6c33-42d0-9bfc-f1154aed09c2","Society Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"French Polynesia",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"A4CD4E79-0A21-477D-9A61-3870EF4E7038",11,"",NA,"","",NA,NA,NA,"",-17.50971,NA,NA,NA,NA,NA,NA,NA,"e2ded2ca5d63e0dd534b5336eebef986f00786c3",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"BIZ-135",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-149.851463,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T14:15:13.733Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"5136b446-6c33-42d0-9bfc-f1154aed09c2",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Tito Lotufo, Nicole Gravier-Bonnet, Arthur Anker, Jon Norenburg",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"9836-Echinodermata",2009,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"453",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Niue Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",25,"",NA,"045ea7e9-c1aa-4eed-a3a0-1030cc6990d0","Niue Island","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Niue Island",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"D39C0EBD-0C43-4482-83DA-BFEA42937C3C",8,"",NA,"","",NA,NA,NA,"",-19.1,NA,NA,NA,NA,NA,NA,NA,"fd1cb8c8d047ef737e194334cdaf3197cfdba589",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"HNIUE-062H",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-169.9,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T10:53:12.125Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"045ea7e9-c1aa-4eed-a3a0-1030cc6990d0",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"1621-Echinodermata",1986,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"514",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Guam Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",6,"",NA,"c53efce9-d691-4cdc-b5a9-b76d4db60026","Mariana Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"B0B0BB27-5FEC-46AD-8AAA-9A960EB406F8",2,"",NA,"","",NA,NA,NA,"",13.479906,NA,NA,NA,NA,NA,NA,NA,"11db2c2bb2f9cff648c4b35ca9e95f893152a9df",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"FM-St-GU08-01",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",144.726632,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T17:28:57.558Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"c53efce9-d691-4cdc-b5a9-b76d4db60026",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","François Michonneau",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"6727-Echinodermata",2008,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"533",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",26,"",NA,"5da808fd-0beb-43b9-bda8-165011090ac0","","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Oman",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"C5AC9D02-E4F1-4837-AB32-BF5AF269B076",1,"",NA,"","",NA,NA,NA,"",23.626,NA,NA,NA,NA,NA,NA,NA,"d79b8562d74bd4aad3522fee4f4a0d1c896ff5cf",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"GP-Loc-819",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",58.481,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T17:52:48.994Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"5da808fd-0beb-43b9-bda8-165011090ac0",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","V. Bonito, M. Claereboudt, G. Paulay",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"4262-Echinodermata",2005,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
"717",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"Aitutaki Island","",NA,"",NA,NA,NA,"",NA,NA,"Holothuroidea",24,"",NA,"4810522a-2a25-48f5-8c4e-b32892056efb","Cook Islands","","FLMNH",NA,"",NA,"",NA,NA,NA,NA,"Cook Islands",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"Holothuria","",NA,"33E4B90D-A50E-4C8E-AE55-FAA92398B43A",10,"",NA,"","",NA,NA,NA,"",-18.9,NA,NA,NA,NA,NA,NA,NA,"8ea226f5cb15254eeb74da92971082217403d684",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"HAIU-015-1",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","","","","Brandt",-159.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","",NA,NA,NA,NA,"2014-09-12T10:51:51.896Z",NA,"","","","",NA,"",NA,NA,NA,"Holothuria cinerascens",NA,NA,NA,NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,"4810522a-2a25-48f5-8c4e-b32892056efb",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,"PreservedSpecimen",NA,"","Paulay, G.",NA,NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,"1348-Echinodermata",1986,NA,NA,NA,NA,NA,NA,NA,"09/08/2014","Holothuriidae","",NA
