"","dwc.stateProvince","dwc.collectionCode","dwc.rights","dcterms.reference","inhs.instars_Female","inhs.total_Males","idigbio.dateModified","dwc.minimumDepthInMeters","idigbio.uuid","symbiota.verbatimScientificName","inhs.juv_undetermined","dwc.member","dwc.kingdom","dwc.namePublishedInID","dwc.taxonRank","dwc.disposition","idigbio.associateCondition","dwc.accessRights","inhs.vouchered","dwc.countryCode","dwc.georeferenceVerificationStatus","dwc.latestEraOrHighestErathem","dwc.identificationReferences","dwc.georeferenceSources","inhs.juv_females","dwc.scientificNameAuthorship","dwc.order","dwc.eventTime","dcterms.type","dwc.footprintWKT","dwc.verbatimLatitude","dwc.endDayOfYear","dwc.nomenclaturalStatus","inhs.formI_males","dwc.reproductiveCondition","dwc.samplingProtocol","symbiotaverbatimScientificName","dwc.georeferenceProtocol","dwc.latestEpochOrHighestSeries","dwc.establishmentMeans","dwc.earliestEpochOrLowestSeries","dwc.typeStatus","dwc.day","dwc.year","dcterms.accessRights","dwc.collectionID","dwc.datasetID","dwc.verbatimCoordinates","dcterms.references","dwc.verbatimSRS","dwc.eventID","dwc.basisOfRecord","dwc.associatedMedia","inhs.location_Stream","inhs.formII_females","dwc.associatedOccurrences","idigbio.determinationHistory","row.number","dwc.georeferencedBy","idigbio.tribe","dwc.verbatimTaxonRank","idigbio.subgenus","dwc.verbatimDepth","dwc.eventDate","dwc.sex","dwc.county","idigbio.associatedRelationship","dwc.verbatimLongitude","idigbio.version","dwc.identificationRemarks","dwc.latestAgeOrHighestStage","dwc.identifiedBy","dwc.occurrenceStatus","dwc.phylum","dwc.group","dwc.latestPeriodOrHighestSystem","idigbio.barcodeValue","fcc.datePicked","dcterms.source","dwc.genus","inhs.dead","dwc.recordNumber","dwc.namePublishedIn","dwc.continent","dwc.occurrenceRemarks","inhs.superfamily","dwc.behavior","dwc.country","dwc.scientificNameID","dwc.dynamicProperties","idigbio.etag","dwc.subgenus","fcc.superfamily","dwc.associatedReferences","inhs.juv_males","dwc.islandGroup","dwc.geodeticDatum","dwc.verbatimCoordinateSystem","dwc.identificationID","dwc.nameAccordingTo","dwc.lithostratigraphicTerms","dwc.decimalLatitude","dwc.occurrenceID","idigbio.preparationCount","dwc.fieldNumber","dwc.earliestEraOrLowestErathem","idigbio.recordID","dwc.identificationVerificationStatus","fcc.subfamily","dwc.maximumDepthInMeters","dwc.preparation","dwc.georeferenceRemarks","dcterms.rightsHolder","dwc.coordinatePrecision","idigbio.associateIdentifier","inhs.location_RiverMile","dwc.lifeStage","dwc.ownerInstitutionCode","dwc.municipality","dwc.startDayOfYear","dwc.earliestPeriodOrLowestSystem","idigbio.associateDeterminedBy","dwc.locationRemarks","dwc.informationWithheld","dwc.eventRemarks","idigbio.associateAuthor","inhs.formII_males","inhs.total_females","dwc.earliestAgeOrLowestStage","dcterms.language","dwc.locationID","idigbio.createdBy","dwc.island","http...symbiota.org.terms.verbatimScientificName","inhs.instars_Male","dwc.class","idigbio.associateNotes","dwc.institutionCode","dwc.institutionID","dwc.dataGeneralizations","id","idigbio.substrate","inhs.location_Basin","inhs.locationTrs","dwc.taxonID","dwc.georeferencedDate","idigbio.hostFamily","idigbio.preservative","idigbio.associatedFamily","dwc.infraspecificEpithet","dwc.associatedTaxa","dwc.higherGeography","dwc.fieldNotes","dwc.verbatimEventDate","idigbio.recordId","inhs.relic","dwc.vernacularName","dwc.rightsHolder","dwc.previousIdentifications","dwc.nomenclaturalCode","dwc.preparations","inhs.live","dwc.identificationQualifier","dwc.catalogNumber","dwc.higherClassification","dwc.otherCatalogNumbers","dwc.coordinateUncertaintyInMeters","dwc.verbatimElevation","fcc.pickedBy","dwc.samplingEffort","dwc.locality","dwc.formation","idigbio.endangeredStatus","dwc.associatedSequences","dcterms.rights","dwc.originalNameUsage","dwc.locationAccordingTo","dwc.VerbatimEventDate","dwc.maximumElevationInMeters","dwc.family","idigbio.subfamily","dwc.lowestBiostratigraphicZone","dwc.decimalLongitude","dwc.month","dwc.scientificName","dwc.verbatimLocality","dwc.datasetName","dwc.relatedResourceID","idigbio.recordIds","dwc.dateIdentified","dwc.taxonRemarks","dwc.recordedBy","dwc.waterBody","dwc.individualID","dwc.individualCount","dcterms.modified","idigbio.associateCommonName","dcterms.bibliographicCitation","idigbio.associateRelationship","dwc.minimumElevationInMeters","dwc.specificEpithet","dwc.habitat","dwc.bed"
"185","","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T10:39:12.665Z",NA,"25686919-7650-4f31-be00-f1a692801b2e",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",14,2008,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"Madagascar",NA,"","c458e64980311c06faacf2bed7c65e3ed805c5c9",NA,NA,"",NA,NA,"","",NA,NA,NA,-13.4806,"D84CBB56-0282-4208-9F14-0936CBC5BBF3",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","MGNW-19","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"25686919-7650-4f31-be00-f1a692801b2e",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"7392-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,48.2333,5,"Holothuria excellens",NA,NA,NA,NA,"",NA,"F. Michonneau, G. Paulay, T. Werner","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"436","Caroline Islands","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T12:22:22.392Z",NA,"c8c2c13d-6c53-493d-9813-e29e7ac3a7cf",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",30,2007,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","Yap State",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"Federated States of Micronesia",NA,"","968a89fcf2d0430ae5f8d7595a0afa4923c10e99",NA,NA,"",NA,NA,"","",NA,NA,NA,9.50408,"4AAFE6F1-DF87-4102-8CBC-3E04C774D243",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","AK-Yap-03","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"c8c2c13d-6c53-493d-9813-e29e7ac3a7cf",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"5879-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,138.14348,7,"Holothuria excellens",NA,NA,NA,NA,"",NA,"Kris Netchy & Alex Kerr","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"437","","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T12:22:55.151Z",NA,"b2133d2c-0ba7-44f6-801d-d88856ed8778",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",6,2003,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"Palau",NA,"","5cf7f13058836adf3c4a6e5928bae6c853f333f9",NA,NA,"",NA,NA,"","",NA,NA,NA,7.1955,"869408F9-734B-45E8-B572-77393C26CD7D",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","BPAL-107","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"b2133d2c-0ba7-44f6-801d-d88856ed8778",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"1595-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,134.459333333333,3,"Holothuria excellens",NA,NA,NA,NA,"",NA,"Paulay, G.","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"718","Mariana Islands","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T11:28:25.214Z",NA,"b8b7b084-4fb8-49b7-998b-5c239dcdcc71",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",7,1991,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","Guam Island",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"USA",NA,"","657a82338d2ae9d40917df310f6c61215437bab6",NA,NA,"",NA,NA,"","",NA,NA,NA,13.5,"884FAECC-8231-421B-856B-B91372289872",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","UGI-Station-253","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"b8b7b084-4fb8-49b7-998b-5c239dcdcc71",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"12350-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,144.8,7,"Holothuria excellens",NA,NA,NA,NA,"",NA,"Alex Kerr","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"761","Mariana Islands","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T17:49:50.774Z",NA,"a6484438-45d7-40ab-b9ab-4e2379d79cfb",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",19,2003,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","Guam Island",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"USA",NA,"","788385bd6ec9d1b51ad69f855193d56d8b167e56",NA,NA,"",NA,NA,"","",NA,NA,NA,13.5,"432AF4E8-FF5A-4BD2-BB2F-AA860223B355",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","GP-Loc-764","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"a6484438-45d7-40ab-b9ab-4e2379d79cfb",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"4839-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,144.8,7,"Holothuria excellens",NA,NA,NA,NA,"",NA,"Paulay, G., Malay, M., Bonito, V.","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"820","Cebu","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T13:16:56.456Z",NA,"c5517c2f-59bd-4813-90a0-f8aeadc48dea",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",30,2006,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"Philippines",NA,"","2118cd9971c6c87e1d04c7f3ea8c4cf38fdafa94",NA,NA,"",NA,NA,"","",NA,NA,NA,9.95152,"2FCC4C1F-F241-4E07-AA85-D48F1C560060",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","SEMP-13","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"c5517c2f-59bd-4813-90a0-f8aeadc48dea",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"5677-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,123.36399,5,"Holothuria excellens",NA,NA,NA,NA,"",NA,"Kris Netchy & Alex Kerr","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"824","Mariana Islands","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T13:18:55.131Z",NA,"c9c9728b-32ee-4dfc-87e3-a1b7689c261d",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",19,2003,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","Guam Island",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"USA",NA,"","b1b4a0daf29e3b4d543b24ebb258387d84e776f2",NA,NA,"",NA,NA,"","",NA,NA,NA,13.5,"FBA5C6D0-AD6B-4E83-8261-8DA0DAE198A1",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","GP-Loc-764","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"c9c9728b-32ee-4dfc-87e3-a1b7689c261d",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"4704-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,144.8,7,"Holothuria excellens",NA,NA,NA,NA,"",NA,"Paulay, G., Malay, M., Bonito, V.","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"828","","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T13:11:05.024Z",NA,"44ed11cf-407e-43c5-9e83-f4335be7ed99",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",20,2008,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"Madagascar",NA,"","246c8796617132609f98bc8749d19e459a9de66e",NA,NA,"",NA,NA,"","",NA,NA,NA,-13.42923,"4EBF095D-95B6-4077-9D3A-E6AB642C7390",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","MGNW-38","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"44ed11cf-407e-43c5-9e83-f4335be7ed99",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"7448-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,48.36398,5,"Holothuria excellens",NA,NA,NA,NA,"",NA,"Gustav Paulay","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"1164","Mariana Islands","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T14:31:24.784Z",NA,"4530e5bb-8b99-4bd9-b250-4b5e0ea31158",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,2003,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","Guam Island",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"USA",NA,"","08cbbd516d60dd245b112d4c1d62499f68fc4df5",NA,NA,"",NA,NA,"","",NA,NA,NA,13.5,"DF01E712-CD78-40E1-8A36-AA49EE4C10CD",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","GP-Loc-764","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"4530e5bb-8b99-4bd9-b250-4b5e0ea31158",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"4777-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,144.8,6,"Holothuria excellens",NA,NA,NA,NA,"",NA,"","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
"1295","","Invertebrate Zoology",NA,NA,NA,NA,"2014-09-12T17:20:50.048Z",NA,"de044920-97d4-43d6-b841-5ea244923954",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig","Aspidochirotida",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",15,2008,NA,NA,NA,"","",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"",NA,NA,NA,"","","","",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,NA,"Madagascar",NA,"","8f87faf1a85dcb2bbb1e9808aefa16f8fa7f00d1",NA,NA,"",NA,NA,"","",NA,NA,NA,-13.4244,"9C3FBC9B-F5FF-4BF6-8EE9-3C2D15081B20",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","MGNW-20","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"Holothuroidea",NA,"FLMNH","",NA,"de044920-97d4-43d6-b841-5ea244923954",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"7485-Echinodermata","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,48.3642,5,"Holothuria excellens",NA,NA,NA,NA,"",NA,"G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner","",NA,NA,"09/08/2014",NA,NA,NA,NA,"excellens","",NA
