"","dwc.maximumElevationInMeters","dwc.ownerInstitutionCode","dwc.disposition","inhs.locationTrs","dwc.phylum","idigbio.recordID","idigbio.tribe","dwc.basisOfRecord","dwc.verbatimLongitude","dwc.identificationQualifier","idigbio.recordIds","dwc.verbatimCoordinates","dwc.maximumDepthInMeters","dwc.county","idigbio.endangeredStatus","dwc.datasetName","dcterms.source","idigbio.associateDeterminedBy","dwc.taxonRemarks","inhs.juv_males","dwc.locality","inhs.location_Stream","idigbio.barcodeValue","dwc.coordinatePrecision","dwc.nomenclaturalCode","dwc.rights","dwc.geodeticDatum","dwc.earliestAgeOrLowestStage","dwc.institutionID","dwc.earliestPeriodOrLowestSystem","idigbio.associateRelationship","dcterms.modified","inhs.dead","dwc.georeferenceRemarks","dwc.rightsHolder","inhs.instars_Male","dwc.locationAccordingTo","dwc.bed","dwc.lithostratigraphicTerms","idigbio.createdBy","dwc.taxonRank","dwc.latestEpochOrHighestSeries","dwc.identificationRemarks","dwc.individualID","inhs.juv_females","dwc.reproductiveCondition","dwc.institutionCode","dwc.month","dwc.associatedTaxa","dwc.catalogNumber","dwc.startDayOfYear","dwc.countryCode","dwc.associatedOccurrences","dwc.georeferencedDate","dwc.associatedMedia","idigbio.associatedFamily","dcterms.references","dwc.lowestBiostratigraphicZone","dcterms.rightsHolder","inhs.superfamily","dwc.establishmentMeans","inhs.relic","inhs.instars_Female","dwc.verbatimEventDate","row.number","inhs.formII_males","dwc.collectionID","dwc.endDayOfYear","dwc.eventDate","dwc.minimumElevationInMeters","dwc.family","idigbio.preparationCount","dwc.verbatimDepth","dwc.verbatimLatitude","dwc.year","dwc.recordedBy","idigbio.preservative","dwc.locationRemarks","dwc.locationID","idigbio.etag","idigbio.associateCondition","dwc.taxonID","dwc.georeferencedBy","idigbio.associatedRelationship","fcc.pickedBy","dwc.municipality","dwc.islandGroup","dcterms.rights","dwc.continent","dwc.vernacularName","dwc.collectionCode","idigbio.associateAuthor","dwc.georeferenceProtocol","fcc.datePicked","idigbio.subfamily","inhs.live","dwc.identificationReferences","dwc.VerbatimEventDate","dwc.minimumDepthInMeters","dwc.scientificNameID","dwc.georeferenceSources","idigbio.associateIdentifier","dwc.verbatimLocality","dwc.preparation","dwc.waterBody","dwc.accessRights","dwc.infraspecificEpithet","symbiotaverbatimScientificName","dwc.member","idigbio.substrate","dwc.namePublishedInID","dwc.island","dwc.identificationID","dwc.relatedResourceID","dwc.earliestEpochOrLowestSeries","dcterms.reference","dwc.preparations","dwc.habitat","dwc.individualCount","dwc.fieldNumber","dwc.stateProvince","dwc.dataGeneralizations","idigbio.uuid","dwc.eventRemarks","dwc.associatedSequences","dwc.latestPeriodOrHighestSystem","dwc.decimalLatitude","dwc.class","idigbio.determinationHistory","dwc.country","dcterms.accessRights","inhs.formI_males","dwc.recordNumber","dwc.higherClassification","dwc.sex","dwc.scientificName","dwc.order","dwc.higherGeography","dwc.group","dwc.subgenus","dwc.eventTime","dwc.nomenclaturalStatus","dwc.verbatimSRS","dwc.fieldNotes","dwc.latestAgeOrHighestStage","dwc.specificEpithet","dwc.lifeStage","http...symbiota.org.terms.verbatimScientificName","dwc.footprintWKT","dcterms.type","dcterms.bibliographicCitation","dwc.verbatimCoordinateSystem","dwc.eventID","dwc.earliestEraOrLowestErathem","idigbio.associateNotes","dwc.nameAccordingTo","idigbio.recordId","dwc.occurrenceStatus","dwc.latestEraOrHighestErathem","idigbio.subgenus","dcterms.language","dwc.coordinateUncertaintyInMeters","dwc.decimalLongitude","dwc.samplingProtocol","dwc.behavior","dwc.occurrenceID","idigbio.dateModified","dwc.otherCatalogNumbers","dwc.identifiedBy","inhs.vouchered","dwc.namePublishedIn","idigbio.version","idigbio.associateCommonName","inhs.total_Males","dwc.identificationVerificationStatus","dwc.kingdom","dwc.verbatimElevation","inhs.location_Basin","dwc.georeferenceVerificationStatus","dwc.typeStatus","dwc.day","fcc.superfamily","dwc.previousIdentifications","id","inhs.location_RiverMile","dwc.verbatimTaxonRank","dwc.informationWithheld","inhs.total_females","dwc.datasetID","dwc.formation","dwc.associatedReferences","inhs.juv_undetermined","dwc.dateIdentified","dwc.dynamicProperties","dwc.genus","dwc.occurrenceRemarks","dwc.scientificNameAuthorship","symbiota.verbatimScientificName","dwc.samplingEffort","inhs.formII_females","fcc.subfamily","idigbio.hostFamily","dwc.originalNameUsage"
"189",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",NA,NA,"12412-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",1990,"Alex Kerr",NA,"","UGI-Station-339","ee0168235a9c6d17e6e87d3b2c324f1fe8ef92ba",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","Koror State",NA,"7da9d759-040f-4e7b-bc01-2a45bcde4aad","",NA,NA,NA,"Holothuroidea",NA,"Palau",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"FBE36B67-3818-4BB1-A7A2-775E1507FE7D","2014-09-12T10:52:38.258Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"7da9d759-040f-4e7b-bc01-2a45bcde4aad",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"257",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",3,NA,"13546-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",2013,"Arthur Anker, Patrick Norby, Gustav Paulay",NA,"","SAFA-023","1c8ff8558001c76a837e606b3eb4d9ed79b26465",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,"1ab1013b-0944-43c2-a2d5-36a00e670d28","",NA,NA,16.79097,"Holothuroidea",NA,"Saudi Arabia",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,42.19865,"",NA,"D05DE155-0742-4ACA-BFBD-272A3003F111","2014-09-12T17:34:46.826Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",10,NA,NA,"1ab1013b-0944-43c2-a2d5-36a00e670d28",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"460",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"Eiao",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",11,NA,"11223-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",2011,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",NA,"","MQ011","968bee1979a437f97b17fca67fb307ab08d5a310",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","Marquesas Islands",NA,"0892d51e-aead-42ef-afe8-b6a63933cbe6","",NA,NA,-7.96316666666667,"Holothuroidea",NA,"French Polynesia",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,-140.6638,"",NA,"C38EC635-7299-4ACE-A355-B3EE303AEC0B","2014-09-12T11:16:49.376Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",26,NA,NA,"0892d51e-aead-42ef-afe8-b6a63933cbe6",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"518",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",11,NA,"14669-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",2012,"Baptiste Faure, Richard Ibik, Rachel James, Selma Pomalak",NA,"","PB16","91ad8374f3196311fea696f6c7849b3be06dd0af",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","Madang Province",NA,"fafd0fee-a354-4eac-9dc1-9e23cbf848a2","",NA,NA,-5.0791,"Holothuroidea",NA,"Papua New Guinea",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,145.814163,"",NA,"471BDBD5-C8F1-4BF5-8CD8-BA557BD92CE4","2014-09-12T18:10:50.898Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",13,NA,NA,"fafd0fee-a354-4eac-9dc1-9e23cbf848a2",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"563",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",10,NA,"12098-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",2012,"Gustav Paulay",NA,"","DJRS-021","f8707d267e76e5c2a132ad49d96766c4a4637310",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,"15409879-1f11-4cc4-b042-c5bc9d807215","",NA,NA,11.7183,"Holothuroidea",NA,"Djibouti",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,43.1561,"",NA,"1A52D6CB-63CC-4750-AF12-C0456AE00AD5","2014-09-12T15:20:09.091Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",2,NA,NA,"15409879-1f11-4cc4-b042-c5bc9d807215",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"715",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"Maui Island",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",11,NA,"1353-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",1998,"Pittman, C.",NA,"","ZZZ-087903","48a40d99d0470a86ce3885ff6ee016f46a2e59e8",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","Hawaiian Islands",NA,"14eafe9b-749f-49a5-ac5d-4483d5097a8b","",NA,NA,NA,"Holothuroidea",NA,"USA",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"48B9D44E-1808-4C25-9C55-ED4C7AF28B99","2014-09-12T10:49:14.130Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",8,NA,NA,"14eafe9b-749f-49a5-ac5d-4483d5097a8b",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"751",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"Yap State",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",3,NA,"12319-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",1976,"P. O'Brien",NA,"","UGI-Station-417","3ce96f2ff10c4e36f7d3a75184c07f994ff31afd",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","Caroline Islands",NA,"d7900f6d-8b3d-4bd7-9dc3-0efa6921191b","",NA,NA,NA,"Holothuroidea",NA,"Federated States of Micronesia",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"55D16DC2-5B29-4C5B-8BAA-FCEB52E19190","2014-09-12T12:55:38.615Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",24,NA,NA,"d7900f6d-8b3d-4bd7-9dc3-0efa6921191b",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"767",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",11,NA,"14710-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",2012,"Rudo von Cosel, Jean-François Barazer",NA,"","PD24","578c4551b531acd16e5a2b685ffb57d85766b7a6",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","Madang Province",NA,"13d1d043-eccf-45de-8bbf-80048e90b32b","",NA,NA,-5.0885,"Holothuroidea",NA,"Papua New Guinea",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,145.809326,"",NA,"9D8381C6-31F1-4AC7-B3AB-D03C6B8D708F","2014-09-12T16:20:41.383Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",14,NA,NA,"13d1d043-eccf-45de-8bbf-80048e90b32b",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"1274",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"Viti Levu Island",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",12,NA,"955-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",1988,"Paulay, G.",NA,"","BFIJI-389","e7f0f97b5fc7eb8a9fab9dc66e666f978c5c4486",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","Fiji Islands",NA,"c34333d2-96da-430c-89e3-32fe24f4b520","",NA,NA,NA,"Holothuroidea",NA,"Fiji",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"1A2785EA-B911-4AF5-8914-5223E8380031","2014-09-12T18:36:23.795Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",26,NA,NA,"c34333d2-96da-430c-89e3-32fe24f4b520",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
"1338",NA,"","",NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,"Mangaia Island",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"FLMNH",11,NA,"994-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuriidae",NA,"","",1984,"Paulay, G.",NA,"","HMNG-001","091cf5d43a342a8359699980bade4ae0e28c565f",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","Cook Islands",NA,"e165161a-aad5-4215-b740-46bc9d6de1b7","",NA,NA,-21.9,"Holothuroidea",NA,"Cook Islands",NA,NA,"","","","Holothuria flavomaculata","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"flavomaculata",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,-157.9,"",NA,"166C9BD5-5499-4367-AF12-BB29CF31C1C3","2014-09-12T09:58:12.777Z","","",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",18,NA,NA,"e165161a-aad5-4215-b740-46bc9d6de1b7",NA,NA,NA,NA,NA,NA,"",NA,"","","Holothuria",NA,"Semper",NA,NA,NA,NA,NA,NA
