"","dwc.taxonID","dwc.georeferenceRemarks","dwc.eventRemarks","dwc.latestAgeOrHighestStage","idigbio.associatedRelationship","dwc.verbatimLongitude","dwc.georeferenceVerificationStatus","dwc.georeferenceProtocol","idigbio.endangeredStatus","dwc.coordinatePrecision","dwc.stateProvince","idigbio.recordID","dwc.locationID","dwc.earliestEraOrLowestErathem","dwc.basisOfRecord","dwc.associatedMedia","dwc.month","inhs.juv_males","http...symbiota.org.terms.verbatimScientificName","dwc.identificationRemarks","idigbio.substrate","dwc.maximumElevationInMeters","idigbio.associateRelationship","dwc.individualCount","idigbio.associateCommonName","dwc.higherClassification","idigbio.uuid","dcterms.references","dwc.minimumElevationInMeters","fcc.datePicked","dcterms.bibliographicCitation","dwc.decimalLongitude","dwc.preparation","dwc.institutionCode","dwc.VerbatimEventDate","dwc.accessRights","dwc.eventDate","idigbio.associateDeterminedBy","dwc.earliestAgeOrLowestStage","inhs.superfamily","dwc.specificEpithet","dwc.nomenclaturalStatus","dwc.municipality","dwc.occurrenceRemarks","dwc.georeferencedDate","inhs.live","dwc.georeferenceSources","dwc.associatedSequences","inhs.formII_females","dwc.scientificNameID","inhs.formI_males","idigbio.dateModified","dwc.identificationQualifier","dwc.country","dwc.recordNumber","inhs.location_Stream","inhs.instars_Female","dwc.year","dwc.collectionID","dwc.formation","dwc.rightsHolder","dwc.datasetID","idigbio.preservative","dwc.lifeStage","row.number","inhs.formII_males","dwc.earliestPeriodOrLowestSystem","dwc.verbatimLocality","dwc.collectionCode","dwc.phylum","dwc.scientificName","dwc.verbatimDepth","dwc.occurrenceID","dwc.decimalLatitude","dwc.startDayOfYear","idigbio.preparationCount","dwc.verbatimEventDate","dwc.otherCatalogNumbers","dwc.georeferencedBy","dwc.establishmentMeans","idigbio.subfamily","dwc.day","dcterms.rightsHolder","dwc.habitat","dwc.latestEraOrHighestErathem","fcc.superfamily","idigbio.associatedFamily","dwc.bed","dwc.relatedResourceID","dwc.ownerInstitutionCode","dwc.eventID","idigbio.associateIdentifier","inhs.locationTrs","dwc.subgenus","dcterms.source","dwc.endDayOfYear","dwc.recordedBy","dwc.sex","dcterms.reference","dwc.waterBody","idigbio.subgenus","dwc.higherGeography","idigbio.recordId","dwc.catalogNumber","dwc.genus","idigbio.etag","dwc.latestPeriodOrHighestSystem","dwc.identifiedBy","dwc.typeStatus","dwc.infraspecificEpithet","inhs.juv_females","dwc.latestEpochOrHighestSeries","dcterms.modified","dcterms.language","idigbio.associateAuthor","dwc.locationAccordingTo","dwc.geodeticDatum","id","dwc.vernacularName","dwc.individualID","dwc.associatedReferences","fcc.subfamily","dwc.islandGroup","idigbio.recordIds","idigbio.tribe","dwc.locality","dwc.identificationID","dcterms.type","dwc.behavior","dwc.rights","dwc.maximumDepthInMeters","dwc.verbatimTaxonRank","dwc.preparations","idigbio.determinationHistory","symbiota.verbatimScientificName","dwc.originalNameUsage","dwc.reproductiveCondition","dwc.member","dwc.coordinateUncertaintyInMeters","symbiotaverbatimScientificName","dwc.verbatimSRS","dwc.continent","dwc.verbatimElevation","dwc.scientificNameAuthorship","idigbio.hostFamily","idigbio.version","dwc.island","dwc.taxonRank","dwc.verbatimCoordinates","inhs.total_females","dwc.countryCode","dwc.occurrenceStatus","dwc.identificationVerificationStatus","dwc.taxonRemarks","idigbio.associateCondition","dwc.nomenclaturalCode","dwc.footprintWKT","dwc.earliestEpochOrLowestSeries","dwc.identificationReferences","dcterms.accessRights","inhs.location_RiverMile","idigbio.barcodeValue","dwc.associatedTaxa","idigbio.createdBy","dcterms.rights","dwc.fieldNotes","dwc.disposition","dwc.order","dwc.verbatimLatitude","dwc.lithostratigraphicTerms","fcc.pickedBy","dwc.dataGeneralizations","dwc.eventTime","inhs.juv_undetermined","inhs.instars_Male","dwc.group","dwc.class","dwc.institutionID","dwc.namePublishedInID","inhs.total_Males","dwc.locationRemarks","dwc.kingdom","dwc.dynamicProperties","dwc.associatedOccurrences","dwc.samplingEffort","inhs.relic","dwc.nameAccordingTo","inhs.vouchered","dwc.county","idigbio.associateNotes","dwc.fieldNumber","dwc.dateIdentified","dwc.family","inhs.dead","dwc.minimumDepthInMeters","dwc.datasetName","dwc.namePublishedIn","dwc.samplingProtocol","dwc.lowestBiostratigraphicZone","dwc.verbatimCoordinateSystem","dwc.informationWithheld","inhs.location_Basin","dwc.previousIdentifications"
"166",NA,"","",NA,NA,"",NA,"",NA,NA,"St. Martin",NA,"STM-032",NA,"PreservedSpecimen","",4,NA,NA,"",NA,NA,NA,NA,NA,"","3c3e87b6-82ac-4c9b-bcea-8f9d218ad60a","",NA,NA,NA,-63.014,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T11:21:10.957Z",NA,"French Antilles","",NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","3C4ECF3B-67DB-4494-915D-005BDCBEFE2E",18.078,NA,NA,"","","",NA,NA,14,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Gustav Paulay, John Slapcinsky, Mandy Bemis, François Michonneau, Jean-Philippe Marechal, Romain Renoux","",NA,"",NA,"",NA,"11804-Echinodermata","Holothuria","843f96f9b59ea8230b1c0b283932a1cced7683d2",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","3c3e87b6-82ac-4c9b-bcea-8f9d218ad60a",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
"470",NA,"","",NA,NA,"",NA,"",NA,NA,"Guadeloupe Island",NA,"GM23-MNHN",NA,"PreservedSpecimen","",5,NA,NA,"",NA,NA,NA,NA,NA,"","9726f252-4840-42f6-9fcc-e0a9df87fdef","",NA,NA,NA,-61.769361,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T12:48:58.950Z",NA,"Lesser Antilles","",NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","E6F7C1BF-6A83-44FF-97B3-2E5826DA45DE",16.07075,NA,NA,"","","",NA,NA,18,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Xavier Kieser","",NA,"",NA,"",NA,"12828-Echinodermata","Holothuria","1bc61a5d8cd1a49a24e7edc74537d55f068aaf3e",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","9726f252-4840-42f6-9fcc-e0a9df87fdef",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
"573",NA,"","",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"PreservedSpecimen","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4121",NA,NA,NA,"Found dry in Feb. 2007  by GCB.",NA,NA,NA,1,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria glaberrima","4eb24f01-b748-4873-97fd-bbc4a0062188","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4121",NA,NA,NA,NA,NA,"MCZ",NA,NA,"1969-07-23",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-01-11T11:20:13.029Z",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IZ","Echinodermata","Holothuria glaberrima","","MCZ:IZ:HOL-4121",NA,0,NA,"1969-07-23","","",NA,NA,NA,"President and Fellows of Harvard College","",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,NA,NA,"[no agent data]","",NA,"",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"HOL-4121","Holothuria","3d0e08368b58ac17c567aff342311cfa5eca3f81",NA,"[no agent data], [no agent data]","","",NA,NA,"2012-06-22 15:02:58.0","en",NA,NA,"","4eb24f01-b748-4873-97fd-bbc4a0062188",NA,NA,"",NA,NA,NA,NA,"Playa Hotel Cumanagoto [Venezuela]",NA,"PhysicalObject",NA,NA,0.5,NA,"whole animal (dry)",NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic Ocean",NA,"Selenka, 1867",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"ICZN",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"not applicable","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"","Animalia","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,0.5,NA,NA,"",NA,"",NA,NA,NA
"731",NA,"","",NA,NA,"",NA,"",NA,NA,"Guadeloupe Island",NA,"GD41-MNHN",NA,"PreservedSpecimen","",5,NA,NA,"",NA,NA,NA,NA,NA,"","ca1c4fd2-34de-4280-a8bb-86db5643962f","",NA,NA,NA,-61.537167,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T09:08:05.582Z",NA,"Lesser Antilles","",NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","66F019D5-6953-48A6-BCC7-EF5B2CA8D9C8",16.348417,NA,NA,"","","",NA,NA,19,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Dominique Lamy, Laurent Pruvost","",NA,"",NA,"",NA,"12840-Echinodermata","Holothuria","b4525bc560aa4b4a75bf11b53b1600721f31a9a0",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","ca1c4fd2-34de-4280-a8bb-86db5643962f",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
"783",NA,"","",NA,NA,"",NA,"",NA,NA,"Guadeloupe Island",NA,"GM27-MNHN",NA,"PreservedSpecimen","",5,NA,NA,"",NA,NA,NA,NA,NA,"","a547b0de-a504-4100-8d93-d800a7e5b5b4","",NA,NA,NA,-61.444786,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T14:58:28.727Z",NA,"Lesser Antilles","",NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","316B18CB-1C85-45C0-8087-31B370CDCA55",16.202803,NA,NA,"","","",NA,NA,20,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Guillaume Dirberg, Joseph Poupin","",NA,"",NA,"",NA,"12690-Echinodermata","Holothuria","8ccf481f54ce97a8aa021e526a56f246afc98cdd",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","a547b0de-a504-4100-8d93-d800a7e5b5b4",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
"967",NA,"","",NA,NA,"",NA,"",NA,NA,"St. Martin",NA,"STM-032",NA,"PreservedSpecimen","",4,NA,NA,"",NA,NA,NA,NA,NA,"","18acb2c6-ac6c-4ce0-9d32-acf2e610f5e7","",NA,NA,NA,-63.014,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T10:54:30.450Z",NA,"French Antilles","",NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","1832CD9D-2AFC-4BCB-BAD2-88ECB56DD5E8",18.078,NA,NA,"","","",NA,NA,14,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Gustav Paulay, John Slapcinsky, Mandy Bemis, François Michonneau, Jean-Philippe Marechal, Romain Renoux","",NA,"",NA,"",NA,"11806-Echinodermata","Holothuria","e55799f26cd131f1efa6ee7681dd44b7941bd3b3",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","18acb2c6-ac6c-4ce0-9d32-acf2e610f5e7",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
"1873",NA,"","",NA,NA,"",NA,"",NA,NA,"St. Martin",NA,"STM-048",NA,"PreservedSpecimen","",4,NA,NA,"",NA,NA,NA,NA,NA,"","98915bd4-a2f3-44b8-b4de-429469398176","",NA,NA,NA,-63.012,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T14:24:19.060Z",NA,"French Antilles","",NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","2C73EDCF-B4F8-4444-B0CF-BF20215F1185",18.067,NA,NA,"","","",NA,NA,20,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Gustav Paulay, John Slapcinsky, Mandy Bemis, François Michonneau, Arthur Anker, Jean-Philippe Marechal, Zachary Whitener","",NA,"",NA,"",NA,"11872-Echinodermata","Holothuria","762949dba9e11790e1fa28417418e86746c9f0b4",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","98915bd4-a2f3-44b8-b4de-429469398176",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
"1983",NA,"","",NA,NA,"",NA,"",NA,NA,"Islas de la Bahia Dept.",NA,"R-0129",NA,"PreservedSpecimen","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","92807320-d2a1-4101-90b2-48a2dd9e5270","",NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T17:17:36.394Z",NA,"Honduras","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","493D0523-2392-4D6C-A180-D5172194072E",NA,NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"E. H. Vokes & H. E. Vokes","",NA,"",NA,"",NA,"5951-Echinodermata","Holothuria","5266353046e21821af493e24f3c2e4f27faf81b4",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","92807320-d2a1-4101-90b2-48a2dd9e5270",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2203",NA,"","",NA,NA,"",NA,"",NA,NA,"St. Martin",NA,"STM-032",NA,"PreservedSpecimen","",4,NA,NA,"",NA,NA,NA,NA,NA,"","e63ce6da-04a6-43fe-9947-edfcddc6d706","",NA,NA,NA,-63.014,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T16:19:05.533Z",NA,"French Antilles","",NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","3B243E00-D45F-4FFB-9161-6C10EFE3FB00",18.078,NA,NA,"","","",NA,NA,14,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Gustav Paulay, John Slapcinsky, Mandy Bemis, François Michonneau, Jean-Philippe Marechal, Romain Renoux","",NA,"",NA,"",NA,"11805-Echinodermata","Holothuria","577018e88f6dd7eb2eb715146b556698f735acaf",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","e63ce6da-04a6-43fe-9947-edfcddc6d706",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2464",NA,"","",NA,NA,"",NA,"",NA,NA,"",NA,"Baylor-008",NA,"PreservedSpecimen","",7,NA,NA,"",NA,NA,NA,NA,NA,"","5bde692a-96e9-4ac4-90e4-12ef9e9cfe0b","",NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,NA,NA,"glaberrima",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T12:49:11.588Z",NA,"Puerto Rico","",NA,NA,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","","Holothuria glaberrima","","2703D5C2-C141-4522-B03D-B7293444BD28",NA,NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Bryce C. Brown","",NA,"",NA,"",NA,"10860-Echinodermata","Holothuria","dfcbc43b7ea59949ab0da1bafad00f9ec9723780",NA,"","","",NA,NA,"09/08/2014","",NA,NA,"","5bde692a-96e9-4ac4-90e4-12ef9e9cfe0b",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Selenka",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","Aspidochirotida","",NA,NA,NA,NA,NA,NA,NA,"Holothuroidea","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","Holothuriidae",NA,NA,NA,NA,"",NA,"",NA,NA,NA
