"","dwc.georeferenceVerificationStatus","dwc.latestEpochOrHighestSeries","dcterms.bibliographicCitation","dwc.locationAccordingTo","dwc.accessRights","dwc.higherClassification","dwc.VerbatimEventDate","dwc.dateIdentified","inhs.locationTrs","dwc.year","dwc.rights","fcc.superfamily","dwc.associatedMedia","dwc.country","dwc.ownerInstitutionCode","dwc.member","dwc.locationID","idigbio.barcodeValue","dwc.lowestBiostratigraphicZone","symbiotaverbatimScientificName","dwc.nomenclaturalCode","fcc.pickedBy","dwc.occurrenceRemarks","idigbio.associateAuthor","idigbio.hostFamily","dwc.scientificName","dwc.endDayOfYear","dcterms.rights","dwc.taxonID","fcc.subfamily","dwc.eventDate","idigbio.associateNotes","dwc.eventTime","dwc.basisOfRecord","http...symbiota.org.terms.verbatimScientificName","dwc.maximumElevationInMeters","inhs.location_Basin","inhs.relic","dwc.associatedReferences","inhs.juv_males","dwc.verbatimEventDate","dwc.originalNameUsage","dwc.subgenus","dwc.catalogNumber","dwc.samplingProtocol","idigbio.associateRelationship","dwc.scientificNameID","dwc.georeferenceRemarks","dwc.scientificNameAuthorship","dwc.georeferencedDate","dcterms.type","dwc.order","idigbio.associateIdentifier","inhs.instars_Female","inhs.superfamily","dwc.samplingEffort","dwc.preparation","dwc.higherGeography","dwc.class","dwc.disposition","dwc.taxonRemarks","dwc.verbatimDepth","inhs.juv_females","inhs.formI_males","dwc.eventRemarks","dwc.nomenclaturalStatus","inhs.live","dwc.georeferenceProtocol","dwc.verbatimTaxonRank","dwc.associatedTaxa","idigbio.dateModified","dwc.locationRemarks","dwc.coordinateUncertaintyInMeters","dcterms.language","inhs.location_RiverMile","dwc.footprintWKT","dwc.verbatimElevation","dwc.latestAgeOrHighestStage","dwc.earliestEraOrLowestErathem","dwc.verbatimSRS","dwc.identifiedBy","idigbio.determinationHistory","idigbio.subfamily","dwc.lithostratigraphicTerms","dwc.dynamicProperties","id","inhs.formII_males","dwc.latestPeriodOrHighestSystem","dwc.informationWithheld","dwc.maximumDepthInMeters","dwc.collectionID","row.number","inhs.dead","symbiota.verbatimScientificName","idigbio.preparationCount","dwc.verbatimLatitude","dwc.genus","dwc.startDayOfYear","dwc.identificationQualifier","idigbio.associatedFamily","dwc.typeStatus","dwc.previousIdentifications","dcterms.accessRights","idigbio.createdBy","idigbio.subgenus","dwc.island","dwc.otherCatalogNumbers","dwc.specificEpithet","dwc.sex","idigbio.tribe","dwc.taxonRank","idigbio.etag","dwc.minimumElevationInMeters","dwc.rightsHolder","idigbio.version","dwc.georeferencedBy","inhs.vouchered","dwc.dataGeneralizations","dwc.locality","idigbio.associateDeterminedBy","dcterms.rightsHolder","dwc.earliestEpochOrLowestSeries","fcc.datePicked","dwc.datasetName","dwc.recordedBy","dwc.family","dwc.institutionCode","dwc.reproductiveCondition","inhs.instars_Male","inhs.juv_undetermined","dwc.occurrenceID","idigbio.recordId","dwc.waterBody","dwc.identificationID","inhs.total_females","dwc.preparations","dwc.verbatimLongitude","dwc.continent","idigbio.preservative","dwc.institutionID","dwc.decimalLatitude","dwc.county","dwc.verbatimCoordinateSystem","dwc.month","dwc.datasetID","dwc.verbatimCoordinates","dwc.associatedOccurrences","dwc.fieldNotes","dwc.vernacularName","idigbio.associateCommonName","dwc.phylum","idigbio.uuid","dwc.bed","idigbio.associateCondition","dwc.namePublishedInID","idigbio.recordIds","dwc.geodeticDatum","dwc.recordNumber","dwc.nameAccordingTo","inhs.total_Males","dwc.earliestAgeOrLowestStage","dwc.relatedResourceID","dwc.islandGroup","dwc.earliestPeriodOrLowestSystem","dwc.eventID","dwc.fieldNumber","dwc.latestEraOrHighestErathem","dwc.formation","dwc.infraspecificEpithet","dwc.individualCount","dwc.identificationVerificationStatus","dwc.minimumDepthInMeters","dcterms.reference","dwc.namePublishedIn","dwc.occurrenceStatus","dwc.identificationRemarks","inhs.location_Stream","dwc.establishmentMeans","dwc.associatedSequences","inhs.formII_females","dwc.kingdom","idigbio.endangeredStatus","dcterms.modified","dwc.municipality","dwc.collectionCode","dwc.habitat","dwc.georeferenceSources","dwc.group","dcterms.references","dwc.individualID","dwc.coordinatePrecision","dwc.lifeStage","dwc.countryCode","dcterms.source","dwc.behavior","dwc.verbatimLocality","dwc.stateProvince","dwc.identificationReferences","dwc.decimalLongitude","idigbio.substrate","dwc.day","idigbio.recordID","idigbio.associatedRelationship"
"139",NA,NA,NA,NA,NA,"",NA,"",NA,1975,NA,NA,"","USA","",NA,"UGI-Station-308",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"12273-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T11:44:43.867Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","15176f0e-9404-4ac7-9fc8-14ea34a84897",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"ddec004cac417f89a7b6e3295d044dea2cd28b01",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","Holothuriidae","FLMNH",NA,NA,NA,"DEA8A065-64BA-4D38-B37B-6A1EA887207B",NA,"",NA,NA,"","","",NA,"",13.5,"Guam Island","",10,NA,"","",NA,NA,NA,"","15176f0e-9404-4ac7-9fc8-14ea34a84897",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Mariana Islands",NA,144.8,NA,25,NA,NA
"167",NA,NA,NA,NA,NA,"",NA,"",NA,2006,NA,NA,"","Philippines","",NA,"SEMP-30",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"5595-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T09:53:13.186Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","15743b8d-420c-4b0c-873b-a17824e07f16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"38e328c37bf07c9399c595dab084b61f86622eca",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Kris Netchy & Alex Kerr","Holothuriidae","FLMNH",NA,NA,NA,"51886EF3-0C07-406A-BFE7-2194D3983D5E",NA,"",NA,NA,"","","",NA,"",NA,"","",6,NA,"","",NA,NA,NA,"","15743b8d-420c-4b0c-873b-a17824e07f16",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Bohol",NA,NA,NA,11,NA,NA
"169",NA,NA,NA,NA,NA,"",NA,"",NA,2000,NA,NA,"","USA","",NA,"ZZZ-087904",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"1323-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T10:02:12.716Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","941a9338-b678-42fa-87f1-19c2312fa1fa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"2f1073d8111157ac95b2fab0b81abc68c88e56c4",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Pittman, C.","Holothuriidae","FLMNH",NA,NA,NA,"F1A670F8-A039-4481-AED9-FCE4B477F603",NA,"",NA,NA,"","","",NA,"",NA,"Maui Island","",5,NA,"","",NA,NA,NA,"","941a9338-b678-42fa-87f1-19c2312fa1fa",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Hawaiian Islands",NA,NA,NA,11,NA,NA
"233",NA,NA,NA,NA,NA,"",NA,"",NA,2013,NA,NA,"","France","",NA,"NEST36",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"15776-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T16:26:45.382Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","f803c45f-2893-4789-b030-d86fd38da442",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"f50017592e2f8c06bc96a3142d2fbbe26d81830d",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Nathaniel Evans","Holothuriidae","FLMNH",NA,NA,NA,"0889AB1C-4446-4ACC-80DD-30D5A6392553",NA,"",NA,NA,"","","",NA,"",-18.48788,"","",11,NA,"","",NA,NA,NA,"","f803c45f-2893-4789-b030-d86fd38da442",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"New Caledonia",NA,163.09553,NA,23,NA,NA
"435",NA,NA,NA,NA,NA,"",NA,"",NA,2013,NA,NA,"","France","",NA,"NEST36",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"15899-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T12:21:36.585Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","409e0a3a-45e5-421d-b4ce-5ab93e4a5557",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"864bff80ab473325337db6e167eac585116aadb1",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Nathaniel Evans","Holothuriidae","FLMNH",NA,NA,NA,"69FCDF70-1169-49BE-988D-DEF77AD12362",NA,"",NA,NA,"","","",NA,"",-18.48788,"","",11,NA,"","",NA,NA,NA,"","409e0a3a-45e5-421d-b4ce-5ab93e4a5557",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"New Caledonia",NA,163.09553,NA,23,NA,NA
"463",NA,NA,NA,NA,NA,"",NA,"",NA,2009,NA,NA,"","Australia","",NA,"HI09-076",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"10093-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T12:24:46.693Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","405e6a69-e364-40a1-b3d1-822dd98a7035",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"d7f198f388a54420e6b148499b057a55507f6256",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","Holothuriidae","FLMNH",NA,NA,NA,"B246DDC9-1941-45A0-9AF5-B5DE7E0D5DA3",NA,"",NA,NA,"","","",NA,"",-23.4331666666667,"","",11,NA,"","",NA,NA,NA,"","405e6a69-e364-40a1-b3d1-822dd98a7035",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Queensland",NA,151.917083333333,NA,22,NA,NA
"559",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Pitcairn Islands","",NA,"JAS-HEN-Beach",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"3623-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T15:58:39.765Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","409d7e1e-bc62-4c39-beb6-006dc107f3da",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"ff9e787a62b3142df8284d5f51f729249ea5032b",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Starmer, J.","Holothuriidae","FLMNH",NA,NA,NA,"5092D46D-2668-4E71-AC33-DB28759B19FC",NA,"",NA,NA,"","","",NA,"",NA,"","",NA,NA,"","",NA,NA,NA,"","409d7e1e-bc62-4c39-beb6-006dc107f3da",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Henderson Island",NA,NA,NA,NA,NA,NA
"769",NA,NA,NA,NA,NA,"",NA,"",NA,2007,NA,NA,"","Federated States of Micronesia","",NA,"AK-Yap-10",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"5861-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T15:54:26.624Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","833bce4b-ea60-4a72-88ea-fdf0811b7296",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"885c65a8d440a49b7ab0c91c98ab2b259c6176fa",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Kris Netchy & Alex Kerr","Holothuriidae","FLMNH",NA,NA,NA,"444CB936-31D4-46EF-AA49-CEEA391D88EE",NA,"",NA,NA,"","","",NA,"",9.58444,"Yap State","",8,NA,"","",NA,NA,NA,"","833bce4b-ea60-4a72-88ea-fdf0811b7296",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Caroline Islands",NA,138.10982,NA,3,NA,NA
"774",NA,NA,NA,NA,NA,"",NA,"",NA,2003,NA,NA,"","USA","",NA,"CP-G-2003-013",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"1588-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T16:56:39.947Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","d29b43e1-6dd4-4cd0-9099-6cd4fe03bdd5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"fabdff5cfedab98da844e82fe3a0a69f36a45d01",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"Pittman, C.","Holothuriidae","FLMNH",NA,NA,NA,"FC8720A4-67EC-4384-9173-279DBE2BF3BE",NA,"",NA,NA,"","","",NA,"",20.99889,"Maui Island","",3,NA,"","",NA,NA,NA,"","d29b43e1-6dd4-4cd0-9099-6cd4fe03bdd5",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Hawaiian Islands",NA,-156.67083,NA,30,NA,NA
"779",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Northern Mariana Islands","",NA,"UGI-0007",NA,NA,NA,"",NA,NA,NA,NA,"Holothuria inhabilis",NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"",NA,"",NA,NA,"12659-Echinodermata","",NA,NA,"","Selenka",NA,"","Aspidochirotida",NA,NA,NA,NA,NA,"","Holothuroidea","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"2014-09-12T17:16:01.214Z","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","c7685c13-0893-4220-b3fd-ad05c6d6a557",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Holothuria",NA,NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","inhabilis","",NA,NA,"eb3162c8ce7fe39c0b50a6100d5c0627ab5f97ad",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","Holothuriidae","FLMNH",NA,NA,NA,"C7FE3E93-A905-4AD8-86A6-676EEAE612A5",NA,"",NA,NA,"","","",NA,"",NA,"","",NA,NA,"","",NA,NA,NA,"","c7685c13-0893-4220-b3fd-ad05c6d6a557",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"09/08/2014",NA,"Invertebrate Zoology","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"Mariana Islands",NA,NA,NA,NA,NA,NA
