"","dwc.identificationQualifier","dwc.verbatimDepth","dwc.locationRemarks","inhs.vouchered","dwc.preparations","dwc.minimumElevationInMeters","dwc.samplingEffort","dwc.individualCount","dwc.collectionCode","idigbio.subgenus","dwc.catalogNumber","fcc.superfamily","inhs.total_Males","dwc.institutionID","dcterms.type","dwc.bed","idigbio.determinationHistory","idigbio.barcodeValue","dwc.dynamicProperties","dwc.associatedReferences","dwc.taxonRemarks","dwc.occurrenceRemarks","dwc.associatedTaxa","idigbio.createdBy","dwc.month","dwc.georeferenceVerificationStatus","inhs.formII_females","dwc.earliestEpochOrLowestSeries","fcc.pickedBy","inhs.location_RiverMile","dwc.recordNumber","dwc.georeferenceSources","idigbio.associateRelationship","idigbio.recordId","dwc.samplingProtocol","idigbio.etag","idigbio.recordID","dwc.rightsHolder","dwc.dateIdentified","dwc.higherGeography","dwc.nameAccordingTo","inhs.juv_females","dwc.verbatimLongitude","dwc.municipality","dwc.eventTime","dwc.country","inhs.relic","inhs.live","dwc.relatedResourceID","idigbio.associateIdentifier","dwc.recordedBy","dwc.islandGroup","dwc.occurrenceID","idigbio.dateModified","dwc.ownerInstitutionCode","dwc.rights","dwc.reproductiveCondition","dwc.namePublishedInID","dwc.namePublishedIn","inhs.dead","dwc.lifeStage","inhs.formI_males","dwc.verbatimElevation","idigbio.associateCondition","dwc.typeStatus","symbiotaverbatimScientificName","dwc.waterBody","dwc.preparation","dwc.georeferencedBy","dwc.scientificNameID","dwc.identificationVerificationStatus","idigbio.associateAuthor","dwc.VerbatimEventDate","dwc.year","idigbio.subfamily","dwc.locationAccordingTo","dwc.verbatimSRS","dwc.group","dwc.decimalLatitude","idigbio.substrate","dwc.latestEpochOrHighestSeries","dwc.verbatimLatitude","fcc.subfamily","dwc.latestAgeOrHighestStage","dwc.datasetName","dwc.dataGeneralizations","dwc.endDayOfYear","dwc.lithostratigraphicTerms","dwc.habitat","dwc.formation","dwc.associatedSequences","dwc.infraspecificEpithet","dcterms.rights","dwc.georeferenceProtocol","dwc.nomenclaturalStatus","dwc.geodeticDatum","dwc.verbatimTaxonRank","dwc.specificEpithet","dcterms.references","dwc.scientificNameAuthorship","inhs.location_Stream","inhs.locationTrs","dwc.order","dcterms.language","dwc.member","inhs.juv_undetermined","dwc.associatedMedia","idigbio.hostFamily","idigbio.associateDeterminedBy","dwc.genus","dwc.class","dwc.identificationRemarks","dwc.otherCatalogNumbers","dwc.collectionID","idigbio.tribe","dwc.locality","inhs.formII_males","dwc.eventID","dwc.earliestAgeOrLowestStage","dwc.vernacularName","dwc.sex","dwc.associatedOccurrences","dwc.family","idigbio.associateCommonName","dcterms.source","idigbio.associateNotes","dwc.verbatimLocality","inhs.location_Basin","idigbio.associatedRelationship","dwc.verbatimEventDate","dwc.earliestEraOrLowestErathem","symbiota.verbatimScientificName","fcc.datePicked","idigbio.endangeredStatus","dwc.county","dcterms.bibliographicCitation","dwc.countryCode","row.number","dwc.previousIdentifications","dwc.fieldNotes","dwc.coordinateUncertaintyInMeters","dwc.verbatimCoordinates","dwc.fieldNumber","inhs.superfamily","inhs.instars_Female","dwc.continent","dwc.individualID","dcterms.modified","dwc.taxonID","dwc.locationID","dwc.day","dwc.footprintWKT","dcterms.reference","dwc.eventRemarks","dwc.eventDate","dwc.verbatimCoordinateSystem","idigbio.associatedFamily","id","idigbio.recordIds","dwc.earliestPeriodOrLowestSystem","dwc.stateProvince","dwc.identificationID","dwc.maximumDepthInMeters","dcterms.accessRights","dwc.occurrenceStatus","dwc.georeferencedDate","dwc.disposition","dwc.originalNameUsage","dwc.coordinatePrecision","dwc.accessRights","dwc.higherClassification","dwc.nomenclaturalCode","dwc.informationWithheld","http...symbiota.org.terms.verbatimScientificName","dwc.minimumDepthInMeters","inhs.total_females","dcterms.rightsHolder","dwc.datasetID","dwc.lowestBiostratigraphicZone","dwc.identificationReferences","inhs.instars_Male","dwc.island","dwc.startDayOfYear","dwc.phylum","inhs.juv_males","dwc.behavior","dwc.taxonRank","dwc.latestPeriodOrHighestSystem","idigbio.uuid","dwc.institutionCode","dwc.subgenus","dwc.kingdom","dwc.maximumElevationInMeters","idigbio.version","dwc.scientificName","idigbio.preparationCount","dwc.identifiedBy","dwc.basisOfRecord","dwc.latestEraOrHighestErathem","dwc.georeferenceRemarks","dwc.decimalLongitude","dwc.establishmentMeans","idigbio.preservative"
"97",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"13449-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",3,NA,NA,NA,NA,NA,"","",NA,NA,"","d19aaeced58b87af27c5057049c01987c7449628",NA,NA,"","",NA,NA,"",NA,NA,"Saudi Arabia",NA,NA,NA,NA,"Arthur Anker, Patrick Norby, Gustav Paulay",NA,"2A36FF5E-B5C1-4E5B-A72E-0210B56C31F4","2014-09-12T13:37:56.126Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2013,NA,NA,NA,NA,18.65952,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"SAFA-006",5,NA,NA,"","","",NA,"b797fe94-b2d3-4a18-94bc-8560acf5c959",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"b797fe94-b2d3-4a18-94bc-8560acf5c959","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",40.82697,NA,NA
"114",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"1791-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,NA,NA,NA,NA,NA,"","",NA,NA,"","18ce97947f87e999c41b9186739c56a4885d1ea1",NA,NA,"","",NA,NA,"",NA,NA,"Tanzania",NA,NA,NA,NA,"Chris Meyer",NA,"2044158F-A4E0-4A30-A309-4C560D0853AB","2014-09-12T14:00:00.509Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"ZZZ-088999",21,NA,NA,"","","",NA,"26760c00-5fda-41de-99f4-32021e99af0f",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"26760c00-5fda-41de-99f4-32021e99af0f","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",NA,NA,NA
"162",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"8430-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",2,NA,NA,NA,NA,NA,"","",NA,NA,"","fe824f7327a3530194833b93431731bcdd74ff1f",NA,NA,"","",NA,NA,"",NA,NA,"Australia",NA,NA,NA,NA,"François Michonneau, Robert Lasley",NA,"0E8CE95B-90D2-40A4-8F6C-DF13B86CFD6D","2014-09-12T11:17:26.542Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2009,NA,NA,NA,NA,-14.6652,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"AUST-ST-063",20,NA,NA,"","","",NA,"c984da60-c1c3-4e10-be68-c903f6d3d3d3",NA,NA,"Queensland",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"c984da60-c1c3-4e10-be68-c903f6d3d3d3","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",145.45,NA,NA
"386",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"4205-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,NA,NA,NA,NA,NA,"","",NA,NA,"","aab1450b978a31ea8479014d3caa73b6df3fea81",NA,NA,"","",NA,NA,"",NA,NA,"Oman",NA,NA,NA,NA,"V. Bonito, M. Claereboudt, G. Paulay",NA,"A90FE596-08DB-4CF3-BEC3-259320485D6D","2014-09-12T09:31:43.949Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2005,NA,NA,NA,NA,20.3987,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"GP-Loc-801",18,NA,NA,"","","",NA,"7d2e4988-73a5-46cc-8623-67cd9e850811",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"7d2e4988-73a5-46cc-8623-67cd9e850811","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",58.48965,NA,NA
"415",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"73-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",11,NA,NA,NA,NA,NA,"","",NA,NA,"","34ac25eeb30a9605ef2166983ff9d1940c515a7f",NA,NA,"","",NA,NA,"",NA,NA,"Oman",NA,NA,NA,NA,"Paulay, G.",NA,"B556FC52-A457-4D44-831A-EA2EBA290322","2014-09-12T13:56:32.240Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"GP-Loc-657",5,NA,NA,"","","",NA,"18d8657a-defd-46f9-878c-b1df4caf997a",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"18d8657a-defd-46f9-878c-b1df4caf997a","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",NA,NA,NA
"561",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"4199-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",1,NA,NA,NA,NA,NA,"","",NA,NA,"","142ac925d88f2d8a8f4033ffc460dcf5ad40bc1c",NA,NA,"","",NA,NA,"",NA,NA,"Oman",NA,NA,NA,NA,"V. Bonito, M. Claereboudt, G. Paulay",NA,"600A84BD-379D-4AC9-A7A4-8CC9E4EAD790","2014-09-12T16:17:54.163Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2005,NA,NA,NA,NA,20.3987,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"GP-Loc-801",18,NA,NA,"","","",NA,"42c96395-7c83-4df9-8630-07241edcdbe4",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"42c96395-7c83-4df9-8630-07241edcdbe4","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",58.48965,NA,NA
"738",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"13650-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",3,NA,NA,NA,NA,NA,"","",NA,NA,"","889f74690537e7d8a3d6e99c9bec18e4d98543fc",NA,NA,"","",NA,NA,"",NA,NA,"Saudi Arabia",NA,NA,NA,NA,"Arthur Anker, Patrick Norby, Gustav Paulay",NA,"AB3A2535-53D4-400E-8028-FE7724E8E849","2014-09-12T09:34:21.213Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2013,NA,NA,NA,NA,18.65952,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"SAFA-006",5,NA,NA,"","","",NA,"a17f18ec-2bd4-482a-bc64-c36816446030",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"a17f18ec-2bd4-482a-bc64-c36816446030","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",40.82697,NA,NA
"955",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"8284-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",2,NA,NA,NA,NA,NA,"","",NA,NA,"","f659f4e818867467b4bf139da1dbd2bb59e16ae8",NA,NA,"","",NA,NA,"",NA,NA,"Australia",NA,NA,NA,NA,"François Michonneau",NA,"340D2283-9733-47B4-90A4-33CE0A3E5E8D","2014-09-12T12:43:19.868Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2009,NA,NA,NA,NA,-14.3902,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"AUST-ST-026",12,NA,NA,"","","",NA,"01469fe8-524b-4301-96b5-40a4de2d67d1",NA,NA,"Queensland",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"01469fe8-524b-4301-96b5-40a4de2d67d1","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",145.2737,NA,NA
"988",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"8431-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",2,NA,NA,NA,NA,NA,"","",NA,NA,"","2706641d65eedc18d646e7a264276f4bc6f1d68a",NA,NA,"","",NA,NA,"",NA,NA,"Australia",NA,NA,NA,NA,"François Michonneau, Robert Lasley",NA,"F32A8E5F-1480-44D7-9BAA-7D68C367CA2D","2014-09-12T10:51:08.082Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2009,NA,NA,NA,NA,-14.6652,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"AUST-ST-063",20,NA,NA,"","","",NA,"a867b0bc-2a5e-4c82-b435-d6e7754acf30",NA,NA,"Queensland",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"a867b0bc-2a5e-4c82-b435-d6e7754acf30","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",145.45,NA,NA
"1020",NA,"","",NA,"",NA,NA,NA,"Invertebrate Zoology",NA,"13418-Echinodermata",NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",9,NA,NA,NA,NA,NA,"","",NA,NA,"","9f213d873a79898cf3d118902c06ee919b39f5d0",NA,NA,"","",NA,NA,"",NA,NA,"Egypt",NA,NA,NA,NA,"Arthur Anker",NA,"989211A8-874B-43FA-ABFC-BEB07FED8217","2014-09-12T09:43:47.896Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"",NA,"insignis","","Ludwig",NA,NA,"Aspidochirotida","",NA,NA,"",NA,NA,"Holothuria","Holothuroidea","","",NA,NA,"",NA,NA,NA,NA,"","","Holothuriidae",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"09/08/2014",NA,"Anker-Egypt-Dahab",NA,NA,NA,"","","",NA,"a969c042-4e6e-4c1c-9b20-0cd04768c0b7",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"a969c042-4e6e-4c1c-9b20-0cd04768c0b7","FLMNH",NA,"",NA,NA,"Holothuria insignis",NA,"","PreservedSpecimen",NA,"",NA,NA,NA
