"","row.number","dwc.individualID","dwc.taxonRemarks","dwc.coordinateUncertaintyInMeters","idigbio.tribe","dwc.endDayOfYear","dwc.scientificNameID","dwc.rights","idigbio.preparationCount","dwc.identificationVerificationStatus","dwc.verbatimTaxonRank","fcc.datePicked","dwc.datasetName","idigbio.recordID","dwc.nameAccordingTo","dwc.samplingEffort","dwc.waterBody","dwc.reproductiveCondition","dwc.nomenclaturalStatus","dwc.dynamicProperties","dwc.group","dwc.typeStatus","dwc.occurrenceRemarks","dcterms.source","dwc.VerbatimEventDate","dwc.identificationRemarks","dwc.associatedMedia","fcc.pickedBy","dwc.minimumDepthInMeters","inhs.formI_males","dwc.year","inhs.vouchered","inhs.location_Stream","inhs.total_females","dcterms.rightsHolder","dwc.vernacularName","dwc.scientificNameAuthorship","dwc.decimalLongitude","dwc.verbatimCoordinateSystem","dwc.identificationQualifier","dwc.kingdom","inhs.superfamily","inhs.location_RiverMile","idigbio.version","dwc.collectionID","dcterms.type","dwc.continent","dwc.verbatimLocality","dwc.bed","dwc.decimalLatitude","inhs.formII_males","dwc.locationRemarks","dwc.stateProvince","dwc.georeferenceVerificationStatus","idigbio.associatedRelationship","dwc.earliestPeriodOrLowestSystem","dwc.locationAccordingTo","dwc.verbatimSRS","dwc.nomenclaturalCode","idigbio.uuid","dwc.associatedSequences","idigbio.endangeredStatus","dwc.minimumElevationInMeters","dwc.georeferenceSources","dwc.footprintWKT","dwc.recordNumber","dwc.associatedOccurrences","dwc.geodeticDatum","dwc.locality","dwc.basisOfRecord","dwc.preparations","dwc.latestAgeOrHighestStage","http...symbiota.org.terms.verbatimScientificName","dwc.recordedBy","dwc.dateIdentified","inhs.live","dwc.ownerInstitutionCode","idigbio.hostFamily","dwc.fieldNotes","dwc.lowestBiostratigraphicZone","idigbio.createdBy","dwc.verbatimCoordinates","dwc.namePublishedIn","idigbio.subfamily","dwc.habitat","idigbio.etag","dwc.occurrenceID","dwc.sex","dwc.institutionID","dwc.latestEpochOrHighestSeries","dwc.informationWithheld","inhs.juv_females","dwc.georeferencedDate","dwc.latestEraOrHighestErathem","dwc.earliestEpochOrLowestSeries","dwc.fieldNumber","dwc.countryCode","idigbio.substrate","dcterms.modified","dwc.taxonID","symbiota.verbatimScientificName","inhs.total_Males","dcterms.rights","dwc.eventID","dcterms.bibliographicCitation","idigbio.subgenus","dwc.catalogNumber","dwc.order","dwc.verbatimDepth","dwc.verbatimLongitude","dwc.verbatimEventDate","dwc.taxonRank","idigbio.barcodeValue","dwc.coordinatePrecision","dwc.locationID","inhs.formII_females","inhs.juv_males","dwc.day","idigbio.associateAuthor","idigbio.preservative","dwc.preparation","dwc.relatedResourceID","inhs.instars_Female","dwc.phylum","dwc.occurrenceStatus","idigbio.associateDeterminedBy","idigbio.associateRelationship","idigbio.associateCommonName","dwc.islandGroup","dwc.infraspecificEpithet","dwc.municipality","idigbio.recordId","idigbio.associateCondition","dwc.identifiedBy","dwc.lithostratigraphicTerms","dcterms.language","dwc.class","inhs.location_Basin","dwc.earliestEraOrLowestErathem","dwc.samplingProtocol","dwc.otherCatalogNumbers","dwc.maximumDepthInMeters","idigbio.associateNotes","dwc.identificationReferences","idigbio.dateModified","dwc.eventTime","inhs.locationTrs","dwc.accessRights","dwc.identificationID","dwc.member","dwc.country","dwc.eventDate","idigbio.recordIds","idigbio.determinationHistory","symbiotaverbatimScientificName","inhs.dead","inhs.instars_Male","dwc.specificEpithet","idigbio.associatedFamily","inhs.juv_undetermined","dwc.latestPeriodOrHighestSystem","dwc.associatedReferences","id","dwc.namePublishedInID","dcterms.reference","dwc.maximumElevationInMeters","dwc.lifeStage","dwc.rightsHolder","dcterms.references","dwc.month","dwc.originalNameUsage","dwc.family","fcc.superfamily","dwc.georeferenceRemarks","fcc.subfamily","dwc.behavior","dwc.previousIdentifications","dwc.eventRemarks","dwc.disposition","dwc.georeferencedBy","dwc.individualCount","inhs.relic","idigbio.associateIdentifier","dwc.earliestAgeOrLowestStage","dwc.genus","dwc.higherGeography","dwc.startDayOfYear","dwc.formation","dcterms.accessRights","dwc.higherClassification","dwc.verbatimLatitude","dwc.subgenus","dwc.georeferenceProtocol","dwc.institutionCode","dwc.dataGeneralizations","dwc.datasetID","dwc.associatedTaxa","dwc.island","dwc.collectionCode","dwc.scientificName","dwc.establishmentMeans","dwc.verbatimElevation","dwc.county"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2008,NA,NA,NA,"",NA,"Brandt",48.2917,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-13.4069,NA,"","",NA,NA,NA,NA,NA,"","eacfc739-bc7b-4c11-8b35-0ccee43ac7b8",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"A. Anker","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","3023b69804a5dffb320091f08eeb7bb7cac46d8e","62EB16A1-662F-493D-BB97-936085FC1513","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"7557-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"MGNW-25",NA,NA,18,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T11:24:19.186Z",NA,NA,NA,NA,NA,"Madagascar","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","eacfc739-bc7b-4c11-8b35-0ccee43ac7b8",NA,NA,NA,NA,NA,"",5,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2011,NA,NA,NA,"",NA,"Brandt",121.803,"",NA,"",NA,NA,NA,NA,"","",NA,NA,25.142,NA,"","",NA,NA,NA,NA,NA,"","44bcf972-4098-47d4-af20-3995fbc817cf",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Mandy Bemis, Machel Malay, Jimmy Huang","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","e48d43145beb9e702e3f9585be413887143367bb","51F0C885-1DDF-4A7A-9C17-D026D922FA40","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"11128-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"AMB-St004",NA,NA,2,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T10:18:04.232Z",NA,NA,NA,NA,NA,"Taiwan","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","44bcf972-4098-47d4-af20-3995fbc817cf",NA,NA,NA,NA,NA,"",7,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2006,NA,NA,NA,"",NA,"Brandt",-149.765,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-17.4836,NA,"","Society Islands",NA,NA,NA,NA,NA,"","5a1bd0ec-0a79-48f9-9bfe-bfa366956001",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Christian McKeon, Chris Meyer, Gustav Paulay","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","37acd28782887c6c37e3d82c473a2e1ee4a718f4","10D8E6C3-869D-4B17-9BC4-A99FB207068C","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"5311-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"GP-Loc-901",NA,NA,6,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T12:47:44.086Z",NA,NA,NA,NA,NA,"French Polynesia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","5a1bd0ec-0a79-48f9-9bfe-bfa366956001",NA,NA,NA,NA,NA,"",8,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Moorea Island"
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,1983,NA,NA,NA,"",NA,"Brandt",NA,"",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Austral Islands",NA,NA,NA,NA,NA,"","d5b2d0f2-d5cf-44b9-8cc6-76cf31e09f86",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Paulay, G.","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","5e4665991524527bbe9d680c4040ddadc241d179","437664E7-37E3-4498-840E-4706B9617912","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"983-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"ZZZ-086916",NA,NA,10,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T15:09:37.850Z",NA,NA,NA,NA,NA,"French Polynesia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","d5b2d0f2-d5cf-44b9-8cc6-76cf31e09f86",NA,NA,NA,NA,NA,"",2,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Rimatara Island"
"281",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2008,NA,NA,NA,"",NA,"Brandt",58.755663,"",NA,"",NA,NA,NA,NA,"","",NA,NA,23.518016,NA,"","",NA,NA,NA,NA,NA,"","beb7257c-7617-4819-a2ac-45975a4c7e47",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Michel Claereboudt","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","203b846354da5b747666b77e59c3c39439f9a227","4FF70672-B4B6-4182-8C9E-1C9C02B77333","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"9124-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"MOM-03",NA,NA,16,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T17:46:28.184Z",NA,NA,NA,NA,NA,"Oman","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","beb7257c-7617-4819-a2ac-45975a4c7e47",NA,NA,NA,NA,NA,"",5,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
"475",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2003,NA,NA,NA,"",NA,"Brandt",144.7858167,"",NA,"",NA,NA,NA,NA,"","",NA,NA,13.42453333,NA,"","Mariana Islands",NA,NA,NA,NA,NA,"","9605803b-7b1c-4ba2-9841-400feaa6c82f",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Paulay, G., Malay, M., Bonito, V.","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","a4f22860fdbdaf03066873b4c43f074916735edd","4C1287CF-1E51-4306-B77B-A500EAFBE279","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"1693-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"GP-Loc-752",NA,NA,16,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T18:13:39.859Z",NA,NA,NA,NA,NA,"USA","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","9605803b-7b1c-4ba2-9841-400feaa6c82f",NA,NA,NA,NA,NA,"",7,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Guam Island"
"536",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2008,NA,NA,NA,"",NA,"Brandt",-149.75295,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-17.49631,NA,"","Society Islands",NA,NA,NA,NA,NA,"","a5e325ec-0985-4b82-b256-894c41b12b1d",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"A. Anker, J. Moore, G. Paulay, G. Hecht","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","405127d4eb703f7d0d64192f596e4e9c2827b88e","AF58E4B7-4DB0-40A6-91C9-93DDDC3FF92B","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"7967-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"MIB_036",NA,NA,15,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T16:14:11.563Z",NA,NA,NA,NA,NA,"French Polynesia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","a5e325ec-0985-4b82-b256-894c41b12b1d",NA,NA,NA,NA,NA,"",10,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Moorea Island"
"662",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,1992,NA,NA,NA,"",NA,"Brandt",NA,"",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","Caroline Islands",NA,NA,NA,NA,NA,"","79e0e1ea-31ec-4b81-89a7-967b364ac082",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Alex Kerr","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","921b5106352f052609f8196a62d151e2b49cab07","3A8E7E22-0077-4714-A8C1-79B7FA03E68C","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"12359-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"UGI-Station-411",NA,NA,1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T11:53:41.965Z",NA,NA,NA,NA,NA,"Micronesia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","79e0e1ea-31ec-4b81-89a7-967b364ac082",NA,NA,NA,NA,NA,"",7,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Kosrae State"
"667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2007,NA,NA,NA,"",NA,"Brandt",55.2437,"",NA,"",NA,NA,NA,NA,"","",NA,NA,-21.1008,NA,"","Mascarene Islands",NA,NA,NA,NA,NA,"","ecbae9ac-1774-4af7-8f30-4e04bc9f57f2",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Nicolas Hubert & Francois Michonneau","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","e4a3dfccf5f3262e4f1db4addcafec67a1e2d524","0C177576-49B2-4D1C-9BDF-C249BBDFAC66","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"6364-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"SWIO-FM36",NA,NA,29,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T12:03:55.088Z",NA,NA,NA,NA,NA,"France","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","ecbae9ac-1774-4af7-8f30-4e04bc9f57f2",NA,NA,NA,NA,NA,"",7,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,"Reunion Island"
"673",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"","",NA,NA,NA,2013,NA,NA,NA,"",NA,"Brandt",40.82697,"",NA,"",NA,NA,NA,NA,"","",NA,NA,18.65952,NA,"","",NA,NA,NA,NA,NA,"","520bb5ab-ab3c-4c9f-a5c2-ba03a6f51fb8",NA,NA,NA,"",NA,"","","","","PreservedSpecimen","",NA,NA,"Arthur Anker, Patrick Norby, Gustav Paulay","",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,"","e9c32af7b98f5b7c393c7e7bb6f8af96e86f8837","A2B10713-B67B-41D5-81E8-3C3B875994FF","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"09/08/2014",NA,NA,NA,NA,NA,NA,NA,"13649-Echinodermata","Aspidochirotida","","","",NA,NA,NA,"SAFA-006",NA,NA,5,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","Holothuroidea",NA,NA,"","",NA,NA,NA,"2014-09-12T12:32:19.341Z",NA,NA,NA,NA,NA,"Saudi Arabia","",NA,NA,NA,NA,NA,"leucospilota",NA,NA,NA,"","520bb5ab-ab3c-4c9f-a5c2-ba03a6f51fb8",NA,NA,NA,NA,NA,"",3,NA,"Holothuriidae",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"","",NA,"","FLMNH",NA,NA,NA,NA,"Invertebrate Zoology","Holothuria leucospilota",NA,NA,""
