"","dwc.individualID","dcterms.type","idigbio.associateCommonName","inhs.locationTrs","idigbio.associateNotes","dwc.dataGeneralizations","dwc.accessRights","dwc.associatedReferences","inhs.formII_males","dwc.minimumElevationInMeters","dwc.verbatimSRS","dwc.geodeticDatum","dwc.infraspecificEpithet","dwc.identificationRemarks","idigbio.endangeredStatus","dwc.kingdom","dwc.locationRemarks","dwc.waterBody","dwc.locationAccordingTo","dwc.fieldNotes","dwc.georeferencedDate","fcc.superfamily","idigbio.recordID","dwc.group","dwc.habitat","dwc.basisOfRecord","dwc.sex","dwc.recordNumber","id","dwc.verbatimDepth","dwc.informationWithheld","dwc.datasetName","dwc.higherGeography","dwc.samplingProtocol","inhs.total_Males","dwc.dateIdentified","dwc.fieldNumber","dwc.scientificName","dcterms.rightsHolder","dwc.behavior","dwc.latestAgeOrHighestStage","dwc.nameAccordingTo","dwc.disposition","idigbio.subfamily","dwc.associatedMedia","dwc.associatedOccurrences","dwc.reproductiveCondition","dcterms.language","idigbio.associateAuthor","dwc.earliestEpochOrLowestSeries","idigbio.associateIdentifier","dwc.latestEpochOrHighestSeries","idigbio.associatedFamily","inhs.formI_males","dwc.verbatimLatitude","idigbio.substrate","dwc.associatedTaxa","dcterms.bibliographicCitation","inhs.juv_undetermined","dwc.collectionCode","dwc.order","dwc.rightsHolder","http...symbiota.org.terms.verbatimScientificName","dwc.otherCatalogNumbers","dwc.year","dwc.verbatimCoordinates","dwc.taxonRemarks","idigbio.associateRelationship","dwc.relatedResourceID","dwc.namePublishedInID","dwc.month","dwc.earliestEraOrLowestErathem","fcc.subfamily","row.number","inhs.instars_Female","dwc.establishmentMeans","fcc.pickedBy","symbiotaverbatimScientificName","dwc.dynamicProperties","dwc.catalogNumber","dwc.georeferenceSources","dwc.lowestBiostratigraphicZone","dwc.namePublishedIn","dwc.eventRemarks","dwc.lithostratigraphicTerms","inhs.live","inhs.superfamily","dwc.verbatimElevation","dcterms.references","dwc.verbatimLocality","dwc.occurrenceStatus","fcc.datePicked","dwc.institutionCode","idigbio.subgenus","dwc.eventDate","dcterms.accessRights","dwc.preparation","dwc.latestPeriodOrHighestSystem","dwc.islandGroup","dwc.georeferenceVerificationStatus","symbiota.verbatimScientificName","idigbio.recordId","dwc.lifeStage","dwc.coordinateUncertaintyInMeters","dwc.identifiedBy","dwc.endDayOfYear","dwc.taxonID","dwc.eventTime","inhs.juv_males","dwc.datasetID","idigbio.preparationCount","dwc.scientificNameID","dwc.georeferencedBy","dwc.subgenus","dwc.island","dwc.occurrenceRemarks","dcterms.reference","dwc.locality","idigbio.barcodeValue","dwc.VerbatimEventDate","dwc.georeferenceRemarks","inhs.formII_females","idigbio.createdBy","dwc.recordedBy","dwc.bed","idigbio.associateCondition","idigbio.version","idigbio.uuid","dwc.maximumDepthInMeters","inhs.juv_females","dwc.municipality","dcterms.source","idigbio.etag","dwc.country","dwc.identificationQualifier","dwc.nomenclaturalCode","dwc.originalNameUsage","dwc.typeStatus","dwc.preparations","dwc.formation","dwc.vernacularName","dwc.coordinatePrecision","dwc.countryCode","dwc.identificationReferences","dwc.day","dcterms.rights","dwc.locationID","dwc.phylum","dwc.scientificNameAuthorship","dwc.nomenclaturalStatus","dwc.specificEpithet","dwc.samplingEffort","inhs.dead","dwc.family","dwc.minimumDepthInMeters","dwc.eventID","dwc.startDayOfYear","dwc.decimalLatitude","dwc.taxonRank","dcterms.modified","dwc.decimalLongitude","dwc.county","inhs.location_Basin","dwc.verbatimCoordinateSystem","dwc.member","dwc.identificationID","dwc.genus","dwc.footprintWKT","dwc.georeferenceProtocol","inhs.total_females","inhs.instars_Male","dwc.verbatimEventDate","dwc.earliestAgeOrLowestStage","dwc.collectionID","idigbio.associatedRelationship","idigbio.dateModified","dwc.rights","inhs.location_RiverMile","dwc.verbatimLongitude","dwc.verbatimTaxonRank","dwc.higherClassification","inhs.relic","dwc.earliestPeriodOrLowestSystem","dwc.associatedSequences","dwc.class","dwc.individualCount","idigbio.hostFamily","dwc.previousIdentifications","inhs.location_Stream","dwc.institutionID","dwc.latestEraOrHighestErathem","dwc.occurrenceID","idigbio.associateDeterminedBy","dwc.continent","idigbio.recordIds","dwc.ownerInstitutionCode","idigbio.preservative","dwc.identificationVerificationStatus","idigbio.tribe","dwc.stateProvince","dwc.maximumElevationInMeters","inhs.vouchered","idigbio.determinationHistory"
"285",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","8ae70d13-3ba6-41f4-80c0-1400ba5a26af","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16163-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"8ae70d13-3ba6-41f4-80c0-1400ba5a26af",NA,NA,NA,NA,"3c86a521854d7482e7183ef4980bd005346c6358","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,28,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T18:25:22.289Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"3952A4F1-4BD5-471B-AEBF-18CBE97D2659",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
"450",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","e33b3786-4e94-43eb-be4d-9e5d4ba3dac0","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16135-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"e33b3786-4e94-43eb-be4d-9e5d4ba3dac0",NA,NA,NA,NA,"a142555284c8bbd1d92ec5bc788e1de5d5787b6d","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,29,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T11:47:23.189Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"741A1646-0E00-4B15-B931-ED063D5F9563",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
"1331",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","de25614a-1862-42c4-8b1e-294bca6941a1","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16147-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"de25614a-1862-42c4-8b1e-294bca6941a1",NA,NA,NA,NA,"2a3c8a75ce82c41d76ee1b79fff4347a81710007","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,28,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T09:39:45.610Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"60311145-57C2-4D94-8AFB-07F1394A13B0",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
"1742",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","5c279aaa-c619-47ab-952a-d5add30b3c04","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16164-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"5c279aaa-c619-47ab-952a-d5add30b3c04",NA,NA,NA,NA,"eb51b5101b2e81cb59f14389ef93b302a46f4c26","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,26,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T15:14:22.403Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"DD6050B5-001C-4458-9441-D970E7E28D36",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
"1855",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","c6d820d8-2f34-4da3-bc1d-c67229698f98","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16152-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"c6d820d8-2f34-4da3-bc1d-c67229698f98",NA,NA,NA,NA,"68ea9bedfe0fd1b4b5bbcbcde1c65ea5775393aa","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,28,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T14:11:20.043Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"B6D10778-345C-415C-AC08-84F6B155204F",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
"1987",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","1555fd35-b68d-490a-85c3-84142c7edc0a","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16157-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"1555fd35-b68d-490a-85c3-84142c7edc0a",NA,NA,NA,NA,"a872e44592b18982ef3463128ac20d664e14e57d","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,28,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T15:22:57.489Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"CF845640-BEE5-4A74-8A05-9313B9ECA360",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
"2169",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","e838b3b5-d273-48f4-a9b8-eefccb7119e2","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16149-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"e838b3b5-d273-48f4-a9b8-eefccb7119e2",NA,NA,NA,NA,"9f18daa6e17d5ff49da475f08ce8bf1ae2769f48","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,28,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T10:21:35.736Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"F0FF47EA-61F9-4026-8A08-E4E4EC7B8934",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
"2219",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","4dd0c0df-2604-416a-a247-3b38fed04f2c","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16143-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"4dd0c0df-2604-416a-a247-3b38fed04f2c",NA,NA,NA,NA,"853d7c7b71189a403801b2be1513ed8826791445","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,28,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T18:46:17.092Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"9A7C769B-29C8-4F16-A6B5-220686E50FF5",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
"2600",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","62a19e4c-7ec7-4144-933a-c83e88f0a1d5","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1971,"",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"","16169-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert",NA,NA,NA,"62a19e4c-7ec7-4144-933a-c83e88f0a1d5",NA,NA,NA,NA,"6b6d9b235f0b9aa153c3804da8a85a9afcb231a6","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,2,NA,"Ebert-San Felipe","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,31.0405,NA,"09/08/2014",-114.8205,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T15:40:58.969Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"A26ECC7E-269D-44DF-A209-70FFB131BA7F",NA,"",NA,"",NA,"",NA,"Baja California",NA,NA,NA
"2777",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen","","","26c7b0e2-a1b0-4de9-90fd-073a5a20c980","",NA,NA,"","",NA,"","","Holothuria lubrica","",NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,"",1972,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","16011-Echinodermata","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","T. A. Ebert, D. M. Dexter",NA,NA,NA,"26c7b0e2-a1b0-4de9-90fd-073a5a20c980",NA,NA,NA,NA,"7f1f61f4890c2a2a906669c0380368ee3c9328d4","Mexico",NA,"",NA,"","",NA,NA,NA,NA,NA,27,NA,"Ebert-Los Frailes","","Selenka",NA,"lubrica",NA,NA,"Holothuriidae",NA,NA,NA,23.3827,NA,"09/08/2014",-109.4253,"",NA,"",NA,NA,"Holothuria",NA,"",NA,NA,"",NA,NA,NA,"2014-09-12T09:56:27.413Z",NA,NA,"",NA,"",NA,NA,NA,"Holothuroidea",NA,NA,NA,NA,"",NA,"A35C5BE0-524D-4238-8256-5357458F821C",NA,"",NA,"",NA,"",NA,"Baja California Sur",NA,NA,NA
