"","inhs.formII_females","dwc.month","dwc.year","dcterms.source","dwc.maximumDepthInMeters","dwc.decimalLongitude","row.number","dwc.stateProvince","dcterms.modified","dcterms.accessRights","dwc.scientificNameAuthorship","dwc.islandGroup","dwc.dynamicProperties","dwc.lifeStage","idigbio.determinationHistory","dwc.coordinateUncertaintyInMeters","dwc.verbatimCoordinateSystem","dwc.continent","dwc.recordedBy","dwc.maximumElevationInMeters","idigbio.subgenus","dwc.establishmentMeans","dwc.latestPeriodOrHighestSystem","dwc.georeferenceVerificationStatus","dwc.typeStatus","dwc.individualID","dwc.order","dwc.scientificName","dwc.taxonID","idigbio.preservative","dwc.institutionID","dwc.eventDate","idigbio.substrate","idigbio.associatedRelationship","dwc.family","dwc.genus","dwc.latestEpochOrHighestSeries","dwc.startDayOfYear","dwc.samplingProtocol","dcterms.reference","dwc.footprintWKT","dwc.verbatimLatitude","dwc.verbatimSRS","dwc.associatedOccurrences","dcterms.type","dwc.basisOfRecord","idigbio.etag","http...symbiota.org.terms.verbatimScientificName","idigbio.barcodeValue","dwc.datasetID","dwc.kingdom","inhs.vouchered","dwc.geodeticDatum","inhs.superfamily","dwc.namePublishedInID","dwc.datasetName","dwc.collectionID","dwc.class","dwc.waterBody","dwc.county","inhs.juv_females","dwc.specificEpithet","dwc.island","dwc.individualCount","dwc.verbatimEventDate","dwc.nameAccordingTo","dwc.georeferencedBy","symbiotaverbatimScientificName","dwc.associatedSequences","dwc.vernacularName","dwc.institutionCode","dwc.scientificNameID","dwc.dateIdentified","inhs.dead","dwc.accessRights","dwc.earliestPeriodOrLowestSystem","idigbio.associateNotes","fcc.superfamily","idigbio.version","dwc.ownerInstitutionCode","dwc.member","inhs.formII_males","dwc.higherGeography","dwc.verbatimLocality","dwc.identificationRemarks","idigbio.associateCommonName","inhs.juv_undetermined","dwc.collectionCode","dwc.georeferenceRemarks","idigbio.recordIds","idigbio.createdBy","dwc.day","inhs.total_females","dwc.coordinatePrecision","dwc.latestAgeOrHighestStage","dwc.VerbatimEventDate","dwc.earliestEraOrLowestErathem","dwc.originalNameUsage","idigbio.associateRelationship","dwc.eventID","dwc.municipality","dwc.locationAccordingTo","dwc.occurrenceRemarks","dwc.occurrenceStatus","dwc.namePublishedIn","dcterms.references","dwc.countryCode","dwc.rights","dwc.minimumDepthInMeters","dwc.identificationVerificationStatus","dwc.behavior","dwc.catalogNumber","dwc.recordNumber","fcc.subfamily","dwc.taxonRemarks","dwc.georeferenceSources","dwc.locality","inhs.total_Males","dwc.habitat","dwc.fieldNotes","dwc.earliestAgeOrLowestStage","inhs.relic","dwc.formation","dwc.associatedMedia","dwc.previousIdentifications","dwc.decimalLatitude","dwc.identificationReferences","dwc.georeferencedDate","dwc.subgenus","dwc.phylum","symbiota.verbatimScientificName","dcterms.rightsHolder","dwc.preparation","dwc.fieldNumber","dwc.verbatimElevation","dcterms.bibliographicCitation","fcc.pickedBy","inhs.instars_Female","idigbio.recordID","dwc.sex","idigbio.associateAuthor","id","idigbio.associatedFamily","dwc.rightsHolder","dwc.taxonRank","dwc.verbatimLongitude","dwc.relatedResourceID","inhs.location_Stream","dwc.minimumElevationInMeters","dwc.verbatimDepth","dwc.group","dwc.earliestEpochOrLowestSeries","dwc.verbatimTaxonRank","idigbio.associateDeterminedBy","dwc.samplingEffort","idigbio.tribe","dwc.lowestBiostratigraphicZone","dcterms.rights","inhs.juv_males","dwc.nomenclaturalCode","idigbio.uuid","dwc.georeferenceProtocol","idigbio.associateCondition","dwc.eventRemarks","dwc.identifiedBy","dwc.reproductiveCondition","dcterms.language","dwc.higherClassification","dwc.associatedTaxa","dwc.eventTime","dwc.latestEraOrHighestErathem","dwc.dataGeneralizations","idigbio.associateIdentifier","dwc.informationWithheld","dwc.country","inhs.location_RiverMile","dwc.occurrenceID","dwc.verbatimCoordinates","fcc.datePicked","inhs.location_Basin","idigbio.subfamily","dwc.endDayOfYear","dwc.preparations","dwc.bed","dwc.nomenclaturalStatus","dwc.locationRemarks","dwc.locationID","idigbio.hostFamily","dwc.associatedReferences","idigbio.recordId","inhs.instars_Male","idigbio.preparationCount","dwc.disposition","dwc.identificationQualifier","inhs.formI_males","idigbio.endangeredStatus","dwc.otherCatalogNumbers","dwc.lithostratigraphicTerms","dwc.identificationID","inhs.locationTrs","inhs.live","idigbio.dateModified","dwc.infraspecificEpithet"
"135",NA,5,2012,NA,NA,-61.544806,NA,"Guadeloupe Island","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Laurent Charles, Remy Penisson",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","abdc87491c3e5904a68b1ad7599e07c340e3920e",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"12680-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,16.304583,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"363537a9-4752-4937-b2aa-66724463b7f9",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","363537a9-4752-4937-b2aa-66724463b7f9","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Lesser Antilles",NA,"3F585FB1-FB59-4BC2-9215-C26982F8CFB9","",NA,NA,NA,NA,"",NA,NA,"","GM15-MNHN",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T11:36:49.230Z",""
"150",NA,11,2012,NA,NA,-68.8233333333333,NA,"Curacao","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","c4ce0b029990c31e35917cfdab9959ba75af03bb",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"16037-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,12.0473333333333,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"9b1b7b40-6a0e-44f9-b338-6aebdfa82690",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","9b1b7b40-6a0e-44f9-b338-6aebdfa82690","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Netherland Antilles",NA,"9029207A-DFE8-4442-B8F7-29C83BE9BFD4","",NA,NA,NA,NA,"",NA,NA,"","Cur Mangroves 1",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T09:49:18.754Z",""
"258",NA,5,1984,NA,NA,NA,NA,"","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Lewand, L.",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","ef5d17839d1ccd0f06ddccf0ba9d764c7a583041",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"1414-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"668c74fd-5cf6-43e9-afe4-3ed0097f6ab2",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","668c74fd-5cf6-43e9-afe4-3ed0097f6ab2","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"British Virgin Islands",NA,"4E12AE6A-F6ED-433A-90ED-043D59479CC0","",NA,NA,NA,NA,"",NA,NA,"","ZZZ-088568",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T15:54:41.162Z",""
"279",NA,1,2010,NA,NA,-75.0240833333333,NA,"","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Don DeMaria & Christian Boniface",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","ae9ef5d803c48b9f60ac0a8d303a09cc945e5cb1",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"10751-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,18.4000833333333,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"38d05595-9d87-4d6b-99df-fd25be719a1f",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","38d05595-9d87-4d6b-99df-fd25be719a1f","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"USA",NA,"827D4148-9A0D-4891-9DD0-0A61CA5D04BB","",NA,NA,NA,NA,"",NA,NA,"","CRRF-Navassa1",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T15:53:43.239Z",""
"387",NA,5,2003,NA,NA,-81.3663333333333,NA,"Florida","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","35aea5c6031de7b59ad1c680bf96e306785be7e0",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"11440-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,24.5581666666667,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"c9cdbee0-c297-4a3a-b5f7-f95fc230e692",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","c9cdbee0-c297-4a3a-b5f7-f95fc230e692","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"USA",NA,"8680048F-0DB4-45D5-BD7A-FE1E8AAB00D1","",NA,NA,NA,NA,"",NA,NA,"","NCI-Ramrod Reef 7",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T09:31:29.375Z",""
"1107",NA,5,2012,NA,NA,-61.538783,NA,"Guadeloupe Island","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Dominique Lamy, Laurent Pruvost",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","57ffae77b8cd68dd648747910f3a9516644826a7",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"12838-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,16.351933,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"cb2e6529-ea95-48d4-9a55-1843a41a2c86",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","cb2e6529-ea95-48d4-9a55-1843a41a2c86","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Lesser Antilles",NA,"A473ADC3-93BC-44CC-8B9C-B79917716618","",NA,NA,NA,NA,"",NA,NA,"","GD42-MNHN",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T13:26:46.352Z",""
"1589",NA,5,2008,NA,NA,-83.474,NA,"Florida","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","2e521e4dc479ecf8389e6ad623e6857faab8944c",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","Levy County",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"11460-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,29.0108333333333,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"c598763b-3723-4f35-a889-0a4a9193086b",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","c598763b-3723-4f35-a889-0a4a9193086b","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"USA",NA,"2D17E0DC-3D1F-4116-BE88-C94D6CC1E4E6","",NA,NA,NA,NA,"",NA,NA,"","NCI-Ken 3",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T12:51:09.845Z",""
"1610",NA,5,2012,NA,NA,-61.538783,NA,"Guadeloupe Island","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Dominique Lamy, Laurent Pruvost",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","5ae9e742d66f6d6a75bee7100da8895f166ebfa8",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"12681-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,16.351933,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"b6902a1f-08c5-4324-b812-7528e002d5f1",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","b6902a1f-08c5-4324-b812-7528e002d5f1","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Lesser Antilles",NA,"F30FCCC5-8400-4FFC-B355-AF0A83ADFEFB","",NA,NA,NA,NA,"",NA,NA,"","GD42-MNHN",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T13:18:23.801Z",""
"1683",NA,5,2003,NA,NA,-81.36625,NA,"Florida","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","186012d9d481f08d33f8571a87f10b689bd62657",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"3989-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,24.5581,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"5608443a-7aeb-4fa3-8b83-5e65305d13b4",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5608443a-7aeb-4fa3-8b83-5e65305d13b4","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"USA",NA,"53EF3059-52EB-4DEB-823E-4E58AE5B4ABA","",NA,NA,NA,NA,"",NA,NA,"","ZZZ-092175",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T16:23:45.919Z",""
"1930",NA,5,2012,NA,NA,-61.537167,NA,"Guadeloupe Island","09/08/2014",NA,"Ludwig",NA,"",NA,NA,NA,"","","Dominique Lamy, Laurent Pruvost",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida","Holothuria mexicana",NA,NA,"","",NA,NA,"Holothuriidae","Holothuria",NA,NA,"",NA,NA,"",NA,"","","PreservedSpecimen","d7b09936579d79b68d522c807d846636571e4ea8",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuroidea","","",NA,"mexicana",NA,NA,"",NA,"",NA,NA,NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"Invertebrate Zoology","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"12837-Echinodermata","",NA,NA,"","",NA,"",NA,NA,NA,NA,"",NA,16.348417,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"e98ebf7f-0ce7-408c-833b-6d4d459695d1",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","e98ebf7f-0ce7-408c-833b-6d4d459695d1","",NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"Lesser Antilles",NA,"950D6517-07F6-48CD-9341-56DF34C10D2A","",NA,NA,NA,NA,"",NA,NA,"","GD41-MNHN",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"2014-09-12T10:21:12.193Z",""
