"","dwc.maximumDepthInMeters","dwc.higherGeography","dcterms.reference","inhs.location_RiverMile","dwc.establishmentMeans","dwc.individualCount","dwc.georeferenceSources","dwc.reproductiveCondition","dwc.coordinateUncertaintyInMeters","dwc.verbatimEventDate","dwc.verbatimCoordinateSystem","dwc.collectionCode","dwc.infraspecificEpithet","dwc.datasetID","dwc.verbatimDepth","dwc.order","dwc.VerbatimEventDate","dwc.fieldNotes","dwc.typeStatus","inhs.superfamily","idigbio.tribe","dcterms.rightsHolder","idigbio.subgenus","dcterms.bibliographicCitation","idigbio.recordID","dwc.minimumDepthInMeters","fcc.pickedBy","dwc.phylum","dwc.county","inhs.dead","dwc.georeferencedDate","idigbio.createdBy","inhs.locationTrs","dwc.latestPeriodOrHighestSystem","idigbio.hostFamily","dwc.lifeStage","dwc.nomenclaturalCode","dwc.startDayOfYear","dwc.month","dwc.otherCatalogNumbers","dwc.countryCode","dwc.formation","dwc.identificationQualifier","dwc.eventTime","dwc.verbatimTaxonRank","dwc.originalNameUsage","dwc.decimalLongitude","inhs.formII_females","dwc.waterBody","dcterms.rights","dwc.eventRemarks","idigbio.associateAuthor","dwc.footprintWKT","dwc.year","idigbio.preservative","dcterms.references","dwc.latestEpochOrHighestSeries","dwc.basisOfRecord","dwc.genus","dwc.identificationRemarks","idigbio.recordId","dwc.namePublishedIn","dwc.occurrenceRemarks","row.number","dwc.locality","dcterms.accessRights","idigbio.substrate","dwc.coordinatePrecision","dwc.latestAgeOrHighestStage","dwc.preparation","idigbio.endangeredStatus","dwc.verbatimElevation","dwc.day","dwc.samplingEffort","dwc.scientificNameAuthorship","inhs.juv_males","dwc.scientificName","idigbio.dateModified","dwc.verbatimLocality","dwc.verbatimLongitude","idigbio.associateNotes","dwc.georeferencedBy","dcterms.type","dwc.sex","dwc.higherClassification","dwc.namePublishedInID","dwc.relatedResourceID","dwc.verbatimLatitude","dwc.associatedReferences","dwc.recordedBy","dwc.specificEpithet","inhs.live","dwc.taxonRemarks","dwc.latestEraOrHighestErathem","inhs.formII_males","inhs.formI_males","dwc.islandGroup","dwc.associatedSequences","dwc.stateProvince","dwc.occurrenceID","dwc.earliestEpochOrLowestSeries","dwc.kingdom","dwc.associatedOccurrences","dwc.earliestAgeOrLowestStage","dwc.associatedTaxa","dwc.continent","dwc.fieldNumber","dwc.locationAccordingTo","id","dwc.rights","dwc.individualID","dwc.bed","dwc.catalogNumber","idigbio.associateRelationship","http...symbiota.org.terms.verbatimScientificName","dwc.nameAccordingTo","inhs.location_Stream","idigbio.uuid","idigbio.subfamily","dwc.earliestEraOrLowestErathem","dwc.associatedMedia","dwc.subgenus","dwc.island","dwc.institutionCode","dwc.institutionID","dwc.decimalLatitude","inhs.total_females","idigbio.determinationHistory","dwc.informationWithheld","dwc.dataGeneralizations","dwc.habitat","dwc.georeferenceRemarks","dwc.country","idigbio.associatedFamily","dwc.behavior","dwc.lithostratigraphicTerms","dwc.identificationReferences","symbiotaverbatimScientificName","idigbio.recordIds","inhs.juv_females","dcterms.language","dwc.family","dcterms.source","dwc.endDayOfYear","dwc.disposition","idigbio.version","inhs.location_Basin","dwc.earliestPeriodOrLowestSystem","idigbio.associatedRelationship","idigbio.barcodeValue","dwc.vernacularName","dwc.samplingProtocol","dwc.identifiedBy","dwc.identificationID","inhs.vouchered","idigbio.etag","dwc.eventID","dwc.identificationVerificationStatus","inhs.instars_Male","dwc.dynamicProperties","dwc.collectionID","inhs.total_Males","idigbio.preparationCount","dwc.maximumElevationInMeters","idigbio.associateDeterminedBy","dwc.taxonRank","dwc.georeferenceProtocol","dwc.lowestBiostratigraphicZone","dwc.geodeticDatum","inhs.juv_undetermined","dwc.municipality","dwc.datasetName","dwc.eventDate","symbiota.verbatimScientificName","dwc.minimumElevationInMeters","dwc.nomenclaturalStatus","fcc.datePicked","dwc.previousIdentifications","dwc.ownerInstitutionCode","idigbio.associateIdentifier","fcc.subfamily","dwc.rightsHolder","dwc.georeferenceVerificationStatus","idigbio.associateCommonName","dwc.accessRights","dwc.dateIdentified","dwc.recordNumber","dwc.scientificNameID","dwc.verbatimCoordinates","dwc.class","inhs.relic","dwc.locationID","dwc.preparations","dwc.locationRemarks","dwc.verbatimSRS","dwc.group","idigbio.associateCondition","dwc.member","dwc.taxonID","fcc.superfamily","dwc.occurrenceStatus","inhs.instars_Female","dcterms.modified"
"209",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","Juan de Nova Island",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,4,"",NA,NA,NA,NA,NA,NA,42.7306,NA,"",NA,"",NA,NA,2009,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,26,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T12:41:18.975Z",NA,"",NA,"","","","",NA,NA,"","","H. Bruggemann, M. Malay","nobilis",NA,NA,NA,NA,NA,NA,NA,"Scattered Islands","4885C4B5-E9D3-46F2-9E04-87BB12BAEFFF",NA,"","",NA,NA,"","",NA,"90a249db-a4b1-4090-a359-42d044426938",NA,NA,NA,"9224-Echinodermata",NA,NA,NA,NA,"90a249db-a4b1-4090-a359-42d044426938",NA,NA,"",NA,NA,"FLMNH","",-17.07825,NA,NA,NA,NA,"","","France",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"b5512d84c32866bdf68c9de4f771c7a936707f39",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"JDNO-1","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"424",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,10,"",NA,NA,NA,NA,NA,NA,38.9660666666667,NA,"",NA,"",NA,NA,2012,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,9,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T14:19:42.938Z",NA,"",NA,"","","","",NA,NA,"","","Gustav Paulay","nobilis",NA,NA,NA,NA,NA,NA,NA,"","C99030C3-75E8-4179-9222-E41C3C483224",NA,"","",NA,NA,"","",NA,"4c4786ed-12ea-4560-9111-945fc5260e4c",NA,NA,NA,"12145-Echinodermata",NA,NA,NA,NA,"4c4786ed-12ea-4560-9111-945fc5260e4c",NA,NA,"",NA,NA,"FLMNH","",22.2242666666667,NA,NA,NA,NA,"","","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"dacd71c34b9d3d9dcaf421774b890a54cc59aadd",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"DJRS-037","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"427",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","Mayotte Island",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,6,"",NA,NA,NA,NA,NA,NA,45.268639,NA,"",NA,"",NA,NA,2008,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T12:01:09.452Z",NA,"",NA,"","","","",NA,NA,"","","Arthur Anker, François Michonneau","nobilis",NA,NA,NA,NA,NA,NA,NA,"Comoros Islands","E272962D-E4A0-4ADF-A931-B0D93666B996",NA,"","",NA,NA,"","",NA,"cd32329d-3fae-4ba3-9ba1-a98de1c6c3ae",NA,NA,NA,"6890-Echinodermata",NA,NA,NA,NA,"cd32329d-3fae-4ba3-9ba1-a98de1c6c3ae",NA,NA,"",NA,NA,"FLMNH","",-12.859323,NA,NA,NA,NA,"","","France",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"3e6b9206ad9b52dc86c8a7cf5603b5798ee71e2b",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"MAY08-St5","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"1035",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","Reunion Island",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,8,"",NA,NA,NA,NA,NA,NA,55.23211111,NA,"",NA,"",NA,NA,2007,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,6,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T10:11:32.792Z",NA,"",NA,"","","","",NA,NA,"","","Henrich Bruggemann, Nicolas Hubert, Francois Michonneau & Gustav Paulay","nobilis",NA,NA,NA,NA,NA,NA,NA,"Mascarene Islands","F5B99E8E-ED15-49E0-820A-99C2B2537544",NA,"","",NA,NA,"","",NA,"4c5735ff-fdd6-4e48-b025-bd62c2c387c8",NA,NA,NA,"7414-Echinodermata",NA,NA,NA,NA,"4c5735ff-fdd6-4e48-b025-bd62c2c387c8",NA,NA,"",NA,NA,"FLMNH","",-21.02015833,NA,NA,NA,NA,"","","France",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"48abdad1e8b9269c43de0270c358d5aa880a98c0",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"SWIO-3","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"1121",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,9,"",NA,NA,NA,NA,NA,NA,34.740667,NA,"",NA,"",NA,NA,2013,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,29,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T18:10:37.488Z",NA,"",NA,"","","","",NA,NA,"","","Serge Andrefouet","nobilis",NA,NA,NA,NA,NA,NA,NA,"","28B720BA-32CE-4605-A468-4220853DD5E6",NA,"","",NA,NA,"","",NA,"0fed2d2a-782a-483c-928b-63ff6d86083e",NA,NA,NA,"14188-Echinodermata",NA,NA,NA,NA,"0fed2d2a-782a-483c-928b-63ff6d86083e",NA,NA,"",NA,NA,"FLMNH","",28.403867,NA,NA,NA,NA,"","","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"b5c4c21745286eba4b7dfd1d040abe54639722a8",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"NORS-14","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"1372",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","Juan de Nova Island",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,4,"",NA,NA,NA,NA,NA,NA,42.6725,NA,"",NA,"",NA,NA,2009,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,29,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T11:34:27.515Z",NA,"",NA,"","","","",NA,NA,"","","H. Bruggemann, C. Bourmaud, M. Malay, J.P. Rousse, J.B. Galves","nobilis",NA,NA,NA,NA,NA,NA,NA,"Scattered Islands","83CA0AFC-96A5-4E1B-8FFA-659F746CB784",NA,"","",NA,NA,"","",NA,"59d2e594-c79c-4053-a7bd-b13154c4e26f",NA,NA,NA,"9257-Echinodermata",NA,NA,NA,NA,"59d2e594-c79c-4053-a7bd-b13154c4e26f",NA,NA,"",NA,NA,"FLMNH","",-17.04055,NA,NA,NA,NA,"","","France",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"513f66375636bdd0a0b820e334edfe4d644193ca",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"JDNO-15","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"1562",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,10,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,2012,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,8,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T10:59:23.938Z",NA,"",NA,"","","","",NA,NA,"","","Gustav Paulay","nobilis",NA,NA,NA,NA,NA,NA,NA,"","1A0C9110-1F9F-4DC7-8B65-5CD46DA0F097",NA,"","",NA,NA,"","",NA,"7066dcc4-12e8-42df-b6ea-9f2583f420dd",NA,NA,NA,"12140-Echinodermata",NA,NA,NA,NA,"7066dcc4-12e8-42df-b6ea-9f2583f420dd",NA,NA,"",NA,NA,"FLMNH","",NA,NA,NA,NA,NA,"","","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"a46cb491b770634f2f94235b6b20346e7c32eafb",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"DJRS-034","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"1699",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","Juan de Nova Island",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,4,"",NA,NA,NA,NA,NA,NA,42.6725,NA,"",NA,"",NA,NA,2009,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,29,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T17:58:01.030Z",NA,"",NA,"","","","",NA,NA,"","","H. Bruggemann, C. Bourmaud, M. Malay, J.P. Rousse, J.B. Galves","nobilis",NA,NA,NA,NA,NA,NA,NA,"Scattered Islands","9545D703-84B0-4C3A-9D0E-2DBBAD9D902A",NA,"","",NA,NA,"","",NA,"cd7060ca-2d9c-40d9-b96b-a01b44c6ed42",NA,NA,NA,"9259-Echinodermata",NA,NA,NA,NA,"cd7060ca-2d9c-40d9-b96b-a01b44c6ed42",NA,NA,"",NA,NA,"FLMNH","",-17.04055,NA,NA,NA,NA,"","","France",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"86ce9666815cfb0620a87414ed98353ac067e69e",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"JDNO-15","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"1764",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","Glorieuses Island",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,5,"",NA,NA,NA,NA,NA,NA,47.29085,NA,"",NA,"",NA,NA,2009,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,4,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T13:27:57.729Z",NA,"",NA,"","","","",NA,NA,"","","V. Denis, M. Guillaume, H. Bruggemann, J.P. Rousse, G.B. Galves","nobilis",NA,NA,NA,NA,NA,NA,NA,"Scattered Islands","232F04DC-BF9C-4239-A9F7-E9E8372256C3",NA,"","",NA,NA,"","",NA,"994e944f-8508-41e8-b34a-73e5a9562ea6",NA,NA,NA,"9290-Echinodermata",NA,NA,NA,NA,"994e944f-8508-41e8-b34a-73e5a9562ea6",NA,NA,"",NA,NA,"FLMNH","",-11.5653,NA,NA,NA,NA,"","","France",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"e0359f817fca4112b15e2ba1228c0d8d4c303542",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"GLOR-4","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
"2014",NA,"",NA,NA,NA,NA,"",NA,NA,"","","Invertebrate Zoology","",NA,"","Aspidochirotida",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"","Mayotte Island",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,6,"",NA,NA,NA,NA,NA,NA,45.268639,NA,"",NA,"",NA,NA,2008,NA,"",NA,"PreservedSpecimen","Holothuria","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,"Selenka",NA,"Holothuria nobilis","2014-09-12T13:30:02.720Z",NA,"",NA,"","","","",NA,NA,"","","Arthur Anker, François Michonneau","nobilis",NA,NA,NA,NA,NA,NA,NA,"Comoros Islands","94ED884D-D0BB-4263-97F3-ACD263E75008",NA,"","",NA,NA,"","",NA,"676db88b-d72c-497c-87ab-c0085e27a9cf",NA,NA,NA,"6891-Echinodermata",NA,NA,NA,NA,"676db88b-d72c-497c-87ab-c0085e27a9cf",NA,NA,"",NA,NA,"FLMNH","",-12.859323,NA,NA,NA,NA,"","","France",NA,NA,NA,NA,NA,NA,NA,"","Holothuriidae",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"ed4194b85137c7689e68cbec2d9402c772725e85",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Holothuroidea",NA,"MAY08-St5","","",NA,NA,NA,NA,NA,NA,NA,NA,"09/08/2014"
