"","idigbio.recordId","dwc.day","dwc.locationRemarks","dwc.eventTime","inhs.formI_males","idigbio.tribe","dwc.specificEpithet","dwc.occurrenceStatus","dwc.maximumDepthInMeters","idigbio.associateRelationship","inhs.location_Basin","dwc.georeferencedBy","dwc.phylum","inhs.juv_males","dwc.higherGeography","dcterms.bibliographicCitation","dwc.preparation","idigbio.determinationHistory","idigbio.subfamily","dwc.eventDate","dwc.collectionCode","dwc.class","dwc.georeferenceRemarks","dwc.namePublishedInID","idigbio.subgenus","inhs.locationTrs","dwc.geodeticDatum","dwc.institutionCode","dwc.individualID","dwc.behavior","idigbio.version","dwc.order","inhs.formII_males","idigbio.preparationCount","dwc.individualCount","dwc.lowestBiostratigraphicZone","dwc.startDayOfYear","idigbio.associateCommonName","dwc.identificationReferences","dwc.sex","dwc.samplingEffort","dwc.collectionID","dwc.catalogNumber","dcterms.accessRights","dwc.verbatimLocality","dwc.otherCatalogNumbers","idigbio.preservative","dwc.dateIdentified","dwc.previousIdentifications","dwc.habitat","dwc.latestEraOrHighestErathem","dwc.locationID","dwc.identificationQualifier","dwc.verbatimCoordinates","idigbio.createdBy","dwc.fieldNumber","dwc.eventRemarks","dwc.maximumElevationInMeters","idigbio.associateNotes","dwc.waterBody","dwc.identifiedBy","dwc.continent","dwc.occurrenceID","idigbio.dateModified","inhs.superfamily","idigbio.associateCondition","dwc.verbatimDepth","dwc.verbatimLatitude","dwc.verbatimLongitude","idigbio.associatedFamily","dwc.VerbatimEventDate","dwc.associatedMedia","dwc.samplingProtocol","dwc.latestAgeOrHighestStage","dwc.verbatimSRS","dwc.georeferencedDate","dwc.taxonRank","idigbio.hostFamily","symbiotaverbatimScientificName","idigbio.recordID","dwc.institutionID","dwc.subgenus","dwc.latestPeriodOrHighestSystem","dwc.namePublishedIn","dwc.coordinatePrecision","dwc.nomenclaturalStatus","dwc.dynamicProperties","dwc.verbatimCoordinateSystem","dwc.infraspecificEpithet","dwc.lifeStage","idigbio.barcodeValue","dwc.island","dwc.associatedOccurrences","dwc.ownerInstitutionCode","dwc.family","dwc.vernacularName","idigbio.etag","inhs.location_RiverMile","dwc.scientificNameID","inhs.formII_females","dwc.accessRights","dwc.locality","dwc.georeferenceProtocol","dwc.member","dwc.relatedResourceID","idigbio.associatedRelationship","dwc.fieldNotes","dwc.scientificName","dwc.kingdom","dwc.minimumElevationInMeters","dwc.decimalLongitude","dwc.county","dwc.endDayOfYear","inhs.location_Stream","dwc.identificationRemarks","dwc.latestEpochOrHighestSeries","dwc.georeferenceVerificationStatus","dwc.bed","dwc.establishmentMeans","symbiota.verbatimScientificName","dwc.municipality","dwc.identificationVerificationStatus","idigbio.associateIdentifier","dwc.recordedBy","dwc.earliestPeriodOrLowestSystem","dwc.nomenclaturalCode","row.number","dwc.taxonRemarks","dwc.coordinateUncertaintyInMeters","dwc.datasetID","inhs.juv_females","dwc.genus","dwc.countryCode","dwc.earliestAgeOrLowestStage","dwc.preparations","dwc.year","id","fcc.datePicked","dwc.associatedTaxa","idigbio.recordIds","dwc.associatedReferences","dwc.higherClassification","dwc.identificationID","dwc.eventID","dcterms.source","fcc.subfamily","dwc.locationAccordingTo","dwc.disposition","dwc.recordNumber","inhs.vouchered","dwc.earliestEraOrLowestErathem","dwc.verbatimElevation","dwc.group","dwc.typeStatus","dcterms.rights","dwc.month","dcterms.reference","dwc.earliestEpochOrLowestSeries","dcterms.modified","dwc.stateProvince","dwc.dataGeneralizations","dcterms.references","dwc.scientificNameAuthorship","inhs.total_females","idigbio.substrate","idigbio.uuid","fcc.pickedBy","idigbio.associateAuthor","dwc.originalNameUsage","inhs.dead","http...symbiota.org.terms.verbatimScientificName","dwc.rightsHolder","dwc.formation","dcterms.type","dwc.minimumDepthInMeters","dwc.georeferenceSources","dwc.nameAccordingTo","dwc.taxonID","idigbio.associateDeterminedBy","inhs.total_Males","dwc.basisOfRecord","inhs.relic","idigbio.endangeredStatus","dwc.footprintWKT","dwc.country","dwc.occurrenceRemarks","dwc.lithostratigraphicTerms","dwc.associatedSequences","fcc.superfamily","dwc.reproductiveCondition","dcterms.rightsHolder","inhs.instars_Female","dwc.verbatimEventDate","dwc.datasetName","dwc.decimalLatitude","dwc.informationWithheld","inhs.instars_Male","dwc.verbatimTaxonRank","dwc.islandGroup","inhs.live","dwc.rights","inhs.juv_undetermined","dcterms.language"
"374",NA,4,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"4861-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"Herrera-2006-05-04",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","A35CA8B9-C666-44C7-9F61-A08B03B0E5C2","2014-09-12T09:06:45.943Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"6dbc03d37315e58d2018e289712f83219f779445",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,-82.7523333333333,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"Herrera, J.",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2006,"8b905f0b-34a1-4028-ae7a-5facae5abfaf",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,5,NA,NA,"09/08/2014","Florida",NA,"","Selenka",NA,NA,"8b905f0b-34a1-4028-ae7a-5facae5abfaf",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,"",NA,27.2393333333333,NA,NA,NA,NA,NA,NA,NA,""
"558",NA,16,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"7886-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"MJKL-St-01",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","DB0EDE0C-3F9D-412B-BDF1-A8DB7450BC23","2014-09-12T16:30:19.587Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"2f6146436fca51146ee9a5384fe017f62c83c26c",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"Machel Malay & Jimmy Huang",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2008,"089b8483-2f7c-41c3-80c1-c66efe3fcd23",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,12,NA,NA,"09/08/2014","Georgia",NA,"","Selenka",NA,NA,"089b8483-2f7c-41c3-80c1-c66efe3fcd23",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"570",NA,17,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"13404-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"GM21-MNHN",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","047DADE8-D5B6-40F8-99DE-686AB0049C1A","2014-09-12T15:02:49.252Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"4477209694bc0bc3afe45f57b1269ab76c8c4b4c",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,-61.522778,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"Laurent Pruvost, Olivier Gros, Florence Rousseau",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2012,"3a9c7a1a-0cf9-4b8f-bb44-b21713425374",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,5,NA,NA,"09/08/2014","Guadeloupe Island",NA,"","Selenka",NA,NA,"3a9c7a1a-0cf9-4b8f-bb44-b21713425374",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Lesser Antilles",NA,NA,NA,NA,NA,"",NA,"",NA,16.392778,NA,NA,NA,NA,NA,NA,NA,""
"1377",NA,16,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"7887-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"MJKL-St-01",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","DEB0F016-065E-4E9C-901D-5FADAD340A77","2014-09-12T11:51:14.397Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"6af68cf4cac654b198e4ebdeeb60d5d1daf662e4",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"Machel Malay & Jimmy Huang",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2008,"cc481734-53b5-4eff-8ff4-83de06d8356f",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,12,NA,NA,"09/08/2014","Georgia",NA,"","Selenka",NA,NA,"cc481734-53b5-4eff-8ff4-83de06d8356f",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"1618",NA,16,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"10888-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"JAX-Fa10-S08-EPI-B",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","D0E42A81-7F0B-4091-B783-852F33B7ADB5","2014-09-12T13:00:15.795Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"c289dda118f9a9a66eecc2233b1fde8a7317b1f9",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,-81.28985,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"Mandy Bemis, Jenna Moore",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2010,"e62842fa-1f6d-4d1d-b7dc-c069e723c79b",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,9,NA,NA,"09/08/2014","Florida",NA,"","Selenka",NA,NA,"e62842fa-1f6d-4d1d-b7dc-c069e723c79b",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,"",NA,30.27897,NA,NA,NA,NA,NA,NA,NA,""
"1649",NA,14,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"5729-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"0M9G-1015-R",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","12FCCC9A-A64B-4A10-B523-3BFFF9EC802D","2014-09-12T14:27:16.048Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"ef1ada92d27587b58676f7bb4bf1c1e700bb99bd",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,-81.0689333333333,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"Don DeMaria",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2006,"f7fcec60-c0db-495a-8c63-c040c0687661",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,7,NA,NA,"09/08/2014","Florida",NA,"","Selenka",NA,NA,"f7fcec60-c0db-495a-8c63-c040c0687661",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,"",NA,30.3077,NA,NA,NA,NA,NA,NA,NA,""
"1770",NA,16,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"10887-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"JAX-Fa10-S08-EPI-A",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","911EF521-D1E6-4A4B-B542-411D63AAAA11","2014-09-12T15:50:07.523Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"66d8f02d87afc10801fd8cf0672a8fc23c6404d2",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,-81.28366,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"Mandy Bemis, Jenna Moore",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2010,"c71bbff8-29b4-4881-a894-67a0c63ecbd7",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,9,NA,NA,"09/08/2014","Florida",NA,"","Selenka",NA,NA,"c71bbff8-29b4-4881-a894-67a0c63ecbd7",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,"",NA,30.2755,NA,NA,NA,NA,NA,NA,NA,""
"1836",NA,NA,"",NA,NA,NA,"princeps",NA,21.9456,NA,NA,"Unknown","Echinodermata",NA,"Atlantic Ocean, Atlantic, Western Central, Gulf of Mexico",NA,NA,NA,NA,"1920-01-01/1956-02-01","IZ","Holothuroidea","NO DATE FOR LAT/LONG AVAILABLE",NA,NA,NA,"unknown","MCZ",NA,NA,NA,"Aspidochirotida",NA,NA,1,NA,0,NA,NA,"",NA,NA,"126713",NA,NA,"",NA,"",NA,"",NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","Marvin L. Wass","Atlantic Ocean","MCZ:IZ:126713","2014-07-12T23:24:50.100Z",NA,NA,"","29d 28m 0s N","85d 31m 0s W",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126713","trawl",NA,NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"","deg. min. sec.","",NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","Holothuriidae",NA,"edf251c1030fcbeffb9c987b2261bef2e8f207c2",NA,NA,NA,NA,"SW of Cape San Blas, Florida (United States)","unknown",NA,NA,NA,NA,"Holothuria princeps","Animalia",NA,-85.5166666667,"",NA,NA,"(original labels with 126712)",NA,NA,NA,NA,NA,NA,"unknown",NA,"A A Jakkula",NA,"ICZN",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"whole animal (dry)",NA,"a66500c7-cee1-4991-9368-5a9bc2af3563",NA,NA,NA,"","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria princeps",NA,NA,NA,NA,NA,"not applicable","",NA,NA,NA,NA,"",NA,NA,NA,NA,"2012-07-24 12:02:26.0","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126713","Selenka, 1867",NA,NA,"a66500c7-cee1-4991-9368-5a9bc2af3563",NA,NA,NA,NA,NA,NA,NA,"PhysicalObject",18.288,"unknown",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,NA,NA,NA,"President and Fellows of Harvard College",NA,"unknown",NA,29.4666666667,NA,NA,NA,NA,NA,NA,NA,"en"
"1897",NA,17,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"10891-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"JAX-Fa10-S08-Dredge",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","B511CC53-CD3F-4FAB-8850-33CC1E7AB202","2014-09-12T12:52:45.294Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"999bb14e38d1a1c52a056aaa6dc5a80366309ec6",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,-81.29137,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"Mandy Bemis, Jenna Moore",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2010,"923e278b-d02c-465f-9819-a6aa995f51ee",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,9,NA,NA,"09/08/2014","Florida",NA,"","Selenka",NA,NA,"923e278b-d02c-465f-9819-a6aa995f51ee",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,"",NA,30.27871,NA,NA,NA,NA,NA,NA,NA,""
"1905",NA,14,"",NA,NA,NA,"princeps",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","Invertebrate Zoology","Holothuroidea","",NA,NA,NA,"","FLMNH",NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"11455-Echinodermata",NA,NA,"",NA,"",NA,"",NA,"NCI-S. Tug Ledge",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","","",NA,NA,"","","","B1A523F3-E53E-450F-A9CB-88E0490502BF","2014-09-12T09:20:37.312Z",NA,NA,"","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","Holothuriidae",NA,"11a6a5551385e9f94ab85d30d0e66e2531e59633",NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria princeps","",NA,-81.069,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,NA,"",2006,"5e497625-49f5-44b7-8c92-cc4f24e831aa",NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,7,NA,NA,"09/08/2014","Florida",NA,"","Selenka",NA,NA,"5e497625-49f5-44b7-8c92-cc4f24e831aa",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,"",NA,30.3076666666667,NA,NA,NA,NA,NA,NA,NA,""
