"","idigbio.associateNotes","dwc.islandGroup","dwc.latestAgeOrHighestStage","dwc.island","fcc.superfamily","id","dwc.locality","dwc.scientificNameAuthorship","dwc.informationWithheld","dwc.associatedMedia","dcterms.rightsHolder","dwc.identificationRemarks","dwc.associatedSequences","dwc.rightsHolder","dwc.geodeticDatum","dwc.phylum","idigbio.associateRelationship","dwc.individualID","dwc.county","dwc.identificationID","dwc.verbatimLocality","dwc.datasetID","dwc.scientificNameID","dwc.verbatimCoordinateSystem","dwc.maximumElevationInMeters","dwc.originalNameUsage","inhs.juv_males","idigbio.endangeredStatus","dwc.footprintWKT","dwc.bed","dwc.ownerInstitutionCode","dwc.fieldNumber","inhs.vouchered","dwc.verbatimTaxonRank","dwc.family","idigbio.subgenus","dwc.catalogNumber","idigbio.uuid","dwc.institutionCode","dwc.establishmentMeans","idigbio.recordIds","dwc.latestPeriodOrHighestSystem","dwc.datasetName","dwc.eventDate","dwc.class","dwc.formation","idigbio.tribe","dwc.verbatimLongitude","symbiotaverbatimScientificName","dwc.verbatimSRS","dwc.identificationReferences","inhs.relic","dcterms.modified","dcterms.source","dcterms.reference","inhs.instars_Male","dcterms.references","idigbio.determinationHistory","dwc.coordinatePrecision","dwc.locationAccordingTo","dwc.georeferencedBy","dwc.latestEraOrHighestErathem","dwc.higherGeography","dwc.verbatimEventDate","inhs.juv_undetermined","dwc.identificationVerificationStatus","inhs.juv_females","row.number","idigbio.etag","fcc.pickedBy","dwc.day","dwc.lowestBiostratigraphicZone","dwc.dynamicProperties","dwc.month","dwc.recordedBy","dcterms.accessRights","dwc.subgenus","dwc.georeferenceRemarks","idigbio.associateAuthor","dwc.namePublishedIn","dwc.year","dwc.taxonRemarks","idigbio.recordID","dwc.verbatimElevation","dwc.earliestPeriodOrLowestSystem","dwc.municipality","idigbio.dateModified","idigbio.associateIdentifier","dwc.sex","inhs.total_Males","dwc.latestEpochOrHighestSeries","dwc.relatedResourceID","dwc.stateProvince","idigbio.preservative","dwc.kingdom","inhs.location_Stream","dwc.verbatimDepth","dwc.countryCode","dwc.earliestEraOrLowestErathem","dcterms.language","dwc.institutionID","dwc.accessRights","idigbio.preparationCount","dwc.otherCatalogNumbers","dwc.eventTime","inhs.formII_males","dwc.behavior","inhs.location_RiverMile","dwc.dateIdentified","idigbio.recordId","dwc.samplingProtocol","dwc.nameAccordingTo","dwc.VerbatimEventDate","dwc.verbatimLatitude","dwc.nomenclaturalStatus","dwc.eventRemarks","dwc.identificationQualifier","dwc.taxonID","idigbio.associatedRelationship","dwc.group","dwc.reproductiveCondition","dwc.occurrenceID","dwc.collectionID","dwc.associatedTaxa","idigbio.version","inhs.live","dwc.decimalLatitude","dwc.country","inhs.location_Basin","dwc.earliestEpochOrLowestSeries","dwc.specificEpithet","inhs.dead","dwc.decimalLongitude","dwc.waterBody","dwc.coordinateUncertaintyInMeters","dwc.disposition","dwc.preparations","dwc.taxonRank","dcterms.bibliographicCitation","dwc.fieldNotes","dwc.higherClassification","dwc.georeferenceSources","dwc.member","dwc.endDayOfYear","dwc.recordNumber","dwc.samplingEffort","dwc.preparation","idigbio.hostFamily","inhs.locationTrs","dwc.minimumElevationInMeters","dwc.collectionCode","dwc.locationRemarks","inhs.formI_males","dwc.habitat","dwc.associatedReferences","dwc.lifeStage","idigbio.createdBy","fcc.subfamily","dwc.earliestAgeOrLowestStage","http...symbiota.org.terms.verbatimScientificName","dwc.georeferenceVerificationStatus","dwc.georeferencedDate","idigbio.associateCommonName","dcterms.type","dwc.minimumDepthInMeters","dwc.occurrenceRemarks","dwc.order","idigbio.associateCondition","idigbio.associatedFamily","dwc.maximumDepthInMeters","dwc.vernacularName","inhs.superfamily","inhs.formII_females","dwc.associatedOccurrences","symbiota.verbatimScientificName","fcc.datePicked","dwc.verbatimCoordinates","dwc.individualCount","dwc.locationID","idigbio.associateDeterminedBy","dwc.namePublishedInID","dwc.infraspecificEpithet","idigbio.substrate","dwc.typeStatus","inhs.total_females","dwc.previousIdentifications","dwc.startDayOfYear","dwc.lithostratigraphicTerms","idigbio.barcodeValue","dwc.occurrenceStatus","dwc.basisOfRecord","dwc.identifiedBy","dwc.dataGeneralizations","dwc.rights","dwc.genus","dwc.nomenclaturalCode","inhs.instars_Female","dwc.eventID","dwc.continent","dwc.georeferenceProtocol","dwc.scientificName","dcterms.rights","idigbio.subfamily"
"95",NA,NA,NA,NA,NA,"e9a02d1c-df11-44c1-bad0-4832c122f21b","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Yap State",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"5849-Echinodermata","e9a02d1c-df11-44c1-bad0-4832c122f21b","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"6c6e3143dde851679b70b42e908ab693b8dd5140",NA,30,NA,"",7,"Kris Netchy & Alex Kerr",NA,NA,"",NA,NA,2007,NA,NA,NA,NA,NA,"2014-09-12T13:19:46.519Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"55E2C449-3DEB-43D0-B7BE-30FBD2B0C2CD",NA,NA,NA,NA,9.51362,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,138.13182,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"AK-Yap-02",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"161",NA,NA,NA,NA,NA,"63895d68-6786-4918-858c-a0fdd7ed5d93","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Chuuk Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"11359-Echinodermata","63895d68-6786-4918-858c-a0fdd7ed5d93","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"b5f4f0f274a928b352e9ce60478ceebf82639156",NA,11,NA,"",7,"Sun Kim",NA,NA,"",NA,NA,2011,NA,NA,NA,NA,NA,"2014-09-12T11:13:28.564Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"D5227D8F-E695-44F6-A13F-57568AD52E3D",NA,NA,NA,NA,7.27891,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,151.534262,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"Kim-CHK-St-10",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"235",NA,NA,NA,NA,NA,"c9c48f3c-4036-4f97-aa67-48a5f7c44fd3","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Yap State",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"5911-Echinodermata","c9c48f3c-4036-4f97-aa67-48a5f7c44fd3","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"7e02b5b8ff214234f6de24c0fb86cede1f4cdb90",NA,30,NA,"",7,"Kris Netchy & Alex Kerr",NA,NA,"",NA,NA,2007,NA,NA,NA,NA,NA,"2014-09-12T15:39:26.947Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"91566010-0A87-4CE7-87AB-3FCBE6965788",NA,NA,NA,NA,9.51362,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,138.13182,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"AK-Yap-02",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"433",NA,NA,NA,NA,NA,"92c2e88f-1dd5-4559-9186-1e22305f8f85","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"7492-Echinodermata","92c2e88f-1dd5-4559-9186-1e22305f8f85","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"5878ee2eaf31f97b84692a4f1c97913fe92486a4",NA,15,NA,"",5,"G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner",NA,NA,"",NA,NA,2008,NA,NA,NA,NA,NA,"2014-09-12T12:21:21.781Z",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"E18B1EA7-B592-474B-BDC8-0798313BE093",NA,NA,NA,NA,-13.4244,"Madagascar",NA,NA,"roseomaculata",NA,48.3642,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"MGNW-20",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"684",NA,NA,NA,NA,NA,"64cf9e24-58db-4d8e-867d-df43b76545a3","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Yap Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"11403-Echinodermata","64cf9e24-58db-4d8e-867d-df43b76545a3","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"dea79408bd9e88744e25ccd593103bd3542a8dc9",NA,12,NA,"",12,"Sun Kim",NA,NA,"",NA,NA,2009,NA,NA,NA,NA,NA,"2014-09-12T10:56:44.656Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"848FDBAC-3A57-4E7B-AA15-9497A213B47F",NA,NA,NA,NA,9.3422,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,138.0803,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"Kim-YAP-St-05",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"733",NA,NA,NA,NA,NA,"fcb738a7-9d24-4fb4-8086-96dece610ff1","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Yap Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"11397-Echinodermata","fcb738a7-9d24-4fb4-8086-96dece610ff1","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"dfce243e1cc908b59387fcfdbc6b6187c2f195b9",NA,12,NA,"",12,"Sun Kim",NA,NA,"",NA,NA,2009,NA,NA,NA,NA,NA,"2014-09-12T09:13:14.794Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"9B4155AE-C277-44BC-B498-A7293066C44D",NA,NA,NA,NA,9.3422,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,138.0803,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"Kim-YAP-St-05",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"763",NA,NA,NA,NA,NA,"6b4c04a2-5952-446a-aa6c-bee46a6a9c9d","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Pohnpei Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"2322-Echinodermata","6b4c04a2-5952-446a-aa6c-bee46a6a9c9d","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"9555a38f9b6182b8a6b397a3f969f11d9bc69fcf",NA,13,NA,"",3,"Starmer, J.",NA,NA,"",NA,NA,2003,NA,NA,NA,NA,NA,"2014-09-12T16:30:50.682Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"144F676D-7524-4233-9B56-E67A1C6F3C90",NA,NA,NA,NA,6.99,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,158.23,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"JAS-PON-064",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"780",NA,NA,NA,NA,NA,"d57a3034-8217-41da-a15b-a1908b268168","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Pohnpei Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"13365-Echinodermata","d57a3034-8217-41da-a15b-a1908b268168","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"13640f234281aaa63d5838c96f535cead0bb4a2a",NA,3,NA,"",12,"Ron Clouse, Daniel Janies",NA,NA,"",NA,NA,2002,NA,NA,NA,NA,NA,"2014-09-12T18:30:00.165Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"9CDB9048-ED13-4022-91A0-226AA10DB3D9",NA,NA,NA,NA,NA,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,NA,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"Clouse-2002-Pohnpei",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"839",NA,NA,NA,NA,NA,"87c9172a-2f49-4adf-b48d-3d14e818938b","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Yap State",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"5872-Echinodermata","87c9172a-2f49-4adf-b48d-3d14e818938b","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"721272f229d1eef5a4c6b5dd6237040b63e804fa",NA,30,NA,"",7,"Kris Netchy & Alex Kerr",NA,NA,"",NA,NA,2007,NA,NA,NA,NA,NA,"2014-09-12T14:15:59.246Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"3BD8B639-5172-4022-821C-C8185053A9C4",NA,NA,NA,NA,9.51362,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,138.13182,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"AK-Yap-02",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
"1004",NA,NA,NA,NA,NA,"55833e1f-2c75-46f0-9f7b-2a36e5b22e66","","Kerr",NA,"","","",NA,NA,"","",NA,NA,"Yap State",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"Holothuriidae",NA,"5890-Echinodermata","55833e1f-2c75-46f0-9f7b-2a36e5b22e66","FLMNH",NA,NA,NA,NA,"","Holothuroidea",NA,NA,"",NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"",NA,NA,"327e5d4d241cba580fe478daa4622ba1219a4ae6",NA,30,NA,"",7,"Kris Netchy & Alex Kerr",NA,NA,"",NA,NA,2007,NA,NA,NA,NA,NA,"2014-09-12T09:19:20.565Z",NA,"",NA,NA,NA,"Caroline Islands",NA,"",NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"2F7BD244-57E8-4D69-8B6A-1D3AB9D7662C",NA,NA,NA,NA,9.51362,"Federated States of Micronesia",NA,NA,"roseomaculata",NA,138.13182,"",NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","",NA,"","",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,"",NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"AK-Yap-02",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"PreservedSpecimen","",NA,NA,"Holothuria","",NA,NA,"","","Holothuria roseomaculata",NA,NA
