"","dwc.verbatimCoordinates","dwc.member","dwc.islandGroup","dwc.continent","inhs.vouchered","dwc.locationID","dwc.island","dwc.identifiedBy","dwc.establishmentMeans","dwc.startDayOfYear","dwc.behavior","dwc.sex","dwc.family","dwc.footprintWKT","dwc.fieldNotes","dwc.occurrenceRemarks","dwc.earliestPeriodOrLowestSystem","dwc.verbatimCoordinateSystem","idigbio.associatedRelationship","dwc.habitat","dwc.nomenclaturalCode","dwc.disposition","inhs.locationTrs","dwc.dataGeneralizations","dwc.originalNameUsage","dwc.otherCatalogNumbers","idigbio.dateModified","dwc.georeferencedDate","dwc.formation","idigbio.associateRelationship","dwc.locationAccordingTo","dwc.vernacularName","dwc.taxonID","dwc.namePublishedIn","idigbio.subgenus","dwc.kingdom","symbiotaverbatimScientificName","idigbio.recordID","dwc.preparation","inhs.dead","dwc.genus","dwc.infraspecificEpithet","dwc.previousIdentifications","dwc.collectionID","dwc.eventTime","dwc.geodeticDatum","inhs.juv_females","dwc.year","dwc.basisOfRecord","dwc.identificationReferences","dwc.waterBody","dcterms.type","dcterms.reference","idigbio.barcodeValue","inhs.formII_females","dwc.verbatimElevation","inhs.relic","dwc.datasetName","dwc.datasetID","idigbio.recordIds","dwc.scientificName","inhs.total_Males","dwc.month","dwc.verbatimLongitude","dwc.order","dwc.specificEpithet","dwc.coordinatePrecision","dwc.maximumElevationInMeters","dcterms.rightsHolder","idigbio.associatedFamily","dwc.country","dwc.stateProvince","dwc.recordNumber","inhs.juv_undetermined","dwc.namePublishedInID","idigbio.tribe","dwc.county","dwc.latestAgeOrHighestStage","dwc.nomenclaturalStatus","dwc.georeferenceVerificationStatus","row.number","idigbio.endangeredStatus","dwc.typeStatus","dwc.minimumDepthInMeters","dwc.verbatimDepth","http...symbiota.org.terms.verbatimScientificName","dwc.institutionID","dwc.associatedReferences","dwc.fieldNumber","idigbio.associateNotes","dwc.endDayOfYear","symbiota.verbatimScientificName","dwc.individualCount","dwc.municipality","idigbio.version","dwc.nameAccordingTo","inhs.live","dwc.occurrenceID","dwc.eventDate","dwc.lifeStage","dwc.earliestEraOrLowestErathem","dcterms.rights","dwc.dynamicProperties","idigbio.preservative","dcterms.bibliographicCitation","dwc.scientificNameID","dwc.minimumElevationInMeters","dwc.ownerInstitutionCode","inhs.location_Stream","dcterms.source","dwc.collectionCode","dwc.georeferencedBy","inhs.total_females","dwc.lowestBiostratigraphicZone","idigbio.subfamily","idigbio.associateIdentifier","dwc.verbatimSRS","dwc.group","dwc.latestEraOrHighestErathem","dwc.day","dwc.maximumDepthInMeters","dwc.samplingProtocol","idigbio.createdBy","inhs.juv_males","dwc.taxonRemarks","dwc.latestEpochOrHighestSeries","dwc.eventID","fcc.datePicked","dwc.verbatimTaxonRank","dwc.latestPeriodOrHighestSystem","dwc.higherGeography","fcc.pickedBy","dcterms.accessRights","dwc.associatedOccurrences","idigbio.uuid","idigbio.preparationCount","dwc.locationRemarks","dwc.class","idigbio.etag","dwc.associatedMedia","idigbio.hostFamily","dwc.subgenus","fcc.superfamily","dwc.georeferenceProtocol","dwc.coordinateUncertaintyInMeters","dwc.locality","dwc.rights","dcterms.modified","dwc.relatedResourceID","dcterms.references","dwc.accessRights","inhs.location_Basin","dwc.earliestEpochOrLowestSeries","dwc.associatedSequences","dcterms.language","id","dwc.identificationID","inhs.instars_Male","dwc.catalogNumber","dwc.lithostratigraphicTerms","idigbio.determinationHistory","fcc.subfamily","idigbio.associateAuthor","idigbio.associateCommonName","idigbio.recordId","dwc.higherClassification","dwc.decimalLongitude","dwc.occurrenceStatus","dwc.verbatimLocality","dwc.individualID","dwc.georeferenceSources","dwc.reproductiveCondition","dwc.verbatimLatitude","dwc.recordedBy","dwc.dateIdentified","inhs.location_RiverMile","dwc.informationWithheld","idigbio.associateCondition","dwc.georeferenceRemarks","dwc.rightsHolder","dwc.identificationRemarks","dwc.verbatimEventDate","inhs.superfamily","dwc.samplingEffort","dwc.institutionCode","dwc.taxonRank","dwc.countryCode","dwc.identificationQualifier","dwc.preparations","dwc.VerbatimEventDate","inhs.formI_males","dwc.bed","dwc.decimalLatitude","dwc.associatedTaxa","idigbio.associateDeterminedBy","inhs.instars_Female","dwc.identificationVerificationStatus","dwc.earliestAgeOrLowestStage","inhs.formII_males","dwc.eventRemarks","dwc.phylum","dwc.scientificNameAuthorship","idigbio.substrate"
"136","",NA,NA,"",NA,"BNIUE-340",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T11:42:42.118Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,91,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,10,"","Aspidochirotida","signata",NA,NA,"",NA,"Niue Island","Niue Island","",NA,NA,NA,"Niue Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"D8CE097C-D275-4EEE-AABF-C3D2B3A778D5","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,7,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","ff28f01d-5cb8-44da-8158-bcae0c814777",NA,"","Holothuroidea","27133a104ccb5c973e2f490e64a9d24996ba5475","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","ff28f01d-5cb8-44da-8158-bcae0c814777",NA,NA,"1406-Echinodermata",NA,NA,NA,NA,NA,NA,"",-169.9,NA,NA,NA,"",NA,"","Holthuis, B. & Paulay, G.","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,-19.1,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"418","",NA,NA,"",NA,"HNIUE-076",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T14:11:57.444Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,1986,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,3,"","Aspidochirotida","signata",NA,NA,"",NA,"Niue Island","Niue Island","",NA,NA,NA,"Niue Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"C15ACA74-D9DA-46D6-A376-F87183D0AA07","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,9,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","1da83f52-ec42-4340-acc9-63c39babf625",NA,"","Holothuroidea","03c1361dbf17ac5fbbfc9fb5ef7c2ddc55396168","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","1da83f52-ec42-4340-acc9-63c39babf625",NA,NA,"1663-Echinodermata",NA,NA,NA,NA,NA,NA,"",-169.9,NA,NA,NA,"",NA,"","Holthuis, B. & Paulay, G.","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,-19.1,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"494","",NA,NA,"",NA,"MAUG-12",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T14:47:07.795Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,2007,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,6,"","Aspidochirotida","signata",NA,NA,"",NA,"Northern Mariana Islands","Mariana Islands","",NA,NA,NA,"Maug Islands",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"84D15DB2-974E-4569-BD10-7411FC558ACF","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,1,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","d4c23395-0725-41fb-a9fb-f6786757878f",NA,"","Holothuroidea","d139118026421845d1f24603dea31ed67c3037f8","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","d4c23395-0725-41fb-a9fb-f6786757878f",NA,NA,"12615-Echinodermata",NA,NA,NA,NA,NA,NA,"",145.22,NA,NA,NA,"",NA,"","John Starmer","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,20.03,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"552","",NA,NA,"",NA,"HNIUE-009",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T13:10:43.684Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,1986,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,5,"","Aspidochirotida","signata",NA,NA,"",NA,"Niue Island","Niue Island","",NA,NA,NA,"Niue Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"C4858531-2D50-4D3A-AD53-40290D1BDE31","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,20,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","e7b4e5f4-8440-4335-9eed-c80b3640ce58",NA,"","Holothuroidea","c5e59e0e0ee0d9599f4e77be724d6c855a8e5fe1","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","e7b4e5f4-8440-4335-9eed-c80b3640ce58",NA,NA,"1333-Echinodermata",NA,NA,NA,NA,NA,NA,"",-169.9,NA,NA,NA,"",NA,"","Paulay, G.","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,-19.1,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"674","",NA,NA,"",NA,"BTAH-041",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T12:34:49.003Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,1984,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,9,"","Aspidochirotida","signata",NA,NA,"",NA,"French Polynesia","Society Islands","",NA,NA,NA,"Tahiti Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"E027D145-866D-469A-8853-863A65A1321E","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,3,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","bb419d36-3f4b-451b-8121-24291bd17431",NA,"","Holothuroidea","fc8ac766386a058714100bd3989368a18f72baac","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","bb419d36-3f4b-451b-8121-24291bd17431",NA,NA,"4999-Echinodermata",NA,NA,NA,NA,NA,NA,"",-149.4,NA,NA,NA,"",NA,"","Paulay, G.","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,-17.6,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"856","",NA,NA,"",NA,"JAS-SAI-151",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T16:43:49.954Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,NA,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,NA,"","Aspidochirotida","signata",NA,NA,"",NA,"Mariana Islands","","",NA,NA,NA,"Saipan Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"575E09E8-6985-4D60-BA9F-B8D27DEE1DE1","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","6befd44a-cb2b-4d84-a348-c1cc69305b0f",NA,"","Holothuroidea","83f8251b7941dbc967fc4f676a325ac1e19bee4f","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","6befd44a-cb2b-4d84-a348-c1cc69305b0f",NA,NA,"13317-Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","John Starmer","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"862","",NA,NA,"",NA,"UGI-Station-278",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T16:53:26.643Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,1975,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,4,"","Aspidochirotida","signata",NA,NA,"",NA,"USA","Mariana Islands","",NA,NA,NA,"Guam Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"D926151B-C7E2-4239-A2F8-A7803673E420","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,24,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","570bfd68-2db6-4be5-a3d0-7aa8cab6323e",NA,"","Holothuroidea","181db617ca2978de19582c913f182cd9a04b2dd4","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","570bfd68-2db6-4be5-a3d0-7aa8cab6323e",NA,NA,"13151-Echinodermata",NA,NA,NA,NA,NA,NA,"",144.8,NA,NA,NA,"",NA,"","J. Doty","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,13.5,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"959","",NA,NA,"",NA,"ZZZ-091405",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T12:50:58.268Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,2003,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,5,"","Aspidochirotida","signata",NA,NA,"",NA,"Northern Mariana Islands","Mariana Islands","",NA,NA,NA,"Saipan Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"2ED8F7F5-F799-413C-9D85-7475A02A01C9","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,1,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","5e206ecf-a8f3-47f9-9fc5-5afa33323ac0",NA,"","Holothuroidea","b8855daf5efed5ac4f9d4ed0fd79ec8d2858370f","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","5e206ecf-a8f3-47f9-9fc5-5afa33323ac0",NA,NA,"3447-Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"1100","",NA,NA,"",NA,"HNIUE-065B",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T13:14:14.217Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,1986,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,8,"","Aspidochirotida","signata",NA,NA,"",NA,"Niue Island","Niue Island","",NA,NA,NA,"Niue Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"0032554B-7311-47BD-9FF7-47319B4FFF75","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,27,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","b5638ebc-d1f1-4d53-b979-1266cd86c34c",NA,"","Holothuroidea","13de1ec77afdfbe919bd7490330bf78023642153","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","b5638ebc-d1f1-4d53-b979-1266cd86c34c",NA,NA,"1886-Echinodermata",NA,NA,NA,NA,NA,NA,"",-169.9,NA,NA,NA,"",NA,"","","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,-19.1,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
"1277","",NA,NA,"",NA,"Starmer-Managaha",NA,"",NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","2014-09-12T16:58:58.538Z",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,"",NA,2006,"PreservedSpecimen",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria signata",NA,7,"","Aspidochirotida","signata",NA,NA,"",NA,"Northern Mariana Islands","","",NA,NA,NA,"Saipan Island",NA,NA,NA,NA,NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,"0C62FEAE-6C91-4683-903D-ECFB77BCDF84","",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","bcce3d49-08d1-4fe9-a8a9-5b62de3a03dc",NA,"","Holothuroidea","a18f73cb39b285f7c235092a9d4f81c222f5da49","",NA,NA,NA,"",NA,"",NA,"09/08/2014",NA,"",NA,NA,NA,NA,"","bcce3d49-08d1-4fe9-a8a9-5b62de3a03dc",NA,NA,"12537-Echinodermata",NA,NA,NA,NA,NA,NA,"",145.7,NA,NA,NA,"",NA,"","John Starmer","",NA,NA,NA,"",NA,"","",NA,NA,"FLMNH",NA,NA,NA,"",NA,NA,NA,15.2,NA,NA,NA,"",NA,NA,"","","Ludwig",NA
