"","dcterms.type","dwc.nameAccordingTo","dwc.higherClassification","inhs.juv_females","dwc.samplingProtocol","idigbio.determinationHistory","dwc.institutionID","dwc.datasetID","dwc.otherCatalogNumbers","dwc.dataGeneralizations","idigbio.endangeredStatus","dwc.locationRemarks","dcterms.accessRights","dwc.minimumDepthInMeters","idigbio.barcodeValue","dwc.identificationRemarks","idigbio.uuid","dwc.county","dwc.typeStatus","dwc.associatedTaxa","dwc.identificationID","idigbio.tribe","dwc.nomenclaturalCode","dwc.lifeStage","dwc.georeferenceRemarks","idigbio.associatedRelationship","dwc.identificationQualifier","dwc.ownerInstitutionCode","dwc.startDayOfYear","dwc.catalogNumber","dwc.fieldNotes","dwc.identificationVerificationStatus","inhs.juv_males","dwc.lowestBiostratigraphicZone","dwc.identifiedBy","dcterms.rightsHolder","dwc.coordinatePrecision","dwc.taxonRank","inhs.juv_undetermined","dwc.occurrenceID","dwc.maximumDepthInMeters","inhs.live","dwc.accessRights","dwc.endDayOfYear","dwc.lithostratigraphicTerms","dwc.verbatimTaxonRank","dcterms.reference","dwc.earliestAgeOrLowestStage","dwc.municipality","dwc.collectionCode","inhs.total_females","dwc.habitat","inhs.formII_females","dwc.recordNumber","dwc.verbatimLongitude","idigbio.dateModified","dwc.occurrenceStatus","fcc.pickedBy","dwc.class","dwc.occurrenceRemarks","idigbio.subfamily","dwc.namePublishedInID","inhs.locationTrs","dwc.verbatimLocality","idigbio.associateRelationship","dwc.preparation","dwc.relatedResourceID","id","dwc.footprintWKT","dwc.rights","dwc.family","dwc.associatedMedia","dwc.member","dwc.previousIdentifications","dwc.georeferenceSources","dwc.islandGroup","inhs.location_RiverMile","fcc.subfamily","dwc.maximumElevationInMeters","dwc.minimumElevationInMeters","idigbio.associateCommonName","idigbio.createdBy","dwc.specificEpithet","idigbio.substrate","dwc.geodeticDatum","dwc.countryCode","dwc.georeferencedDate","inhs.instars_Female","inhs.location_Stream","dwc.institutionCode","fcc.datePicked","symbiota.verbatimScientificName","dwc.locationID","idigbio.version","dwc.collectionID","http...symbiota.org.terms.verbatimScientificName","dwc.higherGeography","dwc.waterBody","dwc.latestEpochOrHighestSeries","dwc.verbatimSRS","dwc.day","inhs.dead","dwc.eventRemarks","dwc.associatedReferences","dwc.verbatimLatitude","idigbio.hostFamily","idigbio.preservative","idigbio.preparationCount","dwc.eventID","dwc.eventTime","dcterms.language","fcc.superfamily","dwc.phylum","dwc.fieldNumber","dwc.infraspecificEpithet","idigbio.recordID","dwc.individualID","inhs.formI_males","dwc.georeferenceProtocol","dwc.basisOfRecord","dwc.earliestEraOrLowestErathem","symbiotaverbatimScientificName","dwc.stateProvince","inhs.location_Basin","inhs.relic","dwc.reproductiveCondition","dwc.originalNameUsage","dwc.verbatimCoordinateSystem","idigbio.recordId","dwc.datasetName","inhs.vouchered","dwc.earliestPeriodOrLowestSystem","dcterms.source","dwc.scientificName","dcterms.rights","dwc.nomenclaturalStatus","dwc.kingdom","dwc.verbatimEventDate","dwc.georeferencedBy","dwc.scientificNameID","dwc.dateIdentified","dwc.latestEraOrHighestErathem","idigbio.associateNotes","dwc.rightsHolder","dwc.taxonRemarks","idigbio.associateAuthor","dwc.recordedBy","dwc.establishmentMeans","dwc.disposition","idigbio.associateIdentifier","dwc.decimalLatitude","dcterms.modified","dwc.month","dwc.continent","idigbio.associatedFamily","dwc.locationAccordingTo","idigbio.etag","dwc.sex","dwc.group","dwc.bed","dcterms.bibliographicCitation","idigbio.associateDeterminedBy","dwc.verbatimElevation","dwc.associatedOccurrences","dwc.taxonID","dwc.individualCount","dwc.namePublishedIn","dwc.subgenus","dwc.identificationReferences","dwc.formation","dwc.coordinateUncertaintyInMeters","dwc.scientificNameAuthorship","dwc.associatedSequences","row.number","idigbio.subgenus","dcterms.references","dwc.preparations","dwc.eventDate","dwc.decimalLongitude","dwc.dynamicProperties","dwc.earliestEpochOrLowestSeries","inhs.formII_males","dwc.island","dwc.country","dwc.latestAgeOrHighestStage","inhs.total_Males","dwc.VerbatimEventDate","dwc.samplingEffort","inhs.superfamily","dwc.locality","dwc.vernacularName","inhs.instars_Male","dwc.latestPeriodOrHighestSystem","idigbio.associateCondition","idigbio.recordIds","dwc.informationWithheld","dwc.year","dwc.behavior","dwc.order","dwc.genus","dwc.georeferenceVerificationStatus","dwc.verbatimCoordinates","dwc.verbatimDepth"
"191","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","bcbbec28-52e8-4240-9585-9fe2024e9521","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"12749-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"9A5636FD-DF4A-4C27-A423-B8899F92FB6B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T11:59:49.567Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"bcbbec28-52e8-4240-9585-9fe2024e9521",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"GM14-MNHN",NA,NA,NA,"","",NA,NA,12,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"Guadeloupe Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Laurent Charles, Remy Penisson, Guillaume Dirberg, Florence Rousseau",NA,"",NA,16.331667,"09/08/2014",5,"",NA,NA,"01667a76d950c87fcede89b037081dbb937b0e8d","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-61.324444,"",NA,NA,NA,"Lesser Antilles",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2012,NA,"Aspidochirotida","Holothuria",NA,"",""
"1293","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","0275e237-6faf-427e-b55c-952a3479a085","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"4634-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"4E0390FB-D654-416B-B1C2-05206FC3C725",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T16:28:16.591Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"0275e237-6faf-427e-b55c-952a3479a085",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"Liu-2005-02-07",NA,NA,NA,"","",NA,NA,30,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"Tobago Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Liu, H-C",NA,"",NA,11.140201,"09/08/2014",1,"",NA,NA,"cd03335be267ab92febc4cc997784996b44b1b18","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-60.799119,"",NA,NA,NA,"Trinidad & Tobago",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2005,NA,"Aspidochirotida","Holothuria",NA,"",""
"1374","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","179a5226-ef62-4360-b1ec-40e94808d306","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"12858-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"7BD4083F-FFC8-4213-8B1F-015DB8E8F585",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T11:38:33.546Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"179a5226-ef62-4360-b1ec-40e94808d306",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"GM27-MNHN",NA,NA,NA,"","",NA,NA,20,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"Guadeloupe Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Guillaume Dirberg, Joseph Poupin",NA,"",NA,16.202803,"09/08/2014",5,"",NA,NA,"d18f2f689b576c0350abd223f44f4ebe289dfa22","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-61.444786,"",NA,NA,NA,"Lesser Antilles",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2012,NA,"Aspidochirotida","Holothuria",NA,"",""
"1403","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","58e997a2-6d7a-41b5-acd8-be90c3798698","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"11834-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"E32D0D5F-0E48-44E6-BBF3-FD6B4EF64DAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T13:48:08.041Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"58e997a2-6d7a-41b5-acd8-be90c3798698",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"STM-038",NA,NA,NA,"","",NA,NA,17,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"St. Martin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Gustav Paulay, John Slapcinsky, Arthur Anker, Jean-Philippe Marechal,",NA,"",NA,18.067,"09/08/2014",4,"",NA,NA,"6e519fdf3655791c864ca48af4cb5eb13741e954","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-63.012,"",NA,NA,NA,"French Antilles",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2012,NA,"Aspidochirotida","Holothuria",NA,"",""
"1637","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","bcc09a12-e343-4220-a284-c6352126056b","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"11802-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"783044B4-D20F-47E5-B471-A6FF5C14365B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T14:11:13.713Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"bcc09a12-e343-4220-a284-c6352126056b",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"STM-033",NA,NA,NA,"","",NA,NA,14,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"St. Martin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Gustav Paulay, John Slapcinsky, Mandy Bemis, François Michonneau, Arthur Anker, Jean-Philippe Marechal, Romain Renoux",NA,"",NA,18.078,"09/08/2014",4,"",NA,NA,"308aa819de03ca13bf03fa9c94931b20ca7db771","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-63.015,"",NA,NA,NA,"French Antilles",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2012,NA,"Aspidochirotida","Holothuria",NA,"",""
"1657","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","86c9dc08-165e-4517-bf3d-09945d1847c2","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"11795-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"94F2296A-E8DD-4E98-80ED-3FDB68FED5AF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T14:44:52.815Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"86c9dc08-165e-4517-bf3d-09945d1847c2",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"STM-029",NA,NA,NA,"","",NA,NA,13,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"St. Martin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Arthur Anker",NA,"",NA,18.108,"09/08/2014",4,"",NA,NA,"962c28d2b4cf8d2af5602f9a61415672d6981603","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-63.016,"",NA,NA,NA,"French Antilles",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2012,NA,"Aspidochirotida","Holothuria",NA,"",""
"2260","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","36e9da1f-b601-4c95-9e6c-db532dce190a","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"4620-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"E566F70A-9A7E-461F-80AC-FC4D08E0AFCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T18:00:12.170Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"36e9da1f-b601-4c95-9e6c-db532dce190a",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"Liu-2005-02-07",NA,NA,NA,"","",NA,NA,3,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"Tobago Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Liu, H-C",NA,"",NA,11.140201,"09/08/2014",2,"",NA,NA,"bfea44ada7c8d69455f8bfd58c89f3afea39c1a1","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-60.799119,"",NA,NA,NA,"Trinidad & Tobago",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2005,NA,"Aspidochirotida","Holothuria",NA,"",""
"2310","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","425978ac-41d6-4d08-b6aa-fa98510ae4cf","Monroe Co.","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"4461-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"8569C497-6E03-4AE0-B423-7C82328B4875",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T15:47:45.083Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"425978ac-41d6-4d08-b6aa-fa98510ae4cf",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"ZZZ-093482",NA,NA,NA,"","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"Florida",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Gustav Paulay",NA,"",NA,NA,"09/08/2014",NA,"",NA,NA,"bb1172ea7620c7a519eee1ac839c7fbeb1d40e4a","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",NA,"",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2006,NA,"Aspidochirotida","Holothuria",NA,"",""
"2620","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","0de27bd7-608a-48bb-b1d4-c50ac8369d25","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"11796-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"53A22757-216B-4BF4-86B7-CFE2CCD9666A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T15:46:33.015Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"0de27bd7-608a-48bb-b1d4-c50ac8369d25",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"STM-029",NA,NA,NA,"","",NA,NA,13,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"St. Martin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Arthur Anker",NA,"",NA,18.108,"09/08/2014",4,"",NA,NA,"0da96e77f80b567b3fcece7ffee63ac93b91b809","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-63.016,"",NA,NA,NA,"French Antilles",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2012,NA,"Aspidochirotida","Holothuria",NA,"",""
"2816","",NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"","3347a805-f460-4bef-9c80-48811446160f","","",NA,NA,NA,"",NA,"",NA,NA,"",NA,"13405-Echinodermata",NA,"",NA,NA,"","",NA,NA,NA,"5B4CF2A4-A9D8-4957-A171-435BDB4C00B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","","2014-09-12T12:10:36.290Z",NA,NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,"3347a805-f460-4bef-9c80-48811446160f",NA,NA,"Holothuriidae","",NA,NA,"",NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","unicolor",NA,"",NA,NA,NA,NA,"FLMNH",NA,NA,"GM21-MNHN",NA,NA,NA,"","",NA,NA,17,NA,"","","",NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,"","PreservedSpecimen",NA,NA,"Guadeloupe Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria unicolor",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"Laurent Pruvost, Olivier Gros, Florence Rousseau",NA,"",NA,16.392778,"09/08/2014",5,"",NA,NA,"28e954cd1ebfee03ba472e02579210929a3542c9","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Selenka",NA,NA,NA,"","","",-61.522778,"",NA,NA,NA,"Lesser Antilles",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2012,NA,"Aspidochirotida","Holothuria",NA,"",""
