"","dwc.otherCatalogNumbers","idigbio.associatedRelationship","dwc.nomenclaturalCode","idigbio.associateIdentifier","dwc.identificationID","idigbio.version","inhs.juv_males","dwc.municipality","dwc.eventDate","idigbio.tribe","dwc.georeferenceVerificationStatus","dwc.family","dwc.verbatimLocality","dwc.recordNumber","idigbio.associateNotes","dwc.verbatimTaxonRank","dwc.eventRemarks","dwc.VerbatimEventDate","dwc.minimumDepthInMeters","inhs.juv_females","dwc.phylum","dwc.islandGroup","dwc.continent","fcc.pickedBy","idigbio.endangeredStatus","dwc.fieldNumber","dwc.latestPeriodOrHighestSystem","dwc.associatedReferences","idigbio.preparationCount","dwc.verbatimSRS","dwc.lithostratigraphicTerms","idigbio.associateRelationship","dwc.occurrenceID","dwc.eventID","dwc.nomenclaturalStatus","symbiota.verbatimScientificName","inhs.superfamily","fcc.superfamily","dwc.individualCount","inhs.instars_Female","inhs.total_females","dcterms.source","dwc.georeferenceSources","idigbio.recordID","dwc.minimumElevationInMeters","dwc.locationRemarks","dwc.reproductiveCondition","dwc.day","dwc.namePublishedInID","inhs.relic","dwc.subgenus","dcterms.accessRights","dwc.verbatimCoordinateSystem","dwc.ownerInstitutionCode","dwc.rightsHolder","dwc.verbatimCoordinates","idigbio.associateAuthor","inhs.juv_undetermined","dwc.footprintWKT","dwc.scientificNameAuthorship","idigbio.etag","dwc.maximumDepthInMeters","dwc.rights","dwc.associatedSequences","dwc.class","inhs.locationTrs","id","dwc.identificationReferences","inhs.formII_males","dwc.disposition","dwc.waterBody","dcterms.rightsHolder","dwc.earliestAgeOrLowestStage","dwc.dateIdentified","dwc.country","dwc.year","dwc.institutionCode","dwc.samplingProtocol","inhs.total_Males","dwc.establishmentMeans","dwc.georeferenceRemarks","idigbio.associateCommonName","dcterms.modified","dwc.decimalLongitude","dwc.institutionID","dwc.relatedResourceID","idigbio.subgenus","dwc.maximumElevationInMeters","dwc.occurrenceStatus","dwc.startDayOfYear","dwc.namePublishedIn","dwc.decimalLatitude","dwc.preparations","dwc.identificationQualifier","dwc.member","dwc.recordedBy","inhs.location_RiverMile","dwc.taxonRemarks","dwc.order","dwc.identificationRemarks","dwc.locationID","dcterms.type","dwc.genus","dwc.accessRights","dwc.latestAgeOrHighestStage","dwc.collectionCode","dcterms.references","idigbio.determinationHistory","dwc.stateProvince","dwc.georeferencedBy","idigbio.recordId","dwc.occurrenceRemarks","inhs.dead","dwc.preparation","dwc.associatedMedia","dwc.typeStatus","inhs.formII_females","dwc.taxonRank","http...symbiota.org.terms.verbatimScientificName","inhs.location_Stream","idigbio.uuid","dwc.coordinatePrecision","idigbio.associateCondition","dwc.dynamicProperties","dwc.behavior","dwc.nameAccordingTo","dwc.county","idigbio.preservative","dwc.taxonID","dwc.individualID","dcterms.language","dwc.scientificName","dwc.identifiedBy","dwc.catalogNumber","dcterms.bibliographicCitation","idigbio.associatedFamily","dwc.latestEpochOrHighestSeries","dcterms.rights","dwc.sex","dwc.locality","dwc.basisOfRecord","dwc.kingdom","dwc.dataGeneralizations","dwc.infraspecificEpithet","dwc.group","dwc.lowestBiostratigraphicZone","dwc.associatedTaxa","dwc.georeferencedDate","inhs.vouchered","dwc.verbatimLongitude","dwc.collectionID","dwc.lifeStage","idigbio.dateModified","dwc.earliestEpochOrLowestSeries","idigbio.substrate","inhs.instars_Male","idigbio.subfamily","dwc.vernacularName","dwc.verbatimLatitude","idigbio.barcodeValue","dwc.datasetID","dwc.associatedOccurrences","dwc.habitat","dwc.island","dwc.locationAccordingTo","dwc.earliestPeriodOrLowestSystem","dwc.verbatimElevation","fcc.datePicked","idigbio.associateDeterminedBy","dwc.previousIdentifications","dwc.endDayOfYear","dwc.month","dwc.samplingEffort","inhs.formI_males","dwc.identificationVerificationStatus","dwc.informationWithheld","inhs.live","fcc.subfamily","dwc.latestEraOrHighestErathem","dwc.coordinateUncertaintyInMeters","dcterms.reference","dwc.datasetName","dwc.georeferenceProtocol","dwc.originalNameUsage","dwc.scientificNameID","inhs.location_Basin","dwc.verbatimDepth","dwc.geodeticDatum","dwc.verbatimEventDate","symbiotaverbatimScientificName","dwc.eventTime","idigbio.recordIds","dwc.countryCode","dwc.higherClassification","idigbio.createdBy","dwc.formation","idigbio.hostFamily","dwc.specificEpithet","row.number","dwc.bed","dwc.fieldNotes","dwc.higherGeography","dwc.earliestEraOrLowestErathem"
"15","",NA,"ICZN",NA,NA,NA,NA,NA,"2000-04-12",NA,NA,"Holothuriidae",NA,"",NA,NA,"",NA,2,NA,"Echinodermata",NA,"Pacific Ocean",NA,NA,"",NA,"",NA,NA,NA,NA,"MCZ:IZ:126454",NA,NA,NA,NA,NA,1,NA,NA,NA,"unknown",NA,NA,"",NA,NA,NA,NA,NA,NA,"degrees dec. minutes","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"Semper, 1867","0a2f131951ec97e8e8a24a9bae78415ddfe02857",6,NA,NA,"Holothuroidea",NA,"d33c40ef-ea0e-479d-9bd8-4eb7e2e1cc36",NA,NA,"not applicable","","President and Fellows of Harvard College",NA,"","",NA,"MCZ","",NA,NA,"",NA,"2012-07-20 13:02:45.0",151.2666666667,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,0,NA,-33.853,"whole animal (70% ethanol)",NA,NA,"Gonzalo Giribet, P. Hutchings",NA,NA,"Aspidochirotida","","","PhysicalObject","Holothuria",NA,NA,"IZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126454",NA,"","Gonzalo Giribet",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126454","",NA,NA,NA,NA,"d33c40ef-ea0e-479d-9bd8-4eb7e2e1cc36",NA,NA,"",NA,NA,"",NA,NA,NA,"en","Holothuria","Gonzalo Giribet","126454",NA,NA,NA,NA,"","off New South Wales, Nielsen Park Shore, Port Jackson, Sydney Harbor (Australia)","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"151d 16m E",NA,NA,"2014-01-10T20:31:49.355Z",NA,NA,NA,NA,NA,"33d 51.18m S",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"verified by collector",NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,"","WGS84","12 April 2000",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria similis","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"similis",NA,NA,NA,"Pacific Ocean, Pacific, Southwest",NA
"18","",NA,"",NA,NA,NA,NA,NA,"1973-03-21 00:00:00.0",NA,NA,"Holothuriidae",NA,"",NA,NA,"",NA,13.716,NA,"ECHINODERMATA",NA,"",NA,NA,"4",NA,"",NA,NA,NA,NA,"urn:catalog:CAS:IZ:140662",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,"",NA,21,NA,NA,NA,NA,"","",NA,"37° 44' 15"" N, 122° 20' 30"" W",NA,NA,NA,"","8886f4b702655f04645334854c79f23d9077b304",17.6784,NA,NA,"",NA,"f87a3d2a-d400-4bfe-a23f-c225df1039ca",NA,NA,"","","",NA,"","United States",1973,"CAS","",NA,NA,"",NA,"",-122.3416667,"",NA,NA,NA,NA,80,NA,37.7375,"75% EtOH",NA,NA,"Stanford Research Institute",NA,NA,"","","","PhysicalObject","Holothuria",NA,NA,"IZ","",NA,"California","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"f87a3d2a-d400-4bfe-a23f-c225df1039ca",NA,NA,"",NA,NA,"San Francisco County",NA,NA,NA,"en","Holothuria","C. Jong","140662.0",NA,NA,NA,NA,"","Forbidden Anchorage zone S of Explosives Anchorage 12","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"122°20'30""W",NA,NA,"2014-03-20T20:04:53.234Z",NA,NA,NA,NA,NA,"37°44'15""N",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"45-58 ft","","21 Mar 1973",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"CALIFORNIA: San Francisco Estuary: San Francisco Bay: San Francisco County: Hunter's Point",NA
"303","",NA,"",NA,NA,NA,NA,NA,"1980-07-01 00:00:00.0",NA,NA,"Holothuriidae",NA,"",NA,NA,"",NA,3.5,NA,"ECHINODERMATA",NA,"",NA,NA,"E1",NA,"",NA,NA,NA,NA,"urn:catalog:CAS:IZ:125699",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,"",NA,1,NA,NA,NA,NA,"","",NA,"37° 44' 54"" N, 122° 19' 29"" W",NA,NA,NA,"","d767e94d9588f2d681a5a7a0d0a5b789019773cd",NA,NA,NA,"",NA,"49f9ed67-8fad-49a1-94d4-3fd626f4fa95",NA,NA,"","","",NA,"","United States",1980,"CAS","Ponar grab",NA,NA,"",NA,"",-122.3247222,"",NA,NA,NA,NA,183,NA,37.7483333,"75% EtOH",NA,NA,"ANATEC Labs, Inc.",NA,NA,"","","","PhysicalObject","Holothuria",NA,NA,"IZ","",NA,"California","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"49f9ed67-8fad-49a1-94d4-3fd626f4fa95",NA,NA,"",NA,NA,"San Francisco County",NA,NA,NA,"en","Holothuria","","125699.0",NA,NA,NA,NA,"","area E, station 1","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"122°19'29""W",NA,NA,"2014-03-20T20:43:57.974Z",NA,NA,NA,NA,NA,"37°44'54""N",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3.5 m","","Jul 1980",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"CALIFORNIA: San Francisco Estuary: San Francisco Bay: San Francisco County",NA
"318","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"Holothuriidae",NA,"",NA,NA,"",NA,NA,NA,"ECHINODERMATA",NA,"",NA,NA,"",NA,"",NA,NA,NA,NA,"urn:catalog:CAS:IZ:111375",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"","4fff2606144ef9427bd44999fce4931d861a2fe5",NA,NA,NA,"",NA,"fcc527b3-4e3e-45fe-9ef4-edc6faa48339",NA,NA,"","","",NA,"1997-07-01 00:00:00.0","",NA,"CAS","",NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"75% EtOH",NA,NA,"",NA,NA,"","","","PhysicalObject","Holothuria",NA,NA,"IZ","",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"fcc527b3-4e3e-45fe-9ef4-edc6faa48339",NA,NA,"",NA,NA,"",NA,NA,NA,"en","Holothuria","Rene G. Ledesma","111375.0",NA,NA,NA,NA,"","","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"2014-03-20T21:23:42.589Z",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"NO LOCALITY DATA",NA
"330","",NA,"ICZN",NA,NA,NA,NA,NA,"1917-06-01/1917-06-30",NA,NA,"Holothuriidae",NA,"",NA,NA,"",NA,NA,NA,"Echinodermata",NA,"Atlantic Ocean",NA,NA,"",NA,"",NA,NA,NA,NA,"MCZ:IZ:HOL-1208",NA,NA,NA,NA,NA,1,NA,NA,NA,"GEOLocate",NA,NA,"",NA,NA,NA,NA,NA,NA,"decimal degrees","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"","e183421273edef72c9d6ba2ed1820a324ddfdcdb",NA,NA,NA,"Holothuroidea",NA,"41f76321-ebf6-4b33-b4ff-c88d39445a98",NA,NA,"not applicable","","President and Fellows of Harvard College",NA,"","",NA,"MCZ","",NA,NA,"",NA,"2014-06-30 11:02:26.0",-82.87333,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,0,NA,24.62861,"whole animal (70% ethanol)",NA,NA,"Hubert Lyman Clark",NA,NA,"Aspidochirotida","","","PhysicalObject","Holothuria",NA,NA,"IZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1208",NA,"","Penny Benson",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1208","",NA,NA,NA,NA,"41f76321-ebf6-4b33-b4ff-c88d39445a98",15130,NA,"",NA,NA,"",NA,NA,NA,"en","Holothuria","[no agent data], [no agent data]","HOL-1208",NA,NA,NA,NA,"","United States, Florida: Tortugas","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"-82.87333d",NA,NA,"2014-07-12T18:05:54.817Z",NA,NA,NA,NA,NA,"24.62861d",NA,NA,"","Under stones and buried in sand mud.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unverified",NA,NA,NA,NA,15130,NA,NA,"GEOLocate",NA,NA,NA,"","WGS84","June 1917",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA
"874","",NA,"",NA,NA,NA,NA,NA,"1973-12-04 00:00:00.0",NA,NA,"Holothuriidae",NA,"",NA,NA,"",NA,9.144,NA,"ECHINODERMATA",NA,"",NA,NA,"OIH",NA,"",NA,NA,NA,NA,"urn:catalog:CAS:IZ:141530",NA,NA,NA,NA,NA,67,NA,NA,NA,"",NA,NA,"",NA,4,NA,NA,NA,NA,"","",NA,"37° 47' 46"" N, 122° 19' 4"" W",NA,NA,NA,"","980928c1d7d0884bfffda1b454231335eed80d22",11.5824,NA,NA,"",NA,"1347e263-d0dd-428f-8c2e-89fee368fbe6",NA,NA,"","","",NA,"1973-12-04 00:00:00.0","United States",1973,"CAS","",NA,NA,"",NA,"",-122.3177778,"",NA,NA,NA,NA,338,NA,37.7961111,"75% EtOH",NA,NA,"Stanford Research Inst.",NA,NA,"","","","PhysicalObject","Holothuria",NA,NA,"IZ","",NA,"California","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"1347e263-d0dd-428f-8c2e-89fee368fbe6",NA,NA,"",NA,NA,"Alameda County",NA,NA,NA,"en","Holothuria","","141530.0",NA,NA,NA,NA,"","Inner Harbor Reach","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"122°19'4""W",NA,NA,"2014-03-20T21:48:46.031Z",NA,NA,NA,NA,NA,"37°47'46""N",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"30-38 ft","","04 Dec 1973",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"CALIFORNIA: San Francisco Estuary: San Francisco Bay: Alameda County: Oakland Inner Harbor",NA
"888","",NA,"",NA,NA,NA,NA,NA,"1973-11-06 00:00:00.0",NA,NA,"Holothuriidae",NA,"",NA,NA,"",NA,3.048,NA,"ECHINODERMATA",NA,"",NA,NA,"AJF-109",NA,"",NA,NA,NA,NA,"urn:catalog:CAS:IZ:117999",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,"",NA,6,NA,NA,NA,NA,"","",NA,"25° 48' N, 111° 12' W",NA,NA,NA,"","c90d60de5d10d6bcdc8b710d0e689c0014dd5c32",7.62,NA,NA,"",NA,"c9addc7a-4db6-4f76-b2fe-2847ec6b6e7e",NA,NA,"","","",NA,"1999-06-24 00:00:00.0","Mexico",1973,"CAS","SCUBA",NA,NA,"",NA,"",-111.2,"",NA,NA,NA,NA,310,NA,25.8,"75% EtOH",NA,NA,"A.J. Ferreira",NA,NA,"","","","PhysicalObject","Holothuria",NA,NA,"IZ","",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"c9addc7a-4db6-4f76-b2fe-2847ec6b6e7e",NA,NA,"",NA,NA,"",NA,NA,NA,"en","Holothuria","Francisco Solis-Marin","117999.0",NA,NA,NA,NA,"","S point (Punta Bahia) of  Isla Carmen.","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"111°12'W",NA,NA,"2014-03-20T20:01:21.779Z",NA,NA,NA,NA,NA,"25°48'N",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"10-25 ft","","6 Nov 1973",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"MEXICO: Baja California Sur: Gulf of California",NA
"1453","",NA,"",NA,NA,NA,NA,NA,"2011-06-01 00:00:00.0",NA,NA,"Holothuriidae",NA,"",NA,NA,"Hearst Philippine Biodiversity Expedition 2011",NA,132,NA,"ECHINODERMATA",NA,"",NA,NA,"HEPD-021",NA,"",NA,NA,NA,NA,"urn:catalog:CAS:IZ:184107",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,"sandy muddy",NA,1,NA,NA,NA,NA,"","",NA,"13.8863333° N, 120.0565° E - 13.8881667° N, 120.1075° E",NA,NA,NA,"","7a8c6156a95ffed5c05def1a605e6ad0db15db69",172,NA,NA,"",NA,"3122aa62-fbcc-4448-8a66-d6afa84e2e81",NA,NA,"","","",NA,"2012-03-10 00:00:00.0","Philippines",2011,"CAS","Beam Trawl",NA,NA,"",NA,"",120.0565,"",NA,NA,NA,NA,152,NA,13.8863333,"95% EtOH",NA,NA,"Mooi, Gosliner, Williams, Van Syoc, Piotrowski et al. aboard M/V DA- BFAR",NA,NA,"","","","PhysicalObject","Holothuria",NA,NA,"IZ","",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"3122aa62-fbcc-4448-8a66-d6afa84e2e81",NA,NA,"",NA,NA,"",NA,NA,NA,"en","Holothuria","G. Paulay","184107.0",NA,NA,NA,NA,"","South China Sea, E of Cabra Island, N of Lubang Island","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"120.0565°E - 120.1075°E",NA,NA,"2014-03-20T21:17:18.391Z",NA,NA,NA,NA,NA,"13.8863333°N - 13.8881667°N",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"132-172 m","","01 Jun 2011",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"PHILIPPINES: Lubang Islands",NA
"1461","",NA,"",NA,NA,NA,NA,NA,"2011-06-02 00:00:00.0",NA,NA,"Holothuriidae",NA,"",NA,NA,"Hearst Philippine Biodiversity Expedition 2011",NA,115,NA,"ECHINODERMATA",NA,"",NA,NA,"HEPD-028",NA,"",NA,NA,NA,NA,"urn:catalog:CAS:IZ:184130",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,"sandy-rocky/hard",NA,2,NA,NA,NA,NA,"","",NA,"13.9283333° N, 120.307333° E - 13.9316667° N, 120.298667° E",NA,NA,NA,"","07b584e421a5ad2e71b7c446673311db6a50ae41",124,NA,NA,"",NA,"00e22a58-4c00-4c22-a165-9ed436c65270",NA,NA,"","","",NA,"2012-03-10 00:00:00.0","Philippines",2011,"CAS","Beam trawl",NA,NA,"",NA,"",120.307333,"",NA,NA,NA,NA,153,NA,13.9283333,"95% EtOH",NA,NA,"Mooi, Gosliner, Williams, Van Syoc, Piotrowski et al. aboard M/V DA- BFAR",NA,NA,"","","","PhysicalObject","Holothuria",NA,NA,"IZ","",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"00e22a58-4c00-4c22-a165-9ed436c65270",NA,NA,"",NA,NA,"",NA,NA,NA,"en","Holothuria","G. Paulay","184130.0",NA,NA,NA,NA,"","","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"120.307333°E - 120.298667°E",NA,NA,"2014-03-20T21:44:38.527Z",NA,NA,NA,NA,NA,"13.9283333°N - 13.9316667°N",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"115-124 m","","02 Jun 2011",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"PHILIPPINES: Lubang Islands: Lubang Island",NA
"1471","",NA,"",NA,NA,NA,NA,NA,"1973-12-04 00:00:00.0",NA,NA,"Holothuriidae",NA,"",NA,NA,"",NA,9.144,NA,"ECHINODERMATA",NA,"",NA,NA,"OIH",NA,"",NA,NA,NA,NA,"urn:catalog:CAS:IZ:141529",NA,NA,NA,NA,NA,116,NA,NA,NA,"",NA,NA,"",NA,4,NA,NA,NA,NA,"","",NA,"37° 47' 46"" N, 122° 19' 4"" W",NA,NA,NA,"","969aad8d64b83aff2fa08d4795215af36371d232",11.5824,NA,NA,"",NA,"d3db26ce-7717-45d8-a4b1-2c2afeeef553",NA,NA,"","","",NA,"1973-12-04 00:00:00.0","United States",1973,"CAS","",NA,NA,"",NA,"",-122.3177778,"",NA,NA,NA,NA,338,NA,37.7961111,"75% EtOH",NA,NA,"Stanford Research Inst.",NA,NA,"","","","PhysicalObject","Holothuria",NA,NA,"IZ","",NA,"California","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"d3db26ce-7717-45d8-a4b1-2c2afeeef553",NA,NA,"",NA,NA,"Alameda County",NA,NA,NA,"en","Holothuria","Hill","141529.0",NA,NA,NA,NA,"","Inner Harbor Reach","PreservedSpecimen","Animalia",NA,"",NA,NA,NA,NA,NA,"122°19'4""W",NA,NA,"2014-03-20T20:35:09.341Z",NA,NA,NA,NA,NA,"37°47'46""N",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"30-38 ft","","04 Dec 1973",NA,NA,NA,NA,"Animalia: ECHINODERMATA: HOLOTHUROIDEA: ASPIDOCHIROTIA: ASPIDOCHIROTIDA: Holothuriidae","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"CALIFORNIA: San Francisco Estuary: San Francisco Bay: Alameda County: Oakland Inner Harbor",NA
