"","dwc.samplingProtocol","inhs.superfamily","dwc.latestEpochOrHighestSeries","dwc.institutionID","dcterms.language","inhs.formII_females","row.number","dwc.namePublishedIn","dwc.relatedResourceID","idigbio.associateNotes","idigbio.dateModified","dwc.municipality","dwc.rightsHolder","dwc.higherGeography","id","dwc.institutionCode","dwc.countryCode","dwc.VerbatimEventDate","dwc.verbatimCoordinateSystem","dwc.dateIdentified","dwc.verbatimElevation","idigbio.uuid","dwc.datasetName","idigbio.associatedRelationship","inhs.location_Stream","dwc.lithostratigraphicTerms","dwc.county","dwc.basisOfRecord","dwc.verbatimSRS","dcterms.references","dwc.verbatimLocality","dwc.occurrenceStatus","dwc.individualCount","inhs.dead","idigbio.barcodeValue","idigbio.associateIdentifier","dwc.eventDate","dwc.identificationVerificationStatus","dwc.rights","inhs.live","dcterms.rights","dwc.kingdom","dcterms.source","dwc.islandGroup","idigbio.createdBy","dwc.establishmentMeans","dwc.informationWithheld","dwc.subgenus","dwc.identificationRemarks","fcc.datePicked","idigbio.subgenus","dwc.georeferenceRemarks","dwc.infraspecificEpithet","dwc.year","dwc.maximumDepthInMeters","idigbio.associateCommonName","dwc.associatedTaxa","dwc.previousIdentifications","idigbio.substrate","dwc.associatedOccurrences","dwc.geodeticDatum","inhs.formI_males","dwc.accessRights","idigbio.determinationHistory","dwc.catalogNumber","dcterms.reference","idigbio.associateRelationship","dwc.scientificName","dwc.vernacularName","dwc.minimumDepthInMeters","dwc.datasetID","fcc.subfamily","dwc.behavior","dwc.earliestEpochOrLowestSeries","dwc.island","dwc.taxonID","dwc.scientificNameAuthorship","dwc.typeStatus","dwc.identifiedBy","dwc.latestPeriodOrHighestSystem","inhs.locationTrs","dwc.member","dwc.decimalLongitude","dwc.occurrenceRemarks","dwc.locationAccordingTo","idigbio.etag","dwc.identificationID","dwc.eventRemarks","dwc.decimalLatitude","dwc.disposition","dwc.verbatimLatitude","dwc.earliestAgeOrLowestStage","dwc.locationRemarks","idigbio.recordIds","dwc.georeferenceSources","dwc.taxonRemarks","dwc.identificationReferences","dwc.earliestPeriodOrLowestSystem","inhs.location_RiverMile","dwc.country","dwc.order","dwc.associatedMedia","dwc.nomenclaturalCode","dcterms.rightsHolder","dwc.sex","dwc.georeferenceVerificationStatus","dwc.associatedSequences","dwc.genus","dwc.preparations","dwc.latestAgeOrHighestStage","symbiotaverbatimScientificName","idigbio.preservative","dwc.verbatimCoordinates","symbiota.verbatimScientificName","inhs.juv_males","dwc.month","idigbio.endangeredStatus","idigbio.preparationCount","dwc.dynamicProperties","dwc.maximumElevationInMeters","inhs.juv_undetermined","dwc.day","inhs.juv_females","dwc.georeferencedBy","dwc.associatedReferences","dwc.verbatimLongitude","dwc.recordedBy","fcc.pickedBy","http...symbiota.org.terms.verbatimScientificName","dwc.formation","dwc.higherClassification","idigbio.subfamily","dwc.fieldNumber","dwc.footprintWKT","inhs.relic","idigbio.version","dwc.originalNameUsage","dwc.waterBody","dwc.earliestEraOrLowestErathem","dwc.eventTime","dwc.preparation","dwc.class","dwc.individualID","dcterms.type","dwc.reproductiveCondition","dwc.locality","inhs.total_females","dwc.endDayOfYear","inhs.instars_Male","idigbio.recordId","dwc.verbatimTaxonRank","dcterms.accessRights","dwc.phylum","dcterms.bibliographicCitation","dwc.samplingEffort","dwc.family","dwc.fieldNotes","dwc.lifeStage","dwc.nameAccordingTo","dwc.namePublishedInID","idigbio.tribe","dwc.verbatimEventDate","fcc.superfamily","dwc.startDayOfYear","dwc.collectionCode","dwc.dataGeneralizations","dwc.lowestBiostratigraphicZone","idigbio.hostFamily","dwc.ownerInstitutionCode","dwc.collectionID","dwc.habitat","dwc.scientificNameID","dwc.otherCatalogNumbers","dwc.taxonRank","dwc.bed","dwc.latestEraOrHighestErathem","idigbio.associateCondition","dwc.stateProvince","idigbio.associateDeterminedBy","dwc.georeferenceProtocol","dwc.recordNumber","dwc.eventID","dwc.georeferencedDate","idigbio.associateAuthor","inhs.total_Males","idigbio.associatedFamily","dwc.locationID","idigbio.recordID","inhs.location_Basin","dcterms.modified","inhs.vouchered","dwc.specificEpithet","inhs.formII_males","dwc.identificationQualifier","dwc.coordinateUncertaintyInMeters","dwc.group","dwc.continent","dwc.minimumElevationInMeters","dwc.nomenclaturalStatus","dwc.occurrenceID","dwc.verbatimDepth","dwc.coordinatePrecision","inhs.instars_Female"
"327","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-07-12T18:50:27.863Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","1b7a38ac-909a-45e2-bfed-e69c0c64489f","MCZ",NA,NA,"decimal degrees","",NA,"1b7a38ac-909a-45e2-bfed-e69c0c64489f",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-866",NA,NA,1,NA,NA,NA,"1700-01-01/1947-07-31","unverified",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","WGS84",NA,NA,NA,"HOL-866",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","[no agent data]",NA,NA,NA,-76.845067,NA,NA,"4d4b2d5e33868a93ab28f99d45c329f4edd84a01",NA,"",17.905085,"not applicable","17.905085d",NA,"",NA,"GEOLocate",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-866","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Jessica Anne Mullen","","-76.845067d","Hubert Lyman Clark",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"Jamaica, Kingston Harbor, Port Royal, Drunken Mans Cay",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"[date unknown]",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"collector number=13, 10, 5",NA,NA,NA,NA,"",NA,"GEOLocate","13, 10, 5",NA,NA,NA,NA,NA,"",NA,NA,"2014-06-16 09:51:12.0",NA,"cubana",NA,NA,496,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-866","",496,NA
"348","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-07-13T01:13:57.147Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","60787a29-ce47-4a7e-9d20-94f5628e365a","MCZ",NA,NA,"","",NA,"60787a29-ce47-4a7e-9d20-94f5628e365a",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-695",NA,NA,1,NA,NA,NA,"1700-01-01/1867-12-31","",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"HOL-695",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","Syntype","[no agent data], E. Selenka",NA,NA,NA,NA,NA,NA,"98f317039299705c23ccac8276475f59cc1d5464",NA,"",NA,"not applicable","",NA,"",NA,"",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-695","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","[no agent data]",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"off Cape Florida [Florida]",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"Unknown",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"other number=326",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"2012-07-11 16:10:04.0",NA,"cubana",NA,NA,NA,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-695","",NA,NA
"364","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-07-12T14:22:41.294Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","acd6aa46-d6b6-4209-b291-5cba2f293ec3","MCZ",NA,NA,"decimal degrees","",NA,"acd6aa46-d6b6-4209-b291-5cba2f293ec3",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1999",NA,NA,1,NA,NA,NA,"1939-01-01/1939-12-31","unverified",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","WGS84",NA,NA,NA,"HOL-1999",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","[no agent data]",NA,NA,NA,-64.759907,NA,NA,"2e1bfbb58a1c3fa8bb4c05edb15390da22aeb454",NA,"",32.316051,"not applicable","32.316051d",NA,"",NA,"GEOLocate",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1999","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Jessica Anne Mullen","","-64.759907d","Hubert Lyman Clark",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"Bermuda",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"1939",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,NA,NA,NA,"",NA,"GEOLocate","",NA,NA,NA,NA,NA,"",NA,NA,"2014-05-28 11:52:50.0",NA,"cubana",NA,NA,19300,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-1999","",19300,NA
"373","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-07-13T04:55:02.566Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","c737df13-e5a6-4b98-86ac-6d7716c17232","MCZ",NA,NA,"decimal degrees","",NA,"c737df13-e5a6-4b98-86ac-6d7716c17232",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1395",NA,NA,1,NA,NA,NA,"1912-03-01/1912-03-31","unverified",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","WGS84",NA,NA,NA,"HOL-1395",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","[no agent data]",NA,NA,NA,-77.931086,NA,NA,"9297d53a2912a904b1280875e5169164b4cf9b53",NA,"",18.46908,"not applicable","18.46908d",NA,"",NA,"GEOLocate",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1395","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Jessica Anne Mullen","","-77.931086d","Hubert Lyman Clark",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"Jamaica, Bogue Island, Montego Bay",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"March  1912",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,NA,NA,NA,"",NA,"GEOLocate","",NA,NA,NA,NA,NA,"",NA,NA,"2014-06-02 10:02:34.0",NA,"cubana",NA,NA,647,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-1395","",647,NA
"892","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-07-12T14:46:39.443Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","d35c3d0b-5e69-4a7f-bccd-95c568406ded","MCZ",NA,NA,"decimal degrees","",NA,"d35c3d0b-5e69-4a7f-bccd-95c568406ded",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-872",NA,NA,1,NA,NA,NA,"","unverified",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","WGS84",NA,NA,NA,"HOL-872",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","[no agent data]",NA,NA,NA,-77.313232,NA,NA,"2b291426be262ee595f1dd5dc6b3bb8040ed4f1d",NA,"",18.218696,"not applicable","18.218696d",NA,"",NA,"GEOLocate",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-872","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Jessica Anne Mullen","","-77.313232d","Hubert Lyman Clark",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"Jamaica",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"unknown",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,NA,NA,NA,"",NA,"GEOLocate","",NA,NA,NA,NA,NA,"",NA,NA,"2013-06-27 09:12:14.0",NA,"cubana",NA,NA,130916,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-872","",130916,NA
"1468","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-05-28T21:02:32.153Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","d2d3e5ed-a3c8-4a30-8340-70364cf14bb2","MCZ",NA,NA,"","",NA,"d2d3e5ed-a3c8-4a30-8340-70364cf14bb2",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1207",NA,NA,1,NA,NA,NA,"1917-04-03","",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"HOL-1207",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","[no agent data]",NA,NA,NA,NA,NA,NA,"0e05c2874656825b0adc0be50ccb239b8c9f56b3",NA,"",NA,"not applicable","",NA,"",NA,"",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1207","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","William John Crozier, Bermuda Institute of Ocean Sciences",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"Bermuda, south side of Marshall Island",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"April 3, 1917",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"2013-05-09 11:18:00.0",NA,"cubana",NA,NA,NA,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-1207","",NA,NA
"1526","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-07-13T00:14:29.183Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","9bcae369-a9a0-4094-a246-31b4a9c7f009","MCZ",NA,NA,"","",NA,"9bcae369-a9a0-4094-a246-31b4a9c7f009",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-867",NA,NA,1,NA,NA,NA,"1903-11-01/1903-11-30","",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"HOL-867",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","[no agent data]",NA,NA,NA,NA,NA,NA,"31348251fc949fdde314719984f89303b47b12d5",NA,"",NA,"not applicable","",NA,"",NA,"",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-867","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","Hubert Lyman Clark",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"Jamaica: off Port Henderson",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"November 1903",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"2013-06-27 09:12:14.0",NA,"cubana",NA,NA,NA,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-867","",NA,NA
"2368","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-07-12T15:28:06.112Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","e219a45b-44fb-493f-be01-5bd08989bbcc","MCZ",NA,NA,"","",NA,"e219a45b-44fb-493f-be01-5bd08989bbcc",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1341",NA,NA,1,NA,NA,NA,"1918-07-01/1918-07-31","",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"HOL-1341",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","[no agent data]",NA,NA,NA,NA,NA,NA,"d1b40763cc2cc67b214a6da534089431a5fdf700",NA,"",NA,"not applicable","",NA,"",NA,"",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1341","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","Walter K. Fisher",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"Antigua, Falmoth Harbor",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"July, 1918",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"other number=6",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"2013-03-21 14:04:04.0",NA,"cubana",NA,NA,NA,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-1341","",NA,NA
"2423","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-08-04T20:17:58.167Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","738852ec-754a-451e-9ac7-1ea722439764","MCZ",NA,NA,"decimal degrees","",NA,"738852ec-754a-451e-9ac7-1ea722439764",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1172",NA,NA,1,NA,NA,NA,"1916-04-01/1916-04-30","unverified",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","WGS84",NA,NA,NA,"HOL-1172",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","Hubert Lyman Clark",NA,NA,NA,-60.811479,NA,NA,"368103cb03ccc1e78a0729975dd266626ae9341e",NA,"",11.177882,"not applicable","11.177882d",NA,"",NA,"GEOLocate",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1172","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Penny Benson","","-60.811479d","Hubert Lyman Clark, Carnegie Expedition",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"Trinidad and Tobago: Tobago: Buccoo Bay",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"April  1916",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,NA,NA,NA,"",NA,"GEOLocate","",NA,NA,NA,NA,NA,"",NA,NA,"2014-05-15 10:03:41.0",NA,"cubana",NA,NA,647,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-1172","",647,NA
"2431","",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","en",NA,NA,NA,NA,NA,"2014-07-26T00:41:36.417Z",NA,NA,"Atlantic Ocean, Atlantic, Western Central","42934c00-4e0b-4bdb-9ea7-b07f7b206978","MCZ",NA,NA,"","",NA,"42934c00-4e0b-4bdb-9ea7-b07f7b206978",NA,NA,NA,NA,"","PreservedSpecimen",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-571",NA,NA,1,NA,NA,NA,"1908-02-01/1908-02-28","",NA,NA,NA,"Animalia",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"HOL-571",NA,NA,"Holothuria (Cystipus) cubana",NA,NA,NA,NA,NA,NA,NA,NA,"Ludwig, 1875","","[no agent data]",NA,NA,NA,NA,NA,NA,"ed7f50bceed0db93cfca20b81ee7d095c040aeef",NA,"",NA,"not applicable","",NA,"",NA,"",NA,NA,NA,NA,"","Aspidochirotida","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-571","ICZN","President and Fellows of Harvard College","",NA,NA,"Holothuria","whole animal (70% ethanol)",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","George M. Gray",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) cubana",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea",NA,"PhysicalObject",NA,"United States, Florida, Miami",NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,"February 1908",NA,0,"IZ",NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"2013-10-01 10:09:10.0",NA,"cubana",NA,NA,NA,NA,"Atlantic Ocean",NA,NA,"MCZ:IZ:HOL-571","",NA,NA
