"","dwc.footprintWKT","dwc.infraspecificEpithet","inhs.relic","dcterms.source","dwc.year","dwc.locationAccordingTo","dwc.earliestPeriodOrLowestSystem","dwc.taxonRemarks","dwc.locality","dwc.verbatimLatitude","dwc.associatedSequences","fcc.subfamily","dwc.samplingEffort","inhs.formI_males","dcterms.type","dwc.verbatimElevation","idigbio.associateIdentifier","inhs.locationTrs","idigbio.associateAuthor","dwc.dateIdentified","dwc.waterBody","dwc.eventDate","dcterms.language","dwc.taxonRank","dcterms.bibliographicCitation","dwc.basisOfRecord","dwc.minimumElevationInMeters","dwc.scientificName","dwc.georeferenceRemarks","dwc.verbatimDepth","dwc.nomenclaturalCode","dwc.continent","dcterms.rightsHolder","dwc.ownerInstitutionCode","inhs.juv_females","dwc.verbatimCoordinates","idigbio.determinationHistory","dwc.occurrenceRemarks","idigbio.hostFamily","id","idigbio.substrate","dwc.georeferenceSources","inhs.formII_males","dwc.namePublishedIn","dcterms.accessRights","inhs.instars_Male","dcterms.references","dwc.verbatimTaxonRank","dwc.day","dwc.municipality","dwc.georeferenceProtocol","dwc.startDayOfYear","dwc.originalNameUsage","idigbio.uuid","dwc.family","inhs.total_females","dwc.disposition","dwc.subgenus","dwc.lithostratigraphicTerms","dcterms.rights","dwc.habitat","inhs.total_Males","dwc.identificationReferences","dwc.dataGeneralizations","dwc.rightsHolder","dwc.accessRights","dwc.nameAccordingTo","dwc.associatedReferences","dwc.verbatimEventDate","dwc.namePublishedInID","inhs.location_Basin","http...symbiota.org.terms.verbatimScientificName","dwc.phylum","dwc.latestEpochOrHighestSeries","dwc.otherCatalogNumbers","inhs.dead","dwc.typeStatus","dwc.verbatimCoordinateSystem","dwc.previousIdentifications","dwc.scientificNameAuthorship","dwc.class","dwc.countryCode","inhs.location_RiverMile","idigbio.preparationCount","dwc.identificationID","dwc.member","dwc.specificEpithet","dwc.dynamicProperties","dwc.earliestEraOrLowestErathem","idigbio.tribe","dwc.latestAgeOrHighestStage","dwc.eventTime","idigbio.etag","dwc.higherGeography","dwc.maximumDepthInMeters","dwc.order","dwc.georeferencedBy","dwc.institutionID","dwc.rights","inhs.juv_males","dwc.verbatimLongitude","dwc.eventID","dwc.minimumDepthInMeters","inhs.formII_females","dwc.genus","dwc.datasetName","dwc.relatedResourceID","row.number","dwc.occurrenceStatus","dwc.fieldNumber","dwc.earliestAgeOrLowestStage","dwc.higherClassification","dwc.identificationRemarks","dwc.lifeStage","idigbio.dateModified","dwc.individualCount","dwc.verbatimSRS","dwc.coordinatePrecision","dwc.lowestBiostratigraphicZone","dwc.associatedMedia","idigbio.associatedFamily","idigbio.recordID","dwc.sex","dwc.geodeticDatum","dwc.latestPeriodOrHighestSystem","dwc.reproductiveCondition","dwc.nomenclaturalStatus","dwc.samplingProtocol","dwc.behavior","idigbio.associateCommonName","dwc.vernacularName","dwc.earliestEpochOrLowestSeries","idigbio.recordIds","dwc.informationWithheld","inhs.juv_undetermined","inhs.superfamily","dwc.coordinateUncertaintyInMeters","idigbio.preservative","dwc.kingdom","dwc.verbatimLocality","idigbio.barcodeValue","inhs.instars_Female","idigbio.recordId","dwc.recordedBy","dwc.identifiedBy","dwc.establishmentMeans","dwc.scientificNameID","idigbio.associatedRelationship","idigbio.createdBy","dcterms.reference","dwc.preparation","idigbio.version","idigbio.associateDeterminedBy","dwc.occurrenceID","dwc.taxonID","fcc.superfamily","dwc.latestEraOrHighestErathem","idigbio.associateCondition","inhs.live","dwc.eventRemarks","dwc.datasetID","dwc.endDayOfYear","dwc.locationRemarks","inhs.location_Stream","dwc.maximumElevationInMeters","dwc.identificationQualifier","dcterms.modified","dwc.formation","dwc.islandGroup","symbiotaverbatimScientificName","dwc.catalogNumber","fcc.datePicked","dwc.associatedTaxa","dwc.georeferenceVerificationStatus","dwc.county","dwc.decimalLongitude","idigbio.associateRelationship","dwc.VerbatimEventDate","dwc.identificationVerificationStatus","inhs.vouchered","dwc.decimalLatitude","dwc.institutionCode","dwc.island","dwc.country","dwc.associatedOccurrences","symbiota.verbatimScientificName","idigbio.subgenus","dwc.georeferencedDate","dwc.individualID","dwc.recordNumber","dwc.group","idigbio.associateNotes","dwc.month","dwc.bed","dwc.collectionCode","idigbio.endangeredStatus","dwc.fieldNotes","dwc.preparations","fcc.pickedBy","idigbio.subfamily","dwc.stateProvince","dwc.locationID","dwc.collectionID"
"301",NA,"",NA,NA,NA,NA,NA,NA,"Mexico,Lower California, San Felipe","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"","","1936-06-20","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"1ce10b73-fe52-4bf0-b355-6d01f6adf3dc",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1793",NA,NA,NA,"",0,NA,"1ce10b73-fe52-4bf0-b355-6d01f6adf3dc","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","June 20, 1936",NA,NA,NA,"Echinodermata",NA,"",NA,"","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"dc6911da473f5586950cff5f2615f1159845daab","Pacific Ocean, Pacific, Eastern Central",NA,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-05-04T09:40:14.717Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1793",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Steven A. Glassell","[no agent data]",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-1793",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-04-18 10:02:26.0",NA,NA,NA,"HOL-1793",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol)",NA,NA,"","",NA
"352",NA,"",NA,NA,NA,NA,NA,NA,"Nicaragua: Cardon Islands, Corinto","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"","","1938-01-01/1938-12-31","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"bac1e9e6-f763-4381-b8ae-8ee5d07f7f79",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1941",NA,NA,NA,"",0,NA,"bac1e9e6-f763-4381-b8ae-8ee5d07f7f79","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","1938",NA,NA,NA,"Echinodermata",NA,"station number=200-D.5.",NA,"","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"84c0e0ee701af2fdc1422f15fff148c4ac5977f9","Pacific Ocean, Pacific, Eastern Central",3.6576,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,3.6576,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-07-12T15:14:05.790Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1941",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Zaca Expedition, Templeton Crocker, William Beebe","[no agent data]",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-1941",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-04-18 10:02:26.0",NA,NA,NA,"HOL-1941",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol)",NA,NA,"","",NA
"406",NA,"",NA,NA,NA,NA,NA,NA,"Mexico, Sonora; Norse Beach, Puerto Penasco","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"","","1965-11-20","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"93e58c8a-11cc-4a32-9b6f-e694df546ef6",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4090",NA,NA,NA,"",0,NA,"93e58c8a-11cc-4a32-9b6f-e694df546ef6","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","Nov. 20, 1965",NA,NA,NA,"Echinodermata",NA,"other number=11",NA,"","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"169bd21f3d86b268fa7a265465c1eb9c1907d087","Pacific Ocean, Pacific, Eastern Central",NA,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-07-22T07:59:02.037Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4090",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Donald A. Thomson","[no agent data]",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-4090",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-04-18 10:02:27.0",NA,NA,NA,"HOL-4090",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol)",NA,NA,"","",NA
"608",NA,"",NA,NA,NA,NA,NA,NA,"United States, Hawaii","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"","","1700-01-01/1867-12-31","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"6ffa55fe-f1e6-4784-81cd-9603627c4d8c",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-648",NA,NA,NA,"",0,NA,"6ffa55fe-f1e6-4784-81cd-9603627c4d8c","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","unknown",NA,NA,NA,"Echinodermata",NA,"collector number=119,127,455,59,646",NA,"Syntype","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"8d5842830a3dad3ee740967e06beecbf3807864f","Pacific Ocean, Pacific, Eastern Central",NA,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-07-12T18:21:07.188Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-648",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Andrew Garrett","World Register of Marine Species, [no agent data]",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-648",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-05-13 13:39:49.0",NA,NA,NA,"HOL-648",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","",NA,NA,NA,NA,"119,127,455,59,646",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol); whole animal (70% ethanol) sample",NA,NA,"","",NA
"643",NA,"",NA,NA,NA,NA,NA,NA,"Australia, Queensland, Torres Strait, Murray Island (Mer), southeastern reef flat","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"","","1913-10-01/1913-10-31","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"06864419-e7cc-4fe7-9108-61b558576b10",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1029",NA,NA,NA,"",0,NA,"06864419-e7cc-4fe7-9108-61b558576b10","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","October 1913",NA,NA,NA,"Echinodermata",NA,"",NA,"Holotype","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"51e17ef3e8dfbafa9fe31d32d13c35642e019a93","Pacific Ocean, Pacific, Western Central",NA,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-07-12T14:18:56.668Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1029",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait","World Register of Marine Species, Hubert Lyman Clark",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-1029",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-06-09 14:36:15.0",NA,NA,NA,"HOL-1029",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","from same lot as          <a href=""http://arctos.database.museum/SpecimenDetail.cfm?collection_object_id=3224644""> MCZ IZ CRI-509</a>",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol)",NA,NA,"","",NA
"872",NA,"",NA,NA,NA,NA,NA,NA,"Mexico, Lower California, Conception Bay","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"","","1940-03-29","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"5b895046-8eb2-4d8e-b7d7-ae31a305281a",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2100",NA,NA,NA,"",0,NA,"5b895046-8eb2-4d8e-b7d7-ae31a305281a","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","March 29, 1940",NA,NA,NA,"Echinodermata",NA,"",NA,"","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"413b05b3799e0824b8074ae9207101ebca296a69","Pacific Ocean, Pacific, Eastern Central",NA,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-05-04T10:10:02.948Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2100",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Edward Flanders Ricketts, John Steinbeck","[no agent data]",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-2100",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-04-18 10:02:26.0",NA,NA,NA,"HOL-2100",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol)",NA,NA,"","",NA
"1173",NA,"",NA,NA,NA,NA,NA,NA,"United States, Hawaii, Hilo","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"","","1913-12-08","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"530cf4ff-9435-4e97-adea-53dbdad7bffc",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1030",NA,NA,NA,"",0,NA,"530cf4ff-9435-4e97-adea-53dbdad7bffc","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","December 8, 1913",NA,NA,NA,"Echinodermata",NA,"",NA,"","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"849cd10c69dca0868c61ae79f8f4e8cbb08355c8","Pacific Ocean, Pacific, Eastern Central",NA,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-06-18T07:55:08.571Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1030",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Carnegie Expedition to the Torres Strait, Hubert Lyman Clark","[no agent data]",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-1030",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-05-22 10:46:13.0",NA,NA,NA,"HOL-1030",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol)",NA,NA,"","",NA
"1221",NA,"",NA,NA,NA,NA,NA,NA,"off the coast of Australia","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"","","1700-01-01/2012-04-11","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","[no higher geography data]","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"ae9bca59-abb2-44db-83f2-b488f6b6d086",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1425",NA,NA,NA,"",0,NA,"ae9bca59-abb2-44db-83f2-b488f6b6d086","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","[date unknown]",NA,NA,NA,"Echinodermata",NA,"",NA,"","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"e19086663f4ff379c3a7fd541b7b61c0787f03a2","[no higher geography data], null",NA,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-07-12T14:13:57.791Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1425",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"[no agent data]","[no agent data]",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-1425",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-06-10 16:59:13.0",NA,NA,NA,"HOL-1425",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol)",NA,NA,"","",NA
"1478",NA,"",NA,NA,NA,NA,NA,NA,"Australia, Queensland, Torres Strait, Murray Islands (Mer)","-9.91518d",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"2012-07-24 00:00:00.0","","1913-10-01/1913-10-31","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"dcd22f74-2c18-4e79-8e80-13ebaf3ea4c4",NA,"GEOLocate",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1028",NA,NA,NA,"GEOLocate",0,NA,"dcd22f74-2c18-4e79-8e80-13ebaf3ea4c4","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","October 1913",NA,NA,NA,"Echinodermata",NA,"",NA,"Paratype","decimal degrees",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"f95c510ce68551dc8916ffc8611a37288a47fca8","Pacific Ocean, Pacific, Western Central",NA,"Aspidochirotida","Jessica Anne Mullen","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"144.05164d",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-07-13T00:05:00.274Z",1,NA,2768,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1028",NA,NA,"","WGS84",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2768,NA,"Animalia",NA,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait","World Register of Marine Species, Hubert Lyman Clark",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-1028",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-06-09 14:24:29.0",NA,NA,NA,"HOL-1028",NA,NA,NA,"",144.05164,NA,NA,"unverified",NA,-9.91518,"MCZ",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol); whole animal (70% ethanol) sample",NA,NA,"","",NA
"2663",NA,"",NA,NA,NA,NA,NA,NA,"Off Mexico, Sonora, 8 mi. West of Puerto Penasco","",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"1966-07-01 00:00:00.0","","1966-07-02","en",NA,NA,"PreservedSpecimen",NA,"Holothuria (Cystipus) inhabilis","","","ICZN","Pacific Ocean","President and Fellows of Harvard College","Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,"022a10b2-9b2f-4238-9d95-5f9f6f858d8e",NA,"",NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4089",NA,NA,NA,"",0,NA,"022a10b2-9b2f-4238-9d95-5f9f6f858d8e","Holothuriidae",NA,"not applicable",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","July 2, 1966",NA,NA,NA,"Echinodermata",NA,"",NA,"","",NA,"Selenka, 1867","Holothuroidea",NA,NA,NA,NA,NA,"inhabilis","",NA,NA,NA,NA,"2881354138e5ad08813cfdd9b1c6d7b24eb44768","Pacific Ocean, Pacific, Eastern Central",NA,"Aspidochirotida","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) inhabilis","",NA,"2014-05-04T09:54:29.192Z",1,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4089",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"[no agent data]","Joseph A. Beatty",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"MCZ:IZ:HOL-4089",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"2014-04-18 10:02:27.0",NA,NA,NA,"HOL-4089",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"MCZ",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"IZ",NA,NA,"whole animal (70% ethanol)",NA,NA,"","",NA
