"","inhs.live","dwc.occurrenceRemarks","dwc.catalogNumber","dwc.specificEpithet","idigbio.associateIdentifier","dwc.decimalLatitude","dwc.identificationRemarks","dwc.locationAccordingTo","dwc.day","dcterms.rightsHolder","dwc.latestAgeOrHighestStage","dwc.georeferenceRemarks","inhs.total_Males","dwc.endDayOfYear","dwc.infraspecificEpithet","dwc.country","idigbio.associateAuthor","dwc.lithostratigraphicTerms","symbiota.verbatimScientificName","dcterms.accessRights","dwc.reproductiveCondition","idigbio.subfamily","dwc.associatedMedia","dwc.associatedOccurrences","dwc.recordedBy","dwc.group","dwc.nameAccordingTo","dwc.county","dwc.islandGroup","dwc.verbatimLongitude","dcterms.rights","inhs.juv_undetermined","fcc.superfamily","dwc.nomenclaturalCode","dwc.vernacularName","dwc.island","dwc.coordinateUncertaintyInMeters","dwc.institutionCode","dwc.earliestAgeOrLowestStage","dwc.occurrenceStatus","dwc.individualCount","dwc.higherClassification","dwc.datasetName","dwc.minimumDepthInMeters","fcc.pickedBy","dwc.latestPeriodOrHighestSystem","dwc.taxonRank","idigbio.uuid","idigbio.associatedRelationship","dwc.verbatimEventDate","dwc.stateProvince","inhs.instars_Female","dwc.samplingEffort","dwc.fieldNumber","inhs.formII_females","dwc.taxonRemarks","dwc.eventRemarks","inhs.superfamily","dwc.decimalLongitude","dwc.associatedTaxa","dwc.georeferenceProtocol","dwc.genus","dwc.minimumElevationInMeters","dwc.scientificNameAuthorship","idigbio.barcodeValue","fcc.datePicked","dwc.dateIdentified","dcterms.modified","dwc.otherCatalogNumbers","dwc.higherGeography","dwc.verbatimCoordinateSystem","inhs.location_RiverMile","dwc.bed","idigbio.tribe","inhs.total_females","idigbio.associateRelationship","dwc.locationID","dcterms.source","dwc.associatedReferences","row.number","dwc.fieldNotes","dwc.verbatimDepth","dwc.waterBody","idigbio.associateNotes","idigbio.preservative","dwc.originalNameUsage","dwc.phylum","dwc.VerbatimEventDate","dwc.coordinatePrecision","dwc.countryCode","idigbio.createdBy","inhs.dead","dwc.informationWithheld","inhs.juv_females","dcterms.references","dwc.latestEraOrHighestErathem","dwc.continent","dwc.verbatimLatitude","dcterms.bibliographicCitation","dwc.namePublishedIn","id","idigbio.determinationHistory","dwc.verbatimTaxonRank","dwc.institutionID","dwc.behavior","dwc.typeStatus","dwc.class","inhs.location_Basin","dwc.identificationReferences","idigbio.etag","dwc.eventID","dwc.kingdom","dwc.municipality","dwc.scientificName","dwc.member","dcterms.language","dwc.earliestPeriodOrLowestSystem","dwc.namePublishedInID","dwc.year","dwc.earliestEraOrLowestErathem","dwc.preparation","dwc.individualID","idigbio.associateDeterminedBy","dwc.lowestBiostratigraphicZone","dwc.identificationQualifier","dwc.scientificNameID","dwc.basisOfRecord","inhs.formI_males","dwc.verbatimCoordinates","dwc.lifeStage","dwc.georeferenceVerificationStatus","inhs.relic","dwc.family","dwc.identificationVerificationStatus","dwc.eventTime","dwc.rights","dwc.identifiedBy","dwc.datasetID","dcterms.reference","dwc.month","dwc.preparations","idigbio.endangeredStatus","dwc.locationRemarks","idigbio.subgenus","inhs.locationTrs","dwc.disposition","inhs.vouchered","idigbio.substrate","dwc.eventDate","dwc.subgenus","idigbio.dateModified","dwc.occurrenceID","dwc.georeferencedDate","dwc.collectionID","idigbio.version","dwc.previousIdentifications","dwc.formation","idigbio.associateCondition","dwc.verbatimElevation","inhs.instars_Male","http...symbiota.org.terms.verbatimScientificName","idigbio.recordIds","idigbio.recordId","dwc.samplingProtocol","dwc.geodeticDatum","dwc.collectionCode","dwc.footprintWKT","inhs.formII_males","dwc.ownerInstitutionCode","dwc.rightsHolder","dwc.order","dwc.earliestEpochOrLowestSeries","inhs.juv_males","dwc.verbatimSRS","dwc.associatedSequences","dwc.habitat","fcc.subfamily","dwc.relatedResourceID","idigbio.hostFamily","dwc.maximumElevationInMeters","dwc.sex","dwc.locality","dwc.georeferencedBy","dwc.verbatimLocality","symbiotaverbatimScientificName","inhs.location_Stream","dwc.accessRights","dwc.latestEpochOrHighestSeries","dwc.maximumDepthInMeters","idigbio.associatedFamily","dwc.identificationID","idigbio.associateCommonName","dwc.startDayOfYear","dwc.dynamicProperties","dwc.recordNumber","dwc.taxonID","dwc.dataGeneralizations","dwc.georeferenceSources","idigbio.preparationCount","idigbio.recordID","dwc.nomenclaturalStatus","dwc.establishmentMeans","dcterms.type"
"72",NA,NA,"HOL-593","floridana",NA,NA,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-593","","G. W. Wurdemann",NA,NA,"",NA,"",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"90ab629b-5a7e-463d-9ae1-04c3451000c5",NA,"[date unknown]","",NA,NA,"",NA,NA,"",NA,NA,NA,"","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-01-15 15:02:26.0","other number=226; other number=327","Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-593",NA,"Atlantic Ocean","",NA,NA,"90ab629b-5a7e-463d-9ae1-04c3451000c5",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"c6a1d76b478c77cc6dec9c4a18225be2e3aa6dfd",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","",NA,NA,"[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"",NA,"2014-07-12T14:47:18.183Z","MCZ:IZ:HOL-593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cape Florida, off Florida","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,"",NA,NA,NA,NA,"PhysicalObject"
"578",NA,NA,"HOL-1776","floridana",NA,NA,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1776","","William J. Clench",NA,NA,"",NA,"",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"1e2a326f-79c6-48dd-b208-363bc84965cc",NA,"29/7/1935","",NA,NA,"",NA,NA,"",NA,NA,NA,"","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-01-14 15:02:27.0","other number=1196","Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1776",NA,"Atlantic Ocean","",NA,NA,"1e2a326f-79c6-48dd-b208-363bc84965cc",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"e756c68fbaa420d66c1dad2909138dc4d4fef590",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","",NA,NA,"[no agent data]",NA,NA,NA,"partial animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"1935-07-29",NA,"2014-02-28T07:29:11.249Z","MCZ:IZ:HOL-1776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"male","Bahamas, Campdown, 4 mi. E. Arthurs Town, Cat Island","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"sex: male","",NA,NA,"",NA,NA,NA,NA,"PhysicalObject"
"604",NA,NA,"HOL-587","floridana",NA,NA,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-587","","[no agent data]",NA,NA,"",NA,"",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"161db0ec-81b0-46bc-9ab8-07f74979bfaf",NA,"[date unknown]","",NA,NA,"",NA,NA,"",NA,NA,NA,"","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-01-14 13:02:26.0","other number=594","Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-587",NA,"Atlantic Ocean","",NA,NA,"161db0ec-81b0-46bc-9ab8-07f74979bfaf",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"f3f513e76a4b3a775bed99c6c0500d7561ca6047",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","",NA,NA,"[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"",NA,"2014-07-12T15:04:21.565Z","MCZ:IZ:HOL-587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","North America, United States, Florida, Key West","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"age class: adult","",NA,NA,"",NA,NA,NA,NA,"PhysicalObject"
"997",NA,NA,"125929","floridana",NA,20.875,"",NA,NA,"President and Fellows of Harvard College",NA,"Lat. seconds and Long. seconds blank in Original Data. Set to 30, Maximum Error set to 115 km. in MCZbase ; collection date unknown therefore lat/long date is unknown",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125929","","Bravo, Toledano",NA,NA,"",NA,"86d 51m s W",NA,NA,NA,"ICZN",NA,NA,115000,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"fd335ec8-100f-49b6-b9ad-fafd55e14233",NA,"[unknown]","",NA,NA,"",NA,NA,"",NA,-86.8583333333,NA,"unknown","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-05-21 15:15:16.0","donor number=6098; donor number=ICML-UNAM 5.7.26","Atlantic Ocean, Atlantic, Western Central, Caribbean Sea","deg. min. sec.",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,115000,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125929",NA,"Atlantic Ocean","20d 52m s N",NA,NA,"fd335ec8-100f-49b6-b9ad-fafd55e14233",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"96cbf21f992dbdd2eed8f660d8429826cf2d6ebb",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","unknown",NA,NA,"Unknown",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"1990-01-01/2011-12-31",NA,"2014-09-10T01:30:46.858Z","MCZ:IZ:125929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","unknown","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Puerto Morelos Quintana Roo, off Rodman","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,"unknown",NA,NA,NA,NA,"PhysicalObject"
"1193",NA,NA,"HOL-582","floridana",NA,NA,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-582","","[no agent data]",NA,NA,"",NA,"",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"0b9761e7-a527-4caf-92ea-d93543c63b4b",NA,"[date unknown]","",NA,NA,"",NA,NA,"",NA,NA,NA,"","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-01-14 13:02:26.0","other number=316","Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-582",NA,"Atlantic Ocean","",NA,NA,"0b9761e7-a527-4caf-92ea-d93543c63b4b",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"3b1d69934748cd977211f3d22c97e7776a24444e",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","",NA,NA,"[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"",NA,"2014-07-12T20:51:22.449Z","MCZ:IZ:HOL-582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","North America, United States, Florida, Key West","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"age class: young","",NA,NA,"",NA,NA,NA,NA,"PhysicalObject"
"1194",NA,NA,"HOL-585","floridana",NA,NA,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-585","","Gustavus Wilhelm",NA,NA,"",NA,"",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"d83e754c-7833-44b1-870f-99b7ffff5edf",NA,"1858","",NA,NA,"",NA,NA,"",NA,NA,NA,"","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-01-15 10:02:04.0","other number=230","Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-585",NA,"Atlantic Ocean","",NA,NA,"d83e754c-7833-44b1-870f-99b7ffff5edf",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"3d883ad45086aab132fcee4d142ccaf2a216dc86",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","",NA,NA,"[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"1858-01-01/1858-12-31",NA,"2014-07-13T00:25:03.743Z","MCZ:IZ:HOL-585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","United States, Florida, Cape Florida","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"age class: young","",NA,NA,"",NA,NA,NA,NA,"PhysicalObject"
"1504",NA,NA,"HOL-1204","floridana",NA,24.6185,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1204","","Hubert Lyman Clark",NA,NA,"",NA,"-82.8854d",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"e524504e-f21f-4cc8-899f-b4af617270f9",NA,"June 1917","",NA,NA,"",NA,NA,"",NA,-82.8854,NA,"Google Earth","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-05-16 09:35:10.0","","Atlantic Ocean, Atlantic, Western Central","decimal degrees",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1204",NA,"Atlantic Ocean","24.6185d",NA,NA,"e524504e-f21f-4cc8-899f-b4af617270f9",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"5e9286202cfdf5fab45b238688aa057c5cc87933",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","unverified",NA,NA,"[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"1917-06-01/1917-06-30",NA,"2014-07-13T00:42:42.252Z","MCZ:IZ:HOL-1204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","WGS84","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","United States, Florida: Bird Key, Tortugas","Penny Benson",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,"Google Earth and Mapcarta",NA,NA,NA,NA,"PhysicalObject"
"1506",NA,NA,"HOL-584","floridana",NA,NA,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-584","","[no agent data]",NA,NA,"",NA,"",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"2124ec4d-e0fa-4db0-ade0-6304731a6237",NA,"[no verbatim date]","",NA,NA,"",NA,NA,"",NA,NA,NA,"","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-01-21 12:02:26.0","other number=312; other number=395","Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-584",NA,"Atlantic Ocean","",NA,NA,"2124ec4d-e0fa-4db0-ade0-6304731a6237",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"7342284ec86856ec25b5e0a14446a004a67bcffd",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","",NA,NA,"[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"1800-01-01/1950-01-01",NA,"2014-07-12T20:17:13.024Z","MCZ:IZ:HOL-584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Florida, United States","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,"",NA,NA,NA,NA,"PhysicalObject"
"1510",NA,NA,"HOL-1830","floridana",NA,NA,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1830","","Hubert Lyman Clark",NA,NA,"",NA,"",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"68f5134e-9e8c-43c1-9de0-c76942e4c788",NA,"April 1937","",NA,NA,"",NA,NA,"",NA,NA,NA,"","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-01-21 12:02:26.0","","Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1830",NA,"Atlantic Ocean","",NA,NA,"68f5134e-9e8c-43c1-9de0-c76942e4c788",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"3a864bb8d5bd0e10ac3fa4719642615a766f3ace",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","",NA,NA,"[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"1937-04-01/1937-04-30",NA,"2014-07-12T14:55:58.240Z","MCZ:IZ:HOL-1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Florida, United States,Biscayne Bay","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,"",NA,NA,NA,NA,"PhysicalObject"
"1809",NA,NA,"HOL-1841","floridana",NA,NA,"",NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1841","","Hubert Lyman Clark",NA,NA,"",NA,"",NA,NA,NA,"ICZN",NA,NA,NA,"MCZ",NA,NA,1,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) floridana",NA,NA,NA,NA,NA,"43c232be-ea9e-4086-8365-5a77c7f603e1",NA,"April 1937","",NA,NA,"",NA,NA,"",NA,NA,NA,"","Holothuria",NA,"Pourtalés, 1851",NA,NA,"","2014-01-15 15:02:26.0","other number=10","Atlantic Ocean, Atlantic, Western Central","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","",NA,NA,NA,"Echinodermata",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1841",NA,"Atlantic Ocean","",NA,NA,"43c232be-ea9e-4086-8365-5a77c7f603e1",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","Holothuroidea",NA,NA,"493d78c7234b0baeaf0e3f97ddcf6b11a7a7954d",NA,"Animalia",NA,"Holothuria (Halodeima) floridana",NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,NA,"Holothuriidae","",NA,NA,"[no agent data]",NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"not applicable",NA,NA,"1937-04-01/1937-04-30",NA,"2014-07-12T21:43:58.480Z","MCZ:IZ:HOL-1841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","IZ",NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Florida","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,"",NA,NA,NA,NA,"PhysicalObject"
