"","idigbio.associateDeterminedBy","dwc.taxonRemarks","dwc.habitat","dwc.occurrenceStatus","dcterms.accessRights","dwc.locality","dwc.samplingProtocol","dwc.verbatimCoordinates","dwc.island","dwc.scientificName","dwc.waterBody","dcterms.bibliographicCitation","row.number","idigbio.subgenus","dwc.taxonRank","dwc.islandGroup","dwc.namePublishedInID","idigbio.associateCondition","idigbio.substrate","idigbio.dateModified","idigbio.associatedFamily","dwc.year","dwc.kingdom","dwc.minimumDepthInMeters","inhs.location_Stream","dwc.identificationQualifier","dwc.individualCount","dwc.county","dwc.establishmentMeans","dwc.associatedTaxa","dwc.reproductiveCondition","dwc.basisOfRecord","dwc.latestEraOrHighestErathem","inhs.live","inhs.superfamily","dwc.identificationReferences","inhs.instars_Female","dwc.nomenclaturalCode","dwc.higherGeography","dwc.eventDate","dwc.preparation","inhs.locationTrs","dwc.scientificNameAuthorship","fcc.superfamily","fcc.subfamily","idigbio.associateCommonName","idigbio.etag","idigbio.determinationHistory","dwc.collectionCode","dwc.member","dcterms.reference","idigbio.endangeredStatus","dwc.informationWithheld","inhs.location_Basin","dwc.samplingEffort","dwc.locationRemarks","dwc.municipality","dwc.countryCode","idigbio.uuid","dcterms.references","dwc.previousIdentifications","dwc.scientificNameID","inhs.formI_males","idigbio.associateAuthor","dwc.identificationVerificationStatus","dwc.lifeStage","dwc.recordedBy","dwc.endDayOfYear","inhs.juv_males","dwc.vernacularName","idigbio.barcodeValue","dwc.occurrenceRemarks","dwc.otherCatalogNumbers","dcterms.source","dwc.coordinateUncertaintyInMeters","dwc.georeferenceRemarks","symbiotaverbatimScientificName","idigbio.hostFamily","dwc.typeStatus","dwc.locationAccordingTo","dcterms.modified","dwc.latestAgeOrHighestStage","dwc.identifiedBy","dwc.continent","dwc.catalogNumber","dwc.class","idigbio.preservative","fcc.pickedBy","inhs.formII_males","dwc.identificationRemarks","dwc.associatedMedia","dwc.earliestEpochOrLowestSeries","dwc.verbatimSRS","dwc.originalNameUsage","inhs.vouchered","dwc.infraspecificEpithet","dwc.verbatimElevation","dwc.collectionID","dwc.occurrenceID","dwc.dataGeneralizations","dwc.fieldNumber","dwc.preparations","dwc.lowestBiostratigraphicZone","dwc.relatedResourceID","dwc.nameAccordingTo","idigbio.associatedRelationship","dwc.institutionCode","idigbio.associateRelationship","dwc.latestPeriodOrHighestSystem","dwc.verbatimTaxonRank","dwc.specificEpithet","dwc.lithostratigraphicTerms","inhs.location_RiverMile","dwc.individualID","dwc.formation","dwc.subgenus","dwc.disposition","dwc.earliestEraOrLowestErathem","inhs.dead","dwc.georeferenceProtocol","dwc.nomenclaturalStatus","dwc.fieldNotes","inhs.juv_undetermined","dcterms.rightsHolder","dcterms.language","dwc.locationID","dwc.dateIdentified","dwc.phylum","dwc.sex","inhs.relic","symbiota.verbatimScientificName","id","dwc.startDayOfYear","inhs.total_Males","dwc.earliestPeriodOrLowestSystem","idigbio.createdBy","dwc.verbatimDepth","dwc.georeferenceSources","dwc.eventRemarks","dwc.georeferencedDate","dwc.verbatimLongitude","dwc.geodeticDatum","dwc.month","idigbio.subfamily","dwc.order","dwc.earliestAgeOrLowestStage","inhs.juv_females","dwc.eventTime","dwc.stateProvince","dwc.footprintWKT","dwc.verbatimLatitude","dwc.verbatimEventDate","dwc.associatedReferences","dwc.decimalLongitude","dwc.institutionID","idigbio.recordId","idigbio.associateNotes","dwc.family","dwc.decimalLatitude","dwc.taxonID","dwc.coordinatePrecision","dwc.eventID","fcc.datePicked","dwc.datasetID","dwc.VerbatimEventDate","inhs.instars_Male","dwc.rights","dwc.datasetName","http...symbiota.org.terms.verbatimScientificName","dwc.country","idigbio.recordID","dwc.georeferenceVerificationStatus","dwc.georeferencedBy","dwc.associatedSequences","idigbio.tribe","dcterms.type","dwc.verbatimLocality","dwc.ownerInstitutionCode","dwc.dynamicProperties","inhs.total_females","dwc.accessRights","idigbio.preparationCount","idigbio.recordIds","dwc.identificationID","dwc.namePublishedIn","idigbio.version","dwc.day","dwc.genus","dwc.verbatimCoordinateSystem","idigbio.associateIdentifier","dwc.higherClassification","dwc.associatedOccurrences","dwc.latestEpochOrHighestSeries","dwc.group","dwc.maximumDepthInMeters","dcterms.rights","dwc.behavior","inhs.formII_females","dwc.bed","dwc.minimumElevationInMeters","dwc.maximumElevationInMeters","dwc.recordNumber","dwc.rightsHolder"
"3",NA,NA,"",NA,NA,"Zanzibar","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-28T20:27:23.905Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Indian Ocean, Indian Ocean, Western","1861-12-02",NA,NA,"(Brandt, 1835)",NA,NA,NA,"44f1f9862622f7276548777c0a84cf835d91155c",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"1a19b653-efd2-4f06-ad74-c669c161d4c9","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-733",NA,NA,NA,NA,"",NA,"Capt J B Ashby",NA,NA,NA,NA,NA,"other number=411",NA,NA,"",NA,NA,"",NA,"2014-05-02 11:02:26.0",NA,"[no agent data]","Indian Ocean","HOL-733","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-733",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-733",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"1a19b653-efd2-4f06-ad74-c669c161d4c9",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","Dec 2 1861","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"5",NA,NA,"",NA,NA,"Fiji Islands, Nukulan Island","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-04T10:09:08.366Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1897-12-07",NA,NA,"(Brandt, 1835)",NA,NA,NA,"3884d5532157e50998722ab0055c78b13acaffe2",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"1193f46b-7de5-44bf-b298-4b44e2b88fe6","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-725",NA,NA,NA,NA,"",NA,"Alexander Agassiz",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-04-28 12:02:26.0",NA,"[no agent data]","Pacific Ocean","HOL-725","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-725",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-725",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"1193f46b-7de5-44bf-b298-4b44e2b88fe6",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","December 7, 1897","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"26",NA,NA,"",NA,NA,"Australia, Queensland, Torres Strait, Murray Island (Mer)","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-18T08:40:04.162Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1913-10-13",NA,NA,"(Brandt, 1835)",NA,NA,NA,"076f33c98cb03f6d067f6c1e574966acc07d2755",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"b9b251f2-e79b-4cf8-a128-ffaed7bc4c68","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1066",NA,NA,NA,NA,"",NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-13 10:06:21.0",NA,"[no agent data], World Register of Marine Species","Pacific Ocean","HOL-1066","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1066",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1066",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"b9b251f2-e79b-4cf8-a128-ffaed7bc4c68",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","October 13, 1913","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"67",NA,NA,"",NA,NA,"off Northern Territory, Australia; East Point, near Darwin","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T01:05:50.765Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1913-06-01/1913-06-30",NA,NA,"(Brandt, 1835)",NA,NA,NA,"0ce3130c0341de2e8a978957eea13aecbf14744d",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"4545b2b7-e861-4cb3-84c6-14d9543f6208","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1524",NA,NA,NA,NA,"",NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 14:02:27.0",NA,"[no agent data]","Pacific Ocean","HOL-1524","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1524",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1524",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"4545b2b7-e861-4cb3-84c6-14d9543f6208",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","1913-6","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"315",NA,NA,"",NA,NA,"off Fiji Islands, Moala Island","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-04T09:24:58.803Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1897-11-29",NA,NA,"(Brandt, 1835)",NA,NA,NA,"afd8689512dd094f1e150a9bf2b3a33f15a2860e",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"f7d245cd-aa76-43bf-9db9-c7838b0bf18d","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-724",NA,NA,NA,NA,"",NA,"Alexander Agassiz",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-04-28 12:02:26.0",NA,"[no agent data]","Pacific Ocean","HOL-724","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-724",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-724",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"f7d245cd-aa76-43bf-9db9-c7838b0bf18d",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","29/11/1897","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"349",NA,NA,"",NA,NA,"Hawaiian Islands: French Frigate Shoal","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T02:40:34.531Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Eastern Central","1800-01-01/2014-05-02",NA,NA,"(Brandt, 1835)",NA,NA,NA,"171d0915b7302c59e88a51ee3e2b33ae1d59a6d5",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"de746269-f7a8-4ac5-b23f-1a18a2fb5e8f","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1370",NA,NA,NA,NA,"",NA,"[no agent data]",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 13:02:26.0",NA,"[no agent data], [no agent data]","Pacific Ocean","HOL-1370","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1370",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1370",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"de746269-f7a8-4ac5-b23f-1a18a2fb5e8f",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","[date unknown]","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"368",NA,NA,"",NA,NA,"Australia, Queensland: Snapper Island near Port Douglans","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T00:40:45.054Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1929-03-07",NA,NA,"(Brandt, 1835)",NA,NA,NA,"487c119dc5d332999b45e96a169eff3694fcef90",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"47df196c-81e1-44d6-a23b-d758971dab55","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-715",NA,NA,NA,NA,"",NA,"Great Barrier Reef Expedition - 1928-1929",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-13 10:27:20.0",NA,"[no agent data]","Pacific Ocean","HOL-715","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-715",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-715",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"47df196c-81e1-44d6-a23b-d758971dab55",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","March 7 1929","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"372",NA,NA,"",NA,NA,"Republic of Mauritius","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T16:52:23.799Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Indian Ocean, Indian Ocean, Western","1870-01-01/1879-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"4a322edbdf7dc0891eb81dc0243091a3af0e87dd",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"3a51ef5d-a65c-46aa-8fae-dfd821e5bc44","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-734",NA,NA,NA,NA,"unverified",NA,"Nicholas Pike",NA,NA,NA,NA,NA,"",NA,47318,"",NA,NA,"",NA,"2014-06-04 10:13:52.0",NA,"[no agent data], World Register of Marine Species","Indian Ocean","HOL-734","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-734",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-734",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"GEOLocate",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"3a51ef5d-a65c-46aa-8fae-dfd821e5bc44",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","GEOLocate","",NA,"57.583333d","WGS84",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"-20.3d","[date unknown]","",57.583333,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",-20.3,NA,47318,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Jessica Anne Mullen",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","decimal degrees",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"605",NA,NA,"",NA,NA,"Australia, New South Wales, Lord Howe Island","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T15:03:28.811Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Southwest","1932-04-01/1932-04-30",NA,NA,"(Brandt, 1835)",NA,NA,NA,"493c025b55084d08cf69949207aec2d344a8f1a2",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"63cd49df-cf9f-41dd-a42a-657371ebed01","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1523",NA,NA,NA,NA,"migration",NA,"Harvard Australia Expedition 1931-1932",NA,NA,NA,NA,NA,"",NA,12662,"",NA,NA,"",NA,"2014-06-18 15:18:05.0",NA,"[no agent data]","Pacific Ocean","HOL-1523","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1523",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1523",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"GEOLocate",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"63cd49df-cf9f-41dd-a42a-657371ebed01",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","GEOLocate","",NA,"159.0727d","WGS84",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"-31.532389d","April 1932","",159.0727,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",-31.532389,NA,12662,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penny Benson",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","decimal degrees",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"606",NA,NA,"",NA,NA,"Tanzania, Tanganyika Territory, Dar es Salaam","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T19:31:47.152Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Indian Ocean, Indian Ocean, Western","1948-12-11",NA,NA,"(Brandt, 1835)",NA,NA,NA,"4ce1b6d6af5a29d2a2317f59740e6388e81116fe",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"a298ec16-70e3-43f9-9513-11d62111d9b4","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4083",NA,NA,NA,NA,"",NA,"Arthur Loveridge, MCZ Expeditions",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 14:02:28.0",NA,"[no agent data]","Indian Ocean","HOL-4083","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4083",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-4083",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"a298ec16-70e3-43f9-9513-11d62111d9b4",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","December 11, 1948","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
