"","dwc.earliestEraOrLowestErathem","dwc.associatedOccurrences","dwc.nomenclaturalCode","inhs.location_Basin","dwc.taxonRank","dcterms.accessRights","dwc.latestEraOrHighestErathem","dwc.latestAgeOrHighestStage","idigbio.createdBy","dwc.catalogNumber","inhs.location_Stream","idigbio.subgenus","dwc.behavior","dwc.eventTime","dwc.latestPeriodOrHighestSystem","dwc.nameAccordingTo","dwc.lithostratigraphicTerms","dwc.relatedResourceID","idigbio.hostFamily","dwc.disposition","fcc.datePicked","dwc.higherGeography","dwc.taxonRemarks","dwc.preparation","dwc.preparations","dwc.locality","row.number","dcterms.reference","idigbio.dateModified","dwc.namePublishedInID","dwc.fieldNotes","dwc.order","dwc.country","dwc.originalNameUsage","dwc.accessRights","dwc.day","dwc.kingdom","dwc.locationID","dwc.identificationVerificationStatus","dwc.samplingProtocol","dwc.taxonID","idigbio.tribe","dwc.member","dwc.georeferenceProtocol","idigbio.recordID","dwc.lowestBiostratigraphicZone","idigbio.version","dwc.occurrenceRemarks","http...symbiota.org.terms.verbatimScientificName","dwc.lifeStage","dwc.municipality","dwc.decimalLongitude","dwc.phylum","dwc.basisOfRecord","dwc.maximumDepthInMeters","dwc.genus","dwc.georeferencedBy","dwc.nomenclaturalStatus","dwc.family","symbiota.verbatimScientificName","dwc.earliestAgeOrLowestStage","dwc.islandGroup","idigbio.recordIds","dwc.footprintWKT","dwc.rightsHolder","dwc.waterBody","dwc.typeStatus","dwc.namePublishedIn","inhs.location_RiverMile","dwc.identificationReferences","inhs.formII_males","idigbio.preparationCount","dwc.maximumElevationInMeters","dwc.georeferencedDate","inhs.formII_females","inhs.live","dwc.infraspecificEpithet","inhs.vouchered","dwc.continent","inhs.formI_males","dwc.latestEpochOrHighestSeries","dcterms.modified","dwc.decimalLatitude","dwc.minimumDepthInMeters","dwc.georeferenceVerificationStatus","dwc.formation","dwc.datasetID","dwc.verbatimSRS","dwc.individualCount","fcc.subfamily","dwc.sex","dcterms.rights","dwc.rights","dcterms.rightsHolder","dwc.associatedMedia","dwc.identificationID","dwc.island","idigbio.subfamily","dwc.locationRemarks","dwc.vernacularName","dwc.countryCode","inhs.superfamily","dwc.establishmentMeans","inhs.instars_Female","dwc.fieldNumber","dwc.verbatimCoordinates","dwc.associatedTaxa","fcc.superfamily","dwc.samplingEffort","dcterms.type","dwc.habitat","dwc.geodeticDatum","dwc.recordNumber","dwc.VerbatimEventDate","dwc.institutionID","dwc.dataGeneralizations","dwc.georeferenceSources","dwc.associatedReferences","idigbio.associateCommonName","dcterms.references","dwc.coordinatePrecision","idigbio.associateNotes","idigbio.recordId","dwc.startDayOfYear","dcterms.bibliographicCitation","dwc.datasetName","idigbio.associateAuthor","idigbio.associateDeterminedBy","dcterms.source","inhs.juv_undetermined","idigbio.preservative","dwc.higherClassification","dwc.subgenus","idigbio.associateCondition","inhs.total_Males","dwc.stateProvince","idigbio.uuid","dwc.class","idigbio.associateRelationship","dwc.identificationQualifier","dwc.scientificNameAuthorship","dwc.verbatimLongitude","dwc.eventID","dwc.collectionID","dwc.county","dwc.identificationRemarks","dwc.verbatimLocality","idigbio.associateIdentifier","fcc.pickedBy","dwc.georeferenceRemarks","dwc.endDayOfYear","dwc.identifiedBy","dcterms.language","dwc.scientificNameID","inhs.juv_males","inhs.juv_females","dwc.collectionCode","dwc.associatedSequences","dwc.eventDate","idigbio.endangeredStatus","dwc.occurrenceStatus","idigbio.substrate","dwc.year","dwc.informationWithheld","dwc.ownerInstitutionCode","dwc.individualID","inhs.instars_Male","inhs.relic","inhs.dead","id","dwc.group","dwc.verbatimDepth","dwc.earliestEpochOrLowestSeries","dwc.scientificName","dwc.coordinateUncertaintyInMeters","inhs.locationTrs","dwc.specificEpithet","dwc.locationAccordingTo","dwc.eventRemarks","dwc.verbatimLatitude","dwc.recordedBy","dwc.verbatimCoordinateSystem","dwc.verbatimTaxonRank","idigbio.determinationHistory","inhs.total_females","dwc.bed","dwc.verbatimEventDate","dwc.reproductiveCondition","idigbio.barcodeValue","dwc.verbatimElevation","idigbio.etag","dwc.occurrenceID","dwc.dynamicProperties","idigbio.associatedFamily","dwc.dateIdentified","dwc.institutionCode","dwc.minimumElevationInMeters","symbiotaverbatimScientificName","idigbio.associatedRelationship","dwc.earliestPeriodOrLowestSystem","dwc.month","dwc.otherCatalogNumbers","dwc.previousIdentifications"
"6",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","128130",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"whole animal (70% ethanol)","Mexico: Sonora, San Carlos Bay",NA,NA,"2014-05-28T21:17:40.014Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",NA,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2014-05-09 10:10:49.0",NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128130",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128130",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","0f7a0911-5003-4bad-9dce-dd08bda67a64","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","part of unpublished Deichmann manuscript type series",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-04-04",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"0f7a0911-5003-4bad-9dce-dd08bda67a64",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"April 4, 1940",NA,NA,NA,"a91c0f07f88f1a0ae14c70807c81ed79a7bbb0a2","MCZ:IZ:128130","",NA,"","MCZ",NA,NA,NA,NA,NA,"original ledger number=2108 8",NA
"9",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","HOL-2108",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"whole animal (70% ethanol)","Mexico : Angeles Bay",NA,NA,"2014-05-28T20:37:10.682Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",NA,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2014-05-09 10:07:09.0",NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2108",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2108",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","280d5b63-c4db-43dd-b84e-da82f3ec423f","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","part of unpublished Deichmann manuscript type series",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-04-01",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"280d5b63-c4db-43dd-b84e-da82f3ec423f",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"April 1, 1940",NA,NA,NA,"bd78ecd827de30a3da674cf7601a1f904756eb7a","MCZ:IZ:HOL-2108","",NA,"","MCZ",NA,NA,NA,NA,NA,"original ledger number=2108 1",NA
"70",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","128132",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"whole animal (70% ethanol)","Mexico, Oaxaca, Puerto Escondida",NA,NA,"2014-07-12T22:53:37.038Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","unverified","",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,-97.076816,"Echinodermata","PreservedSpecimen",NA,"Holothuria","Jessica Anne Mullen",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2014-06-30 11:30:39.0",15.839126,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128132",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","WGS84","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"GEOLocate","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128132",3036,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","a931ee13-2b9a-4bee-ac65-2918e043dc35","Holothuroidea",NA,NA,"Deichmann","-97.076816d",NA,NA,"","part of unpublished Deichmann manuscript type series",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-03-25/1940-03-26",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"a931ee13-2b9a-4bee-ac65-2918e043dc35",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",3036,NA,"lubrica",NA,"","15.839126d","Edward Flanders Ricketts, John Steinbeck","decimal degrees",NA,NA,NA,NA,"March 25-26, 1940",NA,NA,NA,"2c1200453c79909963ce3c457dc2228e898782d2","MCZ:IZ:128132","",NA,"","MCZ",NA,NA,NA,NA,NA,"original ledger number=2108 10",NA
"571",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","126418",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"whole animal (dry)","Mexico, Puerto Rufugio, Angel de la Guardia",NA,NA,"2014-05-04T09:27:41.045Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",NA,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2013-01-10 11:11:11.0",NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126418",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","2108 - 2",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126418",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","6f341603-7a89-4126-ba99-41cda3d8e1ee","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","Found dry on shelf in Feb. 2007 by GCB.",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-04-02",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"6f341603-7a89-4126-ba99-41cda3d8e1ee",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"April 2, 1940",NA,NA,NA,"a50a922e9ffefa4e08785000c4009cee2c88793c","MCZ:IZ:126418","",NA,"","MCZ",NA,NA,NA,NA,NA,"collector number=2108 - 2",NA
"585",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","128127",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"whole animal (70% ethanol)","off Mexico: Acapulco",NA,NA,"2014-05-28T21:04:09.840Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",14.6304,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2012-12-14 16:02:26.0",NA,14.6304,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128127",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128127",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","78991cde-20c4-4c0e-aba8-c27a05170e5c","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","part of unpublished Deichmann manuscript type series",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-03-20",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"78991cde-20c4-4c0e-aba8-c27a05170e5c",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Yacht Stranger, Fred E. Lewis","",NA,NA,NA,NA,"March 20, 1940",NA,NA,NA,"134714f38de0725f75b8ee4f5634b5f322746e12","MCZ:IZ:128127","",NA,"","MCZ",NA,NA,NA,NA,NA,"original ledger number=2108 5",NA
"887",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","128125",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"whole animal (70% ethanol)","Mexico: Pulmo Reef",NA,NA,"2014-05-28T21:38:11.481Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",NA,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2014-05-09 10:11:32.0",NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128125",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128125",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","c9a369db-98f0-4e26-bebc-7d734af78761","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","part of unpublished Deichmann manuscript type series",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-03-19",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"c9a369db-98f0-4e26-bebc-7d734af78761",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"March 19, 1940",NA,NA,NA,"3f25ab29556595060acc570d3bbccfc00e55a66b","MCZ:IZ:128125","",NA,"","MCZ",NA,NA,NA,NA,NA,"original ledger number=2108 3",NA
"1186",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","128129",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"","Mexico: Coronado Island",NA,NA,"2014-05-28T21:42:32.394Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",NA,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2014-05-09 10:15:56.0",NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128129",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128129",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","fdea0bbc-e601-4851-a0d7-45fc78eda4d7","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","part of unpublished Deichmann manuscript type series",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-03-27",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"fdea0bbc-e601-4851-a0d7-45fc78eda4d7",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"March 27, 1940",NA,NA,NA,"0b0e2ed209ff6f71febe1d7e01ccfa8954e1d14d","MCZ:IZ:128129","",NA,"","MCZ",NA,NA,NA,NA,NA,"original ledger number=2108 7",NA
"1470",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","126422",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"whole animal (dry)","Mexico, Coronado Island",NA,NA,"2014-05-28T20:56:03.553Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",NA,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2013-01-10 11:11:11.0",NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126422",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126422",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","d18f6288-00c8-4940-911a-e3d2900bc625","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","Found dry on shelf in Feb. 2007 by GCB.",NA,NA,NA,"",NA,"Elisabeth Deichmann","en",NA,NA,NA,"IZ",NA,"1940-03-27",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"d18f6288-00c8-4940-911a-e3d2900bc625",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"1940-03-27",NA,NA,NA,"1667ddc2e445dd55a367fc7796ece8b896b1c91e","MCZ:IZ:126422","",NA,"","MCZ",NA,NA,NA,NA,NA,"from same lot as=2108; lot number=2108 - 7",NA
"1776",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","128124",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"","Mexico: Puerto Refugio, Angel de la guardia",NA,NA,"2014-05-28T19:39:49.361Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",NA,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2014-05-09 10:04:15.0",NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128124",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128124",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","8ad498ca-ee11-4b40-8f7f-15378712afa0","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","part of unpublished Deichmann manuscript type series",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-04-01",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"8ad498ca-ee11-4b40-8f7f-15378712afa0",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"1940-04-02",NA,NA,NA,"53f034e02e48735aa523e4ab3dca1eba21cc05d1","MCZ:IZ:128124","",NA,"","MCZ",NA,NA,NA,NA,NA,"original ledger number=2108 2",NA
"2043",NA,"","noncompliant",NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","128126",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not applicable",NA,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"whole animal (70% ethanol)","Mexico: Espiritu Santo Island, Punta Lobos",NA,NA,"2014-05-28T21:21:11.871Z",NA,NA,"Aspidochirotida","",NA,NA,NA,"Animalia","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata","PreservedSpecimen",NA,"Holothuria","",NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. rickettsi",NA,"Pacific Ocean",NA,NA,"2014-05-09 10:12:23.0",NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,"President and Fellows of Harvard College","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128126",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,"PhysicalObject","","","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128126",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,NA,"","97e53e23-1b97-45c6-a6c1-8de26be72f43","Holothuroidea",NA,NA,"Deichmann","",NA,NA,"","part of unpublished Deichmann manuscript type series",NA,NA,NA,"",NA,"[no agent data]","en",NA,NA,NA,"IZ",NA,"1940-03-20",NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"97e53e23-1b97-45c6-a6c1-8de26be72f43",NA,"",NA,"Holothuria (Selenkothuria) lubrica var. rickettsi",NA,NA,"lubrica",NA,"","","Edward Flanders Ricketts, John Steinbeck","",NA,NA,NA,NA,"March 20, 1940",NA,NA,NA,"f30e15d2517cddc957db7ab3944b74d041de5479","MCZ:IZ:128126","",NA,"","MCZ",NA,NA,NA,NA,NA,"original ledger number=2108 4",NA
