"","dwc.verbatimTaxonRank","dwc.sex","dwc.taxonRemarks","dwc.identificationVerificationStatus","dwc.family","dwc.identificationRemarks","dwc.locationID","inhs.vouchered","idigbio.createdBy","row.number","fcc.datePicked","dwc.order","dwc.earliestEpochOrLowestSeries","dwc.subgenus","dwc.endDayOfYear","dwc.lifeStage","dwc.associatedOccurrences","inhs.total_females","dwc.namePublishedIn","dwc.group","dwc.taxonID","dcterms.rightsHolder","dwc.VerbatimEventDate","dwc.phylum","dwc.county","inhs.dead","idigbio.subgenus","fcc.superfamily","idigbio.associateNotes","dcterms.reference","dwc.georeferenceSources","dwc.kingdom","dwc.dataGeneralizations","idigbio.dateModified","idigbio.subfamily","dwc.verbatimLongitude","dwc.nomenclaturalCode","dwc.eventID","inhs.location_RiverMile","dwc.class","dwc.associatedReferences","dwc.verbatimLatitude","dwc.earliestPeriodOrLowestSystem","dwc.lowestBiostratigraphicZone","idigbio.hostFamily","dcterms.accessRights","dcterms.rights","dwc.earliestEraOrLowestErathem","idigbio.associatedFamily","dwc.minimumElevationInMeters","dwc.verbatimCoordinates","dwc.verbatimEventDate","dwc.informationWithheld","dwc.typeStatus","dwc.eventTime","dwc.locationAccordingTo","dwc.datasetID","dwc.individualID","dwc.month","dwc.scientificNameID","dwc.identificationQualifier","inhs.formI_males","inhs.location_Basin","dwc.country","dwc.verbatimDepth","dwc.identificationID","dwc.basisOfRecord","dwc.occurrenceStatus","dwc.collectionCode","dwc.dateIdentified","dwc.institutionCode","idigbio.uuid","inhs.juv_males","dwc.decimalLatitude","idigbio.barcodeValue","dwc.genus","inhs.superfamily","dwc.higherClassification","dwc.latestPeriodOrHighestSystem","dwc.eventRemarks","dwc.coordinateUncertaintyInMeters","dwc.collectionID","dwc.associatedMedia","dwc.maximumDepthInMeters","dwc.verbatimLocality","dwc.datasetName","dwc.startDayOfYear","dwc.fieldNotes","dwc.coordinatePrecision","dwc.member","idigbio.associatedRelationship","dwc.latestEpochOrHighestSeries","dwc.municipality","idigbio.substrate","dwc.associatedSequences","dwc.verbatimSRS","dwc.rights","dwc.occurrenceID","symbiotaverbatimScientificName","dcterms.references","inhs.live","symbiota.verbatimScientificName","dwc.earliestAgeOrLowestStage","dwc.namePublishedInID","dwc.locationRemarks","idigbio.associateIdentifier","idigbio.endangeredStatus","dwc.bed","dcterms.modified","dwc.otherCatalogNumbers","inhs.location_Stream","dwc.rightsHolder","dwc.island","dwc.nameAccordingTo","idigbio.associateCondition","dwc.samplingProtocol","idigbio.etag","inhs.juv_undetermined","inhs.total_Males","dwc.waterBody","dwc.locality","dwc.habitat","inhs.relic","idigbio.associateAuthor","inhs.instars_Female","dwc.georeferenceVerificationStatus","dwc.year","dwc.georeferenceRemarks","dwc.minimumDepthInMeters","inhs.juv_females","dwc.occurrenceRemarks","dwc.countryCode","dwc.identificationReferences","dwc.maximumElevationInMeters","idigbio.recordIds","dwc.previousIdentifications","dwc.reproductiveCondition","dwc.scientificName","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimCoordinateSystem","dwc.institutionID","idigbio.recordId","dwc.originalNameUsage","dwc.disposition","dwc.behavior","dwc.infraspecificEpithet","dwc.samplingEffort","inhs.instars_Male","dwc.scientificNameAuthorship","dwc.day","dcterms.type","dwc.recordNumber","dwc.ownerInstitutionCode","dwc.identifiedBy","inhs.formII_males","dwc.latestAgeOrHighestStage","dwc.georeferencedDate","dcterms.source","dwc.preparation","dwc.decimalLongitude","dwc.continent","inhs.locationTrs","dwc.formation","dwc.vernacularName","idigbio.preservative","fcc.subfamily","dcterms.language","dwc.stateProvince","idigbio.associateCommonName","dcterms.bibliographicCitation","dwc.verbatimElevation","dwc.relatedResourceID","dwc.accessRights","dwc.georeferenceProtocol","dwc.footprintWKT","idigbio.recordID","dwc.georeferencedBy","dwc.taxonRank","idigbio.preparationCount","dwc.fieldNumber","dwc.recordedBy","inhs.formII_females","dwc.establishmentMeans","fcc.pickedBy","dwc.nomenclaturalStatus","dwc.specificEpithet","dwc.preparations","idigbio.associateRelationship","dwc.lithostratigraphicTerms","dwc.dynamicProperties","idigbio.version","idigbio.tribe","idigbio.associateDeterminedBy","dwc.eventDate","dwc.geodeticDatum","dwc.catalogNumber","dwc.individualCount","dwc.islandGroup","idigbio.determinationHistory","dwc.latestEraOrHighestErathem","dwc.higherGeography","id","dwc.associatedTaxa"
"239",NA,"",NA,"","Holothuriidae","","MGNW-24",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T18:02:54.139Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,5,NA,NA,NA,NA,"Madagascar","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","74bf6987-5bde-4051-8be9-178d6467824d",NA,-13.41936,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4EBF3DBC-5F20-482C-90E1-49CD63817DC8",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","7a63de34667a108f10d48345e902d2930b17b92c",NA,NA,"","","",NA,NA,NA,NA,2008,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",17,"","","","",NA,NA,NA,NA,NA,48.26054,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","7556-Echinodermata",NA,NA,NA,NA,"","74bf6987-5bde-4051-8be9-178d6467824d",NA
"383",NA,"",NA,"","Holothuriidae","","MGNW-38",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T09:22:25.320Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,5,NA,NA,NA,NA,"Madagascar","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","0c601a18-b230-48ff-b809-ea9ca05a4c8a",NA,-13.42923,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8522AACC-E1D4-4CA3-A608-54CEE930989F",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","c6380dcc7510243cb377a4e6faacb6e6c57c1956",NA,NA,"","","",NA,NA,NA,NA,2008,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",20,"","","","",NA,NA,NA,NA,NA,48.36398,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","A. Anker, G. Bakary, E. Boissin, H. Bruggemann, T. Horeau, F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","6675-Echinodermata",NA,NA,NA,NA,"","0c601a18-b230-48ff-b809-ea9ca05a4c8a",NA
"449",NA,"",NA,"","Holothuriidae","","PR83",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T11:46:32.656Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,11,NA,NA,NA,NA,"Papua New Guinea","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","7aa101c5-5fd7-44f2-883a-aeec6dbbe86e",NA,-5.157667,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8C937198-F5F2-4F23-BC0B-880F42C550E8",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","b65a5b2047b75229d7b631bfacc462804c1d6f0a",NA,NA,"","","",NA,NA,NA,NA,2012,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",22,"","","","",NA,NA,NA,NA,NA,145.798172,"",NA,NA,NA,NA,NA,"","Madang Province",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","Hugh Morrison, François Michonneau, Daisuke Uyeno, Vanessa Knutson",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","15473-Echinodermata",NA,NA,NA,NA,"","7aa101c5-5fd7-44f2-883a-aeec6dbbe86e",NA
"850",NA,"",NA,"","Holothuriidae","","GP-Loc-600",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T14:49:13.269Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,7,NA,NA,NA,NA,"Palau","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","30a924f5-208e-48da-91fc-d1a2cb4412cd",NA,NA,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30632553-89D5-4E5C-B33B-A2383D1ADE83",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","eb2fbc5f2f7e51578868ec19e24a25f012a5ab77",NA,NA,"","","",NA,NA,NA,NA,1999,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",24,"","","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Babeldaob",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","Paulay, G.",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","1805-Echinodermata",NA,NA,NA,NA,"","30a924f5-208e-48da-91fc-d1a2cb4412cd",NA
"1026",NA,"",NA,"","Holothuriidae","","MGNW-51",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T09:45:23.733Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,5,NA,NA,NA,NA,"Madagascar","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","d92c6126-9e66-427f-9128-4808e6f83a56",NA,-13.44624,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96FA5121-2EF5-443B-BA46-EB86910981E2",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","e9686ac98c65b5fc592397ace9a0b7463afadb50",NA,NA,"","","",NA,NA,NA,NA,2008,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",26,"","","","",NA,NA,NA,NA,NA,48.33157,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","A. Anker, G. Bakary, F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","7308-Echinodermata",NA,NA,NA,NA,"","d92c6126-9e66-427f-9128-4808e6f83a56",NA
"1061",NA,"",NA,"","Holothuriidae","","AUST-ST-066",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T16:46:48.595Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,"Australia","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","c994f260-ecb5-4cd6-a8f8-e87d84cadb17",NA,-14.6778,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96F4FB30-D411-4B2C-82C4-585678559F81",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","efbe01571f8e9eccb159286dcd0d625f9c6f8c33",NA,NA,"","","",NA,NA,NA,NA,2009,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",19,"","","","",NA,NA,NA,NA,NA,145.4435,"",NA,NA,NA,NA,NA,"","Queensland",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","François Michonneau, Claudia Arango, Anders Hallan",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","8429-Echinodermata",NA,NA,NA,NA,"","c994f260-ecb5-4cd6-a8f8-e87d84cadb17",NA
"1077",NA,"",NA,"","Holothuriidae","","MGNW-51",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T18:02:41.964Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,5,NA,NA,NA,NA,"Madagascar","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","455795a2-8c9c-4b52-81da-26c7f3fc8c85",NA,-13.44624,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC71B2C2-77A2-471F-AFE1-11FD362A8E99",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","a25d24a7228c000b26264c7d3f9b7772f0fadeaf",NA,NA,"","","",NA,NA,NA,NA,2008,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",26,"","","","",NA,NA,NA,NA,NA,48.33157,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","A. Anker, G. Bakary, F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","7312-Echinodermata",NA,NA,NA,NA,"","455795a2-8c9c-4b52-81da-26c7f3fc8c85",NA
"1747",NA,"",NA,"","Holothuriidae","","PD61",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T17:52:43.231Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,11,NA,NA,NA,NA,"Papua New Guinea","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","43fb77c5-c46d-4b0b-b8e0-723023f137a2",NA,-5.158333,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"567924EB-CFBF-49DF-9137-0ABF5BD473F7",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","530b4b5baf93c66210c5cae3864b5515eddf532e",NA,NA,"","","",NA,NA,NA,NA,2012,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",30,"","","","",NA,NA,NA,NA,NA,145.804169,"",NA,NA,NA,NA,NA,"","Madang Province",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","Jean-François Barazer, Cornelia Kalimet, Rudo von Cosel",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","15012-Echinodermata",NA,NA,NA,NA,"","43fb77c5-c46d-4b0b-b8e0-723023f137a2",NA
"2119",NA,"",NA,"","Holothuriidae","","FMOK11-St-37",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","Okinawa",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T12:06:21.747Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,5,NA,NA,NA,NA,"Japan","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","de97db6e-10a9-4ed9-9637-f39cfe7d931e",NA,26.649196,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FA2D4978-5ADB-42A5-9AC0-C7920BB7027F",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","734311d99b9b00e8a9ca483ea950bce3319931d2",NA,NA,"","","",NA,NA,NA,NA,2011,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",21,"","","","",NA,NA,NA,NA,NA,128.012626,"",NA,NA,NA,NA,NA,"","Ryukyus",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","François Michonneau",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","11032-Echinodermata",NA,NA,NA,NA,"","de97db6e-10a9-4ed9-9637-f39cfe7d931e",NA
"2156",NA,"",NA,"","Holothuriidae","","PR83",NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"Aspidochirotida",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","",NA,"2014-09-12T11:43:35.871Z",NA,"","",NA,NA,"Holothuroidea","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,11,NA,NA,NA,NA,"Papua New Guinea","",NA,"PreservedSpecimen",NA,"Invertebrate Zoology","","FLMNH","17a3e747-e2dc-4d6f-83af-603effa3560c",NA,-5.157667,NA,"Holothuria",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"952C2AFB-4E85-4AD9-8A9B-73FA483998C4",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"09/08/2014","",NA,NA,NA,NA,NA,"","9bb656ac8dffbab443daa556a2bff09701468560",NA,NA,"","","",NA,NA,NA,NA,2012,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria albiventer",NA,"","",NA,NA,"",NA,"",NA,NA,"Semper",22,"","","","",NA,NA,NA,NA,NA,145.798172,"",NA,NA,NA,NA,NA,"","Madang Province",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","Hugh Morrison, François Michonneau, Daisuke Uyeno, Vanessa Knutson",NA,NA,NA,NA,"albiventer","",NA,NA,"",NA,NA,NA,"","","15474-Echinodermata",NA,NA,NA,NA,"","17a3e747-e2dc-4d6f-83af-603effa3560c",NA
