"","idigbio.associatedRelationship","idigbio.determinationHistory","dwc.scientificNameAuthorship","dwc.scientificNameID","dwc.identificationVerificationStatus","dcterms.reference","dwc.typeStatus","inhs.location_Stream","dwc.verbatimLongitude","dcterms.rights","dwc.collectionCode","idigbio.associateAuthor","dwc.verbatimCoordinateSystem","dwc.countryCode","dwc.verbatimLocality","dwc.originalNameUsage","dwc.locationAccordingTo","fcc.superfamily","dwc.collectionID","dwc.associatedSequences","inhs.formII_males","dwc.earliestEraOrLowestErathem","dwc.bed","dwc.country","dwc.institutionID","idigbio.preservative","dcterms.accessRights","dwc.endDayOfYear","dwc.taxonRemarks","idigbio.createdBy","dwc.identificationQualifier","dcterms.modified","dwc.verbatimLatitude","dwc.group","inhs.instars_Male","dwc.georeferenceProtocol","dwc.occurrenceID","dwc.associatedMedia","dwc.continent","inhs.superfamily","dwc.establishmentMeans","idigbio.uuid","idigbio.associateNotes","dwc.rightsHolder","dwc.occurrenceRemarks","dwc.verbatimSRS","dwc.verbatimEventDate","dwc.latestEraOrHighestErathem","dwc.preparation","dwc.ownerInstitutionCode","dwc.lowestBiostratigraphicZone","dwc.class","dwc.occurrenceStatus","dwc.catalogNumber","dwc.informationWithheld","fcc.pickedBy","idigbio.preparationCount","dwc.kingdom","dwc.verbatimDepth","dwc.associatedOccurrences","dwc.taxonID","dcterms.source","idigbio.endangeredStatus","symbiotaverbatimScientificName","idigbio.version","dwc.coordinatePrecision","dwc.day","fcc.subfamily","dwc.municipality","dwc.month","dwc.lifeStage","dwc.county","row.number","dwc.nomenclaturalStatus","dwc.phylum","dwc.specificEpithet","dwc.locality","dwc.islandGroup","dwc.geodeticDatum","dwc.genus","dwc.latestEpochOrHighestSeries","inhs.location_Basin","dwc.family","dwc.island","dwc.nameAccordingTo","dwc.minimumDepthInMeters","dwc.earliestPeriodOrLowestSystem","idigbio.associateCondition","dwc.samplingEffort","dwc.associatedTaxa","dwc.higherGeography","dwc.formation","idigbio.associateCommonName","inhs.live","dcterms.bibliographicCitation","idigbio.subgenus","dwc.dataGeneralizations","dwc.identifiedBy","inhs.locationTrs","dwc.earliestAgeOrLowestStage","dwc.associatedReferences","dwc.eventTime","dwc.georeferenceRemarks","dwc.habitat","idigbio.dateModified","dwc.namePublishedIn","dwc.verbatimCoordinates","dwc.previousIdentifications","dwc.identificationReferences","idigbio.subfamily","idigbio.recordID","inhs.location_RiverMile","dwc.preparations","idigbio.hostFamily","id","dwc.scientificName","inhs.juv_females","dwc.vernacularName","dwc.locationID","inhs.formII_females","dwc.behavior","dwc.latestAgeOrHighestStage","dwc.sex","dwc.relatedResourceID","inhs.relic","dwc.identificationRemarks","dwc.reproductiveCondition","dwc.verbatimElevation","dwc.startDayOfYear","dwc.basisOfRecord","dwc.georeferenceSources","idigbio.associateDeterminedBy","dwc.maximumElevationInMeters","dwc.locationRemarks","idigbio.associateRelationship","inhs.dead","dwc.individualID","dwc.waterBody","dwc.eventRemarks","dwc.decimalLatitude","dwc.fieldNotes","dwc.eventDate","dwc.coordinateUncertaintyInMeters","idigbio.etag","symbiota.verbatimScientificName","dwc.samplingProtocol","inhs.vouchered","dwc.georeferencedDate","inhs.total_Males","dwc.stateProvince","idigbio.substrate","dwc.disposition","idigbio.recordIds","dwc.recordedBy","idigbio.tribe","dwc.latestPeriodOrHighestSystem","dcterms.references","idigbio.associatedFamily","fcc.datePicked","dwc.accessRights","idigbio.recordId","dwc.eventID","dwc.lithostratigraphicTerms","dwc.nomenclaturalCode","dwc.rights","dwc.dynamicProperties","dcterms.rightsHolder","dwc.datasetID","dwc.infraspecificEpithet","dwc.minimumElevationInMeters","dwc.taxonRank","idigbio.associateIdentifier","idigbio.barcodeValue","dwc.member","inhs.instars_Female","dwc.georeferenceVerificationStatus","dwc.namePublishedInID","dwc.fieldNumber","dwc.recordNumber","dwc.higherClassification","dcterms.language","dwc.order","dwc.VerbatimEventDate","dwc.institutionCode","dwc.datasetName","dwc.individualCount","inhs.formI_males","dwc.subgenus","dwc.footprintWKT","dcterms.type","dwc.year","http...symbiota.org.terms.verbatimScientificName","inhs.juv_males","dwc.earliestEpochOrLowestSeries","inhs.total_females","dwc.otherCatalogNumbers","dwc.identificationID","dwc.verbatimTaxonRank","dwc.maximumDepthInMeters","dwc.georeferencedBy","dwc.decimalLongitude","dwc.dateIdentified","inhs.juv_undetermined"
"100",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kiribati","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","0C404E56-1B04-48FE-82D0-FE2D3C898047","","",NA,NA,"73074f02-d75a-4a43-b1c6-cbafc6c1fb03",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"14280-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,29,NA,NA,10,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T13:14:45.900Z",NA,"",NA,NA,NA,NA,NA,"",NA,"73074f02-d75a-4a43-b1c6-cbafc6c1fb03","Holothuria atra",NA,NA,"SLI13_ST87",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-5.64,NA,"",NA,"ea4f7841e77a891da1e143bbc5626f5a6769370f",NA,"",NA,NA,NA,"",NA,"",NA,"François Michonneau, Nancy Knowlton",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2013,NA,NA,NA,NA,"",NA,NA,NA,"",-155.88,"",NA
"126",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republic of the Marshall Islands","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","EF86484A-B908-401B-99F5-F48A19C66749","","",NA,NA,"feca83cd-ce07-4449-88a6-73f99f1b6478",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"7094-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,8,NA,NA,4,NA,"Majuro Atoll",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T09:18:47.756Z",NA,"",NA,NA,NA,NA,NA,"",NA,"feca83cd-ce07-4449-88a6-73f99f1b6478","Holothuria atra",NA,NA,"FM-St-MAJ08-11",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",7.15792,NA,"",NA,"0a99f24c2c07aea83e61681d12f0b21af396d42e",NA,"",NA,NA,NA,"Marshall Islands",NA,"",NA,"François Michonneau & Sun Kim",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2008,NA,NA,NA,NA,"",NA,NA,NA,"",171.21438,"",NA
"154",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micronesia","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","EBE5EE53-F6E3-4490-8423-6FE3F6185B9D","","",NA,NA,"bf667e35-29ce-44d8-b68f-7dd0c513568a",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"14005-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,24,NA,NA,3,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T10:54:55.261Z",NA,"",NA,NA,NA,NA,NA,"",NA,"bf667e35-29ce-44d8-b68f-7dd0c513568a","Holothuria atra",NA,NA,"UGI-1978-03-24",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",NA,NA,"",NA,"1eaddea4a89bfd64f3bc10f469fbb5a033d53944",NA,"",NA,NA,NA,"Yap State",NA,"",NA,"Barry Smith",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",1978,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA
"175",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","5561CA9C-0945-4388-AB97-ED5FFCFE5971","","",NA,NA,"94c11f87-849e-48c6-8654-307d1c9f009c",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"9201-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,24,NA,NA,4,NA,"Europa Island",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T10:16:54.428Z",NA,"",NA,NA,NA,NA,NA,"",NA,"94c11f87-849e-48c6-8654-307d1c9f009c","Holothuria atra",NA,NA,"EURO-11",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-22.34473333,NA,"",NA,"07521f138b4d1f8df6a331fb8556d66767d7b87f",NA,"",NA,NA,NA,"Scattered Islands",NA,"",NA,"M. Guillaume, H. Bruggemann, J.P. Rousse",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2009,NA,NA,NA,NA,"",NA,NA,NA,"",40.3289,"",NA
"204",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Djibouti","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","8065055F-C713-475F-B841-D645B5247599","","",NA,NA,"0bb09712-0fbe-48b7-ac2d-0b2eb54942ee",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"11993-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,28,NA,NA,9,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T12:28:31.309Z",NA,"",NA,NA,NA,NA,NA,"",NA,"0bb09712-0fbe-48b7-ac2d-0b2eb54942ee","Holothuria atra",NA,NA,"DJRS-006",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",11.9736666666667,NA,"",NA,"fe952b461f2af84d3fd7e2f68d8529ba6862be1f",NA,"",NA,NA,NA,"",NA,"",NA,"Gustav Paulay",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2012,NA,NA,NA,NA,"",NA,NA,NA,"",43.3358333333333,"",NA
"205",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kiribati","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","D76D2183-B138-4002-AFBA-2CC6CFC221E7","","",NA,NA,"895104b1-9aef-4e4e-af82-9ac2ab21fbb1",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"14282-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,29,NA,NA,10,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T12:31:45.194Z",NA,"",NA,NA,NA,NA,NA,"",NA,"895104b1-9aef-4e4e-af82-9ac2ab21fbb1","Holothuria atra",NA,NA,"SLI13_ST87",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",-5.64,NA,"",NA,"a31e271dcf2599fa2d3f33eb6ac570eb1c508f6c",NA,"",NA,NA,NA,"",NA,"",NA,"François Michonneau, Nancy Knowlton",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2013,NA,NA,NA,NA,"",NA,NA,NA,"",-155.88,"",NA
"217",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","66173A3D-272B-4F4D-B968-599BAB73E01C","","",NA,NA,"bcb71cf2-1417-43ad-937d-416c1c614cb0",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"4007-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,5,NA,NA,12,NA,"Cocos-Keeling Island",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T12:53:16.921Z",NA,"",NA,NA,NA,NA,NA,"",NA,"bcb71cf2-1417-43ad-937d-416c1c614cb0","Holothuria atra",NA,NA,"LAK-081",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",NA,NA,"",NA,"599545312873881caf6c2cb2b4e8ceda40ea4ae9",NA,"",NA,NA,NA,"Cocos-Keeling Island",NA,"",NA,"Kirkendale, L.",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",1999,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA
"220",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oman","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","2BD51F69-4F80-41E1-89DD-1DE61C9266CE","","",NA,NA,"55cc178c-8dc4-45c8-b6bf-5a954d7836e1",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"4244-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,24,NA,NA,1,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T18:50:53.590Z",NA,"",NA,NA,NA,NA,NA,"",NA,"55cc178c-8dc4-45c8-b6bf-5a954d7836e1","Holothuria atra",NA,NA,"GP-Loc-818",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",NA,NA,"",NA,"9db9b899708c145a56e45460430783d497c7648d",NA,"",NA,NA,NA,"",NA,"",NA,"V. Bonito, M. Claereboudt, G. Paulay",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2005,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA
"237",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","6C275F15-4999-4F55-B8DF-26ACDD7EE4D6","","",NA,NA,"e2504e8f-226b-4ec9-ad69-5ef023ea9a14",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"4522-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,13,NA,NA,11,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T18:31:56.685Z",NA,"",NA,NA,NA,NA,NA,"",NA,"e2504e8f-226b-4ec9-ad69-5ef023ea9a14","Holothuria atra",NA,NA,"Bonito-Wake-20",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",19.28018,NA,"",NA,"3f743b151f321308230180a7f9f45265c639e976",NA,"",NA,NA,NA,"Wake Island",NA,"",NA,"Bonito, V.",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",2005,NA,NA,NA,NA,"",NA,NA,NA,"",166.62857,"",NA
"242",NA,NA,"Jäger",NA,"",NA,"",NA,"",NA,"Invertebrate Zoology",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador","",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"09/08/2014","",NA,NA,"","34F26A82-E620-4DB9-9BD3-F55C3B544674","","",NA,NA,"8cc0b1e2-c5db-4351-a2b0-06ba893fe811",NA,NA,NA,NA,"",NA,NA,"",NA,"Holothuroidea",NA,"9636-Echinodermata",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,8,NA,NA,2,NA,"",NA,NA,"","atra","",NA,"","Holothuria",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","2014-09-12T16:26:26.357Z",NA,"",NA,NA,NA,NA,NA,"",NA,"8cc0b1e2-c5db-4351-a2b0-06ba893fe811","Holothuria atra",NA,NA,"Hickman-012",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,NA,"","",NA,NA,"",NA,"568f07c559a17c50e46b17bc830c76d979b7a907",NA,"",NA,NA,NA,"Galapagos Islands",NA,"",NA,"Cleveland P. Hickman, Jr.",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Aspidochirotida",NA,"FLMNH",NA,NA,NA,NA,NA,"",1998,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA
