"","dwc.disposition","dwc.earliestEraOrLowestErathem","idigbio.recordId","idigbio.associateCommonName","dwc.associatedSequences","fcc.subfamily","dwc.identificationRemarks","dwc.namePublishedInID","dwc.namePublishedIn","dwc.countryCode","dcterms.bibliographicCitation","dwc.locationRemarks","dwc.maximumElevationInMeters","dwc.identificationReferences","idigbio.endangeredStatus","dwc.nomenclaturalCode","idigbio.uuid","inhs.juv_undetermined","idigbio.tribe","inhs.location_RiverMile","dwc.county","idigbio.associateRelationship","dwc.minimumDepthInMeters","dcterms.rights","dwc.islandGroup","dwc.associatedTaxa","dwc.collectionCode","dwc.associatedOccurrences","dwc.sex","dwc.habitat","idigbio.barcodeValue","dwc.latestAgeOrHighestStage","dwc.identificationVerificationStatus","dwc.verbatimCoordinates","idigbio.associateNotes","dwc.accessRights","row.number","dwc.maximumDepthInMeters","idigbio.substrate","dwc.infraspecificEpithet","idigbio.preparationCount","dwc.taxonRank","dwc.decimalLatitude","dwc.member","dwc.fieldNotes","dwc.georeferencedBy","dwc.associatedMedia","dwc.recordedBy","dwc.taxonID","id","dwc.georeferenceProtocol","dwc.earliestEpochOrLowestSeries","dwc.nameAccordingTo","dwc.taxonRemarks","inhs.formI_males","dwc.verbatimTaxonRank","dwc.latestEpochOrHighestSeries","dwc.locationAccordingTo","inhs.locationTrs","http...symbiota.org.terms.verbatimScientificName","dwc.identificationQualifier","inhs.instars_Male","dwc.verbatimLongitude","dwc.institutionID","dwc.dynamicProperties","dwc.scientificName","dwc.datasetName","dwc.decimalLongitude","dwc.locality","dwc.startDayOfYear","dwc.rights","dwc.collectionID","dwc.georeferenceRemarks","idigbio.hostFamily","dwc.catalogNumber","dwc.continent","idigbio.etag","dwc.day","dwc.genus","idigbio.createdBy","dwc.latestEraOrHighestErathem","dwc.locationID","dwc.subgenus","dwc.latestPeriodOrHighestSystem","dwc.occurrenceRemarks","dwc.vernacularName","dwc.verbatimEventDate","inhs.location_Stream","dwc.georeferenceVerificationStatus","dwc.otherCatalogNumbers","idigbio.recordIds","dwc.occurrenceStatus","idigbio.preservative","dwc.samplingProtocol","inhs.total_females","idigbio.subgenus","idigbio.associateCondition","dwc.establishmentMeans","dwc.order","dwc.behavior","dwc.verbatimElevation","dwc.dateIdentified","dwc.samplingEffort","dwc.identifiedBy","dwc.relatedResourceID","symbiota.verbatimScientificName","dwc.verbatimCoordinateSystem","inhs.instars_Female","symbiotaverbatimScientificName","dwc.preparations","idigbio.determinationHistory","idigbio.associateIdentifier","inhs.formII_females","dwc.year","fcc.pickedBy","inhs.vouchered","dwc.typeStatus","dwc.eventID","dwc.identificationID","dwc.month","dwc.lithostratigraphicTerms","dwc.verbatimSRS","dwc.waterBody","dwc.eventTime","inhs.total_Males","inhs.dead","dwc.dataGeneralizations","idigbio.associateDeterminedBy","idigbio.associatedFamily","dwc.individualID","dwc.georeferenceSources","fcc.superfamily","dcterms.type","inhs.juv_females","dwc.verbatimLatitude","dwc.bed","dwc.georeferencedDate","dwc.scientificNameID","dwc.kingdom","dwc.previousIdentifications","dwc.lowestBiostratigraphicZone","inhs.formII_males","dwc.endDayOfYear","dwc.reproductiveCondition","dwc.nomenclaturalStatus","idigbio.recordID","dwc.lifeStage","dwc.institutionCode","dwc.VerbatimEventDate","dcterms.language","dwc.informationWithheld","dwc.higherGeography","dwc.higherClassification","dwc.eventRemarks","dwc.municipality","dcterms.accessRights","idigbio.dateModified","dwc.class","dcterms.rightsHolder","dwc.rightsHolder","dwc.ownerInstitutionCode","idigbio.subfamily","inhs.juv_males","dwc.occurrenceID","dwc.basisOfRecord","dwc.individualCount","dwc.coordinateUncertaintyInMeters","dwc.geodeticDatum","dwc.minimumElevationInMeters","dcterms.modified","dwc.coordinatePrecision","dwc.originalNameUsage","idigbio.associateAuthor","dwc.stateProvince","dwc.verbatimLocality","dwc.country","dcterms.source","dwc.fieldNumber","dwc.recordNumber","dcterms.references","inhs.location_Basin","inhs.relic","dwc.footprintWKT","idigbio.associatedRelationship","dwc.verbatimDepth","fcc.datePicked","inhs.live","dwc.specificEpithet","dcterms.reference","dwc.associatedReferences","dwc.formation","dwc.family","dwc.datasetID","idigbio.version","dwc.scientificNameAuthorship","dwc.group","inhs.superfamily","dwc.phylum","dwc.earliestPeriodOrLowestSystem","dwc.earliestAgeOrLowestStage","dwc.island","dwc.eventDate","dwc.preparation"
"270","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","f62f8332-3a11-4497-b8d4-b4b570b873a5",NA,NA,NA,"Pohnpei Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,7,NA,NA,"","","Starmer, J.",NA,"f62f8332-3a11-4497-b8d4-b4b570b873a5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,158.2,"",NA,NA,NA,"",NA,"2325-Echinodermata","","770205b56b7f354931a40dfbddda00025fd686db",NA,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"ZZZ-089585",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T14:57:16.363Z","Holothuroidea","",NA,"",NA,NA,"ACE228B5-6C25-45AA-B211-E4C5B98B9FED","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Caroline Islands",NA,"Federated States of Micronesia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"432","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","e686175a-6c3d-4bf8-b671-b19793717501",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,-5.197,NA,NA,"","","John Omar, Yasonuri Kano, Pierre Lozouet, John Slapcinsky, Anouchka Krygelmans, Clementine Sesega, Dave Anan, Graham Kaina, Lisa Becking, Tanja Bogusz",NA,"e686175a-6c3d-4bf8-b671-b19793717501","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,145.821999,"",NA,NA,NA,"",NA,"14533-Echinodermata","","fc5a228f9708780e98bc3433d1863608dd7e747e",10,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"PM15",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2012,NA,NA,"",NA,NA,11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T12:20:08.429Z","Holothuroidea","",NA,"",NA,NA,"4CB20423-F4B1-4097-AB11-D2867DA4E1B4","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Madang Province",NA,"Papua New Guinea",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"478","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","80a2aa1e-7d5b-46aa-adcf-eb7741f462df",NA,NA,NA,"Pohnpei Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Ron Clouse",NA,"80a2aa1e-7d5b-46aa-adcf-eb7741f462df","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"13335-Echinodermata","","4b8d4b5687c96b1badf6490d143b046a3b275e19",3,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"Clouse-2002-Temwen",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2002,NA,NA,"",NA,NA,12,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T16:48:55.249Z","Holothuroidea","",NA,"",NA,NA,"81D6F3B7-2915-42D6-B00F-080C0074E1AC","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Caroline Islands",NA,"Federated States of Micronesia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"525","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","37265d77-936d-4afa-89e0-0626cb7bd45a",NA,NA,NA,"Kosrae Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,5.34222,NA,NA,"","","Sun Kim, Alex Kerr, François Michonneau",NA,"37265d77-936d-4afa-89e0-0626cb7bd45a","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,163.01986,"",NA,NA,NA,"",NA,"6947-Echinodermata","","6ba92a5702731c32385d5764d8e839375135b6ad",23,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"KOSR-01",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2008,NA,NA,"",NA,NA,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T13:23:11.689Z","Holothuroidea","",NA,"",NA,NA,"B2CAB2C8-6BB3-475E-827E-82652C8D895C","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Caroline Islands",NA,"Federated States of Micronesia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"679","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","d371e941-8db5-471b-803b-6ece3f77e30f",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,-5.255087,NA,NA,"","","",NA,"d371e941-8db5-471b-803b-6ece3f77e30f","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,145.785052,"",NA,NA,NA,"",NA,"14490-Echinodermata","","e2168566a88f9ebd2065cab93329acc4760e3554",9,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"PFM-006",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2012,NA,NA,"",NA,NA,11,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T12:47:44.109Z","Holothuroidea","",NA,"",NA,NA,"E65DB33D-FCF2-44E3-9BCF-608394024F95","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Madang Province",NA,"Papua New Guinea",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"747","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","b0b1fe33-ff64-43dd-a6b6-563c6b9b7982",NA,NA,NA,"Viti Levu Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Paulay, G.",NA,"b0b1fe33-ff64-43dd-a6b6-563c6b9b7982","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"981-Echinodermata","","922e12f8150c527742d63fb3e56195fd500a29c6",9,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"BFIJI-456",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,1989,NA,NA,"",NA,NA,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T09:49:30.883Z","Holothuroidea","",NA,"",NA,NA,"64720A57-7F71-4B4F-BC31-D5EB6AAF80C0","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Fiji Islands",NA,"Fiji",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"992","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","af24618b-1371-4b0e-8079-9152f2c5284d",NA,NA,NA,"Kosrae State",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Alex Kerr",NA,"af24618b-1371-4b0e-8079-9152f2c5284d","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"12357-Echinodermata","","4144d46e9d128aefec4713548bad6b32fb1d7f15",1,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"UGI-Station-336",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,1992,NA,NA,"",NA,NA,7,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T11:40:38.799Z","Holothuroidea","",NA,"",NA,NA,"206F4D3C-E3CE-4AC8-811B-509B42CD4971","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Caroline Islands",NA,"Federated States of Micronesia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"1014","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","c0cf7f90-79e5-4266-9596-16ff950ffd99",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,-22.313203,NA,NA,"","","François Michonneau",NA,"c0cf7f90-79e5-4266-9596-16ff950ffd99","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,166.457452,"",NA,NA,NA,"",NA,"8678-Echinodermata","","1c12e909b721860837b8633cfe06f0be08e58ff4",8,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"NC09-St-5",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2009,NA,NA,"",NA,NA,3,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T09:34:08.965Z","Holothuroidea","",NA,"",NA,NA,"07086E67-7978-4CFF-A658-56B034ED650C","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Province Sud",NA,"New Caledonia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"1328","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","91eedf4e-856a-4fa1-a181-250eab99787f",NA,NA,NA,"Yap Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,9.3134,NA,NA,"","","Sun Kim",NA,"91eedf4e-856a-4fa1-a181-250eab99787f","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,138.0754,"",NA,NA,NA,"",NA,"11419-Echinodermata","","ecdad51b6861100c88d4b41058dd343d82a7374b",13,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"Kim-YAP-St-07",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2009,NA,NA,"",NA,NA,12,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T09:36:41.794Z","Holothuroidea","",NA,"",NA,NA,"A7495F7F-1BCC-4C4B-A87C-9B41C7E977E0","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Caroline Islands",NA,"Federated States of Micronesia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
"1630","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","8173b6b3-6e11-4b9f-82d5-0d00bbe7c6fb",NA,NA,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology","","","",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","Robert Lasley",NA,"8173b6b3-6e11-4b9f-82d5-0d00bbe7c6fb","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Holothuria coluber",NA,NA,"",NA,NA,NA,"",NA,"8866-Echinodermata","","ee156c62a9e8ad629f077c1e3a790383d1bfdbef",15,"Holothuria","872733a2-67a3-4c54-aa76-862735a5f334",NA,"AUST-ST-045",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,2009,NA,NA,"",NA,NA,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH",NA,"",NA,"","","",NA,NA,"2014-09-12T13:13:48.263Z","Holothuroidea","",NA,"",NA,NA,"EFA0246A-AD2F-4D26-AA92-F23A7A7936E5","PreservedSpecimen",NA,NA,"",NA,"09/08/2014",NA,NA,NA,"Queensland",NA,"Australia",NA,"","","",NA,NA,NA,NA,"",NA,NA,"coluber",NA,"",NA,"Holothuriidae",NA,NA,"Semper",NA,NA,"",NA,NA,NA,"",NA
