"","dwc.county","dwc.decimalLongitude","dwc.scientificNameAuthorship","dwc.nameAccordingTo","fcc.superfamily","dwc.occurrenceStatus","dwc.locationRemarks","dwc.subgenus","dwc.lithostratigraphicTerms","dwc.locationID","idigbio.recordId","dwc.georeferencedDate","dwc.nomenclaturalStatus","dwc.formation","dwc.verbatimCoordinates","dwc.catalogNumber","dcterms.bibliographicCitation","dwc.verbatimSRS","dwc.eventID","dwc.relatedResourceID","dwc.typeStatus","dwc.minimumElevationInMeters","dwc.basisOfRecord","dwc.municipality","dwc.vernacularName","dwc.occurrenceID","inhs.total_Males","dwc.infraspecificEpithet","inhs.formI_males","dwc.preparations","dwc.lowestBiostratigraphicZone","inhs.total_females","dwc.dataGeneralizations","dwc.class","dwc.country","dwc.maximumDepthInMeters","inhs.live","dwc.month","dwc.fieldNumber","dwc.georeferencedBy","dwc.earliestAgeOrLowestStage","inhs.location_Stream","inhs.instars_Male","inhs.superfamily","dwc.individualCount","inhs.instars_Female","idigbio.substrate","dwc.latestPeriodOrHighestSystem","dwc.verbatimLongitude","dwc.verbatimLatitude","dcterms.rightsHolder","dwc.dynamicProperties","dwc.identificationQualifier","dwc.verbatimLocality","dwc.minimumDepthInMeters","idigbio.associateAuthor","inhs.juv_females","idigbio.recordIds","dwc.latestEraOrHighestErathem","dwc.order","dwc.collectionCode","dwc.individualID","dwc.endDayOfYear","inhs.formII_females","dwc.rightsHolder","inhs.relic","dwc.nomenclaturalCode","idigbio.endangeredStatus","dwc.group","idigbio.dateModified","dwc.higherGeography","dcterms.reference","dwc.habitat","dwc.locationAccordingTo","idigbio.associateRelationship","idigbio.tribe","dwc.waterBody","inhs.dead","inhs.juv_undetermined","dwc.georeferenceVerificationStatus","dwc.coordinateUncertaintyInMeters","dcterms.language","dwc.lifeStage","idigbio.determinationHistory","dwc.associatedTaxa","idigbio.uuid","inhs.locationTrs","dwc.associatedReferences","dcterms.references","idigbio.subgenus","dwc.eventTime","dwc.preparation","dwc.samplingProtocol","dwc.originalNameUsage","idigbio.barcodeValue","dwc.latestEpochOrHighestSeries","dwc.previousIdentifications","dwc.footprintWKT","symbiotaverbatimScientificName","dwc.institutionCode","dwc.maximumElevationInMeters","idigbio.associateNotes","dwc.eventDate","idigbio.preservative","dwc.disposition","dwc.coordinatePrecision","dwc.startDayOfYear","dwc.member","dwc.bed","dwc.genus","dwc.verbatimEventDate","fcc.pickedBy","dwc.earliestPeriodOrLowestSystem","dwc.taxonID","dwc.verbatimElevation","dcterms.source","dwc.collectionID","dwc.associatedSequences","dwc.establishmentMeans","dwc.dateIdentified","dwc.earliestEpochOrLowestSeries","dwc.identificationVerificationStatus","dwc.VerbatimEventDate","dcterms.rights","idigbio.version","dwc.locality","dwc.sex","dwc.verbatimCoordinateSystem","dcterms.accessRights","dwc.phylum","dwc.island","idigbio.preparationCount","http...symbiota.org.terms.verbatimScientificName","dwc.reproductiveCondition","dcterms.type","dwc.namePublishedInID","inhs.vouchered","dwc.otherCatalogNumbers","dwc.day","dwc.taxonRank","dwc.stateProvince","dwc.namePublishedIn","dwc.islandGroup","dwc.recordNumber","idigbio.associateIdentifier","dwc.georeferenceRemarks","dwc.recordedBy","symbiota.verbatimScientificName","dwc.ownerInstitutionCode","dwc.georeferenceProtocol","idigbio.associateDeterminedBy","dwc.identificationRemarks","dwc.geodeticDatum","dwc.associatedMedia","dwc.fieldNotes","dwc.kingdom","dwc.datasetName","dwc.latestAgeOrHighestStage","dcterms.modified","dwc.family","dwc.eventRemarks","dwc.informationWithheld","dwc.specificEpithet","idigbio.associateCommonName","dwc.scientificName","fcc.datePicked","dwc.verbatimTaxonRank","dwc.countryCode","dwc.continent","idigbio.hostFamily","inhs.location_RiverMile","idigbio.associatedRelationship","dwc.earliestEraOrLowestErathem","dwc.year","dwc.identificationReferences","dwc.rights","dwc.accessRights","inhs.formII_males","dwc.occurrenceRemarks","row.number","idigbio.subfamily","id","dwc.taxonRemarks","dwc.behavior","dwc.identificationID","dwc.associatedOccurrences","inhs.juv_males","dwc.institutionID","dwc.verbatimDepth","fcc.subfamily","dwc.higherClassification","idigbio.createdBy","dwc.scientificNameID","dwc.datasetID","dwc.georeferenceSources","dwc.identifiedBy","dwc.decimalLatitude","dwc.samplingEffort","idigbio.associatedFamily","idigbio.recordID","idigbio.associateCondition","idigbio.etag","inhs.location_Basin"
"110","",-61.534533,"Ludwig",NA,NA,NA,"",NA,NA,"GR28-MNHN",NA,NA,NA,NA,"","12812-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"0FB47F62-72D0-4DB4-86FA-8BF38E1FE5BE",NA,"",NA,"",NA,NA,NA,"Holothuroidea","Lesser Antilles",NA,NA,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T15:14:22.479Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"6a7c6222-bc64-41de-8f84-db829b1d81f7",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",16,NA,"Guadeloupe Island",NA,NA,"",NA,"","Line LeGall, Yan Buske, Yannis Turpin, Emmanuel Vassard, Robert Moolenbeek, Kris Netchy",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,"6a7c6222-bc64-41de-8f84-db829b1d81f7",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",16.455717,NA,NA,NA,NA,"aa762649fb4611867c0756d27baa6034c182ac72",NA
"172","",-61.530733,"Ludwig",NA,NA,NA,"",NA,NA,"GR30-MNHN",NA,NA,NA,NA,"","12821-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"45A43FFF-0464-457C-8C2B-170C2A7555A7",NA,"",NA,"",NA,NA,NA,"Holothuroidea","Lesser Antilles",NA,NA,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T10:10:59.876Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"6f06a9aa-7800-45af-af92-7fb7ef47fd4a",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",17,NA,"Guadeloupe Island",NA,NA,"",NA,"","Emmanuel Vassard, Robert Moolenbeek, Kris Netchy, Line LeGall, Yannis Turpin",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,"6f06a9aa-7800-45af-af92-7fb7ef47fd4a",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",16.462267,NA,NA,NA,NA,"1d292e9bb8bfdbf5ff083bda83b267377585a25d",NA
"395","",-83.046,"Ludwig",NA,NA,NA,"",NA,NA,"FIO2012-001",NA,NA,NA,NA,"","11579-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"D4968422-C14F-4C7F-AAD2-4E3C0E72C508",NA,"",NA,"",NA,NA,NA,"Holothuroidea","USA",NA,NA,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T10:13:26.300Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"e3f88285-1bc8-44a8-8256-a7336bbaa493",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",22,NA,"Florida",NA,NA,"",NA,"","Gustav Paulay, Nat Evans, François Michonneau",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,"e3f88285-1bc8-44a8-8256-a7336bbaa493",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",27.68133,NA,NA,NA,NA,"42156a855b478636322e48ec68dcbbc9631bc7e4",NA
"400","",-81.6057777777778,"Ludwig",NA,NA,NA,"",NA,NA,"GHB-2001-064",NA,NA,NA,NA,"","114-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"7B381855-BE17-469E-BC24-46E3C6E5E1AE",NA,"",NA,"",NA,NA,NA,"Holothuroidea","USA",NA,NA,4,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T10:36:14.246Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"40f90781-1ebb-46ef-b73d-f8e6deb12c76",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",24,NA,"Florida",NA,NA,"",NA,"","Rothrock, E.",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,"40f90781-1ebb-46ef-b73d-f8e6deb12c76",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",25.4861944444444,NA,NA,NA,NA,"681f386c2c24cf5bb0b4305f4c3835431eb3d453",NA
"506","",NA,"Ludwig",NA,NA,NA,"",NA,NA,"Brown-1965-07",NA,NA,NA,NA,"","10758-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"1386F384-3553-49E0-9B50-9FB8BBBF5AB4",NA,"",NA,"",NA,NA,NA,"Holothuroidea","Puerto Rico",NA,NA,7,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T15:57:40.083Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"e4ab198b-bf44-484d-b04a-4a722528dfa0",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","Bryce C. Brown",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,1965,NA,NA,NA,NA,NA,NA,NA,"e4ab198b-bf44-484d-b04a-4a722528dfa0",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",NA,NA,NA,NA,NA,"488c1c225ed629eb29c8045d169581c7c22504a4",NA
"1055","",-61.544806,"Ludwig",NA,NA,NA,"",NA,NA,"GM15-MNHN",NA,NA,NA,NA,"","12781-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"6E9D2064-ABCB-4BD7-8920-68BCB7EC17FF",NA,"",NA,"",NA,NA,NA,"Holothuroidea","Lesser Antilles",NA,NA,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T14:54:52.977Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"a4576234-da15-4c27-8e6e-16a32e9ae4b6",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",14,NA,"Guadeloupe Island",NA,NA,"",NA,"","Laurent Charles, Remy Penisson",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,"a4576234-da15-4c27-8e6e-16a32e9ae4b6",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",16.304583,NA,NA,NA,NA,"5215cd13e9b730e3e6d104511678c2ec911e8bf3",NA
"1262","Monroe County",-80.7542,"Ludwig",NA,NA,NA,"",NA,NA,"KML-14",NA,NA,NA,NA,"","7323-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"90854FC9-D92A-404D-9AB8-95F1F0DFA075",NA,"",NA,"",NA,NA,NA,"Holothuroidea","USA",NA,NA,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T13:46:08.038Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"5fe741bb-a23f-4d3b-9186-decb36f34390",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",3,NA,"Florida",NA,NA,"",NA,"","François Michonneau, Gustav Paulay, Sarah McPherson, Mandy Bemis, Hsiu Lin, Jenna Moore, Nathaniel Evans",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,"5fe741bb-a23f-4d3b-9186-decb36f34390",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",24.7651,NA,NA,NA,NA,"dc69ebec71b04e84de710b6df5e176037ea66af6",NA
"1633","",-62.983,"Ludwig",NA,NA,NA,"",NA,NA,"STM-056",NA,NA,NA,NA,"","11886-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"852CCB49-9CC5-4FBD-8B0E-1826F24CBC59",NA,"",NA,"",NA,NA,NA,"Holothuroidea","French Antilles",NA,NA,4,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T13:57:28.937Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"78c27967-b036-4078-9641-3669bcda27a1",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",23,NA,"St. Martin",NA,NA,"",NA,"","Gustav Paulay, François Michonneau, Arthur Anker, Jean-Philippe Marechal, Steeve Rulliet",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,"78c27967-b036-4078-9641-3669bcda27a1",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",18.102,NA,NA,NA,NA,"95a98ff5934d40df494486956ab8df66996d72f1",NA
"2757","Levy Co.",-83.34375,"Ludwig",NA,NA,NA,"",NA,NA,"GP-Loc-993",NA,NA,NA,NA,"","11339-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"1B406DC8-A2C1-40A2-AFE6-805868346823",NA,"",NA,"",NA,NA,NA,"Holothuroidea","USA",NA,NA,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T17:31:49.658Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"74289d51-ddf6-4a6f-83ac-e380aad4b35c",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",30,NA,"Florida",NA,NA,"",NA,"","Gustav Paulay & Tito Lotufo",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,"74289d51-ddf6-4a6f-83ac-e380aad4b35c",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",28.98995,NA,NA,NA,NA,"b5e1d74cb97143fa5fcf4d646fcecc6923bac86b",NA
"2937","Pinellas Co.",-82.9434666666667,"Ludwig",NA,NA,NA,"",NA,NA,"IZ-2004-019",NA,NA,NA,NA,"","3265-Echinodermata",NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,"3217746A-5270-443E-BD2A-D2801508A007",NA,"",NA,"",NA,NA,NA,"Holothuroidea","USA",NA,NA,11,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","Invertebrate Zoology",NA,NA,NA,NA,NA,"",NA,NA,"2014-09-12T14:43:26.063Z","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"198283da-8bcf-48fb-bba8-36fa529bdd0a",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,"",NA,"",NA,NA,NA,NA,"Holothuria","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,"",NA,NA,"",14,NA,"Florida",NA,NA,"",NA,"","Paulay, G.",NA,"","",NA,"","","",NA,"",NA,NA,"09/08/2014","Holothuriidae","",NA,"cubana",NA,"Holothuria cubana",NA,NA,NA,"",NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,"198283da-8bcf-48fb-bba8-36fa529bdd0a",NA,NA,NA,"",NA,"","",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","",27.6424833333333,NA,NA,NA,NA,"e8559eacf255e6c6b1fecdc5e009c1da2cb30893",NA
