"","dwc.country","dwc.rights","dwc.latestPeriodOrHighestSystem","dwc.lifeStage","dwc.georeferenceVerificationStatus","dwc.taxonRemarks","idigbio.recordId","dwc.otherCatalogNumbers","dwc.identificationQualifier","dwc.georeferenceRemarks","inhs.locationTrs","idigbio.associateRelationship","dwc.basisOfRecord","dwc.institutionCode","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimLocality","dwc.previousIdentifications","dwc.associatedSequences","dwc.vernacularName","dcterms.reference","dwc.minimumDepthInMeters","dwc.namePublishedIn","dwc.geodeticDatum","dwc.countryCode","idigbio.associateCondition","dwc.locationID","idigbio.substrate","dwc.associatedReferences","inhs.formII_females","dcterms.rightsHolder","inhs.dead","dwc.lowestBiostratigraphicZone","dwc.group","dwc.minimumElevationInMeters","inhs.location_RiverMile","idigbio.associateCommonName","dwc.nomenclaturalCode","dwc.lithostratigraphicTerms","idigbio.associateIdentifier","dwc.typeStatus","dwc.family","dwc.preparation","dwc.individualID","dwc.locationRemarks","inhs.superfamily","dcterms.language","inhs.juv_males","idigbio.subgenus","dwc.identifiedBy","idigbio.associatedFamily","dwc.ownerInstitutionCode","dcterms.accessRights","dwc.coordinatePrecision","dwc.fieldNumber","dwc.VerbatimEventDate","dwc.phylum","dwc.eventDate","fcc.superfamily","dwc.earliestEraOrLowestErathem","inhs.vouchered","dcterms.rights","dwc.georeferencedDate","dwc.associatedTaxa","dwc.maximumDepthInMeters","dwc.preparations","idigbio.etag","dwc.decimalLatitude","dwc.genus","dwc.sex","inhs.formII_males","inhs.location_Basin","fcc.subfamily","idigbio.associatedRelationship","dwc.samplingProtocol","dwc.scientificNameAuthorship","dwc.maximumElevationInMeters","idigbio.dateModified","dwc.decimalLongitude","idigbio.createdBy","dcterms.references","dwc.verbatimTaxonRank","dwc.habitat","inhs.juv_undetermined","dwc.scientificName","dwc.occurrenceRemarks","dwc.collectionCode","dwc.establishmentMeans","inhs.instars_Female","dwc.day","dcterms.source","dwc.identificationID","inhs.live","dwc.nomenclaturalStatus","dwc.taxonID","dwc.georeferencedBy","dwc.dateIdentified","fcc.pickedBy","dwc.islandGroup","inhs.juv_females","dwc.verbatimElevation","idigbio.preparationCount","inhs.instars_Male","dwc.samplingEffort","dwc.verbatimLatitude","dwc.nameAccordingTo","dwc.county","symbiotaverbatimScientificName","idigbio.associateAuthor","dwc.latestAgeOrHighestStage","dwc.recordedBy","id","dwc.class","dwc.latestEpochOrHighestSeries","dwc.associatedMedia","dwc.island","dwc.informationWithheld","dwc.behavior","inhs.relic","dwc.namePublishedInID","idigbio.version","dwc.coordinateUncertaintyInMeters","dwc.year","dwc.verbatimCoordinateSystem","dwc.eventTime","dwc.catalogNumber","dwc.relatedResourceID","inhs.total_Males","idigbio.subfamily","dwc.verbatimLongitude","dwc.order","dwc.higherClassification","idigbio.recordIds","idigbio.preservative","idigbio.hostFamily","dwc.recordNumber","inhs.formI_males","idigbio.endangeredStatus","dwc.individualCount","dwc.higherGeography","dwc.waterBody","idigbio.associateDeterminedBy","dwc.identificationVerificationStatus","dwc.datasetName","dcterms.type","dwc.endDayOfYear","dwc.occurrenceStatus","dwc.locality","dwc.bed","dwc.subgenus","inhs.location_Stream","dwc.dataGeneralizations","inhs.total_females","dwc.specificEpithet","dwc.verbatimDepth","dwc.fieldNotes","dwc.taxonRank","dwc.earliestAgeOrLowestStage","dwc.verbatimCoordinates","dwc.earliestEpochOrLowestSeries","fcc.datePicked","dwc.member","dwc.rightsHolder","dwc.occurrenceID","dwc.month","dwc.earliestPeriodOrLowestSystem","row.number","dwc.disposition","dwc.latestEraOrHighestErathem","dwc.stateProvince","dcterms.modified","dcterms.bibliographicCitation","dwc.municipality","dwc.eventRemarks","dwc.datasetID","idigbio.uuid","dwc.originalNameUsage","dwc.kingdom","dwc.reproductiveCondition","idigbio.recordID","dwc.institutionID","symbiota.verbatimScientificName","dwc.formation","dwc.georeferenceProtocol","idigbio.tribe","dwc.georeferenceSources","dwc.continent","dwc.associatedOccurrences","dwc.accessRights","dwc.verbatimSRS","dwc.infraspecificEpithet","dwc.locationAccordingTo","idigbio.associateNotes","idigbio.determinationHistory","dwc.identificationRemarks","dwc.dynamicProperties","dwc.scientificNameID","idigbio.barcodeValue","dwc.startDayOfYear","dwc.verbatimEventDate","dwc.eventID","dwc.footprintWKT","dwc.collectionID","dwc.identificationReferences"
"121","France",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"LOF34",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","51934c4314a720a78f6555bf97c4b8b621ef2c7d",-19.06056,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T14:18:49.246Z",163.63042,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,9,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Nathaniel Evans","742221c7-d115-4a40-9470-452cc34d4077","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2013,"",NA,"15754-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"F0D16157-CC1F-4397-9700-3BE35CCADAE6",11,NA,NA,"",NA,"New Caledonia","09/08/2014",NA,NA,"",NA,"742221c7-d115-4a40-9470-452cc34d4077",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"412","France",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"LOF26",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","23f7f96d1d2009fe65e74b91afb92f0292928d66",-18.57095,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T13:01:30.643Z",163.21188,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,6,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Nathaniel Evans","3c73b824-0fe6-4bc4-844d-9bc4ba006161","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2013,"",NA,"15750-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"5C21BEFB-C9D6-4800-91C3-15479798C3E6",11,NA,NA,"",NA,"New Caledonia","09/08/2014",NA,NA,"",NA,"3c73b824-0fe6-4bc4-844d-9bc4ba006161",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"458","Saudi Arabia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"DJRS-035",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","27cea74ed22edbc465146d5078c0f3e938069024",22.26455,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T11:11:05.629Z",39.0263,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,8,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Gustav Paulay","e662f86b-db4a-488a-b064-515c67bf0d6c","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2012,"",NA,"12141-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"6FD96E07-BBE6-4134-A85F-9C939E40AEFB",10,NA,NA,"",NA,"","09/08/2014",NA,NA,"",NA,"e662f86b-db4a-488a-b064-515c67bf0d6c",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"512","Kiribati",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"ZZZ-087913",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","e0d0ed1ac05bfe83228b9b196b3c9c6014833108",NA,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T15:00:30.573Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Tarawa Atoll",NA,NA,NA,"","82ba6eee-0025-4844-9f5e-b5f25ac90f7e","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"1371-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"8E5F5D2B-21F4-44ED-B865-5033129AAED4",NA,NA,NA,"",NA,"Gilbert Islands","09/08/2014",NA,NA,"",NA,"82ba6eee-0025-4844-9f5e-b5f25ac90f7e",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"543","Philippines",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"SEMP-08",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","12b1238620373220572d0901d7d99f58c6e9ccb6",NA,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T16:29:49.002Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,26,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Kris Netchy & Alex Kerr","c43e5441-5133-43c4-916b-af2b93154a4f","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2006,"",NA,"5680-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"01FC14C4-5B75-4896-AB7E-AF06A9C1AC5C",5,NA,NA,"",NA,"Negros Oriental","09/08/2014",NA,NA,"",NA,"c43e5441-5133-43c4-916b-af2b93154a4f",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"704","Saudi Arabia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NORS-14",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","d7df0229df4d0f39ad7357a1cacdbdf2054d6d24",28.403867,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T10:21:29.883Z",34.740667,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,29,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Gustav Paulay, Seabird McKeon, Daisuke Uyeno, Jenna Moore, Casey Zakroff","7a8e0033-90d4-4f8e-9d2c-79c33afd613a","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2013,"",NA,"14187-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"FB736BC0-BF26-4745-83D8-4354699B4C03",9,NA,NA,"",NA,"","09/08/2014",NA,NA,"",NA,"7a8e0033-90d4-4f8e-9d2c-79c33afd613a",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"739","French Polynesia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"GP-Loc-867",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","836c2dacb29175e5a122c47f187f05d7d4859cc2",-17.4911,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T09:34:27.308Z",-149.8497,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,26,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Moorea Island",NA,NA,NA,"Gustav Paulay","6f1c842e-85d1-4e5f-844c-d9c6f56ca573","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2006,"",NA,"5289-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"EDE324D8-12BE-4DAA-B224-7F87A94C2F1B",6,NA,NA,"",NA,"Society Islands","09/08/2014",NA,NA,"",NA,"6f1c842e-85d1-4e5f-844c-d9c6f56ca573",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"757","Australia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"AUST-ST-091",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","70573777dc794f9dc510546e241cb0f65a609432",NA,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T17:51:35.746Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,25,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Shawn Smith","b91a606a-b714-4544-a668-620f6e38cbbe","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2009,"",NA,"8612-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"A07D4D93-CC84-446D-8EDB-F11A40FCE3B9",2,NA,NA,"",NA,"Queensland","09/08/2014",NA,NA,"",NA,"b91a606a-b714-4544-a668-620f6e38cbbe",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"966","USA",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"UGI-Station-302",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","3f5f26d96c0120f2a9785c9e0134af0d40ec05cd",13.5,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T10:52:51.522Z",144.8,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Guam Island",NA,NA,NA,"D. R. Hopper","38c33219-423e-458e-8352-329f973a47d9","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,1989,"",NA,"12345-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"0B6FAC3B-6697-4F67-B3CF-249E45B25EDA",7,NA,NA,"",NA,"Mariana Islands","09/08/2014",NA,NA,"",NA,"38c33219-423e-458e-8352-329f973a47d9",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"1097","Vanuatu",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Vanuatu-002",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","136ee8317710157be244c2311c5428cafe5a56e6",NA,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T18:23:03.034Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,29,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"David Lane et al.","f07aa796-51b8-4fb7-a489-cec4c27c65be","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2006,"",NA,"5557-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"A70A9BCE-605E-40A9-9167-AEF08A5E40A8",9,NA,NA,"",NA,"Sanma Province","09/08/2014",NA,NA,"",NA,"f07aa796-51b8-4fb7-a489-cec4c27c65be",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
