"","dwc.catalogNumber","dwc.group","dwc.minimumElevationInMeters","dwc.georeferenceProtocol","dwc.taxonID","inhs.formII_males","dwc.verbatimLatitude","dwc.scientificName","dwc.individualCount","fcc.datePicked","dwc.infraspecificEpithet","dwc.recordedBy","dwc.verbatimCoordinateSystem","dwc.class","dwc.scientificNameID","dwc.reproductiveCondition","idigbio.associateAuthor","dwc.nomenclaturalStatus","dwc.datasetName","dwc.startDayOfYear","dwc.associatedTaxa","dwc.habitat","dwc.previousIdentifications","symbiota.verbatimScientificName","dwc.earliestPeriodOrLowestSystem","dwc.countryCode","dwc.island","dwc.latestAgeOrHighestStage","idigbio.version","dwc.earliestAgeOrLowestStage","dwc.fieldNotes","dwc.verbatimSRS","dwc.institutionCode","dwc.basisOfRecord","dwc.footprintWKT","dwc.associatedOccurrences","dwc.georeferenceSources","dwc.identificationID","dwc.lowestBiostratigraphicZone","dwc.georeferencedDate","dwc.preparations","dwc.institutionID","dwc.samplingEffort","dwc.day","idigbio.endangeredStatus","idigbio.associatedFamily","dcterms.rightsHolder","idigbio.recordId","dwc.bed","inhs.juv_males","fcc.pickedBy","dwc.namePublishedInID","idigbio.determinationHistory","dwc.verbatimTaxonRank","dwc.formation","dwc.county","dcterms.type","dcterms.source","dwc.islandGroup","dwc.identificationReferences","dwc.earliestEpochOrLowestSeries","dwc.family","dwc.collectionID","dwc.waterBody","dwc.recordNumber","dwc.kingdom","inhs.instars_Male","idigbio.associateDeterminedBy","dwc.verbatimElevation","idigbio.etag","dwc.verbatimLongitude","dwc.lithostratigraphicTerms","inhs.live","dwc.geodeticDatum","dwc.originalNameUsage","http...symbiota.org.terms.verbatimScientificName","dwc.higherClassification","inhs.location_RiverMile","dwc.verbatimDepth","id","idigbio.dateModified","idigbio.associatedRelationship","dwc.accessRights","dcterms.rights","dwc.occurrenceRemarks","dwc.identificationRemarks","dwc.behavior","dwc.eventTime","idigbio.subfamily","idigbio.associateCondition","dcterms.references","idigbio.createdBy","dwc.associatedSequences","dcterms.bibliographicCitation","dwc.locality","dwc.higherGeography","dwc.locationRemarks","dwc.identificationVerificationStatus","idigbio.subgenus","symbiotaverbatimScientificName","dwc.identifiedBy","dwc.stateProvince","dwc.eventDate","dwc.verbatimEventDate","dwc.typeStatus","dwc.coordinatePrecision","dwc.maximumDepthInMeters","fcc.superfamily","dwc.specificEpithet","dwc.latestEraOrHighestErathem","idigbio.associateCommonName","dwc.locationAccordingTo","dwc.VerbatimEventDate","dwc.otherCatalogNumbers","inhs.total_females","row.number","dwc.coordinateUncertaintyInMeters","dwc.informationWithheld","inhs.instars_Female","dwc.year","dwc.dateIdentified","dwc.vernacularName","dwc.sex","inhs.relic","dwc.dataGeneralizations","inhs.juv_undetermined","dwc.preparation","dwc.eventRemarks","dwc.lifeStage","dwc.order","inhs.formI_males","dcterms.accessRights","dwc.samplingProtocol","dwc.associatedMedia","idigbio.preservative","idigbio.associateRelationship","idigbio.recordID","dwc.taxonRank","dwc.ownerInstitutionCode","dwc.decimalLatitude","dwc.nameAccordingTo","inhs.total_Males","dwc.taxonRemarks","inhs.juv_females","idigbio.uuid","dwc.dynamicProperties","dwc.relatedResourceID","idigbio.tribe","dwc.subgenus","idigbio.preparationCount","fcc.subfamily","dwc.namePublishedIn","dwc.month","idigbio.barcodeValue","dwc.rights","dwc.identificationQualifier","inhs.superfamily","dwc.georeferenceRemarks","dwc.latestPeriodOrHighestSystem","dwc.occurrenceStatus","inhs.locationTrs","dwc.disposition","dwc.decimalLongitude","dwc.maximumElevationInMeters","dwc.phylum","dcterms.modified","idigbio.associateIdentifier","dwc.genus","dwc.scientificNameAuthorship","inhs.vouchered","dcterms.reference","inhs.dead","dcterms.language","dwc.eventID","dwc.occurrenceID","inhs.location_Stream","dwc.verbatimCoordinates","dwc.continent","idigbio.associateNotes","dwc.endDayOfYear","dwc.country","dwc.georeferencedBy","dwc.earliestEraOrLowestErathem","inhs.location_Basin","dwc.member","dwc.latestEpochOrHighestSeries","dwc.associatedReferences","dwc.datasetID","idigbio.hostFamily","dwc.collectionCode","dwc.georeferenceVerificationStatus","dwc.municipality","idigbio.substrate","dwc.establishmentMeans","dwc.individualID","dwc.verbatimLocality","dwc.fieldNumber","dwc.nomenclaturalCode","dwc.minimumDepthInMeters","dwc.rightsHolder","idigbio.recordIds","inhs.formII_females","dwc.locationID"
"484","10122-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,16,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"1a8cf215cb2604682e8e49fabdea509bebfe02f0","",NA,NA,"",NA,NA,"",NA,"","c871477e-61f9-49a3-ac05-26c1e88a467f","2014-09-12T15:14:42.079Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Queensland","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2009,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-23.4417666666667,NA,NA,NA,NA,"c871477e-61f9-49a3-ac05-26c1e88a467f","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",151.900433333333,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"8DD6D0A5-CA23-429A-932D-A8F6472EC0F2",NA,"","",NA,NA,"Australia","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HI09-035"
"789","10193-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"04dfccca88e2c48acdbca3fb9eab3f54739bed38","",NA,NA,"",NA,NA,"",NA,"","4985e969-99ef-4e51-b191-77a20470bef3","2014-09-12T17:26:26.117Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Queensland","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2009,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-23,NA,NA,NA,NA,"4985e969-99ef-4e51-b191-77a20470bef3","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",152,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"9C2B78BF-B0F3-466D-8F12-29819EAC95A2",NA,"","",NA,NA,"Australia","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HI09-131"
"953","10208-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"114b599e62dae93948fe299dd914454bc3a0ef91","",NA,NA,"",NA,NA,"",NA,"","0091f5cb-1e27-478c-b764-827ecbbb267b","2014-09-12T12:27:39.833Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Queensland","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2009,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-23,NA,NA,NA,NA,"0091f5cb-1e27-478c-b764-827ecbbb267b","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",152,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"8E4354E1-1C12-4B9D-98B1-D29220F32B3D",NA,"","",NA,NA,"Australia","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HI09-131"
"1292","15020-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","Fredrik Leliaert, François Michonneau, Daisuke Uyeno, Eric Pante","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"4f5f1d92c719db30f04041120bf1853c5855ff9a","",NA,NA,"",NA,NA,"",NA,"","ac03a728-228a-4537-bc24-7c13cdaf379f","2014-09-12T18:40:34.319Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Madang Province","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2012,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-5.116667,NA,NA,NA,NA,"ac03a728-228a-4537-bc24-7c13cdaf379f","",NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"",NA,NA,NA,"",145.823334,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"43ABB3D5-CDE1-434A-9D0C-3579D8222B87",NA,"","",NA,NA,"Papua New Guinea","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"PR145"
"1595","10145-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","James Reimer, François Michonneau","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,23,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"63b731323f96496b7778148310dbc9b74ee72335","",NA,NA,"",NA,NA,"",NA,"","3e2411cb-33a5-4900-b6e0-458182c2b578","2014-09-12T11:32:40.948Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Queensland","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2009,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-23.4312833333333,NA,NA,NA,NA,"3e2411cb-33a5-4900-b6e0-458182c2b578","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",152.03375,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"3E83D6B6-67A0-46A3-8DA2-18D708528142",NA,"","",NA,NA,"Australia","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HI09-090"
"1741","10207-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"9cea32230e9a117d5316ddf2c914887bb8cefc29","",NA,NA,"",NA,NA,"",NA,"","66b7ba35-1fce-4399-8e3a-104c81cc303b","2014-09-12T17:21:01.965Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Queensland","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2009,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-23,NA,NA,NA,NA,"66b7ba35-1fce-4399-8e3a-104c81cc303b","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",152,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"A536F05B-34CD-40CF-AF2A-FA987A76AF07",NA,"","",NA,NA,"Australia","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HI09-131"
"1766","14709-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","François Michonneau, Mande Holford, Bastian Brenzinger","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,14,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"ae79ef29bba2595c1ba7dbd4c0b47d0b6b8203b6","",NA,NA,"",NA,NA,"",NA,"","95cdf170-cc17-4cb2-ab86-3e9d469d84ed","2014-09-12T18:04:08.706Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Madang Province","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2012,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-5.107375,NA,NA,NA,NA,"95cdf170-cc17-4cb2-ab86-3e9d469d84ed","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",145.822054,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"BFFE1745-4086-4DA0-BDA5-5426678936F6",NA,"","",NA,NA,"Papua New Guinea","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"PR31"
"1914","10043-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,17,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"2d855cd7534e913528b90a7dfe2f7cdf55b14447","",NA,NA,"",NA,NA,"",NA,"","23557a9d-bcfe-4556-902a-ae0601167e0e","2014-09-12T09:35:46.199Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Queensland","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2009,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-23.3174166666667,NA,NA,NA,NA,"23557a9d-bcfe-4556-902a-ae0601167e0e","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",151.716983333333,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"0DD22B42-4E0B-45A7-9F1E-59F363983BB4",NA,"","",NA,NA,"Australia","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HI09-043"
"1951","10192-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"679d5c1277f32708b194375d2d5cd7ad5ea1aa62","",NA,NA,"",NA,NA,"",NA,"","5a2a635e-acf9-4fc6-b0a2-36589d02b777","2014-09-12T10:44:10.229Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Queensland","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2009,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-23,NA,NA,NA,NA,"5a2a635e-acf9-4fc6-b0a2-36589d02b777","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",152,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"AF941551-BAF9-4B36-85E0-E39F58EA8FB1",NA,"","",NA,NA,"Australia","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HI09-131"
"1957","10129-Echinodermata",NA,NA,"",NA,NA,"","Holothuria gracilis",NA,NA,"","","","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","PreservedSpecimen",NA,"","",NA,NA,NA,"","",NA,16,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuriidae",NA,"","","",NA,NA,NA,"2587188a90849f6c2e7f89697421ee6fb26a081d","",NA,NA,"",NA,NA,"",NA,"","793d276d-fc20-4669-b09d-28d46d3e5641","2014-09-12T12:58:34.849Z",NA,NA,NA,NA,"",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"","","","",NA,NA,"","Queensland","","","",NA,NA,NA,"gracilis",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2009,"",NA,"",NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"","",NA,NA,NA,NA,"",-23.4417666666667,NA,NA,NA,NA,"793d276d-fc20-4669-b09d-28d46d3e5641","",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"",NA,NA,NA,"",151.900433333333,NA,"","09/08/2014",NA,"Holothuria","Semper",NA,NA,NA,"",NA,"C4FEE340-8D51-4FBD-AC28-BD3902379049",NA,"","",NA,NA,"Australia","",NA,NA,NA,NA,"",NA,NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HI09-035"
