"","inhs.total_Males","dwc.minimumElevationInMeters","idigbio.dateModified","idigbio.version","dwc.lifeStage","dwc.maximumElevationInMeters","dwc.higherGeography","dwc.georeferenceProtocol","idigbio.associateRelationship","dwc.geodeticDatum","dwc.fieldNotes","dwc.dynamicProperties","dwc.verbatimLocality","dwc.reproductiveCondition","dwc.associatedTaxa","inhs.formI_males","dwc.rights","symbiotaverbatimScientificName","dwc.dateIdentified","dwc.dataGeneralizations","dwc.associatedOccurrences","dwc.vernacularName","dwc.lithostratigraphicTerms","dwc.preparation","idigbio.associateIdentifier","dwc.locality","dwc.family","inhs.live","inhs.superfamily","dwc.group","dwc.rightsHolder","dwc.catalogNumber","dwc.latestEpochOrHighestSeries","dwc.verbatimSRS","dwc.fieldNumber","dwc.datasetID","idigbio.substrate","dwc.latestPeriodOrHighestSystem","inhs.location_Basin","dwc.higherClassification","dcterms.accessRights","dcterms.language","dwc.samplingEffort","dcterms.rights","dwc.individualID","dwc.verbatimEventDate","inhs.dead","dwc.locationAccordingTo","id","dwc.originalNameUsage","dwc.georeferenceSources","dcterms.reference","dwc.eventID","dwc.latestAgeOrHighestStage","dcterms.bibliographicCitation","dwc.earliestAgeOrLowestStage","dwc.eventTime","inhs.vouchered","dwc.endDayOfYear","dwc.namePublishedInID","dwc.verbatimTaxonRank","dwc.month","idigbio.etag","dwc.specificEpithet","dcterms.rightsHolder","dwc.basisOfRecord","dwc.relatedResourceID","dwc.occurrenceID","dwc.decimalLatitude","dwc.infraspecificEpithet","dwc.genus","inhs.juv_females","dwc.taxonRank","inhs.instars_Female","fcc.subfamily","dwc.earliestPeriodOrLowestSystem","inhs.formII_females","dwc.disposition","dwc.identificationVerificationStatus","inhs.formII_males","dwc.informationWithheld","dwc.verbatimLongitude","dwc.island","dwc.earliestEraOrLowestErathem","inhs.locationTrs","idigbio.preparationCount","inhs.instars_Male","idigbio.recordId","dwc.georeferencedDate","dwc.country","dwc.stateProvince","dwc.eventRemarks","idigbio.recordIds","dwc.verbatimLatitude","dwc.sex","fcc.superfamily","dwc.verbatimCoordinates","dwc.minimumDepthInMeters","idigbio.associateNotes","dwc.nameAccordingTo","idigbio.uuid","dwc.eventDate","dwc.identificationReferences","idigbio.recordID","fcc.pickedBy","dwc.taxonRemarks","dwc.namePublishedIn","dwc.member","fcc.datePicked","dwc.associatedMedia","idigbio.associateDeterminedBy","dwc.verbatimDepth","dwc.locationRemarks","dwc.identifiedBy","dwc.bed","dwc.kingdom","dwc.identificationID","dwc.georeferenceRemarks","dwc.subgenus","http...symbiota.org.terms.verbatimScientificName","dwc.startDayOfYear","dwc.behavior","idigbio.associateCondition","inhs.total_females","dwc.verbatimCoordinateSystem","dwc.nomenclaturalCode","idigbio.barcodeValue","dwc.county","dwc.locationID","dwc.scientificNameAuthorship","inhs.juv_males","dwc.occurrenceStatus","idigbio.subfamily","dwc.recordNumber","dwc.previousIdentifications","dwc.VerbatimEventDate","dcterms.type","dwc.class","dwc.habitat","dwc.otherCatalogNumbers","dwc.ownerInstitutionCode","dwc.scientificName","dwc.samplingProtocol","dwc.datasetName","dwc.waterBody","dwc.coordinateUncertaintyInMeters","dwc.identificationQualifier","dwc.occurrenceRemarks","dwc.recordedBy","inhs.relic","dwc.continent","idigbio.tribe","dwc.municipality","dcterms.source","dwc.collectionID","dcterms.modified","dwc.day","dwc.associatedReferences","dcterms.references","idigbio.associatedFamily","dwc.collectionCode","dwc.order","dwc.taxonID","idigbio.hostFamily","dwc.associatedSequences","idigbio.subgenus","dwc.coordinatePrecision","idigbio.preservative","dwc.earliestEpochOrLowestSeries","idigbio.determinationHistory","dwc.georeferenceVerificationStatus","dwc.preparations","inhs.location_RiverMile","dwc.countryCode","dwc.formation","dwc.decimalLongitude","idigbio.associatedRelationship","row.number","idigbio.endangeredStatus","dwc.nomenclaturalStatus","inhs.location_Stream","dwc.maximumDepthInMeters","idigbio.createdBy","dwc.institutionID","dwc.verbatimElevation","symbiota.verbatimScientificName","dwc.footprintWKT","idigbio.associateCommonName","dwc.lowestBiostratigraphicZone","dwc.establishmentMeans","dwc.accessRights","dwc.islandGroup","dwc.latestEraOrHighestErathem","dwc.institutionCode","dwc.typeStatus","inhs.juv_undetermined","dwc.georeferencedBy","dwc.scientificNameID","dwc.identificationRemarks","dwc.year","dwc.individualCount","dwc.phylum","idigbio.associateAuthor"
"106",NA,NA,"2014-09-12T13:26:22.172Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"9560-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"6f2feda4-b4d3-493e-8e1f-1dc593b2d0e6",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"01105e8920ec508335cd9989ccb2ba29a792ff68","lineata","","PreservedSpecimen",NA,"AEE55F19-4747-484A-BC64-E20256BFB217",-22.69265,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Australia","Western Australia","",NA,"","",NA,"",NA,NA,NA,"6f2feda4-b4d3-493e-8e1f-1dc593b2d0e6","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","NIN09-St-61","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"Robert Lasley",NA,"",NA,NA,NA,NA,"09/08/2014",NA,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,113.6583,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",2009,NA,"",NA
"131",NA,NA,"2014-09-12T11:23:41.349Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"4198-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"ca124842-aa20-4e63-a3e1-b9f978c2010d",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"283fc6c8f33093b1f147eec6e4ecaa5b2eff016a","lineata","","PreservedSpecimen",NA,"16256FF9-F02F-43FD-81F1-9B18CF549455",20.3987,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Oman","","",NA,"","",NA,"",NA,NA,NA,"ca124842-aa20-4e63-a3e1-b9f978c2010d","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","GP-Loc-801","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"V. Bonito, M. Claereboudt, G. Paulay",NA,"",NA,NA,NA,NA,"09/08/2014",18,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,58.48965,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",2005,NA,"",NA
"173",NA,NA,"2014-09-12T10:13:50.512Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"207-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"54f29827-8c24-4a84-9bc3-22f0f17b5e93",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"2eb3e38311dc5574ccf8c75593a8748c61f38e6a","lineata","","PreservedSpecimen",NA,"8C334E41-6978-45C3-9E60-B05329412F64",13.5,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"USA","Mariana Islands","",NA,"","",NA,"",NA,NA,NA,"54f29827-8c24-4a84-9bc3-22f0f17b5e93","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"Guam Island","ZZZ-085797","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"Starmer, J.",NA,"",NA,NA,NA,NA,"09/08/2014",22,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,144.8,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",1984,NA,"",NA
"198",NA,NA,"2014-09-12T12:15:25.757Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"7013-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"7165ea02-a761-49bd-9e4b-834eaae0aabf",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"8f65d00e25ee5b3aa5d869762cc93d74d3e7af8c","lineata","","PreservedSpecimen",NA,"11FBCD78-8232-4AF2-985C-CEE1315B4D75",-12.760527,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"France","Comoros Islands","",NA,"","",NA,"",NA,NA,NA,"7165ea02-a761-49bd-9e4b-834eaae0aabf","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"Mayotte Island","MAY08-St2","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"Arthur Anker, François Michonneau",NA,"",NA,NA,NA,NA,"09/08/2014",30,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,45.067972,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",2008,NA,"",NA
"203",NA,NA,"2014-09-12T12:23:29.704Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"7525-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"3847e56d-b72c-4a00-a4e1-43b8114768b8",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"2e45065f50692aab5dbc6285fdfafa8e5dd3be7b","lineata","","PreservedSpecimen",NA,"8A1A3E96-A843-41E1-A9C7-D6501A68A49F",-13.4139,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Madagascar","","",NA,"","",NA,"",NA,NA,NA,"3847e56d-b72c-4a00-a4e1-43b8114768b8","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","MGNW-23","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner",NA,"",NA,NA,NA,NA,"09/08/2014",16,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,48.3056,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",2008,NA,"",NA
"211",NA,NA,"2014-09-12T12:42:48.057Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"12453-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"4097c1d7-8504-40a1-8443-48a85caf6b01",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"64b572bb465b68d4d8437427aa1d055b4ee4357d","lineata","","PreservedSpecimen",NA,"74CB46DE-D06B-4ADB-96D5-6F732A70DDAA",-17.489864,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"French Polynesia","Society Islands","",NA,"","",NA,"",NA,NA,NA,"4097c1d7-8504-40a1-8443-48a85caf6b01","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"Moorea Island","BIZ-764","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"Gustav Paulay",NA,"",NA,NA,NA,NA,"09/08/2014",29,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-149.825484,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",2012,NA,"",NA
"226",NA,NA,"2014-09-12T16:03:37.111Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"10391-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"0ee1a887-0c4f-4651-9961-548d93219e09",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"60189c019bb6833c908624d342c5bbf1d8b9fd29","lineata","","PreservedSpecimen",NA,"8118BC75-FEB3-4C76-8711-31275153A2DD",26.406339,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Japan","Okinawa Prefecture","",NA,"","",NA,"",NA,NA,NA,"0ee1a887-0c4f-4651-9961-548d93219e09","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"Okinawa Island","GUOK10-St-051","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"Nat Evans, Francois Michonneau, Tom Schils, Amanda Devilliers, Daisuke Uyeno",NA,"",NA,NA,NA,NA,"09/08/2014",29,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,127.844547,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",2010,NA,"",NA
"247",NA,NA,"2014-09-12T16:01:09.379Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"4795-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"84a1c94c-9a54-4ea3-9694-4f3a3c06e40b",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"124a5c0fade6cd3240160047dec5f852a8c10ea2","lineata","","PreservedSpecimen",NA,"5B754FDC-96DE-4A1B-9962-5B75DBFF94EB",19.7325,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"USA","Hawaiian Islands","",NA,"","",NA,"",NA,NA,NA,"84a1c94c-9a54-4ea3-9694-4f3a3c06e40b","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"Oahu Island","BOAHU-21","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"Gustav Paulay",NA,"",NA,NA,NA,NA,"09/08/2014",17,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-155.07139,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",2004,NA,"",NA
"269",NA,NA,"2014-09-12T15:39:26.953Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"4814-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"ed2901be-765e-4f64-b3fa-4a73e124fde1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0c7d759bf1d92484926449b9e5f0a151a1c5c56a","lineata","","PreservedSpecimen",NA,"A5DBB76A-3E2B-4C78-8A33-2CE12F78542B",21.4352833333333,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"USA","Hawaiian Islands","",NA,"","",NA,"",NA,NA,NA,"ed2901be-765e-4f64-b3fa-4a73e124fde1","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"Oahu Island","GP-Loc-855","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"G. Paulay",NA,"",NA,NA,NA,NA,"09/08/2014",28,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-157.788783333333,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",2006,NA,"",NA
"277",NA,NA,"2014-09-12T14:59:02.684Z",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","Holothuriidae",NA,NA,NA,NA,"9654-Echinodermata",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,"8e056d07-d913-44c8-b9b2-a618452011ef",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"8075d75d9bc59fe45102bb211f4bd678dc84a95c","lineata","","PreservedSpecimen",NA,"2CF82701-7FD4-4C91-BA3D-9F0B65B6E1B5",NA,"","Holothuria",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Ecuador","Galapagos Islands","",NA,"","",NA,"",NA,NA,NA,"8e056d07-d913-44c8-b9b2-a618452011ef","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","Hickman-023","Ludwig",NA,NA,NA,"",NA,NA,"","Holothuroidea","","","","Holothuria lineata","",NA,"",NA,NA,NA,"Cleveland P. Hickman, Jr. & W.C. Ober",NA,"",NA,NA,NA,NA,"09/08/2014",29,"","",NA,"Invertebrate Zoology","Aspidochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLMNH","",NA,"",NA,"",1995,NA,"",NA
