"","dwc.latestPeriodOrHighestSystem","idigbio.dateModified","dwc.verbatimCoordinates","inhs.formI_males","dwc.VerbatimEventDate","idigbio.recordId","dwc.earliestEpochOrLowestSeries","dcterms.accessRights","dwc.datasetName","dwc.associatedMedia","dcterms.language","inhs.live","dwc.otherCatalogNumbers","dcterms.references","dwc.county","dwc.month","inhs.instars_Female","dwc.geodeticDatum","dwc.verbatimCoordinateSystem","dwc.basisOfRecord","dwc.coordinatePrecision","dwc.georeferencedBy","idigbio.associatedRelationship","dwc.verbatimSRS","dwc.decimalLatitude","dwc.infraspecificEpithet","dwc.locationID","idigbio.preservative","dwc.municipality","dwc.verbatimLatitude","dwc.rights","dwc.country","dwc.minimumElevationInMeters","dwc.samplingEffort","idigbio.associateDeterminedBy","dwc.informationWithheld","id","dwc.eventTime","dwc.recordedBy","dwc.lithostratigraphicTerms","dwc.verbatimLongitude","dwc.identificationQualifier","dwc.preparation","dwc.dataGeneralizations","dwc.sex","dwc.recordNumber","inhs.locationTrs","dwc.identificationRemarks","dwc.occurrenceStatus","dwc.identifiedBy","dwc.footprintWKT","dwc.identificationReferences","dwc.genus","dwc.coordinateUncertaintyInMeters","dwc.verbatimLocality","dwc.associatedSequences","dwc.eventID","idigbio.associateRelationship","dwc.stateProvince","dwc.georeferencedDate","dwc.taxonRank","idigbio.substrate","dwc.rightsHolder","inhs.juv_males","idigbio.associateCondition","dwc.associatedOccurrences","idigbio.etag","inhs.vouchered","inhs.instars_Male","idigbio.barcodeValue","idigbio.endangeredStatus","dwc.earliestEraOrLowestErathem","dwc.year","idigbio.associateAuthor","inhs.superfamily","inhs.total_females","dwc.maximumElevationInMeters","dwc.collectionCode","idigbio.associatedFamily","dcterms.modified","dwc.nameAccordingTo","inhs.location_Stream","dwc.fieldNotes","dwc.taxonRemarks","dcterms.rightsHolder","dwc.kingdom","idigbio.subgenus","dwc.scientificNameID","dwc.eventDate","dwc.earliestPeriodOrLowestSystem","dwc.taxonID","symbiota.verbatimScientificName","dwc.fieldNumber","http...symbiota.org.terms.verbatimScientificName","dwc.scientificName","dwc.verbatimTaxonRank","dwc.group","dwc.individualCount","inhs.total_Males","dwc.locationRemarks","dwc.class","dwc.locationAccordingTo","idigbio.tribe","inhs.juv_females","dwc.disposition","idigbio.recordID","dwc.startDayOfYear","dwc.nomenclaturalStatus","fcc.superfamily","dwc.countryCode","dwc.island","dwc.latestAgeOrHighestStage","dwc.reproductiveCondition","dwc.typeStatus","dwc.collectionID","dwc.lowestBiostratigraphicZone","idigbio.preparationCount","symbiotaverbatimScientificName","dwc.verbatimElevation","fcc.pickedBy","inhs.formII_females","idigbio.associateNotes","dwc.latestEraOrHighestErathem","dwc.namePublishedIn","dwc.formation","idigbio.createdBy","inhs.dead","dwc.vernacularName","dwc.datasetID","dwc.ownerInstitutionCode","inhs.relic","dwc.habitat","dwc.locality","dwc.georeferenceSources","dwc.higherClassification","dwc.dynamicProperties","dwc.nomenclaturalCode","dwc.accessRights","idigbio.uuid","inhs.location_RiverMile","dcterms.type","dwc.georeferenceVerificationStatus","idigbio.recordIds","dwc.georeferenceRemarks","idigbio.version","dwc.bed","dwc.phylum","dwc.decimalLongitude","dwc.family","dwc.earliestAgeOrLowestStage","dwc.endDayOfYear","dwc.eventRemarks","dwc.samplingProtocol","dwc.occurrenceID","dwc.relatedResourceID","dwc.occurrenceRemarks","dwc.institutionCode","dwc.namePublishedInID","dwc.catalogNumber","dwc.establishmentMeans","dwc.originalNameUsage","idigbio.determinationHistory","dwc.member","dwc.day","dwc.preparations","dwc.previousIdentifications","dwc.waterBody","inhs.formII_males","dwc.scientificNameAuthorship","dcterms.rights","idigbio.subfamily","idigbio.hostFamily","dcterms.reference","dwc.identificationVerificationStatus","row.number","dwc.specificEpithet","dwc.georeferenceProtocol","dwc.minimumDepthInMeters","dwc.institutionID","dwc.order","dwc.associatedTaxa","dwc.identificationID","dwc.dateIdentified","dwc.lifeStage","dwc.verbatimDepth","fcc.datePicked","dwc.latestEpochOrHighestSeries","dwc.associatedReferences","idigbio.associateIdentifier","dwc.verbatimEventDate","dwc.higherGeography","dwc.maximumDepthInMeters","dwc.islandGroup","idigbio.associateCommonName","inhs.location_Basin","dwc.behavior","dcterms.bibliographicCitation","inhs.juv_undetermined","dcterms.source","dwc.individualID","fcc.subfamily","dwc.subgenus","dwc.continent"
"89",NA,"2014-09-12T13:19:54.607Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",5,NA,"","","PreservedSpecimen",NA,"",NA,NA,-13.4806,"","MGNW-19",NA,NA,"",NA,"Madagascar",NA,NA,NA,NA,"befb96c8-b0f6-4540-8b82-ab90257e8b67",NA,"F. Michonneau, G. Paulay, T. Werner",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","42b1bc2442af28bd224a2ed5f8dc94d245ec78b8",NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"befb96c8-b0f6-4540-8b82-ab90257e8b67",NA,"",NA,NA,"",NA,NA,"",48.2333,"Holothuriidae",NA,NA,"","","69501A37-136F-46F3-810B-CD3DFEEA89C8",NA,NA,"FLMNH",NA,"7374-Echinodermata",NA,NA,NA,NA,14,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"227",NA,"2014-09-12T18:05:09.592Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","Guam Island",5,NA,"","","PreservedSpecimen",NA,"",NA,NA,13.5,"","Starmer-1997-5",NA,NA,"",NA,"USA",NA,NA,NA,NA,"40bf22c3-522c-4e4d-b216-9028aef1bb66",NA,"John Starmer",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Mariana Islands",NA,NA,NA,NA,NA,NA,"","3f5c6e54823c12630515a4bf64d6f699b776f083",NA,NA,NA,NA,NA,1997,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"40bf22c3-522c-4e4d-b216-9028aef1bb66",NA,"",NA,NA,"",NA,NA,"",144.8,"Holothuriidae",NA,NA,"","","FB13AA35-2849-4DD6-88A2-2BFBFD17C154",NA,NA,"FLMNH",NA,"12649-Echinodermata",NA,NA,NA,NA,NA,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"438",NA,"2014-09-12T12:22:30.021Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",10,NA,"","","PreservedSpecimen",NA,"",NA,NA,NA,"","BTAI-001",NA,NA,"",NA,"China",NA,NA,NA,NA,"1a0e8fad-6695-4c75-994f-c40593d5ebd4",NA,"Paulay, G.",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Taiwan",NA,NA,NA,NA,NA,NA,"","1e0f4eab09a4592b6051123d5c25a7d6c64783c4",NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"1a0e8fad-6695-4c75-994f-c40593d5ebd4",NA,"",NA,NA,"",NA,NA,"",NA,"Holothuriidae",NA,NA,"","","060AB13E-ECFC-4576-81D0-86B72DBBCDCB",NA,NA,"FLMNH",NA,"1569-Echinodermata",NA,NA,NA,NA,28,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"560",NA,"2014-09-12T17:26:32.123Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",3,NA,"","","PreservedSpecimen",NA,"",NA,NA,7.19333333333333,"","BPAL-101",NA,NA,"",NA,"Palau",NA,NA,NA,NA,"3493ad48-a2e0-4fc2-a838-9306dbb08442",NA,"Paulay, G.",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","570ae2078b4911cf47d9ae9867ded5e44d47dfef",NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"3493ad48-a2e0-4fc2-a838-9306dbb08442",NA,"",NA,NA,"",NA,NA,"",134.451833333333,"Holothuriidae",NA,NA,"","","18C8CD1B-4C85-432B-87C0-2008D719943E",NA,NA,"FLMNH",NA,"1591-Echinodermata",NA,NA,NA,NA,7,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"671",NA,"2014-09-12T12:25:22.399Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",10,NA,"","","PreservedSpecimen",NA,"",NA,NA,11.51025,"","DJRS-016",NA,NA,"",NA,"Djibouti",NA,NA,NA,NA,"c79984e9-a2ac-4f00-9cd5-6594a3740ba2",NA,"Gustav Paulay",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","42f7e6cc8f870b318bacd3868d9212619e96a0b2",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"c79984e9-a2ac-4f00-9cd5-6594a3740ba2",NA,"",NA,NA,"",NA,NA,"",42.67256,"Holothuriidae",NA,NA,"","","A5BDF0FA-C2D2-4079-8589-AA5C6851C0F4",NA,NA,"FLMNH",NA,"12048-Echinodermata",NA,NA,NA,NA,1,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"723",NA,"2014-09-12T11:41:42.113Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","Oahu Island",2,NA,"","","PreservedSpecimen",NA,"",NA,NA,21.4352833333333,"","GP-Loc-855",NA,NA,"",NA,"USA",NA,NA,NA,NA,"d92b5d69-76e1-4d93-b6d5-df402359e0e2",NA,"G. Paulay",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"Hawaiian Islands",NA,NA,NA,NA,NA,NA,"","9e7d04a9d0b9cdc5fcb124a5809bcbc5b18a188c",NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"d92b5d69-76e1-4d93-b6d5-df402359e0e2",NA,"",NA,NA,"",NA,NA,"",-157.788783333333,"Holothuriidae",NA,NA,"","","3315DDA3-ED9C-497F-9DC9-F569B75D87EF",NA,NA,"FLMNH",NA,"4804-Echinodermata",NA,NA,NA,NA,28,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"785",NA,"2014-09-12T17:39:49.121Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",5,NA,"","","PreservedSpecimen",NA,"",NA,NA,-13.4806,"","MGNW-19",NA,NA,"",NA,"Madagascar",NA,NA,NA,NA,"823b3a43-24cd-4dc8-9a6f-6c6ec5dbd4f8",NA,"F. Michonneau, G. Paulay, T. Werner",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","23ab65ae46bc7c247afcbb0727953da094647f2b",NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"823b3a43-24cd-4dc8-9a6f-6c6ec5dbd4f8",NA,"",NA,NA,"",NA,NA,"",48.2333,"Holothuriidae",NA,NA,"","","7B253BDF-A07C-4B9A-9DAA-1C47CFE48A6B",NA,NA,"FLMNH",NA,"7465-Echinodermata",NA,NA,NA,NA,14,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"831",NA,"2014-09-12T13:18:43.061Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",5,NA,"","","PreservedSpecimen",NA,"",NA,NA,-13.4244,"","MGNW-20",NA,NA,"",NA,"Madagascar",NA,NA,NA,NA,"6d0bdc08-f92b-4cb5-b222-b804579ee544",NA,"G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","05c6f7229b780f352db9dab663353fbdd6bf8797",NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"6d0bdc08-f92b-4cb5-b222-b804579ee544",NA,"",NA,NA,"",NA,NA,"",48.3642,"Holothuriidae",NA,NA,"","","777F6933-3F3D-4632-9588-BD1B9379EFF9",NA,NA,"FLMNH",NA,"7508-Echinodermata",NA,NA,NA,NA,15,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"859",NA,"2014-09-12T17:56:21.986Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",5,NA,"","","PreservedSpecimen",NA,"",NA,NA,-13.4244,"","MGNW-20",NA,NA,"",NA,"Madagascar",NA,NA,NA,NA,"6427236f-9a61-48e9-80d6-623a242e724c",NA,"G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","dbef41cb7f838ed03956c4e59a36fdd1e566640d",NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"6427236f-9a61-48e9-80d6-623a242e724c",NA,"",NA,NA,"",NA,NA,"",48.3642,"Holothuriidae",NA,NA,"","","50F969F8-DEA1-45E9-8760-E870AFFA9A06",NA,NA,"FLMNH",NA,"7404-Echinodermata",NA,NA,NA,NA,15,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"1270",NA,"2014-09-12T17:15:34.215Z","",NA,NA,NA,NA,NA,NA,"","",NA,"","","",5,NA,"","","PreservedSpecimen",NA,"",NA,NA,-13.4244,"","MGNW-20",NA,NA,"",NA,"Madagascar",NA,NA,NA,NA,"6cc7c83c-8de6-42b4-badd-609dbf72775f",NA,"G. Bakary, H. Bruggemann, F. Michonneau, G. Paulay, T. Werner",NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"Holothuria",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","6fc0c3cc387a6e8082c1cd14753ab898558bd561",NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,"Invertebrate Zoology",NA,"09/08/2014",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,"Holothuria olivacea",NA,NA,NA,NA,"","Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","","","","","",NA,"6cc7c83c-8de6-42b4-badd-609dbf72775f",NA,"",NA,NA,"",NA,NA,"",48.3642,"Holothuriidae",NA,NA,"","","F07A6403-6751-4321-81E4-7ABF5D506CA9",NA,NA,"FLMNH",NA,"7499-Echinodermata",NA,NA,NA,NA,15,"",NA,"",NA,"Ludwig",NA,NA,NA,NA,"",NA,"olivacea","",NA,"","Aspidochirotida",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
