"","dwc.earliestEpochOrLowestSeries","dwc.associatedMedia","dwc.decimalLongitude","dwc.relatedResourceID","dwc.locality","dwc.class","dwc.day","inhs.instars_Male","symbiotaverbatimScientificName","dwc.fieldNumber","dwc.identificationVerificationStatus","dwc.group","fcc.subfamily","dwc.georeferenceVerificationStatus","dwc.family","idigbio.version","idigbio.recordID","dwc.islandGroup","dwc.datasetName","dwc.verbatimCoordinates","dwc.coordinatePrecision","dwc.vernacularName","dwc.member","dwc.genus","dcterms.accessRights","inhs.live","dwc.recordedBy","idigbio.endangeredStatus","dwc.associatedOccurrences","dwc.occurrenceRemarks","dwc.disposition","dwc.sex","dwc.latestAgeOrHighestStage","dwc.identificationRemarks","dwc.behavior","inhs.formII_females","dwc.individualID","dwc.earliestEraOrLowestErathem","dwc.informationWithheld","dwc.nomenclaturalCode","dwc.island","dwc.startDayOfYear","dwc.VerbatimEventDate","fcc.pickedBy","dwc.identificationReferences","inhs.location_RiverMile","inhs.juv_undetermined","dwc.dateIdentified","dwc.establishmentMeans","dwc.nameAccordingTo","dwc.basisOfRecord","dwc.institutionID","dwc.collectionID","dwc.lowestBiostratigraphicZone","dwc.habitat","dwc.lithostratigraphicTerms","inhs.total_Males","dcterms.modified","dwc.waterBody","idigbio.subgenus","inhs.formII_males","dwc.datasetID","dwc.latestEpochOrHighestSeries","dwc.specificEpithet","dwc.rightsHolder","dwc.latestPeriodOrHighestSystem","dwc.eventDate","dwc.verbatimSRS","dwc.dataGeneralizations","idigbio.associateRelationship","dwc.endDayOfYear","dwc.georeferencedDate","row.number","idigbio.dateModified","inhs.location_Basin","dwc.locationAccordingTo","inhs.juv_males","dwc.scientificName","idigbio.hostFamily","dwc.samplingProtocol","dwc.geodeticDatum","dwc.municipality","inhs.instars_Female","dwc.earliestPeriodOrLowestSystem","dwc.taxonRemarks","dwc.nomenclaturalStatus","dwc.individualCount","dwc.order","dwc.scientificNameAuthorship","dwc.identifiedBy","dwc.institutionCode","dwc.lifeStage","dwc.decimalLatitude","dwc.otherCatalogNumbers","dwc.samplingEffort","idigbio.preservative","idigbio.preparationCount","dwc.associatedSequences","dwc.phylum","dwc.month","dwc.georeferencedBy","idigbio.associateCommonName","dwc.ownerInstitutionCode","dwc.subgenus","dcterms.reference","dwc.reproductiveCondition","fcc.superfamily","idigbio.associateIdentifier","inhs.formI_males","dwc.formation","dwc.typeStatus","dwc.year","dwc.higherClassification","idigbio.substrate","fcc.datePicked","idigbio.barcodeValue","symbiota.verbatimScientificName","dwc.eventRemarks","idigbio.associatedRelationship","dwc.eventTime","dwc.country","idigbio.associateNotes","dwc.occurrenceID","idigbio.tribe","dwc.verbatimLocality","dwc.verbatimLatitude","dwc.identificationQualifier","dwc.verbatimCoordinateSystem","dcterms.rightsHolder","dwc.recordNumber","dwc.associatedReferences","dwc.eventID","inhs.dead","dwc.continent","http...symbiota.org.terms.verbatimScientificName","dwc.georeferenceSources","inhs.total_females","dwc.earliestAgeOrLowestStage","id","dwc.footprintWKT","inhs.superfamily","dwc.countryCode","dwc.originalNameUsage","inhs.vouchered","dcterms.rights","dcterms.references","dwc.bed","dwc.minimumDepthInMeters","dwc.previousIdentifications","dwc.kingdom","idigbio.associateDeterminedBy","inhs.juv_females","dwc.higherGeography","dwc.scientificNameID","dwc.latestEraOrHighestErathem","dwc.coordinateUncertaintyInMeters","dwc.georeferenceRemarks","dwc.identificationID","dwc.verbatimTaxonRank","idigbio.associatedFamily","dcterms.bibliographicCitation","idigbio.recordId","dwc.county","dwc.occurrenceStatus","dwc.preparation","dcterms.language","dwc.locationRemarks","dcterms.source","idigbio.etag","dwc.verbatimLongitude","dwc.accessRights","dwc.collectionCode","idigbio.recordIds","dwc.maximumElevationInMeters","dwc.locationID","idigbio.uuid","idigbio.associateCondition","dwc.namePublishedIn","inhs.locationTrs","dwc.rights","dwc.georeferenceProtocol","dwc.namePublishedInID","dwc.associatedTaxa","idigbio.subfamily","dwc.minimumElevationInMeters","dwc.infraspecificEpithet","dwc.dynamicProperties","dwc.verbatimElevation","dwc.preparations","idigbio.associateAuthor","dcterms.type","dwc.taxonID","dwc.catalogNumber","idigbio.determinationHistory","dwc.verbatimEventDate","dwc.verbatimDepth","dwc.stateProvince","inhs.location_Stream","dwc.maximumDepthInMeters","idigbio.createdBy","dwc.taxonRank","inhs.relic","dwc.fieldNotes"
"111",NA,"",151.535942,NA,"","Holothuroidea",10,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Sun Kim",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T13:55:43.458Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,7.271582,"",NA,NA,NA,NA,"",7,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2011,"",NA,NA,NA,NA,"",NA,NA,"Federated States of Micronesia",NA,"92C3074D-D6AE-4302-BC70-C5BDA1B396E4",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"56a86d35-e943-4181-9b95-09e4fd349754",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Chuuk Island",NA,NA,"","",NA,"7a7c6ba3086ebffdfe3c83709ab3d68320499d8b","",NA,"Invertebrate Zoology",NA,NA,"Kim-CHK-St-08","56a86d35-e943-4181-9b95-09e4fd349754",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"11384-Echinodermata",NA,"","","Caroline Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"181",NA,"",138.13593,NA,"","Holothuroidea",5,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Kris Netchy & Alex Kerr",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T10:26:25.002Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,9.51686,"",NA,NA,NA,NA,"",8,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2007,"",NA,NA,NA,NA,"",NA,NA,"Federated States of Micronesia",NA,"8B1C9FD5-1F1C-4419-938C-29522AAD42F8",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"60d7e79f-8af3-419e-9480-f30c7b87c0be",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Yap State",NA,NA,"","",NA,"e0657ae8e0af4fcb146c5d49ffce5e1a4ea64263","",NA,"Invertebrate Zoology",NA,NA,"AK-Yap-13","60d7e79f-8af3-419e-9480-f30c7b87c0be",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"5851-Echinodermata",NA,"","","Caroline Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"234",NA,"",178.454,NA,"","Holothuroidea",6,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Kirkendale, L. & Bonito, V.",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T16:05:29.039Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,-18.1508916666667,"",NA,NA,NA,NA,"",10,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2001,"",NA,NA,NA,NA,"",NA,NA,"Fiji",NA,"DF2A1AD0-6747-400D-8187-EB5997D027FC",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"a0144937-21ab-430f-94cb-d8f2c10ecafe",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Viti Levu Island",NA,NA,"","",NA,"7e83c2616d0b7d09e718dd613b6f9b75a59099dc","",NA,"Invertebrate Zoology",NA,NA,"LAK-005H","a0144937-21ab-430f-94cb-d8f2c10ecafe",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"363-Echinodermata",NA,"","","Fiji Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"452",NA,"",123.17229,NA,"","Holothuroidea",24,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Kris Netchy & Alex Kerr",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T11:50:40.268Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,9.60988,"",NA,NA,NA,NA,"",5,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2006,"",NA,NA,NA,NA,"",NA,NA,"Philippines",NA,"0F3A9FE0-B30A-4685-8159-4DCD42AC6055",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"c5ba5539-d6d9-4d56-beed-a7593efe60c0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"bceea12aba63c91b50e8f51936bddb4f4710d04b","",NA,"Invertebrate Zoology",NA,NA,"SEMP-07","c5ba5539-d6d9-4d56-beed-a7593efe60c0",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"5628-Echinodermata",NA,"","","Negros Oriental",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"545",NA,"",118.772,NA,"","Holothuroidea",16,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T16:01:09.357Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,9.76783333333333,"",NA,NA,NA,NA,"",4,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",1995,"",NA,NA,NA,NA,"",NA,NA,"Philippines",NA,"FEEBE43F-E09E-4FE2-9F2C-92F3ABBF4409",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"97978d9e-980f-425c-be48-c4e319e62f69",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"db862c30c3d70f5f4e2bad7ac0c890264336a5f9","",NA,"Invertebrate Zoology",NA,NA,"0CDN-BM Beach","97978d9e-980f-425c-be48-c4e319e62f69",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"10666-Echinodermata",NA,"","","Palawan",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"770",NA,"",NA,NA,"","Holothuroidea",1,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T16:58:46.848Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,NA,"",NA,NA,NA,NA,"",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",1988,"",NA,NA,NA,NA,"",NA,NA,"Fiji",NA,"4C0D5280-A8C9-457B-B761-BB99B9F8DE15",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"455e7503-023e-4a43-b78b-70314c863901",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Viti Levu Island",NA,NA,"","",NA,"200a75ae71d44bf05c59519ccee8f07cd5cbf45b","",NA,"Invertebrate Zoology",NA,NA,"BFIJI-369C","455e7503-023e-4a43-b78b-70314c863901",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"1761-Echinodermata",NA,"","","Fiji Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"849",NA,"",NA,NA,"","Holothuroidea",3,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Ron Clouse, Daniel Janies",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T14:49:13.264Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,NA,"",NA,NA,NA,NA,"",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2002,"",NA,NA,NA,NA,"",NA,NA,"Federated States of Micronesia",NA,"83277284-5D5E-49C3-B290-F85073226E61",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"6e204f50-cf4e-4f67-9559-36fe303aff73",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pohnpei Island",NA,NA,"","",NA,"1d47de5b0a0adb58c73502c6407bb1abb521612e","",NA,"Invertebrate Zoology",NA,NA,"Clouse-2002-Temwen","6e204f50-cf4e-4f67-9559-36fe303aff73",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"13342-Echinodermata",NA,"","","Caroline Islands",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"962",NA,"",48.29044,NA,"","Holothuroidea",22,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Gustav Paulay & Tim Warner",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T12:05:11.299Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,-13.41616,"",NA,NA,NA,NA,"",5,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2008,"",NA,NA,NA,NA,"",NA,NA,"Madagascar",NA,"F93CF9EA-202E-4239-A3F9-320764C4D455",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"4cdde70f-71fd-45c2-88e0-f583b78e4758",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"dd7c8f50ff085aa333c3ac9cc3d795b3dc67d51a","",NA,"Invertebrate Zoology",NA,NA,"MGNW-44","4cdde70f-71fd-45c2-88e0-f583b78e4758",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"7841-Echinodermata",NA,"","","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"970",NA,"",123.17229,NA,"","Holothuroidea",24,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Kris Netchy & Alex Kerr",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T11:03:48.323Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,9.60988,"",NA,NA,NA,NA,"",5,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2006,"",NA,NA,NA,NA,"",NA,NA,"Philippines",NA,"54414DE0-FCCF-4E94-B8FC-672BEC8FE3F8",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"a4a5b9f0-a25a-4e07-a540-538d35d260b1",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"a82d93ddfbe618ad50b171ba8b5e311a3ef280e1","",NA,"Invertebrate Zoology",NA,NA,"SEMP-07","a4a5b9f0-a25a-4e07-a540-538d35d260b1",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"5695-Echinodermata",NA,"","","Negros Oriental",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
"983",NA,"",41.8077,NA,"","Holothuroidea",8,NA,NA,"","",NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria",NA,NA,"Gustav Paulay, Patrick Norby, Terry Gosliner, Noah DesRossiers",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PreservedSpecimen","",NA,NA,"",NA,NA,"09/08/2014","",NA,NA,NA,NA,"scabra",NA,NA,"",NA,NA,NA,NA,NA,NA,"2014-09-12T10:22:10.238Z",NA,NA,NA,"Holothuria scabra",NA,"","",NA,NA,NA,NA,NA,NA,"Aspidochirotida","Jäger","","FLMNH",NA,16.95043,"",NA,NA,NA,NA,"",3,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",2013,"",NA,NA,NA,NA,"",NA,NA,"Saudi Arabia",NA,"9AA0D1B2-BD98-4929-9E75-27A978F5259D",NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA,"7ff3a118-a7f7-4a15-9720-4341606979bf",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"c076385765f204f7953a7e890fb447bd0a1f9008","",NA,"Invertebrate Zoology",NA,NA,"SAFA-017","7ff3a118-a7f7-4a15-9720-4341606979bf",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,"",NA,"13503-Echinodermata",NA,"","","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA
