"","dwc.accessRights","dcterms.rights","dwc.recordedBy","dwc.latestPeriodOrHighestSystem","dwc.scientificNameAuthorship","dwc.ownerInstitutionCode","dwc.basisOfRecord","idigbio.createdBy","idigbio.associateAuthor","dwc.individualID","dwc.day","dwc.verbatimCoordinateSystem","idigbio.hostFamily","dwc.stateProvince","dwc.associatedReferences","dwc.subgenus","dwc.latestEpochOrHighestSeries","dwc.taxonID","dwc.identificationReferences","dwc.lifeStage","dwc.continent","dwc.municipality","id","idigbio.tribe","dwc.footprintWKT","symbiotaverbatimScientificName","dwc.verbatimTaxonRank","dwc.country","dwc.rights","dwc.eventDate","dwc.countryCode","dcterms.reference","inhs.formI_males","dwc.higherClassification","dwc.minimumElevationInMeters","dwc.phylum","dwc.relatedResourceID","dwc.occurrenceRemarks","dwc.otherCatalogNumbers","dwc.institutionCode","dwc.group","inhs.instars_Female","dwc.maximumElevationInMeters","idigbio.subgenus","dwc.originalNameUsage","dwc.month","inhs.location_RiverMile","dwc.collectionID","dwc.associatedTaxa","idigbio.substrate","dwc.occurrenceStatus","inhs.formII_females","dcterms.references","dwc.occurrenceID","fcc.subfamily","idigbio.subfamily","dwc.locality","dwc.coordinateUncertaintyInMeters","dwc.scientificName","inhs.relic","dwc.associatedMedia","dwc.previousIdentifications","dwc.samplingProtocol","dwc.decimalLongitude","dwc.georeferencedDate","dwc.verbatimElevation","inhs.live","inhs.location_Basin","dwc.establishmentMeans","inhs.location_Stream","idigbio.endangeredStatus","dwc.geodeticDatum","dwc.earliestAgeOrLowestStage","idigbio.associateRelationship","dwc.verbatimEventDate","dwc.year","dwc.habitat","idigbio.recordID","idigbio.uuid","idigbio.etag","dwc.verbatimLongitude","dwc.earliestPeriodOrLowestSystem","dcterms.modified","dwc.vernacularName","dcterms.source","dwc.samplingEffort","idigbio.associatedRelationship","dwc.namePublishedIn","dwc.nomenclaturalCode","dwc.georeferenceRemarks","dwc.latestEraOrHighestErathem","symbiota.verbatimScientificName","dwc.startDayOfYear","dwc.sex","idigbio.associateDeterminedBy","dwc.reproductiveCondition","dwc.minimumDepthInMeters","dwc.typeStatus","idigbio.associateCondition","dwc.family","dwc.infraspecificEpithet","dcterms.type","dwc.kingdom","dwc.associatedSequences","inhs.total_Males","dwc.fieldNumber","dwc.taxonRank","dwc.taxonRemarks","dcterms.bibliographicCitation","fcc.datePicked","dwc.order","idigbio.determinationHistory","dwc.eventTime","dwc.scientificNameID","dcterms.accessRights","dwc.identificationQualifier","dwc.associatedOccurrences","inhs.juv_undetermined","dwc.preparations","inhs.juv_males","dwc.lowestBiostratigraphicZone","dwc.island","dwc.identifiedBy","dwc.waterBody","dwc.institutionID","dwc.nameAccordingTo","dwc.bed","idigbio.preservative","dwc.specificEpithet","dwc.VerbatimEventDate","dwc.nomenclaturalStatus","dwc.formation","inhs.locationTrs","dwc.recordNumber","dwc.verbatimDepth","dwc.datasetID","fcc.superfamily","dwc.latestAgeOrHighestStage","dwc.class","dwc.verbatimLatitude","inhs.superfamily","dwc.earliestEraOrLowestErathem","dwc.disposition","dwc.namePublishedInID","dwc.member","idigbio.associatedFamily","http...symbiota.org.terms.verbatimScientificName","dwc.dateIdentified","dwc.locationAccordingTo","dwc.georeferenceSources","idigbio.associateIdentifier","idigbio.preparationCount","dwc.preparation","inhs.juv_females","idigbio.recordIds","dwc.coordinatePrecision","row.number","inhs.instars_Male","idigbio.associateNotes","dwc.georeferenceProtocol","dwc.datasetName","dcterms.rightsHolder","dwc.dataGeneralizations","dwc.endDayOfYear","dwc.higherGeography","idigbio.associateCommonName","dwc.county","dwc.verbatimSRS","dwc.collectionCode","dwc.georeferencedBy","dwc.dynamicProperties","idigbio.version","dcterms.language","dwc.decimalLatitude","dwc.locationID","dwc.catalogNumber","dwc.individualCount","dwc.eventID","dwc.locationRemarks","dwc.identificationRemarks","idigbio.dateModified","dwc.georeferenceVerificationStatus","dwc.verbatimLocality","dwc.verbatimCoordinates","dwc.identificationVerificationStatus","dwc.islandGroup","dwc.earliestEpochOrLowestSeries","dwc.informationWithheld","dwc.identificationID","dwc.lithostratigraphicTerms","inhs.dead","inhs.formII_males","inhs.total_females","idigbio.recordId","idigbio.barcodeValue","fcc.pickedBy","dwc.behavior","dwc.maximumDepthInMeters","dwc.genus","dwc.eventRemarks","dwc.rightsHolder","inhs.vouchered","dwc.fieldNotes"
"218",NA,NA,"Machel Malay",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,27,"",NA,"Line Islands","",NA,NA,NA,NA,NA,"",NA,"cb7f3675-2335-4b9a-8cb8-d0950c62ae7e",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,"","1A8CE58D-1995-43AF-913F-585DDBD498F3",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-162.3976,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2005,"",NA,"cb7f3675-2335-4b9a-8cb8-d0950c62ae7e","05feb0e77cbee49092f086f5f32e83c2ceaf101a","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Kingman Reef",NA,"Invertebrate Zoology","","",NA,"",6.4453,"KINB5","5936-Echinodermata",NA,NA,"","","2014-09-12T17:59:25.277Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"243",NA,NA,"Paulay, G., Malay, M., Bonito, V.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,16,"",NA,"Mariana Islands","",NA,NA,NA,NA,NA,"",NA,"6c7b880b-1eef-47e2-9832-dbbd4d0a4bc5",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"","39370AA5-9F6C-4909-8DC5-1FC7E1F86FCA",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",144.8355,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2003,"",NA,"6c7b880b-1eef-47e2-9832-dbbd4d0a4bc5","80912b1d56dc0c1f84d407bc17c6e9275e6acf4b","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Guam Island",NA,"Invertebrate Zoology","","",NA,"",13.59883333,"GP-Loc-775","1690-Echinodermata",NA,NA,"","","2014-09-12T15:07:24.576Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"249",NA,NA,"",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,"444b20ca-3cde-4447-bd77-ce1fc3054b73",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","E1AC5A56-E34D-4273-BB2A-CCC1E0DF7C62",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"444b20ca-3cde-4447-bd77-ce1fc3054b73","cd49009b2c77d0dac298caefa27f04ae11942dd8","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",NA,"Starmer-Unknown","12520-Echinodermata",NA,NA,"","","2014-09-12T16:37:10.580Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"267",NA,NA,"Starmer, J.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,4,"",NA,"Pitcairn Islands","",NA,NA,NA,NA,NA,"",NA,"a6e4fbc9-a0d0-4fad-adaa-d3e1ebe327b8",NA,NA,NA,NA,"Pitcairn Islands",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,"","13B20575-B2FD-4159-A881-CC67E9AEAD53",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",1997,"",NA,"a6e4fbc9-a0d0-4fad-adaa-d3e1ebe327b8","acd584febc49e51bd6beadbf0c0bfd1bc29a1ccd","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Oeno Atoll",NA,"Invertebrate Zoology","","",NA,"",NA,"JAS-OEN-043c","1345-Echinodermata",NA,NA,"","","2014-09-12T17:40:15.799Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"700",NA,NA,"Pittman, C.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,6,"",NA,"Hawaiian Islands","",NA,NA,NA,NA,NA,"",NA,"23739221-1165-4b7d-853c-212db3f57bac",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"","E7832C0F-8C04-4BE1-B746-B42273CB21B0",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2002,"",NA,"23739221-1165-4b7d-853c-212db3f57bac","07d8e74afdde557a45359c6a94aee5c093104e0b","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Maui Island",NA,"Invertebrate Zoology","","",NA,"",NA,"ZZZ-087861","1282-Echinodermata",NA,NA,"","","2014-09-12T10:13:12.342Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"750",NA,NA,"John Starmer",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,28,"",NA,"Yap State","",NA,NA,NA,NA,NA,"",NA,"f70b4ede-ce9f-46eb-87c1-72fa7f6fc705",NA,NA,NA,NA,"Micronesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"","EF4D4E1B-47A0-4E66-9AEF-E5CCAD4D3654",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",139.6707,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2007,"",NA,"f70b4ede-ce9f-46eb-87c1-72fa7f6fc705","b14da61e889d5a97bd4fb00be924b25220dedb2f","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",9.8424,"Starmer-ULI-008","12519-Echinodermata",NA,NA,"","","2014-09-12T12:55:44.626Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"764",NA,NA,"Paulay, G.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,29,"",NA,"Niue Island","",NA,NA,NA,NA,NA,"",NA,"dca03940-e5d0-481b-9888-045be7270b04",NA,NA,NA,NA,"Niue Island",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"","822A293E-6ABE-41F0-BCDD-C0E5FB1ACD8A",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-169.9,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",1986,"",NA,"dca03940-e5d0-481b-9888-045be7270b04","d21f7e72c07b42e59223849fb9d9544da2ff42e6","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Niue Island",NA,"Invertebrate Zoology","","",NA,"",-19.1,"HNIUE-025","1370-Echinodermata",NA,NA,"","","2014-09-12T16:16:34.572Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"787",NA,NA,"Starmer, J.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"Caroline Islands","",NA,NA,NA,NA,NA,"",NA,"23f3d165-b515-45c6-8089-355806654ccd",NA,NA,NA,NA,"Federated States of Micronesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","65E85BDD-F9C2-484F-9643-88A7502CD5B4",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",158.2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"23f3d165-b515-45c6-8089-355806654ccd","ac3664bd36e3f17521da3fe0d3904eb68dfb81f5","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Pohnpei Island",NA,"Invertebrate Zoology","","",NA,"",7,"JAS-PON-088","3296-Echinodermata",NA,NA,"","","2014-09-12T17:00:45.530Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"844",NA,NA,"Holthuis, B.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,9,"",NA,"Niue Island","",NA,NA,NA,NA,NA,"",NA,"1ffa6f96-016c-4cf5-8e81-4d7e3c98842b",NA,NA,NA,NA,"Niue Island",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,"","39E82BE3-AF2B-413B-8F95-A75CECA46961",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-169.9,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",1986,"",NA,"1ffa6f96-016c-4cf5-8e81-4d7e3c98842b","669567815abc5bd72221dede9ff820354a225835","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Niue Island",NA,"Invertebrate Zoology","","",NA,"",-19.1,"HNIUE-082","1359-Echinodermata",NA,NA,"","","2014-09-12T14:32:11.467Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"990",NA,NA,"",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,29,"",NA,"Mariana Islands","",NA,NA,NA,NA,NA,"",NA,"e4c08026-aecc-47d3-882e-ed16a56cd378",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"","78125FC2-EE1E-4FD8-9D93-F8927DC8A383",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",144.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2003,"",NA,"e4c08026-aecc-47d3-882e-ed16a56cd378","95d1ded025d52671cb70c00dda44cf978f064101","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Guam Island",NA,"Invertebrate Zoology","","",NA,"",13.5,"GP-Loc-754","4776-Echinodermata",NA,NA,"","","2014-09-12T11:32:16.778Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
