"","dwc.kingdom","idigbio.createdBy","dwc.identifiedBy","dwc.eventDate","dwc.establishmentMeans","fcc.subfamily","dwc.startDayOfYear","idigbio.dateModified","dwc.lowestBiostratigraphicZone","dwc.higherGeography","symbiota.verbatimScientificName","dwc.verbatimCoordinates","inhs.juv_undetermined","dwc.specificEpithet","dwc.locationRemarks","dwc.higherClassification","dwc.georeferenceVerificationStatus","dwc.catalogNumber","dwc.dynamicProperties","dwc.eventTime","dwc.endDayOfYear","dwc.recordNumber","dwc.datasetName","idigbio.associateCondition","fcc.datePicked","dcterms.modified","idigbio.barcodeValue","idigbio.associateDeterminedBy","dwc.vernacularName","dwc.stateProvince","dwc.institutionCode","dwc.associatedMedia","dwc.accessRights","idigbio.preservative","dcterms.language","dwc.municipality","dwc.day","idigbio.determinationHistory","idigbio.associateRelationship","dwc.associatedReferences","dwc.samplingProtocol","dwc.georeferenceProtocol","dwc.infraspecificEpithet","dwc.collectionID","dwc.identificationID","dwc.county","dwc.islandGroup","dwc.coordinateUncertaintyInMeters","dwc.nomenclaturalStatus","dwc.family","idigbio.hostFamily","dcterms.type","dwc.decimalLatitude","idigbio.associateCommonName","idigbio.associatedFamily","dcterms.source","dwc.verbatimCoordinateSystem","idigbio.associateNotes","dwc.member","http...symbiota.org.terms.verbatimScientificName","idigbio.subfamily","dwc.namePublishedIn","inhs.dead","dwc.otherCatalogNumbers","dwc.nomenclaturalCode","dwc.maximumElevationInMeters","inhs.formII_males","inhs.formII_females","dwc.reproductiveCondition","dwc.minimumDepthInMeters","idigbio.associateAuthor","dwc.scientificName","dwc.preparation","inhs.juv_females","dwc.verbatimTaxonRank","dwc.verbatimElevation","dwc.locality","dwc.verbatimLongitude","idigbio.associateIdentifier","dwc.verbatimLatitude","dwc.earliestAgeOrLowestStage","dwc.island","dwc.order","dwc.georeferenceSources","dwc.lithostratigraphicTerms","dwc.occurrenceID","idigbio.substrate","dwc.originalNameUsage","inhs.total_Males","dwc.sex","dwc.samplingEffort","dwc.geodeticDatum","dcterms.references","dwc.georeferenceRemarks","dcterms.rightsHolder","dwc.taxonID","dwc.individualCount","dcterms.bibliographicCitation","dwc.latestAgeOrHighestStage","dwc.latestEraOrHighestErathem","dwc.occurrenceRemarks","dwc.verbatimLocality","dwc.identificationQualifier","dwc.locationID","dwc.earliestPeriodOrLowestSystem","dwc.phylum","dwc.minimumElevationInMeters","fcc.superfamily","inhs.locationTrs","id","dwc.scientificNameID","inhs.live","inhs.total_females","dwc.identificationVerificationStatus","dwc.recordedBy","dwc.informationWithheld","dwc.dataGeneralizations","dwc.coordinatePrecision","dwc.namePublishedInID","dwc.verbatimDepth","inhs.instars_Female","dwc.country","idigbio.recordID","dwc.taxonRemarks","dwc.footprintWKT","dwc.decimalLongitude","idigbio.associatedRelationship","idigbio.recordId","dwc.VerbatimEventDate","idigbio.subgenus","dwc.relatedResourceID","dwc.latestEpochOrHighestSeries","dwc.typeStatus","dwc.individualID","dwc.lifeStage","dwc.habitat","dwc.fieldNotes","dwc.locationAccordingTo","dwc.formation","dwc.month","dwc.dateIdentified","dwc.eventID","fcc.pickedBy","dcterms.reference","dwc.earliestEpochOrLowestSeries","dwc.countryCode","dwc.previousIdentifications","dwc.georeferencedDate","dwc.datasetID","dwc.earliestEraOrLowestErathem","idigbio.uuid","dwc.occurrenceStatus","row.number","idigbio.etag","dcterms.accessRights","dwc.eventRemarks","dwc.preparations","idigbio.preparationCount","dwc.associatedOccurrences","dwc.ownerInstitutionCode","idigbio.endangeredStatus","dwc.bed","dwc.nameAccordingTo","dwc.disposition","inhs.vouchered","dwc.collectionCode","dwc.waterBody","dwc.verbatimEventDate","dwc.institutionID","dwc.taxonRank","dwc.fieldNumber","inhs.location_Stream","dwc.georeferencedBy","dwc.year","dwc.verbatimSRS","dwc.basisOfRecord","idigbio.version","dwc.subgenus","symbiotaverbatimScientificName","dwc.associatedTaxa","inhs.location_RiverMile","dwc.maximumDepthInMeters","inhs.instars_Male","dwc.associatedSequences","inhs.formI_males","dwc.identificationRemarks","idigbio.recordIds","dwc.scientificNameAuthorship","dcterms.rights","inhs.relic","inhs.superfamily","dwc.group","inhs.location_Basin","dwc.continent","dwc.genus","dwc.rights","idigbio.tribe","dwc.behavior","inhs.juv_males","dwc.identificationReferences","dwc.class","dwc.latestPeriodOrHighestSystem","dwc.rightsHolder"
"24","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","[no agent data]","1939-04-30",NA,NA,0,"2014-05-28T20:11:31.318Z",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-2022","",NA,NA,"",NA,NA,NA,"2014-05-19 14:02:26.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2022",NA,NA,"en",NA,NA,NA,NA,"","","unknown","",NA,NA,"",NA,0,NA,"Holothuriidae",NA,"PhysicalObject",22.775,NA,NA,NA,"deg. min. sec.",NA,NA,NA,NA,NA,NA,"station number=3419","ICZN",NA,NA,NA,NA,NA,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"Greater Antilles, Cuba, Camaguey Province, Punta Alegre","79d 0m 0s W",NA,"22d 46m 30s N",NA,NA,"Aspidochirotida","unknown",NA,"MCZ:IZ:HOL-2022",NA,NA,NA,"",NA,"unknown","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2022","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"04a0d8d5-a22f-4e81-9147-b83b006944cc",NA,NA,NA,"unknown","Harvard-Havana Expedition",NA,NA,0,NA,"",NA,"",NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"04a0d8d5-a22f-4e81-9147-b83b006944cc",NA,NA,"74697629f8008f8fc0ed15959eb4ed209e4bf714",NA,"","whole animal (70% ethanol)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","April 30, 1939","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"[no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,329.184,NA,NA,NA,"",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"52","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","Elisabeth Deichmann","1966-07-17",NA,NA,0,"2014-07-22T07:55:59.337Z",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"31736","",NA,NA,"",NA,NA,NA,"2014-05-19 15:02:26.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:31736",NA,NA,"en",NA,NA,NA,NA,"","","unknown","",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,"PhysicalObject",9.0216666667,NA,NA,NA,"degrees dec. minutes",NA,NA,NA,NA,NA,NA,"station number=399","ICZN",NA,NA,NA,NA,119,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"Colombia","76d 40.2m W",NA,"9d 1.3m N",NA,NA,"Aspidochirotida","unknown",NA,"MCZ:IZ:31736",NA,NA,NA,"",NA,"unknown","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:31736","9° 01.3","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"226abe51-ffa8-4795-a749-a74e0f0451a9",NA,NA,NA,"verified by collector","Richard H. Chesher, RV John E Pillsbury, Rosenstiel School of Marine and Atmospheric Science, University of Miami",NA,NA,NA,NA,"",NA,"",NA,NA,NA,-76.67,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"226abe51-ffa8-4795-a749-a74e0f0451a9",NA,NA,"7934d2eff62ba05795a77a427a436385e49087dc",NA,"","whole animal (70% ethanol)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","July 17, 1966","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"Richard H. Chesher",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,179,NA,NA,NA,"",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"312","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","[no agent data]","1966-07-12",NA,NA,0,"2014-06-18T07:00:50.973Z",NA,"Atlantic Ocean, Atlantic, Western Central, Caribbean Sea",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-4095","",NA,NA,"",NA,NA,NA,"2014-05-21 15:07:19.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4095",NA,NA,"en",NA,NA,NA,NA,"","","unknown","",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,"PhysicalObject",9.1416666667,NA,NA,NA,"degrees dec. minutes",NA,NA,NA,NA,NA,NA,"station number=P-435","ICZN",NA,NA,NA,NA,NA,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"off Panama","80d 20.9m W",NA,"9d 8.5m N",NA,NA,"Aspidochirotida","unknown",NA,"MCZ:IZ:HOL-4095",NA,NA,NA,"",NA,"unknown","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4095","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"f0d6f083-9644-4f6c-82f8-4227c8bdd45c",NA,NA,NA,"unknown","RV John E Pillsbury",NA,NA,NA,NA,"",NA,"",NA,NA,NA,-80.3483333333,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"f0d6f083-9644-4f6c-82f8-4227c8bdd45c",NA,NA,"3af27de193a81a8ef79a31677b0494c9a9a5e290",NA,"","whole animal (70% ethanol)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","1966-07-12","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"[no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"366","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","[no agent data]","1800-01-01/1970-01-01",NA,NA,0,"2014-07-12T21:47:32.745Z",NA,"[no higher geography data], null",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-4109","",NA,NA,"",NA,NA,NA,"2014-06-10 16:59:13.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4109",NA,NA,"en",NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,"PhysicalObject",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"station number=375","ICZN",NA,NA,NA,NA,NA,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"[no specific locality]","",NA,"",NA,NA,"Aspidochirotida","",NA,"MCZ:IZ:HOL-4109",NA,NA,NA,"",NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4109","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"6e04e073-fb20-4fe0-8b6c-5d5c60ea6f37",NA,NA,NA,"","Richard H. Chesher, Rosenstiel School of Marine and Atmospheric Science, University of Miami, RV John E Pillsbury",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6e04e073-fb20-4fe0-8b6c-5d5c60ea6f37",NA,NA,"71c122d1318f73df37ad84873b6b332e71fa7672",NA,"","whole animal (70% ethanol)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","[date unknown]","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Ludwig",NA,NA,NA,NA,NA,"[no higher geography data]","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"587","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","[no agent data], [no agent data]","1966-07-13",NA,NA,0,"2014-01-10T17:45:28.415Z",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-4098","",NA,NA,"",NA,NA,NA,"2012-11-26 11:19:02.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4098",NA,NA,"en",NA,NA,NA,NA,"","","unknown","",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,"PhysicalObject",9.6316666667,NA,NA,NA,"deg. min. sec.",NA,NA,NA,NA,NA,NA,"station number=370","ICZN",NA,NA,NA,NA,104,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"off Colombia; northwest off Tierra del Fuego","75d 50.4m 0s W",NA,"9d 37.9m 0s N",NA,NA,"Aspidochirotida","unknown",NA,"MCZ:IZ:HOL-4098",NA,NA,NA,"",NA,"unknown","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4098","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"e953e30a-5339-4b5e-8a9b-c98173cc07ef",NA,NA,NA,"unknown","RV John E Pillsbury 6607",NA,NA,NA,NA,"",NA,"",NA,NA,NA,-75.84,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"e953e30a-5339-4b5e-8a9b-c98173cc07ef",NA,NA,"ce78629ef89dd0f21faf1f2a75e70de430689d2b",NA,"","whole animal (dry)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","1966-07-13","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"[no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,115,NA,NA,NA,"Found dry on shelf 2007 by GCB",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"592","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","[no agent data]","1939-04-20",NA,NA,0,"2014-05-28T20:59:21.661Z",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-2021","",NA,NA,"",NA,NA,NA,"2014-05-19 14:02:26.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2021",NA,NA,"en",NA,NA,NA,NA,"","Blake Trawl, 14 ft.","unknown","",NA,NA,"",NA,0,NA,"Holothuriidae",NA,"PhysicalObject",20.75,NA,NA,NA,"deg. min. sec.",NA,NA,NA,NA,NA,NA,"station number=3375","ICZN",NA,NA,NA,NA,NA,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"Greater Antilles, Cuba, Oriente Province, Puerto Tanamo","75d 20m 0s W",NA,"20d 45m 0s N",NA,NA,"Aspidochirotida","unknown",NA,"MCZ:IZ:HOL-2021",NA,NA,NA,"",NA,"unknown","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2021","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"cdd3349e-19fc-46e6-8545-2a9de02411a9",NA,NA,NA,"unknown","RV Atlantis, Harvard-Havana Expedition",NA,NA,0,NA,"",NA,"",NA,NA,NA,-75.3333333333,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cdd3349e-19fc-46e6-8545-2a9de02411a9",NA,NA,"2622c2de3f311188bf25952b11b52afadb4b6641",NA,"","whole animal (70% ethanol)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","April 20, 1939","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"[no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,420.624,NA,NA,NA,"",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"612","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","[no agent data], [no agent data]","1966-07-17",NA,NA,0,"2014-07-12T16:41:36.116Z",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-4096","",NA,NA,"",NA,NA,NA,"2012-11-26 11:19:02.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4096",NA,NA,"en",NA,NA,NA,NA,"","","unknown","",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,"PhysicalObject",8.8733,NA,NA,NA,"decimal degrees",NA,NA,NA,NA,NA,NA,"station number=400","ICZN",NA,NA,NA,NA,92,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"Colombia, Caribbean Sea, Gulf of Uraba, Broqueles Point","-76.84d",NA,"8.8733d",NA,NA,"Aspidochirotida","unknown",NA,"MCZ:IZ:HOL-4096",NA,NA,NA,"",NA,"unknown","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4096","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"4163d870-8a97-4d1f-b212-57cf25e3b0b2",NA,NA,NA,"unknown","RV John E Pillsbury 6607",NA,NA,NA,NA,"",NA,"",NA,NA,NA,-76.84,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4163d870-8a97-4d1f-b212-57cf25e3b0b2",NA,NA,"9dfa861c5a71239d5829a5fc5ed2e212b3ff26ac",NA,"","whole animal (dry)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","July 17, 1966","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"[no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,99,NA,NA,NA,"Found dry on shelf on March 30, 2007 by JW.",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"871","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","[no agent data]","1966-07-08",NA,NA,0,"2014-05-28T21:03:45.796Z",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-4097","",NA,NA,"",NA,NA,NA,"2014-05-19 14:02:26.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4097",NA,NA,"en",NA,NA,NA,NA,"","","","",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,"PhysicalObject",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"cruise number=6607; station number=332","ICZN",NA,NA,NA,NA,384.048,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"Panama, Punta San Blas, NE of","",NA,"",NA,NA,"Aspidochirotida","",NA,"MCZ:IZ:HOL-4097",NA,NA,NA,"",NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4097","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"5930e7a0-ffc4-4b75-879a-9d3a3943b55f",NA,NA,NA,"","Richard H. Chesher, Rosenstiel School of Marine and Atmospheric Science, University of Miami, RV John E Pillsbury",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5930e7a0-ffc4-4b75-879a-9d3a3943b55f",NA,NA,"1ae83679a4a60507c03b26b3a153a8e1d7a1ad81",NA,"","whole animal (70% ethanol)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","July 8, 1966","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,384.048,NA,NA,NA,"",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"886","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","Richard H. Chesher","1966-07-21",NA,NA,0,"2014-05-28T20:59:33.993Z",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-4110","",NA,NA,"",NA,NA,NA,"2014-05-19 14:02:27.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4110",NA,NA,"en",NA,NA,NA,NA,"","","unknown","",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,"PhysicalObject",8.9683333333,NA,NA,NA,"degrees dec. minutes",NA,NA,NA,NA,NA,NA,"station number=446","ICZN",NA,NA,NA,NA,109,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"Panama","81d 26.3m W",NA,"8d 58.1m N",NA,NA,"Aspidochirotida","unknown",NA,"MCZ:IZ:HOL-4110",NA,NA,NA,"",NA,"unknown","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4110","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"f6a767e4-87c7-4861-a4f0-00bdf37f8ab4",NA,NA,NA,"unknown","RV John E Pillsbury, Richard H. Chesher, Rosenstiel School of Marine and Atmospheric Science, University of Miami",NA,NA,NA,NA,"",NA,"",NA,NA,NA,-81.4383333333,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"f6a767e4-87c7-4861-a4f0-00bdf37f8ab4",NA,NA,"1089b61ecda49c516d1ef397fdf3983e05b76f9c",NA,"","whole animal (70% ethanol)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","July 21, 1966","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"[no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,295,NA,NA,NA,"",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
"1465","Animalia","872733a2-67a3-4c54-aa76-862735a5f334","[no agent data], [no agent data]","1966-07-08",NA,NA,0,"2014-01-11T01:19:22.411Z",NA,"Atlantic Ocean, Atlantic, Western Central",NA,"",NA,"occidentalis","","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Cystipus) occidentalis",NA,"HOL-4091","",NA,NA,"",NA,NA,NA,"2013-01-10 11:11:11.0",NA,NA,NA,"","MCZ","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4091",NA,NA,"en",NA,NA,NA,NA,"","","unknown","",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,"PhysicalObject",9.55,NA,NA,NA,"decimal degrees",NA,NA,NA,NA,NA,NA,"station number=334","ICZN",NA,NA,NA,NA,NA,NA,"Holothuria (Cystipus) occidentalis",NA,NA,NA,NA,"Caribbean Sea: San Blas Point, NE Of [Panama]","-78.8333d",NA,"9.55d",NA,NA,"Aspidochirotida","unknown",NA,"MCZ:IZ:HOL-4091",NA,NA,NA,"",NA,"unknown","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4091","","President and Fellows of Harvard College",NA,1,NA,NA,NA,NA,NA,NA,"",NA,"Echinodermata",NA,NA,NA,"e4c90f8f-674a-4329-a9a1-439bf2602566",NA,NA,NA,"unknown","RV John E Pillsbury 6607",NA,NA,NA,NA,"",NA,"",NA,NA,NA,-78.8333,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"e4c90f8f-674a-4329-a9a1-439bf2602566",NA,NA,"97b6b049b01c7a727880ef97ddeb106353105477",NA,"","whole animal (dry)",NA,"","Museum of Comparative Zoology, Harvard University",NA,NA,NA,"not applicable",NA,"IZ","","1966-07-08","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"[no agent data]",NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Found dry on shelf in March 2007 by GCB.",NA,"Ludwig",NA,NA,NA,NA,NA,"Atlantic Ocean","Holothuria",NA,NA,NA,NA,NA,"Holothuroidea",NA,NA
