"","dwc.associatedReferences","inhs.juv_males","idigbio.associateDeterminedBy","dwc.verbatimLocality","inhs.location_RiverMile","dwc.verbatimLatitude","dwc.georeferenceProtocol","dwc.catalogNumber","dwc.infraspecificEpithet","dwc.institutionID","http...symbiota.org.terms.verbatimScientificName","dwc.eventRemarks","dwc.identificationID","dwc.geodeticDatum","inhs.formII_males","inhs.vouchered","dwc.maximumElevationInMeters","dwc.associatedTaxa","dcterms.rightsHolder","dwc.higherGeography","dcterms.bibliographicCitation","inhs.dead","dwc.bed","idigbio.recordId","fcc.superfamily","dcterms.rights","dcterms.reference","dwc.dateIdentified","dwc.taxonID","dwc.nameAccordingTo","dwc.class","dwc.accessRights","idigbio.uuid","idigbio.subfamily","dwc.georeferenceVerificationStatus","dwc.countryCode","idigbio.associateCondition","dwc.scientificNameID","dwc.institutionCode","dwc.otherCatalogNumbers","dwc.dynamicProperties","dwc.phylum","symbiota.verbatimScientificName","inhs.location_Basin","dwc.year","fcc.datePicked","idigbio.createdBy","dwc.family","dwc.previousIdentifications","dwc.eventTime","dwc.identificationRemarks","idigbio.preservative","dwc.nomenclaturalStatus","dwc.preparations","dwc.genus","dwc.establishmentMeans","dwc.georeferencedBy","inhs.location_Stream","fcc.subfamily","dwc.typeStatus","dcterms.type","dwc.earliestEraOrLowestErathem","inhs.formII_females","dcterms.modified","idigbio.associateNotes","dwc.earliestEpochOrLowestSeries","row.number","idigbio.associatedFamily","dwc.eventID","dwc.relatedResourceID","dwc.verbatimDepth","dwc.decimalLongitude","dwc.lithostratigraphicTerms","inhs.juv_females","dcterms.accessRights","idigbio.associateIdentifier","idigbio.barcodeValue","dwc.occurrenceRemarks","dwc.fieldNumber","dwc.disposition","dwc.startDayOfYear","idigbio.recordID","dwc.preparation","dwc.verbatimCoordinates","dwc.island","dwc.behavior","dwc.decimalLatitude","idigbio.associateCommonName","dwc.scientificNameAuthorship","dwc.latestPeriodOrHighestSystem","dwc.member","dwc.verbatimCoordinateSystem","dwc.identificationReferences","dwc.day","dwc.namePublishedInID","idigbio.subgenus","dwc.higherClassification","dwc.nomenclaturalCode","dwc.earliestPeriodOrLowestSystem","dwc.subgenus","dwc.locationRemarks","inhs.instars_Female","dwc.originalNameUsage","dwc.namePublishedIn","idigbio.preparationCount","dwc.fieldNotes","dwc.month","dwc.latestEpochOrHighestSeries","dwc.taxonRank","dwc.verbatimElevation","dwc.ownerInstitutionCode","dwc.latestEraOrHighestErathem","idigbio.associateAuthor","dwc.occurrenceStatus","idigbio.dateModified","dwc.scientificName","dwc.verbatimSRS","dwc.footprintWKT","dwc.georeferenceRemarks","dwc.recordedBy","dwc.latestAgeOrHighestStage","dwc.municipality","dwc.coordinateUncertaintyInMeters","dwc.identificationVerificationStatus","idigbio.endangeredStatus","dwc.taxonRemarks","dcterms.references","dwc.individualCount","idigbio.associateRelationship","dwc.county","dwc.informationWithheld","dwc.VerbatimEventDate","dwc.verbatimEventDate","dwc.collectionCode","dwc.maximumDepthInMeters","inhs.superfamily","dwc.kingdom","dwc.endDayOfYear","dwc.recordNumber","dwc.country","inhs.total_Males","dwc.occurrenceID","idigbio.hostFamily","dwc.minimumElevationInMeters","dwc.georeferenceSources","dwc.islandGroup","idigbio.tribe","dwc.basisOfRecord","dwc.minimumDepthInMeters","dwc.verbatimLongitude","inhs.live","inhs.juv_undetermined","dwc.habitat","dwc.coordinatePrecision","idigbio.associatedRelationship","inhs.formI_males","dwc.dataGeneralizations","dwc.vernacularName","dwc.collectionID","dwc.locationAccordingTo","dwc.eventDate","inhs.locationTrs","dwc.lowestBiostratigraphicZone","dcterms.language","dwc.identificationQualifier","idigbio.version","idigbio.etag","dwc.order","id","dwc.stateProvince","idigbio.determinationHistory","dwc.reproductiveCondition","dwc.continent","symbiotaverbatimScientificName","inhs.total_females","dwc.samplingProtocol","dwc.locality","fcc.pickedBy","dwc.rights","dwc.associatedSequences","dwc.lifeStage","dwc.individualID","dwc.waterBody","dwc.group","dwc.verbatimTaxonRank","dwc.locationID","dwc.samplingEffort","dwc.sex","dcterms.source","dwc.georeferencedDate","idigbio.substrate","dwc.associatedMedia","dwc.datasetName","inhs.relic","idigbio.recordIds","dwc.formation","dwc.rightsHolder","dwc.associatedOccurrences","dwc.earliestAgeOrLowestStage","dwc.specificEpithet","inhs.instars_Male","dwc.datasetID","dwc.identifiedBy"
"299","",NA,NA,NA,NA,"","","HOL-4072","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"748b906c-1114-42c8-89f0-08454352c2c6",NA,NA,NA,NA,NA,"MCZ","","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"""13:00 - 18:00"" on tag. Found dry in March 2007 by GCB.",NA,NA,"whole animal (dry)","Holothuria",NA,"",NA,NA,"","PhysicalObject",NA,NA,"2013-01-10 11:11:11.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-01-11T10:23:53.255Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","David F. Truett",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4072",1,NA,"",NA,NA,"1963-07-04","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:HOL-4072",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1963-07-04",NA,NA,"en",NA,NA,"160f0381d9002aa291a9ff5dffc5b091e52fe80c","Aspidochirotida","748b906c-1114-42c8-89f0-08454352c2c6","",NA,NA,"Pacific Ocean",NA,NA,"","Tarague Beach [Guam]",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4072",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"[no agent data], [no agent data], [no agent data]"
"339","",NA,NA,NA,NA,"","","126395","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"f7702ae9-530e-4ae5-873f-671a913220d2",NA,NA,NA,NA,NA,"MCZ","","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"Found dry in March 2007 by GCB.",NA,NA,"whole animal (dry)","Holothuria",NA,"",NA,NA,"","PhysicalObject",NA,NA,"2014-07-02 13:06:13.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-12T20:01:54.390Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","Hancock Pacific Expeditions, RV Velero III",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126395",1,NA,"",NA,NA,"August 15, 1950","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:126395",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1950-08-15",NA,NA,"en",NA,NA,"aa3acbabbfd4beb260254766cb5d5e93b24d36df","Aspidochirotida","f7702ae9-530e-4ae5-873f-671a913220d2","",NA,NA,"Pacific Ocean",NA,NA,"","United States, Hawaii; Kaawa Beach, Oahu Island",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:126395",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"[no agent data], [no agent data]"
"597","",NA,NA,NA,NA,"","","HOL-670","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Pacific Ocean, Pacific, Northwest",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"fcc8753c-085a-4379-a81a-b910642725d0",NA,NA,NA,NA,NA,"MCZ","","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"",NA,NA,"whole animal (70% ethanol)","Holothuria",NA,"",NA,NA,"","PhysicalObject",NA,NA,"2014-05-19 12:02:25.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-12T15:48:23.440Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","Alan Owston",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-670",1,NA,"",NA,NA,"<1915","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:HOL-670",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1700-01-01/1915-12-31",NA,NA,"en",NA,NA,"75410741e5ed36a7b8fcdb13a737d225790fd15f","Aspidochirotida","fcc8753c-085a-4379-a81a-b910642725d0","",NA,NA,"Pacific Ocean",NA,NA,"","Japan, Okinose, Sagami Bay",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-670",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"World Register of Marine Species, [no agent data]"
"646","",NA,NA,NA,NA,"","","HOL-761","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Western Indian Ocean",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"634a9a5a-686c-42cf-885e-517301e9e251",NA,NA,NA,NA,NA,"MCZ","other number=130","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"",NA,NA,"whole animal (70% ethanol)","Holothuria",NA,"",NA,NA,"Syntype","PhysicalObject",NA,NA,"2013-06-18 15:17:42.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-12T21:02:06.447Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","[no agent data]",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-761",1,NA,"",NA,NA,"Unknown","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:HOL-761",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1700-01-01/1867-12-31",NA,NA,"en",NA,NA,"decc22cc0b76fefa74866a20a52e46f8e2e13fbc","Aspidochirotida","634a9a5a-686c-42cf-885e-517301e9e251","",NA,NA,"Western Indian Ocean",NA,NA,"","Tanzania",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-761",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"World Register of Marine Species, [no agent data]"
"1485","",NA,NA,NA,NA,"","","HOL-506","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"26223ccd-51e9-410b-8f52-ad68b973073c",NA,NA,NA,NA,NA,"MCZ","collector number=388, 125","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"",NA,NA,"whole animal (70% ethanol)","Holothuria",NA,"",NA,NA,"Syntype","PhysicalObject",NA,NA,"2012-08-21 15:39:15.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-12T18:15:56.056Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","[no agent data]",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-506",1,NA,"",NA,NA,"unknown","IZ",NA,NA,"Animalia",NA,"388, 125","",NA,"MCZ:IZ:HOL-506",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1700-01-01/1867-12-31",NA,NA,"en",NA,NA,"9bdc4fa45bed0f7e35ccf959749c748e58ec6a0b","Aspidochirotida","26223ccd-51e9-410b-8f52-ad68b973073c","",NA,NA,"Pacific Ocean",NA,NA,"","off Hawaii",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-506",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"[no agent data], [no agent data], [no agent data]"
"1802","",NA,NA,NA,NA,"","","HOL-672","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Pacific Ocean, Pacific, Northwest",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"7194bff1-c3b6-4400-8b5c-a2d1c46c156a",NA,NA,NA,NA,NA,"MCZ","","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"",NA,NA,"whole animal (70% ethanol)","Holothuria",NA,"",NA,NA,"","PhysicalObject",NA,NA,"2014-05-19 12:02:26.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-13T00:58:58.481Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","Edward Sylvester Morse",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-672",1,NA,"",NA,NA,"1886","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:HOL-672",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1886-01-01/1886-12-31",NA,NA,"en",NA,NA,"f84c26279b519696d4c399c240d29fcff94b3283","Aspidochirotida","7194bff1-c3b6-4400-8b5c-a2d1c46c156a","",NA,NA,"Pacific Ocean",NA,NA,"","Japan: Tokyo Bay (Yeddo Bay)",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-672",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"World Register of Marine Species, [no agent data]"
"2079","",NA,NA,NA,NA,"","","HOL-1353","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Indian Ocean, Indian Ocean, Western",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"7df12836-ddf3-4d63-a39c-31e875383fb3",NA,NA,NA,NA,NA,"MCZ","","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"",NA,NA,"whole animal (70% ethanol)","Holothuria",NA,"",NA,NA,"Syntype","PhysicalObject",NA,NA,"2013-06-18 15:17:42.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-13T05:11:31.092Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","[no agent data]",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1353",1,NA,"",NA,NA,"Unknown","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:HOL-1353",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1700-01-01/1867-12-31",NA,NA,"en",NA,NA,"f72c9faa03cf672ee167c865cf89fbe98283c755","Aspidochirotida","7df12836-ddf3-4d63-a39c-31e875383fb3","",NA,NA,"Indian Ocean",NA,NA,"","Tanzania (Zanzibar area)",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1353",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"World Register of Marine Species, [no agent data]"
"2409","",NA,NA,NA,NA,"","","HOL-1352","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"c0e3c1dc-c3bd-4bdb-95c4-5fd2fbb5916a",NA,NA,NA,NA,NA,"MCZ","","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"",NA,NA,"whole animal (70% ethanol)","Holothuria",NA,"",NA,NA,"Syntype","PhysicalObject",NA,NA,"2014-05-02 12:01:34.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-12T18:25:08.560Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","[no agent data]",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1352",1,NA,"",NA,NA,"Unknown","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:HOL-1352",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1700-01-01/1867-12-31",NA,NA,"en",NA,NA,"e4b1899d51182656a0da7a5a378bd4aabbac75ce","Aspidochirotida","c0e3c1dc-c3bd-4bdb-95c4-5fd2fbb5916a","",NA,NA,"Pacific Ocean",NA,NA,"","United States, Hawaii",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1352",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"World Register of Marine Species, E. Selenka"
"2670","",NA,NA,NA,NA,"","","HOL-762","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"8756f30a-55a6-441d-b56b-939a2d757100",NA,NA,NA,NA,NA,"MCZ","other number=50","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"",NA,NA,"whole animal (70% ethanol)","Holothuria",NA,"",NA,NA,"Syntype","PhysicalObject",NA,NA,"2013-06-18 15:17:42.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-12T13:59:56.747Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","James M. Barnard",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-762",1,NA,"",NA,NA,"Unknown","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:HOL-762",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1700-01-01/1867-12-31",NA,NA,"en",NA,NA,"31ab2a965f06deaf77fd6b8c275c7b1988b2cc8d","Aspidochirotida","8756f30a-55a6-441d-b56b-939a2d757100","",NA,NA,"Pacific Ocean",NA,NA,"","United States, Hawaii",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-762",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"World Register of Marine Species, [no agent data]"
"2672","",NA,NA,NA,NA,"","","HOL-1532","","b4640710-8e03-11d8-b956-b8a03c50a862",NA,"",NA,"",NA,NA,NA,NA,"President and Fellows of Harvard College","Indian Ocean, Indian Ocean, Eastern",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Holothuroidea",NA,"cef6b91b-764f-4368-a18c-2d16d3b64622",NA,NA,NA,NA,NA,"MCZ","","","Echinodermata",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","Holothuriidae",NA,NA,"",NA,NA,"whole animal (70% ethanol)","Holothuria",NA,"",NA,NA,"","PhysicalObject",NA,NA,"2014-07-08 10:01:24.0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",0,NA,NA,"",NA,NA,NA,NA,"Lesson, 1830",NA,NA,"",NA,NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) hilla","ICZN",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"2014-07-13T00:24:19.394Z","Holothuria (Mertensiothuria) hilla",NA,NA,"","Carnegie Australian Harvard Expedition",NA,NA,NA,"",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1532",1,NA,"",NA,NA,"August 20 - 22, 1929","IZ",NA,NA,"Animalia",NA,"","",NA,"MCZ:IZ:HOL-1532",NA,NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"1929-08-20/1929-08-22",NA,NA,"en",NA,NA,"c2dde01fc691f7d504a7508e41cbeb7ae0195ed0","Aspidochirotida","cef6b91b-764f-4368-a18c-2d16d3b64622","",NA,NA,"Indian Ocean",NA,NA,"","Australia, Western Australia, Cape Leveque",NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1532",NA,NA,NA,NA,NA,"",NA,"hilla",NA,NA,"[no agent data]"
