"","dwc.group","dwc.earliestEpochOrLowestSeries","inhs.formII_males","dwc.dataGeneralizations","dwc.samplingEffort","inhs.location_RiverMile","dwc.rights","dwc.recordedBy","dwc.latestEraOrHighestErathem","dwc.phylum","dwc.occurrenceStatus","dwc.associatedSequences","dwc.taxonRemarks","dwc.eventTime","idigbio.associateDeterminedBy","dwc.namePublishedIn","dwc.earliestAgeOrLowestStage","dwc.verbatimCoordinateSystem","idigbio.dateModified","dwc.disposition","dwc.datasetName","dwc.locality","idigbio.recordIds","dwc.year","dwc.county","dwc.verbatimSRS","dwc.footprintWKT","dwc.higherGeography","inhs.locationTrs","dwc.infraspecificEpithet","dwc.waterBody","dwc.latestAgeOrHighestStage","dcterms.bibliographicCitation","dwc.earliestEraOrLowestErathem","inhs.juv_undetermined","idigbio.substrate","dwc.georeferenceSources","dcterms.accessRights","dwc.lithostratigraphicTerms","dwc.month","symbiotaverbatimScientificName","dwc.stateProvince","dwc.nameAccordingTo","dwc.verbatimEventDate","dwc.minimumElevationInMeters","dwc.occurrenceID","dwc.member","symbiota.verbatimScientificName","dwc.island","dwc.basisOfRecord","dwc.VerbatimEventDate","id","dwc.locationID","dwc.lowestBiostratigraphicZone","dwc.fieldNumber","dcterms.reference","inhs.instars_Male","dwc.latestEpochOrHighestSeries","fcc.superfamily","dwc.sex","idigbio.hostFamily","dwc.ownerInstitutionCode","dwc.geodeticDatum","dwc.institutionCode","dwc.previousIdentifications","dwc.bed","dcterms.rights","idigbio.associateCommonName","dwc.eventID","dwc.minimumDepthInMeters","inhs.relic","idigbio.associateCondition","idigbio.associateIdentifier","dwc.earliestPeriodOrLowestSystem","dwc.order","idigbio.etag","dwc.taxonRank","dwc.dateIdentified","idigbio.createdBy","dwc.georeferenceVerificationStatus","dwc.datasetID","dwc.samplingProtocol","dwc.endDayOfYear","dwc.identificationID","dwc.nomenclaturalStatus","dwc.family","dwc.municipality","inhs.total_females","dwc.dynamicProperties","dwc.occurrenceRemarks","dwc.scientificName","inhs.juv_females","dwc.catalogNumber","fcc.pickedBy","dwc.establishmentMeans","dwc.startDayOfYear","inhs.formII_females","dwc.subgenus","dwc.decimalLatitude","dwc.reproductiveCondition","dwc.coordinatePrecision","idigbio.associateAuthor","dwc.verbatimLatitude","dwc.otherCatalogNumbers","dwc.nomenclaturalCode","dwc.coordinateUncertaintyInMeters","dwc.day","dwc.typeStatus","idigbio.subgenus","dwc.genus","dwc.latestPeriodOrHighestSystem","dwc.georeferencedDate","idigbio.version","dwc.scientificNameAuthorship","dwc.taxonID","dwc.lifeStage","idigbio.associatedFamily","dwc.identificationQualifier","dwc.maximumDepthInMeters","dwc.identifiedBy","dwc.formation","inhs.location_Stream","dwc.identificationReferences","row.number","dwc.preparations","idigbio.preparationCount","dwc.verbatimLocality","dwc.collectionID","inhs.superfamily","dwc.vernacularName","idigbio.recordId","dwc.relatedResourceID","idigbio.endangeredStatus","inhs.formI_males","idigbio.associateRelationship","dwc.verbatimDepth","dwc.accessRights","inhs.total_Males","dwc.associatedReferences","dwc.informationWithheld","dwc.maximumElevationInMeters","dwc.institutionID","dwc.countryCode","idigbio.uuid","dwc.higherClassification","idigbio.associateNotes","dwc.georeferenceProtocol","dwc.individualID","dwc.identificationRemarks","dwc.associatedTaxa","dcterms.modified","dwc.namePublishedInID","dwc.originalNameUsage","idigbio.preservative","idigbio.associatedRelationship","dwc.collectionCode","idigbio.determinationHistory","idigbio.tribe","dwc.verbatimTaxonRank","dwc.verbatimLongitude","inhs.dead","dwc.habitat","dwc.class","inhs.instars_Female","dwc.identificationVerificationStatus","dwc.georeferenceRemarks","dcterms.references","fcc.subfamily","fcc.datePicked","dwc.rightsHolder","dwc.scientificNameID","dwc.locationRemarks","dwc.kingdom","dwc.individualCount","dwc.fieldNotes","dwc.continent","dwc.associatedOccurrences","dcterms.type","http...symbiota.org.terms.verbatimScientificName","dwc.recordNumber","inhs.vouchered","dwc.specificEpithet","dcterms.language","dcterms.source","dwc.preparation","dwc.verbatimElevation","inhs.juv_males","dwc.locationAccordingTo","idigbio.barcodeValue","inhs.location_Basin","dwc.behavior","dwc.verbatimCoordinates","dwc.georeferencedBy","dwc.islandGroup","idigbio.recordID","dcterms.rightsHolder","dwc.eventRemarks","dwc.decimalLongitude","idigbio.subfamily","dwc.associatedMedia","inhs.live","dwc.eventDate","dwc.country"
"25",NA,NA,NA,NA,NA,NA,NA,"Edward Flanders Ricketts, John Steinbeck",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","2014-05-28T21:11:18.430Z","not applicable",NA,"Mexico: Espiritu Santo Island, Punta Lobos",NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"March 20, 1940",NA,"MCZ:IZ:HOL-2101",NA,NA,NA,"PreservedSpecimen",NA,"03d74e59-c22e-4897-9af6-58e3a103ea8e","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","","MCZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","b4c454cce9afe72556e3da5b619dbf2e9bae831d",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-2101",NA,NA,0,NA,NA,NA,NA,NA,NA,"","","ICZN",NA,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"03d74e59-c22e-4897-9af6-58e3a103ea8e","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"",NA,"",NA,"2014-04-25 15:02:27.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"",NA,"","Holothuroidea",NA,"","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2101",NA,NA,NA,NA,"","Animalia",1,NA,"Pacific Ocean","","PhysicalObject",NA,"",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"President and Fellows of Harvard College","",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2101",NA,"1940-03-20",""
"30",NA,NA,NA,NA,NA,NA,NA,"William Beebe, Zaca Expedition",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","2014-07-12T17:30:10.913Z","not applicable",NA,"Mexico: Santa Cruz Bay",NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"1937-1938",NA,"MCZ:IZ:HOL-1944",NA,NA,NA,"PreservedSpecimen",NA,"b562728d-024c-4ada-9263-9457845c19dd","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","","MCZ",NA,NA,NA,NA,NA,7.3152,NA,NA,NA,NA,"Aspidochirotida","61715d9bd8f118b0b6d29f94940da390e9525db0",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-1944",NA,NA,0,NA,NA,NA,NA,NA,NA,"","collector number=37, 511; station number=195 D-14","ICZN",NA,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,7.3152,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"b562728d-024c-4ada-9263-9457845c19dd","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"",NA,"",NA,"2014-04-25 15:02:27.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"",NA,"","Holothuroidea",NA,"","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1944",NA,NA,NA,NA,"","Animalia",1,NA,"Pacific Ocean","","PhysicalObject",NA,"37, 511",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"President and Fellows of Harvard College","",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1944",NA,"1937-01-01/1938-12-31",""
"346",NA,NA,NA,NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","2014-07-12T21:54:06.623Z","not applicable",NA,"Ecuador: Galapagos, James Island; Sulivan Bay",NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Southeast",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"1931-1938",NA,"MCZ:IZ:HOL-1902",NA,NA,NA,"PreservedSpecimen",NA,"ead4703f-ae83-413c-b347-705b56c72e41","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","","MCZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","06c58d7bbbe313e84e9db94fa6496bf0b437044b",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-1902",NA,NA,0,NA,NA,NA,NA,NA,NA,"","station number=796-38","ICZN",NA,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"ead4703f-ae83-413c-b347-705b56c72e41","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"",NA,"",NA,"2014-04-25 15:02:27.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"",NA,"","Holothuroidea",NA,"","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1902",NA,NA,NA,NA,"","Animalia",1,NA,"Pacific Ocean","","PhysicalObject",NA,"",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"President and Fellows of Harvard College","",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1902",NA,"1931-01-01/1938-12-31",""
"591",NA,NA,NA,NA,NA,NA,NA,"USFC Steamer Albatross",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"deg. min. sec.","2014-05-04T09:22:50.915Z","not applicable",NA,"Taboguilla Island",NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,"",NA,"31/10/1904",NA,"MCZ:IZ:HOL-1324",NA,NA,NA,"PreservedSpecimen",NA,"c0eb31d3-4dc6-46cb-a246-765f00474bed","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","unknown","MCZ",NA,NA,NA,NA,NA,1.8288,NA,NA,NA,NA,"Aspidochirotida","e192c3070b4f7b92c988511224b09504fec7a934",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-1324",NA,NA,0,NA,NA,8.9166666667,NA,0,NA,"8d 55m 0s N","","ICZN",0,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,1.8288,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"c0eb31d3-4dc6-46cb-a246-765f00474bed","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"unknown",NA,"",NA,"2014-04-25 15:02:26.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"79d 31m 30s W",NA,"","Holothuroidea",NA,"unknown","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1324",NA,NA,NA,NA,"","Animalia",1,NA,"Pacific Ocean","","PhysicalObject",NA,"",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","[no agent data]",NA,NA,"President and Fellows of Harvard College","",-79.525,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1324",NA,"1904-10-31",""
"941",NA,NA,NA,NA,NA,NA,NA,"Alexander Agassiz",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"decimal degrees","2014-07-12T22:46:07.455Z","not applicable",NA,"Mexico, Acapulco",NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,NA,NA,NA,NA,"GEOLocate",NA,NA,NA,NA,"",NA,"approximately 1859-1860",NA,"MCZ:IZ:HOL-652",NA,NA,NA,"PreservedSpecimen",NA,"eda463a4-4513-46b0-b2e6-9e77ff660c2c","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","WGS84","MCZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","9fac35d29dfec6f706d0e30f148dfa23f4375bc6",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-652",NA,NA,0,NA,NA,16.831746,NA,3036,NA,"16.831746d","collector number=651","ICZN",3036,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"eda463a4-4513-46b0-b2e6-9e77ff660c2c","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"GEOLocate",NA,"",NA,"2014-05-09 11:26:51.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"-99.7976173d",NA,"","Holothuroidea",NA,"unverified","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-652",NA,NA,NA,NA,"","Animalia",1,NA,"Pacific Ocean","","PhysicalObject",NA,"651",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","Penny Benson",NA,NA,"President and Fellows of Harvard College","",-99.7976173,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-652",NA,"1859-01-01/1860-12-31",""
"1521",NA,NA,NA,NA,NA,NA,NA,"William Beebe, Zaca Expedition",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","2014-07-13T04:58:46.754Z","not applicable",NA,"Ecuador: Galapagos, Tower Island",NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Southeast",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"1937-1938",NA,"MCZ:IZ:HOL-1946",NA,NA,NA,"PreservedSpecimen",NA,"0cfa8dc4-7d36-4a66-b049-9d0c820527ad","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","","MCZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","743022a133eff9408e680340e96ea346b3ed8e4c",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-1946",NA,NA,0,NA,NA,NA,NA,NA,NA,"","","ICZN",NA,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"0cfa8dc4-7d36-4a66-b049-9d0c820527ad","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"",NA,"",NA,"2014-04-25 15:02:27.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"",NA,"","Holothuroidea",NA,"","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1946",NA,NA,NA,NA,"","Animalia",1,NA,"Pacific Ocean","","PhysicalObject",NA,"",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"President and Fellows of Harvard College","",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1946",NA,"1937-01-01/1938-12-31",""
"1792",NA,NA,NA,NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","2014-07-13T03:42:09.139Z","not applicable",NA,"off Ecuador: Galapagos I., Charles Is., Black Beach",NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"1931-1938",NA,"MCZ:IZ:HOL-1904",NA,NA,NA,"PreservedSpecimen",NA,"5315fd51-7b9f-4981-b6fc-0655a1ef50f6","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","","MCZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","dbd1a0677f72e0489368c9de50976d12df74088f",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-1904",NA,NA,0,NA,NA,NA,NA,NA,NA,"","collector number=803-38; station number=199-34","ICZN",NA,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"5315fd51-7b9f-4981-b6fc-0655a1ef50f6","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"",NA,"",NA,"2014-07-02 13:06:12.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"",NA,"","Holothuroidea",NA,"","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1904",NA,NA,NA,NA,"","Animalia",1,NA,"Pacific Ocean","","PhysicalObject",NA,"803-38",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"President and Fellows of Harvard College","",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1904",NA,"1931-01-01/1938-12-31",""
"1807",NA,NA,NA,NA,NA,NA,NA,"[no agent data]",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","2014-07-12T23:47:10.457Z","not applicable",NA,"Bocas site 6",NA,NA,"",NA,NA,"Central America, Panama",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Unknown",NA,"MCZ:IZ:HOL-650",NA,NA,NA,"PreservedSpecimen",NA,"7b777234-57fe-4bca-bb1b-a475a58aca9a","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","","MCZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","c311106f8c562263d1f15280dc1aab050c4e0619",NA,"2012-08-08 00:00:00.0","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-650",NA,NA,0,NA,NA,NA,NA,NA,NA,"","collector number=443, 620","ICZN",NA,NA,"Syntype",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,"World Register of Marine Species, [no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"7b777234-57fe-4bca-bb1b-a475a58aca9a","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"",NA,"In Deichman, 1938 the Type is referenced to be located in Germany, MCZ may have paratypes",NA,"2013-06-18 15:17:42.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"",NA,"","Holothuroidea",NA,"","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-650",NA,NA,NA,NA,"","Animalia",1,NA,"Central America","","PhysicalObject",NA,"443, 620",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"President and Fellows of Harvard College","",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-650",NA,"1700-01-01/1867-12-31","Panama"
"2081",NA,NA,NA,NA,NA,NA,NA,"Dr. G.A. Maack, Darien Expedition",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","2014-07-13T03:33:49.637Z","not applicable",NA,"Panama",NA,NA,"",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"[no date]",NA,"MCZ:IZ:HOL-651",NA,NA,NA,"PreservedSpecimen",NA,"8ab90067-bc87-49ff-9a75-fb0e7bed6165","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","","MCZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","14d740d299297e0910e010f87ee6f02b3967f71d",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-651",NA,NA,0,NA,NA,NA,NA,NA,NA,"","","ICZN",NA,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"8ab90067-bc87-49ff-9a75-fb0e7bed6165","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"",NA,"",NA,"2014-04-25 13:02:26.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"",NA,"","Holothuroidea",NA,"","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-651",NA,NA,NA,NA,"","Animalia",1,NA,"Pacific Ocean","","PhysicalObject",NA,"",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"President and Fellows of Harvard College","",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-651",NA,"1800-01-01/2013-09-16",""
"2082",NA,NA,NA,NA,NA,NA,NA,"Hassler Expedition",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,"","2014-07-12T19:00:16.083Z","not applicable",NA,"Panama",NA,NA,"",NA,NA,"Central America, Panama",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"June 24-July 23, 1872",NA,"MCZ:IZ:HOL-633",NA,NA,NA,"PreservedSpecimen",NA,"e083aa64-8f76-46cf-8b8d-1e6cc40eb2f4","",NA,"",NA,NA,NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University","","MCZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidochirotida","0b522ccc40c7ea8982776c8f5413797bd1882818",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,"",NA,NA,NA,"Holothuriidae",NA,NA,"",NA,"Holothuria (Semperothuria) languens",NA,"HOL-633",NA,NA,0,NA,NA,NA,NA,NA,NA,"","","ICZN",NA,NA,"",NA,"Holothuria",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,"e083aa64-8f76-46cf-8b8d-1e6cc40eb2f4","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Semperothuria) languens",NA,"",NA,"",NA,"2014-04-25 13:02:26.0",NA,NA,NA,NA,"IZ",NA,NA,NA,"",NA,"","Holothuroidea",NA,"","","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-633",NA,NA,NA,NA,"","Animalia",1,NA,"Central America","","PhysicalObject",NA,"",NA,"languens","en",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"President and Fellows of Harvard College","",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-633",NA,"1872-06-24/1872-07-23","Panama"
