"","dwc.verbatimCoordinateSystem","idigbio.endangeredStatus","dwc.eventID","dwc.maximumDepthInMeters","dwc.eventDate","idigbio.uuid","inhs.total_females","dwc.VerbatimEventDate","dwc.preparation","dwc.sex","dwc.islandGroup","dwc.originalNameUsage","dcterms.reference","dwc.nomenclaturalCode","dwc.bed","dwc.georeferenceRemarks","dcterms.type","dwc.verbatimLongitude","fcc.pickedBy","dwc.formation","idigbio.associateAuthor","dwc.rights","idigbio.determinationHistory","dwc.county","dwc.lowestBiostratigraphicZone","dwc.georeferenceSources","dwc.georeferenceProtocol","dwc.taxonID","idigbio.associateNotes","idigbio.hostFamily","dwc.typeStatus","dwc.establishmentMeans","dwc.verbatimCoordinates","dwc.eventTime","inhs.formII_females","idigbio.version","inhs.juv_females","fcc.superfamily","idigbio.associatedFamily","dwc.individualCount","dwc.samplingEffort","dwc.namePublishedIn","inhs.location_Basin","idigbio.preservative","dwc.collectionCode","dcterms.rights","dwc.eventRemarks","dwc.earliestEraOrLowestErathem","dwc.associatedTaxa","inhs.locationTrs","dwc.locationID","dwc.scientificName","dwc.nameAccordingTo","dwc.institutionCode","dwc.occurrenceRemarks","dcterms.modified","dwc.minimumDepthInMeters","dwc.behavior","dwc.locationAccordingTo","dwc.verbatimTaxonRank","dwc.namePublishedInID","dcterms.language","dwc.dataGeneralizations","dwc.specificEpithet","dwc.latestPeriodOrHighestSystem","dwc.country","inhs.instars_Male","idigbio.associateDeterminedBy","inhs.live","dwc.waterBody","idigbio.associateRelationship","idigbio.substrate","dwc.group","dwc.order","dwc.associatedReferences","dwc.countryCode","dwc.habitat","dwc.dynamicProperties","dwc.island","dwc.maximumElevationInMeters","dwc.latestEpochOrHighestSeries","inhs.formII_males","dwc.associatedOccurrences","dwc.footprintWKT","idigbio.associatedRelationship","dwc.verbatimDepth","dwc.institutionID","idigbio.associateCommonName","dwc.recordNumber","idigbio.tribe","inhs.location_Stream","id","dwc.identifiedBy","idigbio.etag","dwc.identificationReferences","idigbio.preparationCount","dwc.month","dwc.taxonRank","dwc.verbatimLatitude","dwc.subgenus","idigbio.recordIds","dwc.startDayOfYear","dwc.member","dwc.coordinatePrecision","symbiotaverbatimScientificName","row.number","dwc.higherClassification","dwc.samplingProtocol","dwc.georeferencedBy","dwc.class","dwc.verbatimLocality","dwc.decimalLongitude","dwc.genus","dcterms.accessRights","dwc.fieldNumber","dcterms.bibliographicCitation","idigbio.subfamily","dwc.day","idigbio.createdBy","dwc.dateIdentified","dwc.ownerInstitutionCode","dwc.verbatimElevation","dwc.preparations","dwc.georeferenceVerificationStatus","dwc.higherGeography","idigbio.barcodeValue","dwc.earliestPeriodOrLowestSystem","dwc.decimalLatitude","idigbio.associateCondition","fcc.datePicked","dwc.identificationRemarks","inhs.juv_undetermined","dwc.locality","dwc.occurrenceID","dwc.otherCatalogNumbers","inhs.location_RiverMile","dwc.minimumElevationInMeters","dwc.coordinateUncertaintyInMeters","dwc.datasetID","dwc.georeferencedDate","dwc.endDayOfYear","dwc.reproductiveCondition","inhs.superfamily","dwc.infraspecificEpithet","dwc.fieldNotes","dwc.geodeticDatum","dwc.scientificNameID","dwc.verbatimSRS","fcc.subfamily","dwc.earliestEpochOrLowestSeries","dwc.occurrenceStatus","inhs.dead","dwc.nomenclaturalStatus","dcterms.source","symbiota.verbatimScientificName","dwc.collectionID","dwc.basisOfRecord","dwc.relatedResourceID","dwc.disposition","inhs.total_Males","dwc.previousIdentifications","dwc.recordedBy","dwc.lithostratigraphicTerms","idigbio.recordID","inhs.vouchered","dwc.taxonRemarks","dwc.earliestAgeOrLowestStage","dwc.continent","http...symbiota.org.terms.verbatimScientificName","dcterms.references","dwc.municipality","dwc.latestAgeOrHighestStage","dwc.individualID","dwc.latestEraOrHighestErathem","dwc.scientificNameAuthorship","dwc.identificationVerificationStatus","idigbio.associateIdentifier","dwc.stateProvince","dwc.lifeStage","dwc.vernacularName","idigbio.recordId","dwc.identificationID","dwc.associatedMedia","dwc.family","dcterms.rightsHolder","dwc.identificationQualifier","dwc.catalogNumber","dwc.year","dwc.rightsHolder","idigbio.dateModified","dwc.locationRemarks","dwc.informationWithheld","dwc.accessRights","inhs.juv_males","inhs.instars_Female","dwc.associatedSequences","inhs.formI_males","dwc.datasetName","inhs.relic","idigbio.subgenus","dwc.kingdom","dwc.verbatimEventDate","dwc.phylum"
"119","",NA,NA,NA,"","32311361-e147-4ce5-8f92-7740aee538f4",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"Monroe Co.",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"ZZZ-093482","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"32311361-e147-4ce5-8f92-7740aee538f4","","b859d008bb1780e6ec3f3692ec69cf4d1bbc8200",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,NA,"Holothuria",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"","897C7C97-87B1-4DFF-A1ED-6B4C28E4F3A1","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"Gustav Paulay",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"7830-Echinodermata",2006,NA,"2014-09-12T14:13:08.478Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"157","",NA,NA,NA,"","fd2618ef-ca21-443a-a708-35862239d3f0",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"FLK-St-02","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"fd2618ef-ca21-443a-a708-35862239d3f0","","85d2dfdca5a6b541bc8c3994c7eb9f455ea2a18d",NA,NA,9,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,NA,"Holothuria",NA,"",NA,NA,6,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"","B9E0017C-2C72-4D20-A947-18ACB2AFCCEE","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"Robert Lasley, Arthur Anker, Sun Kim, Patricia Cabezas",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"7810-Echinodermata",2008,NA,"2014-09-12T11:00:42.409Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"519","",NA,NA,NA,"","22903ce6-2930-464f-8ed9-044a1ad99158",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"Monroe Co.",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"ZZZ-091415","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"22903ce6-2930-464f-8ed9-044a1ad99158","","4ef99e8e2ffabeabc6b53df32d2d18a0179d43e1",NA,NA,6,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,-80.6790833333333,"Holothuria",NA,"",NA,NA,13,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,24.8883833333333,NA,NA,"",NA,"","B392EDB4-04E9-4918-9CBB-9F0CD347AE82","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"O'Donnell, J.",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"3780-Echinodermata",2004,NA,"2014-09-12T18:18:07.566Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"768","",NA,NA,NA,"","709b90df-2112-49f1-8251-c22ec79cf91c",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"Monroe Co.",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"0M9G-0368-L","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"709b90df-2112-49f1-8251-c22ec79cf91c","","405f59327e75f65bd58c277ca2ac72dee3022e35",NA,NA,12,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,-81.5708333333333,"Holothuria",NA,"",NA,NA,11,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,24.5908333333333,NA,NA,"",NA,"","83ABB8C0-EA6B-461A-BA44-733D89F9AA83","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"Pete Kehoe",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"5730-Echinodermata",2005,NA,"2014-09-12T18:15:02.672Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"815","",NA,NA,NA,"","5e138378-af8b-4239-8b96-05445128c015",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"NCI-N. Summ Cut","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"5e138378-af8b-4239-8b96-05445128c015","","a160eb7362e91a550d817a3e2b0a617270e8a4d0",NA,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,-81.42,"Holothuria",NA,"",NA,NA,10,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,24.6583333333333,NA,NA,"",NA,"","CF693C35-0672-436E-9FBA-43B295AC208D","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"11442-Echinodermata",2004,NA,"2014-09-12T15:28:40.628Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"1161","",NA,NA,NA,"","9c051c29-4cf4-4444-985e-58d9016e4668",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"Monroe Co.",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"ZZZ-093482","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"9c051c29-4cf4-4444-985e-58d9016e4668","","0a81179ea9f62df03899a12d9e6753fbb70e270a",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,NA,"Holothuria",NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"","EC52E582-4783-4906-A023-08CB98EA0AEE","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"Gustav Paulay",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"7848-Echinodermata",2006,NA,"2014-09-12T14:17:44.409Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"1305","",NA,NA,NA,"","c84e8dec-0f96-40e3-9512-4e1fc06a09c5",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"NCI-Shark Chan RP","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"c84e8dec-0f96-40e3-9512-4e1fc06a09c5","","b67b063d3c0e6c3f1f4d27d48bc7e9a2a8942871",NA,NA,12,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,-81.5708333333333,"Holothuria",NA,"",NA,NA,11,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,24.5908333333333,NA,NA,"",NA,"","40EEB2D1-2D53-4672-8F4A-F891ECDAD1AA","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"11452-Echinodermata",2005,NA,"2014-09-12T18:14:40.937Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"1446","",NA,NA,NA,"","6bd5ba84-e9f5-4efd-bec8-e0460446cbd9",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"Monroe Co.",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"Liu-2005-03-01","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"6bd5ba84-e9f5-4efd-bec8-e0460446cbd9","","bf076e970d063758bbf231a3c75bd74550417674",NA,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,-81.620445,"Holothuria",NA,"",NA,NA,1,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,24.616353,NA,NA,"",NA,"","0588CDED-3961-42CD-8742-770734B123F3","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"Liu, H-C",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"4638-Echinodermata",2005,NA,"2014-09-12T16:49:07.881Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"1583","",NA,NA,NA,"","e0831110-31b1-4d5a-8821-549f2145d92f",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"FLK-St-02","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"e0831110-31b1-4d5a-8821-549f2145d92f","","c395f9bca159f137f5647d9f3ead8ed46f91969b",NA,NA,9,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,NA,"Holothuria",NA,"",NA,NA,6,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"","0A6E0E1E-75EB-4201-96D8-998BC0D9BD2D","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"Robert Lasley, Arthur Anker, Sun Kim, Patricia Cabezas",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"7804-Echinodermata",2008,NA,"2014-09-12T12:33:34.282Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"1852","",NA,NA,NA,"","4b569eb8-e467-4de6-9215-15b4bc6d41ce",NA,NA,NA,"",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,NA,NA,"FLK-St-02","Holothuria floridana",NA,"FLMNH",NA,"09/08/2014",NA,NA,NA,NA,NA,"",NA,"floridana",NA,"USA",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,"4b569eb8-e467-4de6-9215-15b4bc6d41ce","","b5295061aa4959f36d8df63827af1d729517dd7a",NA,NA,9,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","Holothuroidea",NA,NA,"Holothuria",NA,"",NA,NA,6,"872733a2-67a3-4c54-aa76-862735a5f334","","",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"","8DCFB971-9ED0-4FD2-8C9F-0740C787F601","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"Robert Lasley, Arthur Anker, Sun Kim, Patricia Cabezas",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Pourtalès","",NA,"Florida",NA,NA,NA,NA,"","Holothuriidae","",NA,"7812-Echinodermata",2008,NA,"2014-09-12T14:02:58.046Z","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
