"","dwc.relatedResourceID","idigbio.barcodeValue","dwc.associatedReferences","idigbio.subgenus","idigbio.associateDeterminedBy","dcterms.rights","dwc.verbatimLongitude","idigbio.substrate","idigbio.associateNotes","dwc.otherCatalogNumbers","dwc.verbatimLatitude","idigbio.associateAuthor","dwc.locality","inhs.superfamily","dwc.latestPeriodOrHighestSystem","inhs.dead","dwc.continent","dwc.originalNameUsage","dcterms.source","dwc.namePublishedIn","dwc.county","dwc.namePublishedInID","dwc.georeferenceVerificationStatus","dwc.identificationRemarks","dwc.collectionID","dwc.occurrenceStatus","dwc.higherClassification","dwc.fieldNotes","dwc.samplingEffort","inhs.juv_undetermined","dwc.scientificName","dwc.establishmentMeans","inhs.total_Males","dcterms.accessRights","dwc.locationID","idigbio.tribe","dwc.catalogNumber","inhs.juv_males","dwc.disposition","dwc.member","dwc.family","dwc.scientificNameID","http...symbiota.org.terms.verbatimScientificName","dwc.datasetID","dwc.recordNumber","dwc.verbatimCoordinateSystem","dwc.geodeticDatum","dwc.individualCount","dwc.earliestEpochOrLowestSeries","idigbio.determinationHistory","dwc.eventID","dwc.dynamicProperties","idigbio.createdBy","dwc.country","fcc.datePicked","dwc.associatedMedia","dwc.occurrenceID","dwc.dateIdentified","dwc.earliestPeriodOrLowestSystem","dwc.lifeStage","dwc.specificEpithet","dwc.individualID","dwc.identifiedBy","dwc.collectionCode","fcc.subfamily","dwc.institutionCode","dwc.reproductiveCondition","dwc.associatedOccurrences","inhs.instars_Female","dwc.coordinatePrecision","dwc.endDayOfYear","row.number","idigbio.associateCondition","dwc.bed","dcterms.references","symbiota.verbatimScientificName","dwc.taxonRank","dwc.eventDate","dwc.islandGroup","idigbio.hostFamily","dwc.behavior","dcterms.reference","dwc.formation","dwc.phylum","dwc.locationAccordingTo","inhs.formII_males","dwc.verbatimSRS","dwc.habitat","dwc.georeferenceRemarks","dwc.earliestEraOrLowestErathem","dcterms.rightsHolder","inhs.instars_Male","dwc.locationRemarks","dwc.nameAccordingTo","dwc.samplingProtocol","dwc.preparation","idigbio.associatedFamily","dwc.coordinateUncertaintyInMeters","dcterms.language","dwc.nomenclaturalStatus","dwc.minimumDepthInMeters","dwc.day","dwc.accessRights","dwc.earliestAgeOrLowestStage","dwc.month","dwc.georeferencedDate","dwc.group","fcc.pickedBy","dwc.verbatimCoordinates","dwc.associatedSequences","dwc.order","idigbio.associateCommonName","idigbio.preservative","idigbio.recordId","dwc.georeferencedBy","inhs.vouchered","dwc.nomenclaturalCode","dwc.taxonRemarks","inhs.live","dwc.eventRemarks","inhs.location_Stream","dwc.genus","inhs.location_Basin","idigbio.recordID","dwc.kingdom","dwc.lowestBiostratigraphicZone","dwc.eventTime","dwc.informationWithheld","dwc.basisOfRecord","dwc.municipality","dcterms.bibliographicCitation","dwc.taxonID","dwc.stateProvince","dwc.VerbatimEventDate","dwc.verbatimLocality","dwc.latestEraOrHighestErathem","dwc.infraspecificEpithet","dwc.typeStatus","dwc.georeferenceProtocol","idigbio.etag","idigbio.version","idigbio.associatedRelationship","dwc.year","dwc.fieldNumber","idigbio.dateModified","dwc.occurrenceRemarks","dwc.subgenus","inhs.location_RiverMile","fcc.superfamily","inhs.formI_males","dwc.georeferenceSources","dwc.sex","symbiotaverbatimScientificName","dwc.dataGeneralizations","dwc.preparations","dwc.identificationID","dwc.identificationReferences","inhs.juv_females","dwc.decimalLongitude","idigbio.endangeredStatus","idigbio.uuid","inhs.locationTrs","dwc.lithostratigraphicTerms","dwc.verbatimElevation","dwc.startDayOfYear","dwc.footprintWKT","dwc.class","dwc.verbatimDepth","dcterms.modified","dwc.waterBody","id","idigbio.associateRelationship","dwc.identificationQualifier","dwc.identificationVerificationStatus","dwc.vernacularName","dwc.verbatimEventDate","dwc.latestEpochOrHighestSeries","dwc.island","idigbio.recordIds","dwc.rightsHolder","inhs.relic","dwc.minimumElevationInMeters","inhs.formII_females","dwc.datasetName","dwc.rights","dcterms.type","dwc.associatedTaxa","dwc.verbatimTaxonRank","dwc.decimalLatitude","dwc.maximumDepthInMeters","dwc.countryCode","dwc.scientificNameAuthorship","dwc.institutionID","dwc.ownerInstitutionCode","idigbio.preparationCount","idigbio.subfamily","dwc.maximumElevationInMeters","idigbio.associateIdentifier","dwc.recordedBy","dwc.latestAgeOrHighestStage","inhs.total_females","dwc.higherGeography","dwc.previousIdentifications"
"174",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"Liu-2005-02-07",NA,"4635-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","Trinidad & Tobago",NA,"","6607D541-2644-492D-A94A-B96C88D4DACA","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,30,NA,NA,1,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Tobago Island",NA,NA,NA,"","","","fc327ad398e94f3c39867e1894193b0d9796eef2",NA,NA,2005,"","2014-09-12T10:14:52.457Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,-60.799119,NA,"ce08dda1-02cc-48a4-b516-3fc344e06db1",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","ce08dda1-02cc-48a4-b516-3fc344e06db1",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,11.140201,NA,NA,"Selenka","","",NA,NA,NA,NA,"Liu, H-C",NA,NA,"",NA
"184",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"GD41-MNHN",NA,"12839-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","Lesser Antilles",NA,"","2CAB4054-898E-454D-9A05-EBC8C67C3E02","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,19,NA,NA,5,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Guadeloupe Island",NA,NA,NA,"","","","ce97aa8092ad1a00fd0031b9ccdfd6141c7e0e65",NA,NA,2012,"","2014-09-12T10:29:23.103Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,-61.537167,NA,"66cdd5ed-2f44-4e6a-832a-f94c7f4ebe6d",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","66cdd5ed-2f44-4e6a-832a-f94c7f4ebe6d",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,16.348417,NA,NA,"Selenka","","",NA,NA,NA,NA,"Dominique Lamy, Laurent Pruvost",NA,NA,"",NA
"297",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"GP-Loc-856",NA,"4988-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","USA",NA,"","6628D422-CBF1-446F-8D08-3D5A25DA2BE5","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,4,NA,NA,4,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Florida",NA,NA,NA,"","","","4ea4bc30e1e7634643f69b0bec3069076f3f4fb1",NA,NA,2006,"","2014-09-12T17:30:40.403Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,-80.3231944444444,NA,"afafce3f-64c8-420d-b0e2-1bb44e80a81a",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","afafce3f-64c8-420d-b0e2-1bb44e80a81a",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,27.4558333333333,NA,NA,"Selenka","","",NA,NA,NA,NA,"Gustav Paulay",NA,NA,"",NA
"410",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"STM-032",NA,"11807-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","French Antilles",NA,"","A2B1A8BE-60D8-4A6C-BCD6-B4794685C925","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,14,NA,NA,4,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"St. Martin",NA,NA,NA,"","","","967e7c49bd2afeec1b588bed66c2e45042518a54",NA,NA,2012,"","2014-09-12T12:54:55.575Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,-63.014,NA,"802001ae-5ba5-4378-8314-c836d0c91c05",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","802001ae-5ba5-4378-8314-c836d0c91c05",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,18.078,NA,NA,"Selenka","","",NA,NA,NA,NA,"Gustav Paulay, John Slapcinsky, Mandy Bemis, François Michonneau, Jean-Philippe Marechal, Romain Renoux",NA,NA,"",NA
"549",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"St. Lucie Co.",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"FTP-13",NA,"7828-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","USA",NA,"","D62D5C5B-C998-4214-92EA-84A1A4673FC4","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,5,NA,NA,3,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Florida",NA,NA,NA,"","","","2d13d1d1fbe9667760ba3872f90959b3375b2fd6",NA,NA,2008,"","2014-09-12T17:28:39.518Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"105df7e6-d9ce-40df-b9a0-d809e610e83a",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","105df7e6-d9ce-40df-b9a0-d809e610e83a",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Selenka","","",NA,NA,NA,NA,"L. Weigt",NA,NA,"",NA
"765",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"GM27-MNHN",NA,"12682-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","Lesser Antilles",NA,"","A4EACD5C-F341-46B7-9223-85D84EF41C0A","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,20,NA,NA,5,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Guadeloupe Island",NA,NA,NA,"","","","f35667f75adb3424a9b71af9d9e95fa4a9113f87",NA,NA,2012,"","2014-09-12T15:15:01.551Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,-61.444786,NA,"9c3340cc-6b2f-4494-a0a9-099f42f826bd",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","9c3340cc-6b2f-4494-a0a9-099f42f826bd",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,16.202803,NA,NA,"Selenka","","",NA,NA,NA,NA,"Guillaume Dirberg, Joseph Poupin",NA,NA,"",NA
"1290",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"GM27-MNHN",NA,"12856-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","Lesser Antilles",NA,"","F611238A-2283-4EFC-9F3A-A6435FF18202","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,20,NA,NA,5,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Guadeloupe Island",NA,NA,NA,"","","","2dd94bf5f7e9cbf51cb3073fb9e2d63b78de9cff",NA,NA,2012,"","2014-09-12T18:33:29.258Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,-61.444786,NA,"178dc402-7a19-44de-9a65-a3d9f527dfaf",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","178dc402-7a19-44de-9a65-a3d9f527dfaf",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,16.202803,NA,NA,"Selenka","","",NA,NA,NA,NA,"Guillaume Dirberg, Joseph Poupin",NA,NA,"",NA
"1420",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"GP-Loc-856",NA,"4460-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","USA",NA,"","E8BB8835-A0D2-43B4-99D0-DDC8B651DCF4","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,4,NA,NA,4,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Florida",NA,NA,NA,"","","","e7eb76c223c9d81196f4fc8057a543b122f9b69d",NA,NA,2006,"","2014-09-12T14:49:00.271Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,-80.3231944444444,NA,"9041f5d6-0411-496c-b98f-ecacbdc0b3c8",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","9041f5d6-0411-496c-b98f-ecacbdc0b3c8",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,27.4558333333333,NA,NA,"Selenka","","",NA,NA,NA,NA,"Gustav Paulay",NA,NA,"",NA
"1455",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"Anton Lizardo, Giote Reef",NA,NA,NA,"Atlantic Ocean",NA,NA,NA,"",NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria grisea",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"",NA,"127876",NA,"not applicable",NA,"Holothuriidae",NA,NA,NA,"","","",1,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127876","MCZ:IZ:127876","2012-11-01 00:00:00.0",NA,NA,"grisea",NA,"Francisco Sólis Marín","IZ",NA,"MCZ",NA,"from same lot as          <a href=""http://arctos.database.museum/SpecimenDetail.cfm?collection_object_id=3230001""> MCZ IZ 126404</a>",NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127876",NA,NA,"1956-04-17",NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,"","",NA,"President and Fellows of Harvard College",NA,"",NA,"",NA,NA,NA,"en",NA,1.2192,NA,NA,NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"ICZN",NA,NA,"",NA,"Holothuria",NA,NA,"Animalia",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"",NA,NA,NA,"","","","2bebeed485569000c66a2cac9f5a5c16469d0a64",NA,NA,NA,"","2014-02-28T06:20:45.438Z",NA,NA,NA,NA,NA,"","",NA,NA,"whole animal (dry)",NA,NA,NA,NA,NA,"33b753c1-63e9-45fd-972b-0ad6b006a546",NA,NA,NA,0,NA,"Holothuroidea","","2012-12-05 13:03:04.0","","33b753c1-63e9-45fd-972b-0ad6b006a546",NA,NA,"",NA,"April 17, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,2.7432,NA,"Selenka, 1867","b4640710-8e03-11d8-b956-b8a03c50a862","Museum of Comparative Zoology, Harvard University",NA,NA,NA,NA,"Samuel F. Hildebrand",NA,NA,"Atlantic Ocean, Atlantic, Western Central, Gulf of Mexico",NA
"1756",NA,NA,"",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,"",NA,NA,NA,"St. Lucie Co.",NA,NA,"",NA,NA,"",NA,NA,NA,"Holothuria grisea",NA,NA,NA,"FTP-14",NA,"7829-Echinodermata",NA,"",NA,"Holothuriidae",NA,NA,NA,"","","",NA,NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334","USA",NA,"","D343BA54-210D-464C-A56D-62A34F16CB9A","",NA,NA,"grisea",NA,"","Invertebrate Zoology",NA,"FLMNH",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,5,NA,NA,3,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"",NA,NA,"",NA,"Holothuria",NA,NA,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Florida",NA,NA,NA,"","","","3804062e0c6f1bcb47d4e7f3fb30f8a22f8152b5",NA,NA,2008,"","2014-09-12T15:16:57.281Z",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,"cc486c88-9858-4baf-bb5d-0acea071e958",NA,NA,NA,NA,NA,"Holothuroidea","","09/08/2014","","cc486c88-9858-4baf-bb5d-0acea071e958",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Selenka","","",NA,NA,NA,NA,"J. Harasewych",NA,NA,"",NA
