"","dwc.earliestPeriodOrLowestSystem","dwc.dynamicProperties","dwc.individualCount","dwc.verbatimLongitude","dwc.identificationVerificationStatus","idigbio.hostFamily","dcterms.modified","dwc.continent","dwc.decimalLongitude","dwc.stateProvince","idigbio.recordId","dwc.associatedReferences","dwc.dateIdentified","dwc.catalogNumber","dwc.datasetID","dwc.nomenclaturalStatus","dwc.taxonRemarks","dwc.identificationRemarks","dwc.specificEpithet","dwc.datasetName","dwc.endDayOfYear","dwc.verbatimDepth","dwc.day","dwc.verbatimTaxonRank","dwc.institutionID","dwc.collectionID","idigbio.associateIdentifier","fcc.datePicked","idigbio.associateRelationship","dwc.eventRemarks","dwc.originalNameUsage","dwc.minimumDepthInMeters","dwc.rights","dwc.startDayOfYear","dwc.behavior","dwc.locationAccordingTo","dcterms.bibliographicCitation","dwc.latestEpochOrHighestSeries","dwc.scientificName","dwc.country","dwc.georeferenceProtocol","dwc.latestPeriodOrHighestSystem","dwc.identificationID","dwc.island","dwc.taxonID","dwc.taxonRank","dwc.basisOfRecord","inhs.superfamily","dwc.geodeticDatum","dwc.rightsHolder","dwc.previousIdentifications","dwc.georeferenceRemarks","inhs.formII_males","idigbio.determinationHistory","dwc.lifeStage","idigbio.etag","dwc.phylum","inhs.formII_females","inhs.relic","dwc.identifiedBy","dwc.nomenclaturalCode","dwc.georeferenceSources","dwc.earliestAgeOrLowestStage","dcterms.accessRights","id","dwc.earliestEpochOrLowestSeries","dwc.verbatimEventDate","dwc.latestEraOrHighestErathem","idigbio.createdBy","dwc.occurrenceID","dwc.higherClassification","idigbio.subfamily","inhs.locationTrs","dwc.countryCode","dwc.identificationQualifier","dwc.preparations","symbiota.verbatimScientificName","dwc.associatedTaxa","dwc.formation","fcc.pickedBy","idigbio.associateNotes","dwc.vernacularName","dwc.otherCatalogNumbers","idigbio.associateDeterminedBy","dwc.associatedSequences","idigbio.tribe","idigbio.endangeredStatus","dwc.eventID","idigbio.preparationCount","idigbio.associateCommonName","inhs.juv_females","dwc.dataGeneralizations","dwc.minimumElevationInMeters","dwc.group","inhs.location_RiverMile","dcterms.rightsHolder","http...symbiota.org.terms.verbatimScientificName","dwc.nameAccordingTo","inhs.formI_males","dwc.georeferenceVerificationStatus","inhs.location_Stream","dwc.family","inhs.dead","fcc.subfamily","dwc.islandGroup","fcc.superfamily","dwc.verbatimCoordinateSystem","dwc.reproductiveCondition","dwc.coordinatePrecision","dcterms.reference","dwc.genus","dwc.institutionCode","dwc.kingdom","dwc.collectionCode","dwc.verbatimSRS","idigbio.associateAuthor","idigbio.associatedFamily","dwc.typeStatus","dwc.waterBody","dwc.fieldNotes","dwc.county","inhs.live","dwc.verbatimElevation","row.number","dwc.informationWithheld","idigbio.version","dwc.namePublishedInID","idigbio.associatedRelationship","dwc.month","dcterms.source","dwc.decimalLatitude","dwc.higherGeography","inhs.juv_undetermined","dwc.lowestBiostratigraphicZone","dwc.individualID","dwc.associatedOccurrences","dwc.municipality","dwc.disposition","dwc.verbatimCoordinates","inhs.instars_Female","dcterms.type","dwc.georeferencedBy","dwc.recordNumber","dwc.occurrenceStatus","dwc.lithostratigraphicTerms","dwc.verbatimLatitude","dwc.samplingEffort","dcterms.language","inhs.juv_males","dwc.earliestEraOrLowestErathem","dwc.sex","inhs.location_Basin","dwc.namePublishedIn","idigbio.preservative","dcterms.rights","dwc.occurrenceRemarks","idigbio.dateModified","dwc.footprintWKT","inhs.instars_Male","dwc.eventTime","dwc.order","dwc.bed","dwc.year","idigbio.uuid","dwc.recordedBy","dwc.class","dwc.maximumElevationInMeters","idigbio.associateCondition","inhs.total_Males","dwc.identificationReferences","dwc.maximumDepthInMeters","dcterms.references","dwc.preparation","dwc.VerbatimEventDate","dwc.coordinateUncertaintyInMeters","dwc.habitat","dwc.member","inhs.vouchered","dwc.scientificNameAuthorship","dwc.relatedResourceID","idigbio.recordID","dwc.latestAgeOrHighestStage","dwc.infraspecificEpithet","dwc.accessRights","dwc.samplingProtocol","dwc.scientificNameID","dwc.locality","idigbio.substrate","dwc.locationID","idigbio.subgenus","symbiotaverbatimScientificName","dwc.fieldNumber","dwc.locationRemarks","dwc.ownerInstitutionCode","idigbio.barcodeValue","dwc.georeferencedDate","inhs.total_females","dwc.establishmentMeans","idigbio.recordIds","dwc.eventDate","dwc.subgenus","dwc.verbatimLocality","dwc.associatedMedia"
"99",NA,"",NA,"","",NA,"09/08/2014","",166.65115,"Wake Island",NA,"","","4520-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",16,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","USA","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"e12828696e3eee0580735bf58b3540bb704ba726","",NA,NA,"","","",NA,NA,"d5201d41-3901-4a08-a0e6-036d287d597d",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","8DE6F432-176F-434A-93B6-52650E8EC1AC","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,11,NA,19.27117,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T13:41:05.118Z",NA,NA,NA,"Aspidochirotida",NA,2005,"d5201d41-3901-4a08-a0e6-036d287d597d","Bonito, V.","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"Bonito-Wake-09",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"112",NA,"",NA,"","",NA,"09/08/2014","",145.820999,"Madang Province",NA,"","","15463-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",22,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Papua New Guinea","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"16043dec8c36aa94d2e15735161fbc266965a3bd","",NA,NA,"","","",NA,NA,"0ede1216-a219-4b57-adc0-1c67b9f0b661",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","BBB50FF4-ABDE-4A40-9E8B-0393FE950735","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,11,NA,-5.133667,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T13:57:03.990Z",NA,NA,NA,"Aspidochirotida",NA,2012,"0ede1216-a219-4b57-adc0-1c67b9f0b661","Hugh Morrison, François Michonneau, Daisuke Uyeno, Inga Meyer-Wachsmuth","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"PR78",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"113",NA,"",NA,"","",NA,"09/08/2014","",-166.2168,"Hawaiian Islands",NA,"","","6168-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",18,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","USA","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"a01ee360cd18cb7f7c288e2dfeaa5c9f40178644","",NA,NA,"","","",NA,NA,"4ac3ea19-79d0-4e8e-8f76-2c8a9ba21f4a",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","9E27B297-315C-4D49-B314-4261834886CC","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"French Frigate Shoals",NA,NA,NA,NA,NA,NA,NA,10,NA,23.8563,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T13:58:25.688Z",NA,NA,NA,"Aspidochirotida",NA,2006,"4ac3ea19-79d0-4e8e-8f76-2c8a9ba21f4a","Cory Pittman, Gustav Paulay, Sea McKeon, John Starmer, Tito Lotufo, Jim Maragos, Scott Godwin & Russell Moffitt","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"FFS-0105",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"128",NA,"",NA,"","",NA,"09/08/2014","",178.457433333333,"Fiji Islands",NA,"","","357-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",10,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Fiji","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"ccaee8e3980ee3e2aaf9357072e3eac109a4a8f3","",NA,NA,"","","",NA,NA,"4255485e-572f-4915-8748-af1d997116ef",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","AF8E168D-3F37-4D2F-A213-FF02D9EB5F03","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"Viti Levu Island",NA,NA,NA,NA,NA,NA,NA,11,NA,-18.1788166666667,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T09:20:01.375Z",NA,NA,NA,"Aspidochirotida",NA,2001,"4255485e-572f-4915-8748-af1d997116ef","Kirkendale, L. & Bonito, V.","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"LAK-015C",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"176",NA,"",NA,"","",NA,"09/08/2014","",37.247667,"",NA,"","","14263-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",4,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Saudi Arabia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"c14e5f374b763e3dcad7c908dcba0405ac6a2594","",NA,NA,"","","",NA,NA,"b6fc5717-c148-46e7-a081-a2c808360e76",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","D65BEEE2-ABAC-47CD-9F25-AEED1C8874E1","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,10,NA,24.442683,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T10:18:23.781Z",NA,NA,NA,"Aspidochirotida",NA,2013,"b6fc5717-c148-46e7-a081-a2c808360e76","Daisuke Uyeno","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"NORS-20B",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"193",NA,"",NA,"","",NA,"09/08/2014","",NA,"Pitcairn Islands",NA,"","","3515-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",4,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Pitcairn Islands","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"2de738578281aa98f64f731355547e69a1e5fc57","",NA,NA,"","","",NA,NA,"fbc939f5-c3d4-4e38-ad8f-d2266e8bff27",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","129B9D0B-7B88-4ABC-A4E7-EB785C1BF51C","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"Oeno Atoll",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T12:03:40.858Z",NA,NA,NA,"Aspidochirotida",NA,1997,"fbc939f5-c3d4-4e38-ad8f-d2266e8bff27","Starmer, J.","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"JAS-OEN-041",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"207",NA,"",NA,"","",NA,"09/08/2014","",145.817795,"Madang Province",NA,"","","14573-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",10,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Papua New Guinea","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"bbf0f837b693d61da004b3ecd91c1128df4bb2c0","",NA,NA,"","","",NA,NA,"5cfc61db-2f0a-4efe-be43-99de15080f4d",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","66790E55-A446-4C40-919C-0086E949890D","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,11,NA,-5.207716,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T12:33:34.386Z",NA,NA,NA,"Aspidochirotida",NA,2012,"5cfc61db-2f0a-4efe-be43-99de15080f4d","Hugh Morrison, Julian FINN, Heok Hui Tan, Anthony Berberian, Vanessa Knutson","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"PR16",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"210",NA,"",NA,"","",NA,"09/08/2014","",NA,"Queensland",NA,"","","8291-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",9,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Australia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"b392e32d6ef16c83dfe3181af9fd221fd83634b4","",NA,NA,"","","",NA,NA,"dd8df83b-fd60-44bf-a840-8727f9f69750",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","B9F4DA9C-1C53-4BC9-939B-5C5A579BC0A8","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T12:42:18.277Z",NA,NA,NA,"Aspidochirotida",NA,2009,"dd8df83b-fd60-44bf-a840-8727f9f69750","Robert Lasley","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"AUST-ST-010",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"251",NA,"",NA,"","",NA,"09/08/2014","",-109.4253,"Baja California Sur",NA,"","","16155-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",28,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","Mexico","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"f07f3c6d9770ed9f62e5030c54e9f26275a6c4d8","",NA,NA,"","","",NA,NA,"b60ceac7-9ff2-4b26-ab7d-4f07f0d45659",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","3B980592-6D7F-4C96-A24B-87D531EBF485","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,23.3827,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T16:01:51.391Z",NA,NA,NA,"Aspidochirotida",NA,1972,"b60ceac7-9ff2-4b26-ab7d-4f07f0d45659","T. A. Ebert, D. M. Dexter","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"Ebert-Los Frailes",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
"252",NA,"",NA,"","",NA,"09/08/2014","",-138.678,"Marquesas Islands",NA,"","","14094-Echinodermata",NA,NA,NA,"","hilla",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria hilla","French Polynesia","",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"5bccd087a9f339b6e6b5514d683f1f3ca2288ef8","",NA,NA,"","","",NA,NA,"3209b802-9518-4cc1-85bc-bcee55d61202",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","517B2931-DEC4-4447-9F96-AE4913A9FBC6","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,NA,"Holothuria","FLMNH","","Invertebrate Zoology",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,-10.47183,"",NA,NA,NA,"",NA,"","",NA,"","","",NA,NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"2014-09-12T16:25:08.981Z",NA,NA,NA,"Aspidochirotida",NA,2012,"3209b802-9518-4cc1-85bc-bcee55d61202","John Starmer","Holothuroidea",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"Lesson",NA,NA,NA,"",NA,"",NA,"",NA,"MQ-15",NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,""
