"","dwc.locationRemarks","idigbio.etag","inhs.juv_females","dwc.verbatimSRS","dwc.catalogNumber","dwc.latestPeriodOrHighestSystem","dwc.stateProvince","dwc.identificationVerificationStatus","dwc.verbatimLocality","dwc.preparation","dwc.occurrenceStatus","inhs.instars_Female","dwc.minimumElevationInMeters","dwc.verbatimElevation","dwc.locality","dwc.otherCatalogNumbers","dwc.georeferencedBy","dwc.scientificName","inhs.formII_males","fcc.subfamily","idigbio.associateCondition","idigbio.barcodeValue","dwc.family","dwc.dataGeneralizations","dwc.verbatimDepth","dwc.associatedMedia","dwc.originalNameUsage","dwc.endDayOfYear","idigbio.determinationHistory","dwc.day","dwc.order","symbiotaverbatimScientificName","dcterms.rightsHolder","dwc.informationWithheld","dcterms.rights","idigbio.preservative","dcterms.modified","inhs.location_Stream","dwc.associatedTaxa","dwc.bed","dwc.latestAgeOrHighestStage","inhs.live","dwc.institutionCode","dwc.dateIdentified","dwc.geodeticDatum","dwc.continent","dwc.waterBody","dwc.earliestAgeOrLowestStage","dwc.occurrenceID","dwc.class","dwc.lithostratigraphicTerms","dwc.phylum","inhs.formII_females","dwc.verbatimTaxonRank","dwc.behavior","dwc.sex","idigbio.recordIds","dwc.identifiedBy","dwc.year","idigbio.uuid","dwc.recordedBy","dwc.subgenus","dwc.earliestEraOrLowestErathem","dwc.associatedReferences","dwc.group","dwc.nomenclaturalStatus","dwc.rights","dwc.higherGeography","dwc.nomenclaturalCode","dwc.coordinatePrecision","dcterms.source","dwc.formation","dwc.accessRights","dwc.scientificNameID","dwc.preparations","dwc.islandGroup","dwc.individualID","dwc.collectionID","dwc.startDayOfYear","dwc.countryCode","dwc.genus","idigbio.associateIdentifier","dwc.georeferenceRemarks","dwc.kingdom","dwc.decimalLatitude","dwc.latestEraOrHighestErathem","inhs.formI_males","symbiota.verbatimScientificName","dwc.minimumDepthInMeters","dwc.previousIdentifications","dcterms.language","dwc.lifeStage","inhs.juv_males","dcterms.type","dwc.taxonRemarks","inhs.location_Basin","dwc.samplingProtocol","dwc.georeferenceSources","dwc.identificationRemarks","idigbio.subfamily","dwc.fieldNumber","dwc.maximumElevationInMeters","inhs.superfamily","dwc.scientificNameAuthorship","dwc.fieldNotes","dwc.identificationReferences","dwc.dynamicProperties","dwc.decimalLongitude","dwc.eventID","dwc.collectionCode","dwc.county","inhs.instars_Male","dwc.taxonRank","dwc.taxonID","idigbio.substrate","dwc.occurrenceRemarks","dwc.associatedOccurrences","dwc.establishmentMeans","dwc.samplingEffort","dwc.locationID","dwc.identificationQualifier","idigbio.associatedFamily","idigbio.recordID","idigbio.endangeredStatus","dwc.maximumDepthInMeters","dwc.island","dwc.nameAccordingTo","dwc.eventTime","idigbio.preparationCount","inhs.relic","idigbio.associateCommonName","idigbio.associateAuthor","inhs.total_Males","fcc.datePicked","dwc.datasetID","dwc.coordinateUncertaintyInMeters","dwc.disposition","dwc.infraspecificEpithet","dwc.georeferenceVerificationStatus","idigbio.associateRelationship","fcc.superfamily","dwc.verbatimCoordinates","dwc.verbatimLongitude","dwc.eventRemarks","dwc.earliestEpochOrLowestSeries","dwc.higherClassification","dwc.identificationID","dwc.basisOfRecord","inhs.total_females","idigbio.subgenus","idigbio.associateDeterminedBy","idigbio.createdBy","dwc.member","inhs.locationTrs","dwc.relatedResourceID","dwc.lowestBiostratigraphicZone","dwc.georeferencedDate","dwc.verbatimCoordinateSystem","dwc.month","dwc.verbatimLatitude","dwc.typeStatus","dwc.individualCount","dcterms.bibliographicCitation","idigbio.recordId","dwc.recordNumber","id","http...symbiota.org.terms.verbatimScientificName","dwc.associatedSequences","dwc.latestEpochOrHighestSeries","dwc.eventDate","dwc.vernacularName","inhs.juv_undetermined","dwc.namePublishedIn","fcc.pickedBy","dwc.ownerInstitutionCode","inhs.vouchered","dcterms.reference","dwc.institutionID","idigbio.tribe","dcterms.references","dwc.country","dwc.datasetName","idigbio.version","dwc.municipality","idigbio.associatedRelationship","dwc.namePublishedInID","dwc.VerbatimEventDate","dwc.earliestPeriodOrLowestSystem","idigbio.associateNotes","dwc.reproductiveCondition","dwc.verbatimEventDate","dcterms.accessRights","dwc.rightsHolder","dwc.habitat","dwc.georeferenceProtocol","inhs.dead","inhs.location_RiverMile","dwc.locationAccordingTo","idigbio.dateModified","row.number","dwc.specificEpithet","dwc.footprintWKT","idigbio.hostFamily"
"98","","c839d585b5583f2d9079358ac4a3ddbc4027d39d",NA,NA,"5624-Echinodermata",NA,"Siquijor Prov.","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,21,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"FB50D8A3-2FDA-485B-A0C8-89AA7E963743","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2006,"5475296c-34e6-4ed3-9e1f-0d120657e437","Kris Netchy & Alex Kerr",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",9.22212,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",123.44926,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"SEMP-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",5,"","",NA,NA,NA,"","5475296c-34e6-4ed3-9e1f-0d120657e437",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:38:08.092Z",NA,"impatiens",NA,NA
"101","","11a92d9b85a4c8cee134d7ddf9ae032df23f9dba",NA,NA,"6774-Echinodermata",NA,"Marshall Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,7,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"3415C6C1-6A09-4161-85DC-61AB3345E52F","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2008,"56514b92-bae1-424e-a618-aa131472af25","François Michonneau & Sun Kim",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",7.12419,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",171.35625,NA,"Invertebrate Zoology","Majuro Atoll",NA,NA,NA,NA,NA,"",NA,NA,"FM-St-MAJ08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",4,"","",NA,NA,NA,"","56514b92-bae1-424e-a618-aa131472af25",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Republic of the Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:43:19.403Z",NA,"impatiens",NA,NA
"107","","59a717c136d1c277b58a067bc7e55ccb2530617e",NA,NA,"7318-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,26,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"C98584D7-F668-491A-A3CC-00F73F89F2D2","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2008,"7c8b41d9-e949-4f71-a74e-c3fb8dff6ccd","A. Anker, G. Bakary, F. Michonneau, G. Paulay, T. Werner",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-13.44624,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",48.33157,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"MGNW-51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",5,"","",NA,NA,NA,"","7c8b41d9-e949-4f71-a74e-c3fb8dff6ccd",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Madagascar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:04:00.809Z",NA,"impatiens",NA,NA
"133","","44c5d293f49e37d5bd7eba7bc481f968a89e0e29",NA,NA,"6059-Echinodermata",NA,"Hawaiian Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,NA,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"F98F5F58-06FC-4EDC-877B-E0DA5E868D52","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2006,"9556e40d-afef-49d7-b161-a0740a5861d3","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","Oahu Island",NA,NA,NA,NA,NA,"",NA,NA,"FFS-OAHU-RUBEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",10,"","",NA,NA,NA,"","9556e40d-afef-49d7-b161-a0740a5861d3",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T11:30:17.056Z",NA,"impatiens",NA,NA
"147","","7c68f952b10413ea9abb9f0433e3e2f8ae789280",NA,NA,"1611-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,5,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"54977C95-01F6-437C-BE33-3A57D4B39411","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2003,"19892b52-6b99-46cd-890d-a447e07f866f","Paulay, G.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"BPAL-094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",3,"","",NA,NA,NA,"","19892b52-6b99-46cd-890d-a447e07f866f",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T09:41:53.028Z",NA,"impatiens",NA,NA
"149","","733decab827462bf2436a8c6d911d7d2af519f41",NA,NA,"5326-Echinodermata",NA,"Society Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,5,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"3D390042-5A87-4DBB-AF31-E8FE2496D202","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2006,"5f513a48-8f76-4401-a68f-5aab14ef9c14","Christian McKeon, Chris Meyer",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-17.4748,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-149.8188,NA,"Invertebrate Zoology","Moorea Island",NA,NA,NA,NA,NA,"",NA,NA,"GP-Loc-902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",8,"","",NA,NA,NA,"","5f513a48-8f76-4401-a68f-5aab14ef9c14",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T09:47:00.089Z",NA,"impatiens",NA,NA
"152","","454ddc96072cc5a98573cfc81a47775ee4807453",NA,NA,"1981-Echinodermata",NA,"Cook Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,1,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"B9385A1A-5079-4C19-BAEC-26E500227E8F","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",1984,"50fd87ac-47e3-45d9-9c6d-059b4c2e1cb3","Paulay, G.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-21.2,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-159.8,NA,"Invertebrate Zoology","Rarotonga Island",NA,NA,NA,NA,NA,"",NA,NA,"HRAR-005C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",10,"","",NA,NA,NA,"","50fd87ac-47e3-45d9-9c6d-059b4c2e1cb3",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T09:50:59.835Z",NA,"impatiens",NA,NA
"163","","b4affc7228c9dab3e6ab18aa654217acdf09b30f",NA,NA,"4713-Echinodermata",NA,"Mariana Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,19,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"42331447-6FD6-4322-9472-A7656E381EE6","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2003,"89110495-64b1-4eee-a285-57d2651a0fc9","Paulay, G., Malay, M., Bonito, V.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",13.5,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",144.8,NA,"Invertebrate Zoology","Guam Island",NA,NA,NA,NA,NA,"",NA,NA,"GP-Loc-764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",7,"","",NA,NA,NA,"","89110495-64b1-4eee-a285-57d2651a0fc9",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T11:18:34.262Z",NA,"impatiens",NA,NA
"178","","c1782645cff74c64352f6e4f019322a56aada5f5",NA,NA,"5877-Echinodermata",NA,"Caroline Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,4,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"B2ABCB3D-7A21-4B9B-99F9-03615E3C5DEB","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2007,"7c433462-c39e-4e19-af80-55a54ee0dc27","Kris Netchy & Alex Kerr",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",9.54901,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",138.08598,NA,"Invertebrate Zoology","Yap State",NA,NA,NA,NA,NA,"",NA,NA,"AK-Yap-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",8,"","",NA,NA,NA,"","7c433462-c39e-4e19-af80-55a54ee0dc27",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Federated States of Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T10:18:04.308Z",NA,"impatiens",NA,NA
"179","","cb0207538bc5bf326f21408c49488aa142ba5f4e",NA,NA,"1858-Echinodermata",NA,"Hawaiian Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,5,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"164C304D-A7E6-48B0-BA36-08F784A48181","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",1998,"7781b87e-3c8f-41c0-b5f6-030cae3546f8","Pittman, C.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","Maui Island",NA,NA,NA,NA,NA,"",NA,NA,"ZZZ-088989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",11,"","",NA,NA,NA,"","7781b87e-3c8f-41c0-b5f6-030cae3546f8",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T10:20:03.663Z",NA,"impatiens",NA,NA
