"","inhs.formI_males","dwc.individualID","inhs.formII_females","dwc.georeferenceProtocol","dwc.bed","dwc.group","dwc.nomenclaturalStatus","dwc.order","dwc.georeferencedBy","inhs.dead","dwc.samplingProtocol","dwc.individualCount","dcterms.language","dwc.samplingEffort","dwc.latestEpochOrHighestSeries","symbiota.verbatimScientificName","row.number","dwc.verbatimDepth","idigbio.associateNotes","dwc.rights","dwc.minimumDepthInMeters","idigbio.associateCommonName","dcterms.rights","dwc.institutionID","dwc.specificEpithet","inhs.vouchered","dwc.ownerInstitutionCode","dwc.associatedSequences","fcc.pickedBy","dwc.subgenus","dwc.informationWithheld","dwc.maximumElevationInMeters","dwc.month","dcterms.source","idigbio.associateIdentifier","dwc.locality","dwc.identificationID","dwc.associatedReferences","dcterms.rightsHolder","dwc.minimumElevationInMeters","dwc.occurrenceStatus","dwc.lowestBiostratigraphicZone","dwc.dateIdentified","dwc.taxonID","dwc.verbatimLatitude","dwc.locationID","dwc.VerbatimEventDate","dwc.occurrenceRemarks","idigbio.subfamily","dwc.eventID","inhs.formII_males","dwc.verbatimCoordinates","dwc.associatedMedia","dwc.catalogNumber","dwc.county","dwc.identificationVerificationStatus","dwc.family","dwc.member","dwc.taxonRemarks","dwc.country","dwc.formation","dwc.locationRemarks","dwc.continent","inhs.instars_Female","dwc.originalNameUsage","dcterms.modified","dwc.occurrenceID","dwc.scientificName","inhs.juv_males","dwc.footprintWKT","dwc.endDayOfYear","dcterms.accessRights","idigbio.createdBy","inhs.juv_females","fcc.superfamily","dwc.locationAccordingTo","dwc.vernacularName","dwc.maximumDepthInMeters","dwc.phylum","idigbio.endangeredStatus","dwc.coordinateUncertaintyInMeters","dwc.identificationReferences","dwc.fieldNumber","idigbio.associateRelationship","idigbio.preservative","dwc.islandGroup","dwc.earliestPeriodOrLowestSystem","dwc.georeferenceVerificationStatus","dwc.otherCatalogNumbers","dwc.sex","dwc.waterBody","dwc.day","dwc.dataGeneralizations","inhs.total_females","idigbio.associatedRelationship","dwc.recordedBy","inhs.live","dwc.preparation","dwc.datasetName","dwc.decimalLatitude","dwc.typeStatus","dwc.countryCode","idigbio.uuid","dwc.verbatimTaxonRank","dwc.geodeticDatum","idigbio.recordIds","dwc.higherClassification","dwc.nameAccordingTo","fcc.datePicked","dwc.verbatimLongitude","dwc.namePublishedIn","dwc.coordinatePrecision","dwc.institutionCode","dwc.verbatimElevation","idigbio.barcodeValue","dwc.startDayOfYear","dwc.lithostratigraphicTerms","dwc.earliestEraOrLowestErathem","dwc.datasetID","dwc.georeferenceSources","dwc.preparations","inhs.location_Basin","dwc.collectionCode","dwc.disposition","inhs.location_Stream","dwc.rightsHolder","dwc.previousIdentifications","dwc.genus","idigbio.associatedFamily","dwc.municipality","idigbio.version","id","inhs.instars_Male","inhs.superfamily","idigbio.dateModified","dwc.reproductiveCondition","dcterms.type","dwc.verbatimLocality","dwc.eventDate","inhs.juv_undetermined","dwc.dynamicProperties","idigbio.determinationHistory","dwc.verbatimSRS","dwc.habitat","dwc.scientificNameID","dcterms.reference","dwc.behavior","idigbio.subgenus","dwc.identificationRemarks","dwc.identificationQualifier","dwc.georeferencedDate","dwc.taxonRank","idigbio.associateAuthor","dcterms.references","dwc.stateProvince","idigbio.associateCondition","dwc.eventRemarks","idigbio.etag","inhs.total_Males","dwc.island","dwc.higherGeography","dwc.eventTime","dwc.namePublishedInID","dwc.earliestEpochOrLowestSeries","inhs.locationTrs","dcterms.bibliographicCitation","idigbio.associateDeterminedBy","idigbio.preparationCount","dwc.accessRights","dwc.georeferenceRemarks","dwc.kingdom","dwc.latestEraOrHighestErathem","dwc.year","dwc.recordNumber","inhs.relic","dwc.earliestAgeOrLowestStage","idigbio.substrate","dwc.associatedOccurrences","dwc.scientificNameAuthorship","dwc.basisOfRecord","dwc.infraspecificEpithet","fcc.subfamily","idigbio.hostFamily","inhs.location_RiverMile","dwc.verbatimCoordinateSystem","dwc.latestAgeOrHighestStage","idigbio.recordID","dwc.decimalLongitude","idigbio.tribe","dwc.identifiedBy","dwc.verbatimEventDate","dwc.lifeStage","http...symbiota.org.terms.verbatimScientificName","dwc.collectionID","dwc.nomenclaturalCode","idigbio.recordId","dwc.class","dwc.relatedResourceID","symbiotaverbatimScientificName","dwc.fieldNotes","dwc.establishmentMeans","dwc.latestPeriodOrHighestSystem","dwc.associatedTaxa"
"129",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,7,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","BOKI-01-1",NA,NA,NA,NA,NA,"","","3883-Echinodermata","Cape Zanpa","","Holothuriidae",NA,NA,"Japan",NA,"","",NA,NA,"09/08/2014","8C2353C4-9B4F-419E-AD78-295D5BCF7ED1","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",25,NA,NA,NA,"Paulay, G.",NA,NA,NA,26.4385833333333,"",NA,"0847400c-fb84-457e-92e7-c64b4d24513b",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"0847400c-fb84-457e-92e7-c64b4d24513b",NA,NA,"2014-09-12T09:21:57.017Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Okinawa",NA,"","cafd5d297c796f96c783e3475fccb5bc2ea8f150",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2004,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,127.714666666667,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"381",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,2,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","AUST-ST-000",NA,NA,NA,NA,NA,"","","8605-Echinodermata","","","Holothuriidae",NA,NA,"Australia",NA,"","",NA,NA,"09/08/2014","88480C09-8D26-4AD9-89D4-96D7554B8109","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"e0ca0641-c7a0-4f9f-bbd9-b70521afa01d",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"e0ca0641-c7a0-4f9f-bbd9-b70521afa01d",NA,NA,"2014-09-12T09:16:45.350Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Queensland",NA,"","71b9a9f1b4b5456a72c63b58d7c729933ef1d218",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2009,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"391",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,4,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","Byrne-001",NA,NA,NA,NA,NA,"","","6312-Echinodermata","","","Holothuriidae",NA,NA,"Australia",NA,"","",NA,NA,"09/08/2014","62C2C1E1-4452-4AE5-98DD-5EC7421A0AAA","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",13,NA,NA,NA,"Maria Byrne",NA,NA,NA,NA,"",NA,"d518a893-0e38-408c-88a7-3a917768f0d9",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"d518a893-0e38-408c-88a7-3a917768f0d9",NA,NA,"2014-09-12T09:53:13.152Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Queensland",NA,"","05ca084251118066e053f3bbefe6e600dbcc1e27",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2006,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"753",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,5,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","MGNW-41",NA,NA,NA,NA,NA,"","","7256-Echinodermata","","","Holothuriidae",NA,NA,"Madagascar",NA,"","",NA,NA,"09/08/2014","4226B4F8-0C82-49C5-B19B-9E05C511F9EF","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",21,NA,NA,NA,"F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,-13.4278,"",NA,"bf7e05e4-bae2-4d0f-8342-9885626cfc45",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"bf7e05e4-bae2-4d0f-8342-9885626cfc45",NA,NA,"2014-09-12T13:02:49.411Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"","29ba098a2b3e333944c533f4bb68a7e3c9c45e0f",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2008,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,48.3139,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"756",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,5,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","MGNW-47",NA,NA,NA,NA,NA,"","","7255-Echinodermata","","","Holothuriidae",NA,NA,"Madagascar",NA,"","",NA,NA,"09/08/2014","91EDED03-04DE-45A8-AC12-760414E03C6A","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",23,NA,NA,NA,"G. Bakary, F. Michonneau, G. Paulay, T. Werner",NA,NA,NA,-13.4789,"",NA,"80051d52-cfe4-4b09-91ac-0d2817f97664",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"80051d52-cfe4-4b09-91ac-0d2817f97664",NA,NA,"2014-09-12T15:33:41.598Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"","c164e046ffecd836b78fae300e2863fcf20ebe48",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2008,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,48.23655,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"1017",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,7,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","GUOK10-St-074",NA,NA,NA,NA,NA,"","","10603-Echinodermata","Okinawa Island","","Holothuriidae",NA,NA,"Japan",NA,"","",NA,NA,"09/08/2014","2013D890-F7AA-48C9-A836-F0059C805141","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",17,NA,NA,NA,"Nat Evans, Francois Michonneau, Gustav Paulay, Tohru Naruse, Yuji Ise",NA,NA,NA,26.295468,"",NA,"c38d6351-5b39-42b0-8712-cb351784a13f",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"c38d6351-5b39-42b0-8712-cb351784a13f",NA,NA,"2014-09-12T09:38:06.155Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Okinawa Prefecture",NA,"","791dceb1b8aaf7fba369a2d1e669cd7c7c3ca6f4",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2010,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,127.906194,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"1252",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,3,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","NC09-St-4",NA,NA,NA,NA,NA,"","","8683-Echinodermata","","","Holothuriidae",NA,NA,"New Caledonia",NA,"","",NA,NA,"09/08/2014","93EAF866-C962-4861-916C-EA21EE2943AF","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",6,NA,NA,NA,"François Michonneau",NA,NA,NA,-22.33099,"",NA,"39554e60-6588-4da7-9046-3cc0a9f49e6e",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"39554e60-6588-4da7-9046-3cc0a9f49e6e",NA,NA,"2014-09-12T13:28:03.636Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Province Sud",NA,"","0198a8b22a0763630a03c89d4cd6350fec25ac2f",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2009,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,166.40728,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"1314",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","Koike-Saint Anne",NA,NA,NA,NA,NA,"","","11332-Echinodermata","","","Holothuriidae",NA,NA,"Seychelles",NA,"","",NA,NA,"09/08/2014","B359873A-865F-41EC-B5A5-FDD143CE10D4","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Hal Koike",NA,NA,NA,-4.58721577,"",NA,"64ce0459-eda6-425a-bd1d-b902bc02c2e0",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"64ce0459-eda6-425a-bd1d-b902bc02c2e0",NA,NA,"2014-09-12T09:11:19.742Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"","7853f8124160fc4e8f7278df30102a9ef2257139",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,55.50024,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"1929",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,11,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","ZZZ-093474",NA,NA,NA,NA,NA,"","","7420-Echinodermata","","","Holothuriidae",NA,NA,"Australia",NA,"","",NA,NA,"09/08/2014","F778C47F-DED3-448D-BAB4-628FB674BC98","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Maria Byrne",NA,NA,NA,NA,"",NA,"d4d0fd93-48fe-41bb-840b-5d44da639b8c",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"d4d0fd93-48fe-41bb-840b-5d44da639b8c",NA,NA,"2014-09-12T10:21:12.221Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"","99241f8016f1682e9547632fcc2f0397e3ef9f68",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2007,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
"2157",NA,NA,NA,"",NA,NA,NA,"Aspidochirotida","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","isuga",NA,"",NA,NA,NA,NA,NA,7,NA,NA,"",NA,"","",NA,NA,NA,"",NA,"","GUOK10-St-082",NA,NA,NA,NA,NA,"","","13595-Echinodermata","Okinawa Island","","Holothuriidae",NA,NA,"Japan",NA,"","",NA,NA,"09/08/2014","A2335511-E7B1-4DEC-9964-396A7ED7E851","Holothuria isuga",NA,NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",21,NA,NA,NA,"Nat Evans, Francois Michonneau, Gustav Paulay, Tohru Naruse, Yuji Ise",NA,NA,NA,26.543861,"",NA,"36cfc8b9-23de-42b1-a26a-783abad572d2",NA,"",NA,"",NA,NA,"",NA,NA,"FLMNH",NA,NA,NA,NA,NA,NA,"","",NA,"Invertebrate Zoology","",NA,NA,NA,"Holothuria",NA,NA,NA,"36cfc8b9-23de-42b1-a26a-783abad572d2",NA,NA,"2014-09-12T11:45:25.488Z",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Okinawa Prefecture",NA,"","7dd985ead4524f27ae9a3b04f03677adf17b7f09",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,2010,"",NA,NA,NA,"","Mitsukuri","PreservedSpecimen","",NA,NA,NA,"",NA,NA,128.049731,NA,"","",NA,NA,NA,"",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA
