"","dwc.genus","dwc.accessRights","dwc.scientificNameID","dwc.identificationQualifier","dwc.individualID","dwc.fieldNumber","dwc.fieldNotes","inhs.formII_females","dwc.institutionID","idigbio.substrate","dwc.habitat","dwc.higherGeography","dcterms.bibliographicCitation","dwc.county","dwc.datasetName","dwc.dataGeneralizations","http...symbiota.org.terms.verbatimScientificName","dwc.formation","inhs.formII_males","dwc.collectionCode","dwc.institutionCode","inhs.location_Basin","fcc.pickedBy","idigbio.associateIdentifier","dwc.lowestBiostratigraphicZone","dwc.islandGroup","dcterms.accessRights","dwc.group","dwc.georeferenceSources","dwc.specificEpithet","dwc.decimalLongitude","idigbio.version","dwc.year","idigbio.hostFamily","dwc.eventTime","dwc.stateProvince","dwc.georeferenceProtocol","dwc.informationWithheld","dwc.rights","dwc.preparations","inhs.dead","row.number","inhs.vouchered","idigbio.preservative","idigbio.associateCommonName","idigbio.recordId","dwc.recordedBy","dwc.nomenclaturalCode","dwc.identifiedBy","dwc.collectionID","dwc.class","dwc.occurrenceRemarks","dwc.eventID","inhs.locationTrs","dwc.namePublishedIn","idigbio.uuid","dwc.latestEpochOrHighestSeries","dwc.geodeticDatum","dwc.associatedSequences","dwc.basisOfRecord","dwc.taxonRank","dwc.associatedOccurrences","dwc.behavior","inhs.location_Stream","fcc.datePicked","dcterms.rights","idigbio.associateRelationship","dwc.country","dwc.day","dwc.eventRemarks","dwc.latestEraOrHighestErathem","dwc.catalogNumber","dwc.reproductiveCondition","dwc.verbatimLatitude","dwc.locationID","dwc.earliestEpochOrLowestSeries","dwc.higherClassification","dwc.nomenclaturalStatus","dwc.coordinateUncertaintyInMeters","idigbio.associateAuthor","idigbio.associateNotes","dwc.associatedTaxa","dwc.verbatimDepth","dwc.georeferenceRemarks","dwc.minimumDepthInMeters","idigbio.determinationHistory","dwc.preparation","inhs.formI_males","dwc.scientificName","dwc.continent","dcterms.references","idigbio.associateDeterminedBy","inhs.instars_Male","idigbio.tribe","dwc.recordNumber","dwc.verbatimLongitude","inhs.juv_females","dwc.latestAgeOrHighestStage","dwc.datasetID","symbiota.verbatimScientificName","dwc.originalNameUsage","dwc.earliestEraOrLowestErathem","dwc.lithostratigraphicTerms","idigbio.etag","dwc.samplingProtocol","dwc.identificationVerificationStatus","dwc.relatedResourceID","dwc.family","inhs.total_Males","dwc.maximumElevationInMeters","idigbio.associatedFamily","dwc.namePublishedInID","dwc.dateIdentified","dwc.previousIdentifications","dwc.VerbatimEventDate","id","dwc.vernacularName","dwc.georeferencedDate","idigbio.associateCondition","dwc.disposition","dwc.verbatimEventDate","dwc.associatedMedia","dwc.bed","dwc.nameAccordingTo","dwc.georeferenceVerificationStatus","dwc.subgenus","idigbio.preparationCount","dwc.infraspecificEpithet","dwc.waterBody","inhs.total_females","idigbio.endangeredStatus","dcterms.modified","dwc.order","dwc.lifeStage","dwc.verbatimElevation","dwc.occurrenceID","dwc.locality","dwc.latestPeriodOrHighestSystem","dwc.minimumElevationInMeters","dwc.identificationRemarks","dwc.member","dwc.coordinatePrecision","idigbio.createdBy","dwc.verbatimCoordinates","idigbio.dateModified","dwc.countryCode","dcterms.source","dwc.month","idigbio.associatedRelationship","dwc.decimalLatitude","dwc.associatedReferences","dwc.municipality","inhs.live","dwc.taxonID","dwc.earliestPeriodOrLowestSystem","symbiotaverbatimScientificName","dwc.locationRemarks","idigbio.recordID","dwc.establishmentMeans","dwc.otherCatalogNumbers","inhs.location_RiverMile","idigbio.subfamily","dwc.typeStatus","idigbio.barcodeValue","dwc.verbatimLocality","dwc.rightsHolder","dwc.endDayOfYear","dwc.phylum","dwc.scientificNameAuthorship","dcterms.rightsHolder","dwc.identificationReferences","dwc.georeferencedBy","dwc.locationAccordingTo","inhs.superfamily","fcc.subfamily","idigbio.recordIds","dwc.samplingEffort","dwc.verbatimCoordinateSystem","fcc.superfamily","dcterms.language","dwc.dynamicProperties","dwc.occurrenceStatus","inhs.relic","dwc.earliestAgeOrLowestStage","dwc.maximumDepthInMeters","dwc.individualCount","dcterms.type","idigbio.subgenus","inhs.instars_Female","dwc.identificationID","dwc.taxonRemarks","dwc.startDayOfYear","dwc.ownerInstitutionCode","dwc.sex","dwc.footprintWKT","dwc.island","dwc.eventDate","inhs.juv_males","dwc.verbatimTaxonRank","dwc.verbatimSRS","dwc.kingdom","dcterms.reference","inhs.juv_undetermined"
"127","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772746,NA,2011,NA,NA,"Ryukyus","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"fc44e23c-af81-4127-8435-3a74a1486ed4",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",NA,"",NA,"10987-Echinodermata",NA,"","FMOK11-St-24",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"30bbc1e8c462bb533337ebe1de4af2a0917764d2","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"fc44e23c-af81-4127-8435-3a74a1486ed4",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"7A9FCB7A-D0F2-4DEA-90B9-939904D974E6","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T09:19:14.482Z",NA,NA,4,NA,26.444199,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"1015","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772633,NA,2010,NA,NA,"Okinawa Prefecture","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"29ca9011-75b0-4a46-97df-f08cd3dd80f3",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",16,"",NA,"10566-Echinodermata",NA,"","GUOK10-St-073",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"04808a7fdc66bb6f915c041d144bee05e60311d6","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"29ca9011-75b0-4a46-97df-f08cd3dd80f3",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"4C63B66A-141C-4C81-891E-81ED21E6AE07","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T09:33:30.094Z",NA,NA,7,NA,26.44376,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"1042","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772746,NA,2011,NA,NA,"Ryukyus","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"8327742d-fbaf-4eec-a00d-14ea520ec482",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",NA,"",NA,"10988-Echinodermata",NA,"","FMOK11-St-24",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"a4b34345c1b6e02357c98a8127021d9396d5e207","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"8327742d-fbaf-4eec-a00d-14ea520ec482",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"A0E0F295-99DD-4F25-81ED-E467E10DF289","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T10:21:58.471Z",NA,NA,4,NA,26.444199,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"1106","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772746,NA,2011,NA,NA,"Ryukyus","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Yoshihisa Fujita, Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"af02ba4e-e0f7-4946-9e13-f6ca8fb4139c",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",14,"",NA,"10985-Echinodermata",NA,"","FMOK11-St-20",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"24baccce169961e1ead709afcb775ef28d367c9c","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"af02ba4e-e0f7-4946-9e13-f6ca8fb4139c",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"B019FC31-AE8B-45BA-81C0-DE7F96E69FBF","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T13:28:21.765Z",NA,NA,5,NA,26.444199,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"1427","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772633,NA,2010,NA,NA,"Okinawa Prefecture","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"caf38096-1c75-4b8c-b07f-f30e06405c81",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",16,"",NA,"10564-Echinodermata",NA,"","GUOK10-St-073",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"7dfd7db2e80b3e556a9a106bc628ed239031c078","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"caf38096-1c75-4b8c-b07f-f30e06405c81",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"4500F355-7003-46E3-AD44-F630CF604A9D","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T13:16:49.275Z",NA,NA,7,NA,26.44376,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"1447","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772746,NA,2011,NA,NA,"Ryukyus","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Yoshihisa Fujita, Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"485ff950-f171-4367-9e18-9a53687d4f9d",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",14,"",NA,"10986-Echinodermata",NA,"","FMOK11-St-20",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"71374ffdefe5b5d4ab64ca40b0b8ac71bf720783","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"485ff950-f171-4367-9e18-9a53687d4f9d",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"F586512B-8022-47D3-BEDD-C5E39D72233C","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T18:27:21.897Z",NA,NA,5,NA,26.444199,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"1716","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772746,NA,2011,NA,NA,"Ryukyus","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Yoshihisa Fujita, Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"72da1f02-4cbf-4197-95ed-3a99b67478d6",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",14,"",NA,"10981-Echinodermata",NA,"","FMOK11-St-20",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"900e34857901cb375e081e99fba38529490d70f7","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"72da1f02-4cbf-4197-95ed-3a99b67478d6",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"4E507DE7-E80A-4022-833B-52D6C58ACBD2","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T15:47:09.504Z",NA,NA,5,NA,26.444199,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"2153","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa Island",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772633,NA,2010,NA,NA,"Okinawa Prefecture","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"be636b19-4e44-4644-bc9c-c5c74f757dc3",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",16,"",NA,"10565-Echinodermata",NA,"","GUOK10-St-073",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"a70a32c4464ac01874a170987eeacc38f346ce68","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"be636b19-4e44-4644-bc9c-c5c74f757dc3",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"395B3A42-0D94-4A88-B889-A72CCE82C7DC","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T11:37:01.459Z",NA,NA,7,NA,26.44376,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"2779","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772746,NA,2011,NA,NA,"Ryukyus","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Yoshihisa Fujita, Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"49f369c5-8674-4f08-b16e-7c01268744e4",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",14,"",NA,"10982-Echinodermata",NA,"","FMOK11-St-20",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"8646ddfe1c407b7afb88f49e82199a0da0491776","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"49f369c5-8674-4f08-b16e-7c01268744e4",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"7CC2ED91-9213-4843-87EB-0952A4CC4435","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T09:58:37.435Z",NA,NA,5,NA,26.444199,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
"2933","Holothuria",NA,NA,NA,NA,"",NA,NA,"",NA,"","",NA,"Okinawa",NA,NA,NA,NA,NA,"Invertebrate Zoology","FLMNH",NA,NA,NA,NA,NA,NA,NA,"","nigralutea",127.772746,NA,2011,NA,NA,"Ryukyus","",NA,NA,"",NA,NA,NA,NA,NA,NA,"Yoshihisa Fujita, Daisuke Uyeno","","",NA,"Holothuroidea",NA,NA,NA,NA,"6a569753-0eaf-4719-82f5-89ddffd091d4",NA,"",NA,"PreservedSpecimen",NA,"",NA,NA,NA,NA,NA,"Japan",14,"",NA,"10984-Echinodermata",NA,"","FMOK11-St-20",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Holothuria nigralutea","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"348ca4e8c507bc1bb673e06cc5d84c1505886712","","",NA,"Holothuriidae",NA,NA,NA,NA,"",NA,NA,"6a569753-0eaf-4719-82f5-89ddffd091d4",NA,NA,NA,"","","",NA,NA,NA,NA,NA,"","",NA,NA,"09/08/2014","Aspidochirotida",NA,NA,"3E79D5CB-6983-4F10-B290-191ECCC78998","",NA,NA,"",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","2014-09-12T14:36:32.804Z",NA,NA,5,NA,26.444199,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA
