"","dwc.collectionID","inhs.formII_females","dwc.higherClassification","idigbio.associateIdentifier","inhs.vouchered","dwc.earliestEraOrLowestErathem","dwc.institutionCode","fcc.datePicked","dwc.collectionCode","dwc.rightsHolder","idigbio.dateModified","fcc.subfamily","inhs.formII_males","dwc.typeStatus","dwc.namePublishedIn","dwc.verbatimCoordinateSystem","dwc.scientificName","inhs.instars_Female","dcterms.rights","inhs.location_Stream","dwc.relatedResourceID","dwc.member","dwc.identificationRemarks","dwc.lowestBiostratigraphicZone","dwc.coordinatePrecision","dwc.georeferenceRemarks","idigbio.hostFamily","inhs.juv_undetermined","dcterms.accessRights","dwc.georeferenceVerificationStatus","dwc.latestEpochOrHighestSeries","dcterms.source","dwc.taxonID","fcc.pickedBy","idigbio.barcodeValue","inhs.relic","inhs.live","dwc.verbatimLocality","inhs.dead","dwc.startDayOfYear","idigbio.tribe","dwc.basisOfRecord","dwc.dataGeneralizations","dwc.institutionID","dwc.informationWithheld","dwc.disposition","idigbio.preservative","dwc.associatedOccurrences","idigbio.recordIds","dwc.vernacularName","dwc.nameAccordingTo","dwc.family","dwc.identifiedBy","dwc.georeferencedDate","dwc.waterBody","inhs.location_Basin","dwc.minimumDepthInMeters","dwc.reproductiveCondition","inhs.formI_males","dwc.lithostratigraphicTerms","dwc.samplingEffort","dwc.verbatimElevation","dwc.specificEpithet","idigbio.recordId","dwc.locationAccordingTo","dwc.locationRemarks","inhs.juv_females","dwc.earliestEpochOrLowestSeries","dwc.associatedMedia","id","idigbio.associateAuthor","idigbio.subfamily","dcterms.rightsHolder","dwc.fieldNotes","dwc.latestAgeOrHighestStage","dwc.phylum","dwc.taxonRank","idigbio.associateRelationship","inhs.total_females","dwc.kingdom","dwc.municipality","dwc.minimumElevationInMeters","dwc.behavior","dwc.endDayOfYear","dwc.verbatimDepth","dwc.class","dwc.associatedTaxa","dwc.associatedReferences","dwc.previousIdentifications","dwc.identificationReferences","dwc.scientificNameID","symbiota.verbatimScientificName","dwc.eventID","dwc.verbatimLongitude","idigbio.associateCondition","dwc.day","dwc.taxonRemarks","dwc.VerbatimEventDate","dwc.infraspecificEpithet","idigbio.associateDeterminedBy","idigbio.associateNotes","idigbio.etag","dwc.preparation","dwc.verbatimLatitude","fcc.superfamily","dwc.bed","dwc.georeferenceSources","dwc.earliestAgeOrLowestStage","dwc.island","dwc.identificationID","dwc.higherGeography","dcterms.modified","dwc.month","dwc.scientificNameAuthorship","dwc.originalNameUsage","idigbio.determinationHistory","dwc.decimalLongitude","dwc.order","dwc.identificationVerificationStatus","dwc.earliestPeriodOrLowestSystem","dwc.locality","dwc.occurrenceRemarks","dwc.datasetName","dwc.accessRights","dwc.year","inhs.juv_males","dwc.georeferencedBy","dwc.samplingProtocol","idigbio.uuid","http...symbiota.org.terms.verbatimScientificName","dcterms.reference","inhs.total_Males","dwc.latestEraOrHighestErathem","dwc.ownerInstitutionCode","dwc.establishmentMeans","dcterms.type","dcterms.bibliographicCitation","dwc.subgenus","dwc.decimalLatitude","dwc.dateIdentified","idigbio.subgenus","dwc.geodeticDatum","dwc.stateProvince","row.number","idigbio.version","dwc.occurrenceStatus","dwc.datasetID","dwc.eventDate","idigbio.recordID","idigbio.endangeredStatus","dwc.maximumDepthInMeters","inhs.location_RiverMile","dwc.coordinateUncertaintyInMeters","dwc.identificationQualifier","dwc.namePublishedInID","dwc.associatedSequences","dwc.rights","inhs.superfamily","dwc.recordedBy","dwc.nomenclaturalStatus","idigbio.substrate","symbiotaverbatimScientificName","inhs.instars_Male","dwc.locationID","dwc.nomenclaturalCode","dwc.group","dwc.individualCount","dcterms.references","idigbio.createdBy","inhs.locationTrs","dwc.sex","dwc.verbatimCoordinates","dwc.otherCatalogNumbers","dwc.county","dwc.continent","idigbio.associateCommonName","dwc.eventTime","dwc.maximumElevationInMeters","dcterms.language","dwc.habitat","idigbio.associatedRelationship","dwc.georeferenceProtocol","dwc.lifeStage","dwc.catalogNumber","dwc.occurrenceID","dwc.eventRemarks","dwc.latestPeriodOrHighestSystem","dwc.countryCode","dwc.individualID","idigbio.associatedFamily","dwc.recordNumber","dwc.verbatimEventDate","dwc.formation","dwc.islandGroup","dwc.genus","dwc.dynamicProperties","dwc.preparations","dwc.country","dwc.verbatimTaxonRank","dwc.fieldNumber","idigbio.preparationCount","dwc.footprintWKT","dwc.verbatimSRS"
"90",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T13:29:12.125Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","24ca30f2-4d43-4360-8cbd-20da5e1d66e3",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,15,NA,NA,"",NA,NA,"0c5f40fb9e65cab65f789d6a887ba678a5c9caae",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",2,"Selenka",NA,NA,NA,"Aspidochirotida","",NA,"",NA,NA,NA,2009,NA,"","","24ca30f2-4d43-4360-8cbd-20da5e1d66e3",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","Queensland",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robert Lasley, Arthur Anker",NA,NA,NA,NA,"AUST-ST-042","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"8342-Echinodermata","36ACB110-9C6F-4BB8-A2EF-440E80A27189","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Australia",NA,"",NA,NA,NA
"130",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T11:23:14.421Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","d18744f7-8b85-4b69-9c8e-7c8d251db835",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,26,NA,NA,"",NA,NA,"95ffb6939e13c74024d1b9f22670fc795ca838a2",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",12,"Selenka",NA,NA,-157.93889,"Aspidochirotida","",NA,"",NA,NA,NA,2004,NA,"","","d18744f7-8b85-4b69-9c8e-7c8d251db835",NA,NA,NA,NA,"",NA,"",NA,NA,21.67,"",NA,"","Hawaiian Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Starmer, J.",NA,NA,NA,NA,"JAS-JHAW-02","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Oahu Island","",NA,NA,NA,"","",NA,"",NA,"4416-Echinodermata","9E21464D-F3BB-4316-9C0F-599F09CB38BB","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","USA",NA,"",NA,NA,NA
"137",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T11:41:48.010Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","8cb315c5-c2cc-4c75-80fc-446f62ac5273",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"fd711c3c341039f455ad52a5a7a253b0d31db260",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",NA,"Selenka",NA,NA,NA,"Aspidochirotida","",NA,"",NA,NA,NA,1999,NA,"","","8cb315c5-c2cc-4c75-80fc-446f62ac5273",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","Mascarene Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Starmer",NA,NA,NA,NA,"JAS-MAU-073","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Mauritius Island","",NA,NA,NA,"","",NA,"",NA,"3628-Echinodermata","7A3CC0D8-40AB-4736-8178-52AF12188E1B","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Mauritius",NA,"",NA,NA,NA
"144",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T09:26:20.978Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","d6929413-37d3-47e0-ab91-c84f5377f1d2",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"8951e80d70767dc4a3849df99ecb41c98349d58e",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",11,"Selenka",NA,NA,152,"Aspidochirotida","",NA,"",NA,NA,NA,2009,NA,"","","d6929413-37d3-47e0-ab91-c84f5377f1d2",NA,NA,NA,NA,"",NA,"",NA,NA,-23,"",NA,"","Queensland",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"HI09-131","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"10209-Echinodermata","63FAC23F-4C4A-4691-9E3F-6AA2A9A93B37","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Australia",NA,"",NA,NA,NA
"187",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T10:39:53.891Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","16d717e3-58e5-46f4-a700-db723fbabf0b",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,25,NA,NA,"",NA,NA,"816f85fdb891708885cfdc526b565c1f2c6e3c4b",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",6,"Selenka",NA,NA,-159.766667,"Aspidochirotida","",NA,"",NA,NA,NA,2006,NA,"","","16d717e3-58e5-46f4-a700-db723fbabf0b",NA,NA,NA,NA,"",NA,"",NA,NA,-21.233333,"",NA,"","Cook Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Machel Malay",NA,NA,NA,NA,"MRARO-010","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Rarotonga Island","",NA,NA,NA,"","",NA,"",NA,"5014-Echinodermata","EEADAA19-A3F1-4302-8ACD-8D701408D1E5","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Cook Islands",NA,"",NA,NA,NA
"201",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T12:22:49.086Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","75733684-e555-40f2-acad-1a4d2a50eab2",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,25,NA,NA,"",NA,NA,"caa64f7dfc4151222b07df3f21bba44300b7612c",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",6,"Selenka",NA,NA,-159.766667,"Aspidochirotida","",NA,"",NA,NA,NA,2006,NA,"","","75733684-e555-40f2-acad-1a4d2a50eab2",NA,NA,NA,NA,"",NA,"",NA,NA,-21.233333,"",NA,"","Cook Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Machel Malay",NA,NA,NA,NA,"MRARO-010","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Rarotonga Island","",NA,NA,NA,"","",NA,"",NA,"5004-Echinodermata","D41C9A61-CB8F-4F22-A9FB-28FE50790525","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Cook Islands",NA,"",NA,NA,NA
"219",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T15:29:52.156Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","e142fdd1-748d-43c9-a0d6-873d7e1068f9",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,28,NA,NA,"",NA,NA,"e8358a188295f7a7bd9abb3be2617e44f7cba411",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",8,"Selenka",NA,NA,-169.9,"Aspidochirotida","",NA,"",NA,NA,NA,1986,NA,"","","e142fdd1-748d-43c9-a0d6-873d7e1068f9",NA,NA,NA,NA,"",NA,"",NA,NA,-19.1,"",NA,"","Niue Island",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"HNIUE-067","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Niue Island","",NA,NA,NA,"","",NA,"",NA,"1882-Echinodermata","05FCFA4A-C055-4909-A4C8-7D5E3A4DAF01","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Niue Island",NA,"",NA,NA,NA
"222",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T15:24:57.780Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","cedaa5ff-4974-4e64-b5dd-9e43b9174df5",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,13,NA,NA,"",NA,NA,"996029be49d5ea8e60f2cab57c2cddf9522cef14",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",6,"Selenka",NA,NA,NA,"Aspidochirotida","",NA,"",NA,NA,NA,2006,NA,"","","cedaa5ff-4974-4e64-b5dd-9e43b9174df5",NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","Bohol",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kris Netchy & Alex Kerr",NA,NA,NA,NA,"SEMP-35","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","","",NA,NA,NA,"","",NA,"",NA,"5662-Echinodermata","FB79AA1C-E3AF-498A-8693-9FAF7466AE2C","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Philippines",NA,"",NA,NA,NA
"378",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T09:12:05.619Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","437c5f78-d6aa-4aeb-be4d-f037a08d06b4",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,31,NA,NA,"",NA,NA,"b7839f58299c787d1eae91ebd2de4b38f78f5f3f",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",10,"Selenka",NA,NA,-159.8,"Aspidochirotida","",NA,"",NA,NA,NA,1986,NA,"","","437c5f78-d6aa-4aeb-be4d-f037a08d06b4",NA,NA,NA,NA,"",NA,"",NA,NA,-18.9,"",NA,"","Cook Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"HAIU-014","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Aitutaki Island","",NA,NA,NA,"","",NA,"",NA,"1991-Echinodermata","F3B84775-C312-4319-A15E-9B258715BE89","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","Cook Islands",NA,"",NA,NA,NA
"416",NA,NA,"",NA,NA,NA,"FLMNH",NA,"Invertebrate Zoology",NA,"2014-09-12T13:57:22.170Z",NA,NA,"",NA,"","Holothuria pervicax",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,"",NA,"",NA,"",NA,NA,NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,"",NA,NA,"","c0264169-41eb-46a0-82cd-b36b3656adfd",NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"","Holothuroidea",NA,"",NA,NA,NA,NA,NA,"",NA,17,NA,NA,"",NA,NA,"ebfe7396b9d073d0b8817fc816b72309101d2ae3",NA,"",NA,NA,"",NA,NA,NA,"","09/08/2014",6,"Selenka",NA,NA,144.6578,"Aspidochirotida","",NA,"",NA,NA,NA,2010,NA,"","","c0264169-41eb-46a0-82cd-b36b3656adfd",NA,NA,NA,NA,"",NA,"",NA,NA,13.4437,"",NA,"","Mariana Islands",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIS teamNat Evans, Francois Michonneau, Gustav Paulay, Arthur Anker, Tohru Naruse, Daisuke Uyeno",NA,NA,NA,NA,"GUOK10-St-024","",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,"","","","Guam Island","",NA,NA,NA,"","",NA,"",NA,"10343-Echinodermata","37834CC9-1FA7-4570-AA49-0693BA496EFE","",NA,NA,NA,NA,"","",NA,NA,"Holothuria","","","USA",NA,"",NA,NA,NA
