"","dwc.latestAgeOrHighestStage","dwc.coordinateUncertaintyInMeters","dwc.georeferenceVerificationStatus","dwc.associatedTaxa","dwc.samplingEffort","idigbio.uuid","dwc.taxonID","dwc.VerbatimEventDate","dwc.county","dwc.identificationRemarks","dwc.vernacularName","idigbio.associateCondition","dwc.locationRemarks","dwc.maximumDepthInMeters","http...symbiota.org.terms.verbatimScientificName","row.number","dwc.namePublishedIn","idigbio.substrate","dwc.island","inhs.formI_males","dwc.stateProvince","dwc.member","dwc.dateIdentified","dwc.nameAccordingTo","dwc.scientificName","dwc.latestEpochOrHighestSeries","dwc.coordinatePrecision","dwc.locality","inhs.dead","inhs.location_Basin","dwc.collectionID","dwc.earliestPeriodOrLowestSystem","idigbio.associateNotes","idigbio.subgenus","dwc.bed","dwc.individualCount","dwc.lifeStage","inhs.location_RiverMile","dwc.associatedReferences","dwc.georeferenceRemarks","dwc.scientificNameID","id","dwc.occurrenceStatus","dwc.eventID","dwc.municipality","dcterms.references","inhs.vouchered","dwc.identificationReferences","idigbio.determinationHistory","dcterms.source","dwc.phylum","dwc.identificationID","dwc.genus","dcterms.rightsHolder","fcc.superfamily","dwc.recordedBy","inhs.formII_females","dwc.rightsHolder","dwc.lithostratigraphicTerms","dwc.preparation","dwc.scientificNameAuthorship","dwc.georeferenceSources","inhs.instars_Female","inhs.formII_males","dcterms.rights","dwc.rights","dwc.ownerInstitutionCode","dwc.otherCatalogNumbers","dwc.behavior","dwc.year","dwc.eventTime","dwc.fieldNumber","dwc.formation","inhs.total_females","idigbio.recordIds","dwc.occurrenceRemarks","dwc.continent","idigbio.dateModified","dwc.fieldNotes","idigbio.recordId","dwc.minimumElevationInMeters","fcc.pickedBy","dwc.verbatimEventDate","dwc.maximumElevationInMeters","inhs.juv_undetermined","dwc.verbatimCoordinateSystem","inhs.superfamily","dwc.basisOfRecord","dwc.samplingProtocol","idigbio.associatedFamily","dwc.georeferenceProtocol","dwc.higherGeography","dwc.latestEraOrHighestErathem","dwc.associatedOccurrences","dwc.nomenclaturalStatus","dwc.georeferencedBy","idigbio.associateCommonName","dwc.institutionID","dwc.family","dwc.locationID","dcterms.reference","inhs.locationTrs","dwc.decimalLatitude","dwc.group","fcc.subfamily","idigbio.barcodeValue","idigbio.hostFamily","idigbio.preservative","inhs.relic","dwc.collectionCode","dwc.occurrenceID","dwc.datasetName","dwc.infraspecificEpithet","dwc.establishmentMeans","dwc.latestPeriodOrHighestSystem","dwc.order","dwc.specificEpithet","dwc.informationWithheld","dwc.islandGroup","dwc.previousIdentifications","dwc.verbatimTaxonRank","dwc.verbatimDepth","dwc.country","dwc.verbatimElevation","dwc.month","dwc.habitat","dwc.class","dwc.earliestEraOrLowestErathem","dwc.institutionCode","inhs.juv_males","dwc.taxonRank","idigbio.tribe","dwc.verbatimLatitude","dwc.eventRemarks","dwc.relatedResourceID","dwc.geodeticDatum","dwc.lowestBiostratigraphicZone","dwc.locationAccordingTo","dwc.accessRights","dwc.associatedSequences","dwc.preparations","dwc.typeStatus","idigbio.associateRelationship","dwc.originalNameUsage","dcterms.bibliographicCitation","dcterms.accessRights","dwc.countryCode","dwc.georeferencedDate","dwc.earliestAgeOrLowestStage","dwc.subgenus","inhs.juv_females","dwc.verbatimSRS","dwc.kingdom","idigbio.recordID","dwc.identificationVerificationStatus","dwc.waterBody","symbiotaverbatimScientificName","idigbio.endangeredStatus","dwc.earliestEpochOrLowestSeries","idigbio.createdBy","dwc.dynamicProperties","idigbio.associateAuthor","dwc.datasetID","dwc.individualID","dwc.catalogNumber","inhs.total_Males","dwc.endDayOfYear","dwc.recordNumber","dwc.verbatimLongitude","idigbio.version","dwc.disposition","dwc.decimalLongitude","dwc.minimumDepthInMeters","idigbio.associatedRelationship","idigbio.associateIdentifier","dwc.nomenclaturalCode","dcterms.modified","dwc.identifiedBy","symbiota.verbatimScientificName","dcterms.type","dwc.footprintWKT","dwc.eventDate","dwc.namePublishedInID","idigbio.subfamily","dwc.sex","dwc.higherClassification","dwc.identificationQualifier","dwc.reproductiveCondition","idigbio.etag","dwc.day","inhs.live","fcc.datePicked","dwc.verbatimLocality","inhs.location_Stream","idigbio.preparationCount","inhs.instars_Male","dwc.associatedMedia","dwc.dataGeneralizations","dcterms.language","dwc.taxonRemarks","idigbio.associateDeterminedBy","dwc.verbatimCoordinates","dwc.startDayOfYear"
"125",NA,NA,NA,NA,NA,"6bb84532-bca9-4576-af88-49a4e7d36c4d",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"6bb84532-bca9-4576-af88-49a4e7d36c4d",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr. & W.C. Ober",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1995,NA,"",NA,NA,NA,NA,"","2014-09-12T09:15:22.265Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","F0411FFD-88A0-4E6F-9902-20532B9A1182",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,5,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9664-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"0412958e783f4ca9e755107bde5759904e0d0f42",27,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"401",NA,NA,NA,NA,NA,"d561ca9e-6621-4a85-a9cd-b11e44849003",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"d561ca9e-6621-4a85-a9cd-b11e44849003",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr.",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1996,NA,"",NA,NA,NA,NA,"","2014-09-12T10:39:06.684Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-010",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","C8445BD5-E61F-4FA3-8DC1-2C038957EC53",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,5,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9657-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"0782a91cbccdd701d769d08b82dbedeff9bc4503",5,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"848",NA,NA,NA,NA,NA,"6e69384a-f959-4c12-8f79-014a709d24de",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"6e69384a-f959-4c12-8f79-014a709d24de",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr.",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1994,NA,"",NA,NA,NA,NA,"","2014-09-12T14:46:54.174Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-004",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","821C88AD-36BF-4545-8AFC-FA87A370AD82",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,4,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9666-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"dfedf32859bd2197d1a1062647708d0f7b12ae2d",29,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"1083",NA,NA,NA,NA,NA,"0b1e2cc5-ac92-4085-a6b6-844053f44668",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"0b1e2cc5-ac92-4085-a6b6-844053f44668",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr. & W.C. Ober",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1995,NA,"",NA,NA,NA,NA,"","2014-09-12T16:01:51.457Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","4F5673A2-072C-4F36-9A43-6E142E09C4FC",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,5,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9653-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"3623319aa98fb982a7d84c78d90b2d859e9870a6",29,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"1418",NA,NA,NA,NA,NA,"ef1d5fc6-afcf-4ed9-9604-6b1ea955a08c",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"ef1d5fc6-afcf-4ed9-9604-6b1ea955a08c",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr.",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1994,NA,"",NA,NA,NA,NA,"","2014-09-12T14:25:15.628Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-023",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","B5AF7BDE-0450-405C-88C3-B7C38AF29315",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,4,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9660-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"f15f518bf7eb400fdd5db57e9ba9ad9b69cdff50",27,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"1531",NA,NA,NA,NA,NA,"0ebc01e6-df70-4c42-817d-148bf8ccfd90",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"0ebc01e6-df70-4c42-817d-148bf8ccfd90",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr.",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1991,NA,"",NA,NA,NA,NA,"","2014-09-12T09:28:54.112Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","A170C74A-8F41-4AC4-A113-751A733CB884",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,6,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9645-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"5ce0c30c480e1bdab2e77d41a52a53bd691266d1",23,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"1585",NA,NA,NA,NA,NA,"41c5d1a3-3c67-4e86-b02a-2ee087275a10",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"41c5d1a3-3c67-4e86-b02a-2ee087275a10",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr. & W.C. Ober",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1995,NA,"",NA,NA,NA,NA,"","2014-09-12T12:41:19.035Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","1181A84A-B064-46D6-8731-C8A724B7F310",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,5,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9652-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"ec4b83c62832580afa375d67071fb75d4e8d8fd2",29,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"1979",NA,NA,NA,NA,NA,"b4643bb8-9a27-4f51-a93a-9dabd9ed3e81",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"b4643bb8-9a27-4f51-a93a-9dabd9ed3e81",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr. & W.C. Ober",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1995,NA,"",NA,NA,NA,NA,"","2014-09-12T15:18:42.421Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","2CBBE39D-F23C-40EA-9523-CDDC1E484CFB",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,5,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9659-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"47b65d8a0522e55c247fb4ec48bc2c89464cb0d2",27,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"2256",NA,NA,NA,NA,NA,"ab710779-4208-4248-be31-1f1c167aa1b0",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"ab710779-4208-4248-be31-1f1c167aa1b0",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr. & W.C. Ober",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1995,NA,"",NA,NA,NA,NA,"","2014-09-12T17:25:26.532Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","487A1604-E8C1-48CB-9E3C-C127BDF64ED9",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,5,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9663-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"32d7e872646df400be7b3f19467c39632a0fb9ab",29,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
"2330",NA,NA,NA,NA,NA,"24d89f02-ccde-4591-b45c-6571065991ef",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Galapagos Islands",NA,"",NA,"Holothuria theeli",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"24d89f02-ccde-4591-b45c-6571065991ef",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Holothuria","",NA,"Cleveland P. Hickman, Jr.",NA,NA,NA,NA,"Deichmann","",NA,NA,NA,NA,"","",NA,1997,NA,"",NA,NA,NA,NA,"","2014-09-12T18:13:18.055Z",NA,NA,NA,NA,"",NA,NA,"",NA,"PreservedSpecimen","",NA,"","",NA,"",NA,"",NA,"","Holothuriidae","Hickman-007",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate Zoology","A4F24D5F-032A-4C4A-B21F-8A8EB2F3902D",NA,"",NA,NA,"Aspidochirotida","theeli",NA,NA,NA,NA,"","Ecuador",NA,8,"","Holothuroidea",NA,"FLMNH",NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,NA,NA,"9661-Echinodermata",NA,NA,"","",NA,"",NA,NA,NA,NA,"","09/08/2014","",NA,"",NA,"",NA,NA,"","",NA,NA,"189573f1fc60197c714d32258aea218a432fd665",19,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA
