"","dwc.verbatimSRS","dwc.decimalLatitude","dwc.maximumDepthInMeters","dwc.minimumDepthInMeters","dwc.eventTime","dwc.geodeticDatum","dcterms.modified","dwc.month","dwc.datasetID","dwc.vernacularName","dwc.subgenus","idigbio.endangeredStatus","idigbio.recordIds","dwc.sex","dcterms.accessRights","fcc.pickedBy","dwc.eventRemarks","dwc.georeferenceRemarks","dwc.countryCode","inhs.juv_males","inhs.instars_Female","dwc.occurrenceStatus","dwc.typeStatus","inhs.location_Stream","inhs.relic","dwc.bed","symbiotaverbatimScientificName","dwc.county","dwc.scientificNameAuthorship","dwc.taxonRemarks","dwc.georeferencedBy","dwc.higherClassification","dwc.municipality","dwc.georeferencedDate","dwc.footprintWKT","dwc.identificationQualifier","idigbio.tribe","dwc.behavior","dwc.associatedSequences","symbiota.verbatimScientificName","dwc.verbatimLocality","dwc.latestEpochOrHighestSeries","dcterms.rightsHolder","dwc.latestAgeOrHighestStage","dwc.occurrenceRemarks","dwc.reproductiveCondition","idigbio.subgenus","dwc.preparations","dwc.rightsHolder","dcterms.language","dwc.identificationReferences","dwc.previousIdentifications","dwc.verbatimTaxonRank","inhs.superfamily","dwc.individualCount","dwc.maximumElevationInMeters","dwc.institutionCode","dwc.taxonRank","idigbio.preparationCount","dwc.identificationID","dwc.earliestEpochOrLowestSeries","dwc.samplingProtocol","fcc.datePicked","dwc.georeferenceProtocol","inhs.formII_males","dwc.dynamicProperties","dwc.identificationRemarks","dwc.family","dwc.group","dwc.verbatimLongitude","dwc.order","idigbio.recordID","idigbio.barcodeValue","inhs.locationTrs","dwc.locality","dwc.locationID","dwc.collectionID","idigbio.version","inhs.instars_Male","idigbio.substrate","inhs.dead","dcterms.source","dwc.verbatimCoordinates","dwc.basisOfRecord","dwc.namePublishedIn","dwc.institutionID","dwc.latestPeriodOrHighestSystem","dwc.minimumElevationInMeters","dwc.locationAccordingTo","dwc.occurrenceID","dwc.accessRights","dwc.taxonID","dcterms.bibliographicCitation","dwc.individualID","dwc.coordinatePrecision","dwc.genus","dwc.fieldNotes","dwc.higherGeography","dwc.coordinateUncertaintyInMeters","dwc.datasetName","dwc.day","dwc.formation","idigbio.uuid","inhs.live","dwc.ownerInstitutionCode","dwc.specificEpithet","dwc.rights","http...symbiota.org.terms.verbatimScientificName","dwc.nomenclaturalCode","inhs.juv_females","dwc.collectionCode","dwc.samplingEffort","dwc.verbatimElevation","dcterms.type","dwc.identifiedBy","dwc.disposition","idigbio.associateDeterminedBy","dwc.dataGeneralizations","dwc.eventID","dwc.verbatimLatitude","dwc.associatedOccurrences","idigbio.preservative","dwc.originalNameUsage","dwc.locationRemarks","dwc.stateProvince","inhs.location_Basin","dwc.islandGroup","dwc.verbatimCoordinateSystem","dwc.latestEraOrHighestErathem","fcc.subfamily","idigbio.determinationHistory","dwc.island","inhs.formII_females","dwc.startDayOfYear","dwc.associatedMedia","dwc.continent","idigbio.associateNotes","dwc.lowestBiostratigraphicZone","dwc.otherCatalogNumbers","dwc.relatedResourceID","dwc.verbatimEventDate","inhs.juv_undetermined","dwc.earliestAgeOrLowestStage","dwc.eventDate","idigbio.createdBy","inhs.total_females","dwc.informationWithheld","dwc.VerbatimEventDate","dcterms.rights","dwc.decimalLongitude","dwc.phylum","dwc.year","dwc.earliestEraOrLowestErathem","inhs.formI_males","dwc.kingdom","idigbio.associateAuthor","dwc.establishmentMeans","dwc.member","idigbio.associateCommonName","dwc.earliestPeriodOrLowestSystem","dwc.fieldNumber","inhs.total_Males","idigbio.etag","dwc.associatedReferences","dwc.lifeStage","dcterms.reference","dwc.nameAccordingTo","idigbio.dateModified","dwc.identificationVerificationStatus","idigbio.hostFamily","dwc.scientificNameID","dcterms.references","dwc.waterBody","dwc.class","dwc.georeferenceVerificationStatus","idigbio.associatedRelationship","idigbio.associatedFamily","dwc.recordedBy","dwc.recordNumber","dwc.habitat","dwc.endDayOfYear","dwc.scientificName","row.number","dwc.georeferenceSources","dwc.dateIdentified","idigbio.associateCondition","idigbio.associateIdentifier","dwc.namePublishedInID","dwc.country","idigbio.recordId","dwc.infraspecificEpithet","fcc.superfamily","idigbio.subfamily","dwc.verbatimDepth","dwc.catalogNumber","idigbio.associateRelationship","dwc.nomenclaturalStatus","dwc.lithostratigraphicTerms","id","inhs.location_RiverMile","dwc.preparation","inhs.vouchered","dwc.associatedTaxa"
"379",NA,-17.47579,NA,NA,NA,"","09/08/2014",10,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Moorea Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","MIB_128",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"77888830-7C05-4316-974C-40462EDDB280",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,24,NA,"cffd80ad-c189-4e09-9e89-35c2b764a9b5",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Society Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,-149.83142,"",2008,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"ae73bd58dcd3e91849a67c9c92df1db4ba92fe29","",NA,NA,NA,"2014-09-12T09:12:48.861Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"S. Fay, J. Moore, S. McKeon, C. Meyer, G. Paulay","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"French Polynesia",NA,"",NA,NA,"","8037-Echinodermata",NA,NA,NA,"cffd80ad-c189-4e09-9e89-35c2b764a9b5",NA,NA,NA,NA
"471",NA,28.184617,NA,NA,NA,"","09/08/2014",10,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","NORS-17E",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"733B2BA2-785E-4BE4-9031-F1DA1FF07009",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,1,NA,"fd0330f1-a998-44e3-a66d-d39571842874",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,34.638117,"",2013,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"2e6e0ac4c248b887103adb4dcd587c5eeeee7227","",NA,NA,NA,"2014-09-12T12:52:03.214Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Gustav Paulay, Daisuke Uyeno, Casey Zakroff","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Saudi Arabia",NA,"",NA,NA,"","14231-Echinodermata",NA,NA,NA,"fd0330f1-a998-44e3-a66d-d39571842874",NA,NA,NA,NA
"841",NA,-5.200333,NA,NA,NA,"","09/08/2014",11,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","PR86",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"0E834DDB-363B-454B-9BD4-E8DAA85FEB63",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,22,NA,"19e4e257-e6d3-4ccf-96ce-7293174b7661",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Madang Province",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,145.812668,"",2012,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"d8ccab5c4032e5f06f20fc0a25c2f2a2d835df96","",NA,NA,NA,"2014-09-12T14:28:09.415Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Hugh Morrison, Vanessa Knutson, Anthony Berberian, Pierre Laboutte, Daisuke Uyeno, Jessica Goodheart","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Papua New Guinea",NA,"",NA,NA,"","14886-Echinodermata",NA,NA,NA,"19e4e257-e6d3-4ccf-96ce-7293174b7661",NA,NA,NA,NA
"949",NA,-19.1,NA,NA,NA,"","09/08/2014",5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Niue Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","HNIUE-030",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"36A938A4-67F6-4467-98BA-22FBD12DABED",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,31,NA,"aa37771d-6e6a-4621-b981-d0d2e6e710df",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Niue Island",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,-169.9,"",1986,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"bed9e40e50b39cc46e9856315ee0780319af67fc","",NA,NA,NA,"2014-09-12T13:03:42.960Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Niue Island",NA,"",NA,NA,"","1973-Echinodermata",NA,NA,NA,"aa37771d-6e6a-4621-b981-d0d2e6e710df",NA,NA,NA,NA
"977",NA,11.7183,NA,NA,NA,"","09/08/2014",10,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","DJRS-021",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"611621BF-7380-44AF-9B51-AE8E159695FE",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,2,NA,"05b038c0-a8a3-41b9-bbec-1454cb89ae82",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,43.1561,"",2012,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"dd3955f23f62f92a6dd7317c5cab30500232d1ab","",NA,NA,NA,"2014-09-12T11:16:55.276Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Gustav Paulay","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Djibouti",NA,"",NA,NA,"","12095-Echinodermata",NA,NA,NA,"05b038c0-a8a3-41b9-bbec-1454cb89ae82",NA,NA,NA,NA
"1065",NA,-17.6,NA,NA,NA,"","09/08/2014",10,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Tahiti Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","BTAH-056",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"6C385B48-1097-407F-8E80-0B1E2390AB9D",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,29,NA,"dfd42582-ad8b-480b-a57e-56582dfac58a",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Society Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,-149.4,"",2001,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"7c84344b2f01229b777aa9c4412422d1766293db","",NA,NA,NA,"2014-09-12T15:34:47.455Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Paulay, G.","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"French Polynesia",NA,"",NA,NA,"","638-Echinodermata",NA,NA,NA,"dfd42582-ad8b-480b-a57e-56582dfac58a",NA,NA,NA,NA
"1105",NA,9.49214,NA,NA,NA,"","09/08/2014",8,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Yap State","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","AK-Yap-08",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"96D7CD71-D58D-4A33-8FD7-269DAE32FAA2",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,2,NA,"ec9b0a9c-4530-4f15-830b-7ffb8130c8f1",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Caroline Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,138.14779,"",2007,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"7d82c044befca7d9fd84a097b903f8468e784322","",NA,NA,NA,"2014-09-12T13:08:05.153Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Kris Netchy & Alex Kerr","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Federated States of Micronesia",NA,"",NA,NA,"","5878-Echinodermata",NA,NA,NA,"ec9b0a9c-4530-4f15-830b-7ffb8130c8f1",NA,NA,NA,NA
"1116",NA,-19.1,NA,NA,NA,"","09/08/2014",8,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Niue Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","HNIUE-066",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"C8C42A71-95EA-44AE-8914-E3CE3F43479A",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,28,NA,"409f3aa4-a456-4f48-a7d8-625f9f7075f9",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Niue Island",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,-169.9,"",1986,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"c37e30e0cbfedb9ca10c4894334ac920f356b8c0","",NA,NA,NA,"2014-09-12T16:02:03.319Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Niue Island",NA,"",NA,NA,"","1833-Echinodermata",NA,NA,NA,"409f3aa4-a456-4f48-a7d8-625f9f7075f9",NA,NA,NA,NA
"1130",NA,-5.1705,NA,NA,NA,"","09/08/2014",11,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","PR42",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"45A105A3-71E5-42B2-ADF7-1C80A9BBA96D",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,15,NA,"adef00f4-338a-4748-83ac-165ae9ffa6f3",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Madang Province",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,145.838669,"",2012,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"1b86eeefdf325741bd1b9e8d901a42e8eac289e8","",NA,NA,NA,"2014-09-12T15:21:38.211Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Anthony Berberian, Heok Hui Tan, Hugh Morrison, Vanessa Knutson, François Michonneau","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Papua New Guinea",NA,"",NA,NA,"","14747-Echinodermata",NA,NA,NA,"adef00f4-338a-4748-83ac-165ae9ffa6f3",NA,NA,NA,NA
"1296",NA,-14.9355,NA,NA,NA,"","09/08/2014",10,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Rangiroa Atoll","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","BRNG-046-2",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"FCF7034B-C732-4994-B29E-1FF34855DC65",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,26,NA,"e077d522-5924-47e1-8d09-4f00e507d503",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Tuamotu Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,-147.86,"",2001,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"a5f8cf2779b429d7b5473f62dffa141e3afad9a8","",NA,NA,NA,"2014-09-12T16:30:19.720Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Paulay, G.","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"French Polynesia",NA,"",NA,NA,"","290-Echinodermata",NA,NA,NA,"e077d522-5924-47e1-8d09-4f00e507d503",NA,NA,NA,NA
